Xx,Yx,Zx,Xy,Yy,Zy,Zx,Zy,Zz,Px,Py,Pz
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-3.93,0,3.98
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-4.02,0,3.97
0,0,0,0,0,0,0,0,0,-5.2,-0.46,4.46
0,0,0,0,0,0,0,0,0,-5.2,-0.44,4.47
0,0,0,0,0,0,0,0,0,-5.21,-0.41,4.46
0,0,0,0,0,0,0,0,0,-5.72,-0.57,4.68
0,0,0,0,0,0,0,0,0,-5.38,-0.41,4.54
0,0,0,0,0,0,0,0,0,-5.22,-0.33,4.47
0,0,0,0,0,0,0,0,0,-5.23,-0.29,4.48
0,0,0,0,0,0,0,0,0,-5.23,-0.27,4.48
0,0,0,0,0,0,0,0,0,-5.4,-0.3,4.54
0,0,0,0,0,0,0,0,0,-5.23,-0.22,4.47
0,0,0,0,0,0,0,0,0,-5.58,-0.29,4.61
0,0,0,0,0,0,0,0,0,-5.24,-0.16,4.46
0,0,0,0,0,0,0,0,0,-5.25,-0.13,4.47
0,0,0,0,0,0,0,0,0,-5.59,-0.19,4.61
0,0,0,0,0,0,0,0,0,-5.24,-0.08,4.48
0,0,0,0,0,0,0,0,0,-5.24,-0.05,4.48
0,0,0,0,0,0,0,0,0,-5.25,-0.02,4.48
0,0,0,0,0,0,0,0,0,-5.25,0.01,4.48
0,0,0,0,0,0,0,0,0,-5.26,0.04,4.48
0,0,0,0,0,0,0,0,0,-5.26,0.07,4.47
0,0,0,0,0,0,0,0,0,-5.26,0.1,4.48
0,0,0,0,0,0,0,0,0,-5.25,0.13,4.49
0,0,0,0,0,0,0,0,0,-5.26,0.16,4.49
0,0,0,0,0,0,0,0,0,-5.26,0.19,4.48
0,0,0,0,0,0,0,0,0,-5.27,0.22,4.48
0,0,0,0,0,0,0,0,0,-5.63,0.21,4.64
0,0,0,0,0,0,0,0,0,-5.26,0.28,4.49
0,0,0,0,0,0,0,0,0,-5.45,0.3,4.56
0,0,0,0,0,0,0,0,0,-5.27,0.35,4.5
0,0,0,0,0,0,0,0,0,-5.63,0.37,4.65
0,0,0,0,0,0,0,0,0,-5.26,0.41,4.5
0,0,0,0,0,0,0,0,0,-5.64,0.44,4.65
0,0,0,0,0,0,0,0,0,-5.45,0.48,4.59
0,0,0,0,0,0,0,0,0,-5.27,0.5,4.51
0,0,0,0,0,0,0,0,0,-5.63,0.54,4.66
0,0,0,0,0,0,0,0,0,-5.64,0.58,4.67
0,0,0,0,0,0,0,0,0,-5.64,0.63,4.67
0,0,0,0,0,0,0,0,0,-5.27,0.64,4.52
0,0,0,0,0,0,0,0,0,-5.26,0.67,4.53
0,0,0,0,0,0,0,0,0,-5.26,0.7,4.54
0,0,0,0,0,0,0,0,0,-5.64,0.77,4.7
0,0,0,0,0,0,0,0,0,-5.27,0.77,4.53
0,0,0,0,0,0,0,0,0,-5.62,0.85,4.7
0,0,0,0,0,0,0,0,0,-5.26,0.84,4.55
0,0,0,0,0,0,0,0,0,-5.25,0.87,4.55
0,0,0,0,0,0,0,0,0,-5.25,0.9,4.56
0,0,0,0,0,0,0,0,0,-5.43,0.96,4.65
0,0,0,0,0,0,0,0,0,-5.24,0.96,4.56
0,0,0,0,0,0,0,0,0,-5.25,1.01,4.57
0,0,0,0,0,0,0,0,0,-5.28,1.14,4.72
0,0,0,0,0,0,0,0,0,-5.23,1.07,4.59
0,0,0,0,0,0,0,0,0,-5.23,1.09,4.59
0,0,0,0,0,0,0,0,0,-5.23,1.13,4.59
0,0,0,0,0,0,0,0,0,-5.31,1.15,4.7
0,0,0,0,0,0,0,0,0,-5.21,1.19,4.6
0,0,0,0,0,0,0,0,0,-5.2,1.22,4.61
0,0,0,0,0,0,0,0,0,-5.21,1.26,4.63
0,0,0,0,0,0,0,0,0,-5.2,1.29,4.62
0,0,0,0,0,0,0,0,0,-5.19,1.33,4.63
0,0,0,0,0,0,0,0,0,-5.55,1.5,4.82
0,0,0,0,0,0,0,0,0,-5.17,1.4,4.65
0,0,0,0,0,0,0,0,0,-5.16,1.43,4.66
0,0,0,0,0,0,0,0,0,-5.16,1.46,4.66
0,0,0,0,0,0,0,0,0,-5.33,1.57,4.76
0,0,0,0,0,0,0,0,0,-5.16,1.53,4.67
0,0,0,0,0,0,0,0,0,-5.14,1.57,4.67
0,0,0,0,0,0,0,0,0,-5.13,1.61,4.68
0,0,0,0,0,0,0,0,0,-5.3,1.74,4.79
0,0,0,0,0,0,0,0,0,-5.11,1.67,4.7
0,0,0,0,0,0,0,0,0,-5.28,1.81,4.81
0,0,0,0,0,0,0,0,0,-5.1,1.74,4.71
0,0,0,0,0,0,0,0,0,-5.08,1.77,4.73
0,0,0,0,0,0,0,0,0,-5.24,1.92,4.84
0,0,0,0,0,0,0,0,0,-5.07,1.84,4.73
0,0,0,0,0,0,0,0,0,-5.22,1.99,4.86
0,0,0,0,0,0,0,0,0,-5.03,1.9,4.76
0,0,0,0,0,0,0,0,0,-5.36,2.18,4.99
0,0,0,0,0,0,0,0,0,-5.01,1.98,4.77
0,0,0,0,0,0,0,0,0,-5.33,2.25,5.02
0,0,0,0,0,0,0,0,0,-5.3,2.29,5.03
0,0,0,0,0,0,0,0,0,-5.45,2.46,5.16
0,0,0,0,0,0,0,0,0,-4.96,2.12,4.82
0,0,0,0,0,0,0,0,0,-5.1,2.28,4.95
0,0,0,0,0,0,0,0,0,-4.92,2.17,4.83
0,0,0,0,0,0,0,0,0,-4.89,2.33,4.85
0,0,0,0,0,0,0,0,0,-4.89,2.24,4.86
0,0,0,0,0,0,0,0,0,-5.18,2.56,5.12
0,0,0,0,0,0,0,0,0,-4.86,2.3,4.88
0,0,0,0,0,0,0,0,0,-4.99,2.49,5.02
0,0,0,0,0,0,0,0,0,-4.83,2.37,4.9
0,0,0,0,0,0,0,0,0,-4.8,2.4,4.92
0,0,0,0,0,0,0,0,0,-4.79,2.43,4.92
0,0,0,0,0,0,0,0,0,-4.91,2.63,5.06
0,0,0,0,0,0,0,0,0,-4.75,2.5,4.94
0,0,0,0,0,0,0,0,0,-4.72,2.53,4.97
0,0,0,0,0,0,0,0,0,-4.7,2.56,4.98
0,0,0,0,0,0,0,0,0,-5.09,3.11,5.41
0,0,0,0,0,0,0,0,0,-4.67,2.62,4.99
0,0,0,0,0,0,0,0,0,-4.64,2.66,5.01
0,0,0,0,0,0,0,0,0,-4.62,2.68,5.01
