Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.007,-0.272,-0.31
0,-0.001,-0.001,-0.001,0,0.001,0,-0.001,0,0.058,-1.486,-1.552
0,-0.001,-0.001,-0.001,0,0.001,0,-0.001,0,0.088,-1.481,-1.553
0,-0.001,-0.001,-0.001,0,0.001,0,-0.001,0,0.117,-1.473,-1.548
0,-0.002,-0.001,-0.002,-0.001,0.002,0,-0.002,0,0.189,-1.887,-1.973
0,-0.001,0,-0.001,0,0.001,0,-0.001,0,0.187,-1.459,-1.524
0,-0.002,-0.001,-0.002,-0.001,0.001,0,-0.002,0,0.279,-1.879,-1.94
0,-0.001,0,-0.001,-0.001,0.001,0,-0.001,0,0.258,-1.448,-1.484
0,-0.001,0,-0.001,-0.001,0.001,0,-0.001,0,0.28,-1.437,-1.489
0,-0.002,0,-0.002,-0.001,0.001,0,-0.001,0,0.401,-1.837,-1.893
0,-0.001,0,-0.002,-0.001,0.001,0,-0.001,0,0.393,-1.631,-1.676
0,-0.001,0,-0.002,-0.001,0.001,0,-0.001,0,0.427,-1.601,-1.65
0,-0.001,0,-0.001,-0.001,0.001,0,-0.001,0,0.405,-1.399,-1.428
0,-0.001,0,-0.001,-0.001,0.001,0,-0.001,0,0.44,-1.391,-1.418
0,-0.001,0,-0.001,-0.001,0.001,0.001,-0.001,0,0.459,-1.379,-1.406
0,-0.001,0,-0.001,-0.001,0.001,0.001,-0.001,0,0.485,-1.368,-1.403
0,-0.001,0,-0.001,-0.001,0.001,0.001,-0.001,0,0.591,-1.558,-1.578
0,-0.002,0,-0.002,-0.001,0.001,0.001,-0.001,0,0.784,-1.93,-1.951
0,-0.001,0,-0.001,-0.001,0.001,0.001,-0.001,0,0.578,-1.331,-1.352
