Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,0,0,0,0,0,0,0,0,-0.015,0,-0.026
0,-0.001,0,-0.001,0,0.001,0,0,0,-0.36,-0.131,0.118
0,-0.003,0,-0.002,0,0.002,0,-0.001,0,-1.202,-0.459,0.465
0,-0.003,0,-0.002,0,0.002,0,-0.001,0,-1.206,-0.446,0.465
0,-0.003,0,-0.002,0,0.002,0,-0.001,0,-1.21,-0.435,0.466
0,-0.003,0,-0.003,0,0.002,0,-0.001,0,-1.558,-0.547,0.606
0,-0.003,0,-0.002,0,0.002,0,-0.001,0,-1.393,-0.467,0.535
0,-0.003,0,-0.003,0,0.003,0,-0.002,0,-1.736,-0.562,0.677
0,-0.002,0,-0.002,0,0.002,0,-0.001,0,-1.23,-0.385,0.466
0,-0.003,0,-0.003,0,0.003,0,-0.002,0,-1.743,-0.534,0.687
0,-0.002,0,-0.002,0,0.002,0,-0.001,0,-1.224,-0.36,0.472
0,-0.003,-0.001,-0.002,0,0.002,0,-0.001,0,-1.585,-0.449,0.609
0,-0.002,0,-0.002,0,0.002,0,-0.001,0,-1.244,-0.332,0.469
0,-0.003,-0.001,-0.002,0,0.002,0,-0.001,0,-1.417,-0.364,0.535
0,-0.002,-0.001,-0.002,0,0.002,0,-0.001,0,-1.42,-0.35,0.549
0,-0.002,-0.001,-0.002,0,0.002,0,-0.001,0,-1.251,-0.286,0.48
0,-0.003,-0.001,-0.002,-0.001,0.002,0,-0.002,0,-1.775,-0.403,0.694
0,-0.002,-0.001,-0.002,0,0.002,0,-0.001,0,-1.258,-0.265,0.468
0,-0.002,-0.001,-0.002,0,0.002,0,-0.001,0,-1.263,-0.252,0.474
0,-0.002,-0.001,-0.002,0,0.002,0,-0.001,0,-1.435,-0.271,0.55
0,-0.002,-0.001,-0.002,0,0.002,0,-0.001,0,-1.27,-0.223,0.477
0,-0.002,-0.001,-0.001,0,0.002,0,-0.001,0,-1.262,-0.211,0.473
0,-0.002,-0.001,-0.001,0,0.002,0,-0.001,0,-1.268,-0.202,0.479
0,-0.002,-0.001,-0.001,0,0.002,0,-0.001,0,-1.271,-0.178,0.482
0,-0.002,-0.001,-0.002,-0.001,0.002,-0.001,-0.001,0,-1.459,-0.183,0.554
0,-0.002,-0.001,-0.001,0,0.002,0,-0.001,0,-1.274,-0.148,0.48
0,-0.002,-0.001,-0.001,-0.001,0.002,-0.001,-0.001,0,-1.464,-0.15,0.558
0,-0.002,-0.001,-0.001,0,0.002,-0.001,-0.001,0,-1.285,-0.116,0.498
0,-0.002,-0.001,-0.001,0,0.002,-0.001,-0.001,0,-1.291,-0.099,0.49
0,-0.002,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.284,-0.085,0.488
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.296,-0.068,0.495
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.296,-0.053,0.492
0,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.001,0,-1.293,-0.035,0.501
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.29,-0.02,0.513
0,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.001,0,-1.297,-0.003,0.506
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.298,0.013,0.509
0,-0.001,-0.001,-0.001,-0.001,0.002,-0.001,-0.001,0,-1.483,0.035,0.596
0,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.001,0,-1.301,0.056,0.516
0,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.001,0,-1.484,0.075,0.596
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.313,0.086,0.519
0,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.001,0,-1.306,0.092,0.524
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.303,0.115,0.523
0,-0.001,-0.002,-0.001,-0.001,0.001,-0.001,-0.001,0,-1.49,0.145,0.618
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.304,0.15,0.53
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.314,0.171,0.54
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.314,0.19,0.544
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.307,0.208,0.55
0,-0.001,-0.002,-0.001,-0.001,0.001,-0.001,-0.002,0,-1.86,0.308,0.797
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.304,0.245,0.552
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.304,0.263,0.557
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.311,0.285,0.567
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.313,0.298,0.571
0,-0.001,-0.002,-0.001,0,0.001,-0.001,-0.001,0,-1.49,0.358,0.655
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.296,0.338,0.593
0,-0.001,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.297,0.359,0.582
0,0,-0.001,-0.001,0,0.001,-0.001,-0.001,0,-1.302,0.382,0.588
0,0,-0.002,-0.001,0,0.001,-0.001,-0.001,0,-1.476,0.449,0.691
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.299,0.422,0.608
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.295,0.441,0.607
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.287,0.458,0.621
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.284,0.475,0.627
0,0,-0.002,0,0,0.001,-0.001,-0.001,0,-1.651,0.641,0.806
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.276,0.515,0.633
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.273,0.534,0.647
0,0,-0.001,0,0,0.001,-0.001,-0.001,0,-1.275,0.56,0.654
0,0,-0.002,0,0,0.001,-0.002,-0.001,0,-1.626,0.737,0.86
0,0,-0.002,0,0,0.001,-0.002,-0.001,0,-1.794,0.838,0.959
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.252,0.618,0.67
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.255,0.642,0.686
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.248,0.663,0.693
0,0,-0.002,0,0,0,-0.001,-0.001,0,-1.409,0.775,0.802
0,0,-0.002,0,0,0,-0.001,-0.001,0,-1.402,0.789,0.811
0,0,-0.002,0,0,0,-0.001,-0.001,0,-1.402,0.821,0.819
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.222,0.743,0.726
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.214,0.761,0.726
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.196,0.774,0.752
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.199,0.809,0.743
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.192,0.82,0.761
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.178,0.835,0.77
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.167,0.856,0.772
0,0.001,-0.001,0,0,0,-0.001,-0.001,0,-1.321,1,0.901
0,0,-0.001,0,0,0,-0.001,-0.001,0,-1.15,0.894,0.79
0,0.001,-0.001,0,0,0,-0.001,-0.001,0,-1.147,0.917,0.807
0,0.001,-0.001,0,0,0,-0.001,0,0,-1.136,0.935,0.808
