Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,0.013,0.025,0.015
0,0,0,0,0,0,0,0,0,-0.179,-2.05,-0.017
0,0,0,0,0,0,0,0,0,-0.212,-2.641,-0.027
0,0,0,0,0,0,0,0,0,-0.171,-2.33,-0.03
0,0,0,0,0,0,0,0,0,-0.134,-2.33,-0.015
0,0,0,0,0,0,0,0,0,-0.104,-2.03,-0.012
0,0,0,0,0,0,0,0,0,-0.076,-2.013,-0.006
0,0,0,0,0,0,0,0,0,-0.049,-2.023,0.007
0,0,0,0,0,0,0,0,0,-0.041,-2.319,0.003
0,0,0,0,0,0,0,0,0,-0.011,-2.021,0.011
0,0,0,0,0,0,0,0,0,0.011,-2.008,0.018
0,0,0,0,0,0,0,0,0,0.022,-1.998,0.014
0,0,0,0,0,0,0,0,0,0.045,-1.982,0.017
0,0,0,0,0,0,0,0,0,0.075,-2.566,0.021
0,0,0,0,0,0,0,0,0,0.084,-1.989,0.023
0,0,0,0,0,0,0,0,0,0.112,-1.987,0.036
0,0,0,0,0,0,0,0,0,0.155,-2.53,0.036
0,0,0,0,0,0,0,0,0,0.142,-1.962,0.036
0,0,0,0,0,0,0,0,0,0.202,-2.523,0.036
0,0,0,0,0,0,0,0,0,0.182,-1.954,0.042
0,0,0,0,0,0,0,0,0,0.2,-1.947,0.045
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
0,0,0,0,0,0,0,0,0,0.006,0.02,0.008
