Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.02,0.008
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,0.002,-0.011
0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.0,-0.001,-0.0,0.053,-1.486,-1.564
0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.0,-0.001,-0.0,0.074,-1.49,-1.563
0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.0,-0.001,-0.0,0.115,-1.473,-1.55
0.0,-0.002,-0.001,-0.003,-0.001,0.002,-0.0,-0.002,-0.0,0.259,-2.523,-2.627
0.0,-0.002,-0.001,-0.002,-0.001,0.001,0.0,-0.001,-0.0,0.219,-1.677,-1.733
0.0,-0.001,-0.0,-0.001,-0.001,0.001,0.0,-0.001,-0.0,0.22,-1.452,-1.513
