Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.015,0.0,-0.026
-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.175,-0.057,0.034
0.0,-0.003,0.0,-0.002,-0.0,0.002,0.0,-0.001,-0.0,-1.37,-0.523,0.538
0.0,-0.003,-0.0,-0.002,-0.0,0.002,0.0,-0.001,0.0,-1.208,-0.445,0.469
0.0,-0.003,-0.0,-0.002,-0.0,0.002,-0.0,-0.001,0.0,-1.204,-0.433,0.47
0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,-0.001,0.0,-1.211,-0.421,0.475
0.0,-0.004,-0.0,-0.003,-0.0,0.003,-0.0,-0.002,-0.0,-2.074,-0.71,0.821
0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,-0.001,0.0,-1.222,-0.393,0.468
0.0,-0.003,-0.0,-0.002,-0.0,0.002,-0.0,-0.001,0.0,-1.573,-0.492,0.608
