Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,0.025,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,0.026,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,0.026,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,0.026,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,0.026,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.022,-0.532,0.018
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.015,-0.527,0.01
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,-0.538,0.011
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.007,-0.765,0.014
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.01,-0.615,0.017
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,-0.533,0.015
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.01,-0.775,0.016
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.01,-0.536,0.017
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013,-0.544,0.016
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.008,-0.528,0.017
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006,-0.539,0.017
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.016,-0.621,0.024
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,-0.539,0.019
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.008,-0.616,0.014
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.011,-0.775,0.014
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012,-0.615,0.014
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.007,-0.526,0.012
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.017,-0.537,0.019
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.009,-0.532,0.011
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.007,-0.528,0.004
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.007,-0.52,0.006
