X,Y,Z,Rx,Ry,Rz
485.324,-1.229,234.323,179.9805,20.217,1.7025
485.331,-1.229,234.324,179.9805,20.216,1.7025
485.392,-1.236,234.281,179.9834,20.2136,1.7056
485.474,-1.229,234.228,179.9885,20.2096,1.7094
485.554,-1.241,234.166,179.9921,20.2063,1.7135
485.637,-1.241,234.113,179.996,20.2024,1.717
485.712,-1.247,234.073,180,20.1979,1.7197
485.787,-1.246,234.018,-179.996,20.195,1.7232
485.859,-1.246,233.969,-179.992,20.1912,1.7266
485.953,-1.259,233.913,-179.9885,20.187,1.7307
486.025,-1.259,233.863,-179.9845,20.1833,1.7341
486.093,-1.258,233.821,-179.9805,20.1799,1.7376
486.16,-1.259,233.779,-179.9771,20.1765,1.7394
486.217,-1.267,233.727,-179.9742,20.1748,1.7425
486.285,-1.268,233.685,-179.9713,20.1714,1.7463
486.375,-1.273,233.633,-179.9663,20.1664,1.7487
486.435,-1.274,233.59,-179.9633,20.164,1.7525
486.503,-1.282,233.548,-179.9604,20.1606,1.7556
486.59,-1.28,233.488,-179.9554,20.1563,1.7587
486.665,-1.28,233.434,-179.9514,20.1533,1.7621
486.751,-1.287,233.389,-179.9479,20.1486,1.7668
486.823,-1.287,233.34,-179.9439,20.1449,1.7702
486.898,-1.293,233.286,-179.9399,20.1419,1.773
486.974,-1.293,233.232,-179.9359,20.1389,1.7764
487.046,-1.299,233.182,-179.9319,20.1352,1.7791
487.124,-1.299,233.137,-179.928,20.1315,1.7825
487.203,-1.299,233.088,-179.924,20.1267,1.7859
487.271,-1.307,233.046,-179.9212,20.1233,1.789
487.346,-1.307,232.992,-179.9172,20.1204,1.7924
487.414,-1.315,232.95,-179.9143,20.117,1.7955
487.474,-1.316,232.907,-179.9114,20.1146,1.7993
487.546,-1.316,232.857,-179.9069,20.1108,1.8007
487.624,-1.323,232.812,-179.9034,20.1071,1.8054
487.689,-1.324,232.761,-179.9001,20.1044,1.8072
487.764,-1.324,232.72,-179.8961,20.1,1.8106
487.839,-1.331,232.666,-179.8926,20.097,1.8153
487.914,-1.331,232.612,-179.8886,20.094,1.8187
487.993,-1.337,232.564,-179.8847,20.0892,1.8214
488.072,-1.338,232.519,-179.8807,20.0855,1.8248
488.151,-1.344,232.457,-179.8768,20.0822,1.8275
488.226,-1.344,232.416,-179.8729,20.0778,1.8308
488.301,-1.345,232.362,-179.8693,20.0748,1.8362
488.369,-1.353,232.32,-179.866,20.0713,1.8373
488.451,-1.352,232.267,-179.8614,20.0673,1.8423
488.519,-1.353,232.225,-179.8581,20.0639,1.844
488.601,-1.36,232.172,-179.8546,20.0599,1.8487
488.669,-1.361,232.117,-179.8506,20.0579,1.8521
488.736,-1.368,232.075,-179.8473,20.0545,1.8531
488.816,-1.369,232.027,-179.8438,20.0497,1.8585
488.891,-1.375,231.973,-179.8399,20.0467,1.8612
488.969,-1.376,231.927,-179.8359,20.043,1.8645
489.041,-1.376,231.878,-179.832,20.0392,1.8679
489.116,-1.377,231.824,-179.828,20.0362,1.8712
489.198,-1.383,231.771,-179.8241,20.0322,1.8739
489.281,-1.383,231.718,-179.8195,20.0281,1.8789
489.363,-1.389,231.665,-179.8156,20.0241,1.8815
489.435,-1.39,231.616,-179.8117,20.0203,1.8849
489.503,-1.398,231.574,-179.8088,20.0169,1.8879
489.57,-1.4,231.531,-179.806,20.0134,1.8916
489.63,-1.401,231.488,-179.802,20.011,1.895
489.705,-1.401,231.434,-179.798,20.008,1.8983
489.788,-1.402,231.381,-179.7941,20.0039,1.9017
489.863,-1.41,231.341,-179.7913,19.9995,1.9046
489.93,-1.411,231.285,-179.7873,19.9975,1.908
489.994,-1.412,231.248,-179.784,19.9933,1.9097
490.054,-1.42,231.204,-179.7811,19.9909,1.9127
490.132,-1.421,231.159,-179.7772,19.9872,1.9161
490.2,-1.416,231.117,-179.7733,19.9837,1.9201
490.267,-1.424,231.075,-179.7704,19.9803,1.9231
490.324,-1.425,231.023,-179.767,19.9785,1.9249
490.392,-1.433,230.981,-179.7642,19.9751,1.9279
490.485,-1.433,230.925,-179.7597,19.9708,1.9328
490.552,-1.441,230.883,-179.7564,19.9673,1.9338
490.619,-1.436,230.841,-179.7524,19.9638,1.9378
490.699,-1.443,230.779,-179.749,19.9605,1.9424
490.774,-1.444,230.738,-179.7451,19.956,1.9457
490.796,-1.449,230.729,-179.7445,19.9544,1.9466
490.819,-1.447,230.706,-179.7428,19.9542,1.9478
490.834,-1.446,230.695,-179.7422,19.9536,1.9494
490.856,-1.444,230.672,-179.7405,19.9534,1.9506
490.871,-1.443,230.661,-179.7399,19.9528,1.9522
490.894,-1.441,230.639,-179.7382,19.9526,1.9535
490.909,-1.44,230.628,-179.7376,19.952,1.9551
490.916,-1.439,230.616,-179.7365,19.9524,1.9547
490.946,-1.442,230.594,-179.7348,19.9512,1.9552
490.968,-1.44,230.571,-179.7331,19.951,1.9564
490.983,-1.439,230.56,-179.7325,19.9504,1.958
490.991,-1.438,230.548,-179.7314,19.9508,1.9577
491.006,-1.437,230.537,-179.7308,19.9502,1.9593
491.043,-1.441,230.517,-179.7291,19.948,1.9597
491.051,-1.441,230.518,-179.7292,19.9469,1.9597
491.066,-1.44,230.508,-179.7286,19.9463,1.9613
491.088,-1.438,230.485,-179.7269,19.9461,1.9625
491.111,-1.443,230.475,-179.7263,19.9445,1.9634
491.133,-1.449,230.465,-179.7258,19.9429,1.9643
491.148,-1.448,230.455,-179.7252,19.9423,1.9659
491.171,-1.453,230.445,-179.7246,19.9407,1.9668
491.201,-1.457,230.423,-179.7229,19.9394,1.9673
491.208,-1.455,230.411,-179.7218,19.9398,1.9669
491.275,-1.458,230.369,-179.719,19.9364,1.9706
491.298,-1.463,230.36,-179.7184,19.9348,1.9715
491.32,-1.468,230.35,-179.7179,19.9332,1.9724
491.343,-1.473,230.341,-179.7173,19.9315,1.9732
491.365,-1.479,230.331,-179.7168,19.9299,1.9741
491.373,-1.479,230.332,-179.7168,19.9289,1.9741
491.395,-1.484,230.323,-179.7163,19.9273,1.975
491.417,-1.489,230.313,-179.7157,19.9256,1.9758
491.44,-1.495,230.304,-179.7151,19.924,1.9767
491.455,-1.494,230.293,-179.7145,19.9234,1.9783
491.477,-1.499,230.283,-179.714,19.9218,1.9792
491.492,-1.498,230.272,-179.7134,19.9212,1.9808
491.522,-1.502,230.251,-179.7117,19.9199,1.9813
491.545,-1.507,230.241,-179.7112,19.9183,1.9822
491.56,-1.507,230.23,-179.7106,19.9177,1.9838
491.582,-1.504,230.207,-179.7089,19.9175,1.985
