X,Y,Z,Rx,Ry,Rz,time
485.349,-1.214,234.335,179.9829,20.2132,1.6975,0.0
485.378,-1.214,234.317,179.9829,20.2131,1.6975,61.5
485.483,-1.22,234.246,179.9829,20.2132,1.6968,115.3
485.59,-1.226,234.171,179.9824,20.214,1.6981,161.3
485.677,-1.232,234.116,179.9824,20.2138,1.6974,207.9
485.781,-1.232,234.045,179.9824,20.2139,1.6974,254.4
485.896,-1.231,233.971,179.9835,20.2137,1.6971,300.4
485.983,-1.237,233.916,179.9831,20.2135,1.6984,346.1
486.087,-1.243,233.845,179.9831,20.2136,1.6977,393.4
486.173,-1.243,233.789,179.9831,20.2134,1.6977,439.1
486.288,-1.249,233.715,179.983,20.2132,1.697,485.9
486.393,-1.256,233.645,179.9826,20.2133,1.6983,532.6
486.479,-1.261,233.589,179.9826,20.2131,1.6976,578.6
486.587,-1.267,233.514,179.9826,20.2139,1.6969,624.6
486.673,-1.267,233.458,179.9826,20.2138,1.6969,669.9
486.788,-1.274,233.384,179.9821,20.2136,1.6982,716.7
486.892,-1.272,233.313,179.9832,20.2136,1.6978,763.6
486.978,-1.278,233.258,179.9832,20.2135,1.6971,809.9
487.093,-1.278,233.184,179.9832,20.2133,1.6971,856.6
487.201,-1.285,233.122,179.9827,20.2126,1.6984,903.0
487.287,-1.291,233.066,179.9827,20.2125,1.6977,949.9
487.402,-1.297,232.992,179.9827,20.2123,1.697,996.7
487.499,-1.303,232.92,179.9828,20.2134,1.6963,1042.5
487.592,-1.303,232.852,179.9828,20.2137,1.6963,1088.6
487.7,-1.309,232.79,179.9823,20.213,1.6976,1133.5
487.786,-1.308,232.734,179.9834,20.2128,1.6973,1180.4
487.9,-1.314,232.66,179.9834,20.2126,1.6966,1226.6
487.99,-1.314,232.6,179.9834,20.2133,1.6966,1272.7
488.094,-1.32,232.529,179.9829,20.2133,1.6979,1319.0
488.209,-1.326,232.454,179.9829,20.2131,1.6972,1365.6
