X,Y,Z,Rx,Ry,Rz,time
485.342,-1.208,234.334,179.9829,20.2142,1.6982,0.0
485.37,-1.208,234.315,179.9829,20.2141,1.6982,61.0
485.543,-1.22,234.205,179.9829,20.2138,1.6968,115.3
485.705,-1.226,234.097,179.9824,20.2138,1.6981,162.3
485.878,-1.225,233.986,179.9835,20.2135,1.6978,208.8
486.011,-1.231,233.897,179.9831,20.2135,1.6991,254.8
486.166,-1.237,233.788,179.9831,20.2144,1.6984,300.1
486.32,-1.249,233.692,179.9831,20.2139,1.697,345.1
486.475,-1.256,233.583,179.9826,20.2149,1.6983,392.1
486.647,-1.262,233.472,179.9826,20.2146,1.6976,440.1
486.78,-1.268,233.383,179.9822,20.2146,1.6989,485.9
486.942,-1.267,233.275,179.9833,20.2145,1.6985,531.4
487.086,-1.278,233.183,179.9833,20.2143,1.6971,578.0
487.248,-1.285,233.075,179.9828,20.2143,1.6984,623.9
487.387,-1.291,232.989,179.9828,20.2143,1.6977,669.9
487.559,-1.297,232.878,179.9828,20.214,1.697,715.9
487.721,-1.303,232.77,179.9823,20.214,1.6983,761.9
487.854,-1.302,232.68,179.9834,20.214,1.698,807.4
488.026,-1.314,232.569,179.983,20.2137,1.6986,853.7
488.159,-1.32,232.479,179.983,20.2137,1.6979,899.6
488.323,-1.326,232.38,179.9829,20.2129,1.6972,944.7
488.452,-1.333,232.285,179.9825,20.2147,1.6985,990.2
488.631,-1.339,232.174,179.9825,20.2134,1.6978,1036.0
488.756,-1.337,232.083,179.9836,20.2144,1.6974,1082.0
488.939,-1.35,231.968,179.9831,20.2138,1.698,1127.9
489.093,-1.356,231.859,179.9832,20.2148,1.6973,1174.3
489.228,-1.362,231.778,179.9832,20.2141,1.6966,1219.4
489.4,-1.369,231.666,179.9827,20.2138,1.6979,1266.8
489.562,-1.381,231.557,179.9827,20.2138,1.6965,1314.1
489.669,-1.381,231.481,179.9823,20.2146,1.6985,1360.4
489.869,-1.386,231.351,179.9833,20.2142,1.6975,1407.1
490.004,-1.392,231.27,179.9833,20.2135,1.6968,1453.9
490.137,-1.398,231.18,179.9829,20.2135,1.6981,1499.7
490.312,-1.404,231.063,179.9829,20.214,1.6974,1545.9
490.444,-1.41,230.973,179.9829,20.214,1.6967,1591.5
490.619,-1.423,230.856,179.9824,20.2145,1.6973,1638.1
490.783,-1.422,230.756,179.9835,20.2137,1.6969,1684.0
490.915,-1.428,230.666,179.9835,20.2137,1.6962,1730.0
491.086,-1.434,230.554,179.983,20.2134,1.6975,1775.9
491.243,-1.44,230.453,179.983,20.2137,1.6968,1822.7
491.378,-1.447,230.358,179.9826,20.2145,1.6981,1868.9
491.578,-1.459,230.227,179.9826,20.2141,1.6967,1915.8
