X,Y,Z,Rx,Ry,Rz
485.342,-1.201,234.334,179.9835,20.2142,1.7006
485.41,-1.207,234.294,179.9835,20.2138,1.6999
485.63,-1.214,234.149,179.9831,20.2137,1.7012
485.914,-1.218,233.956,179.9842,20.2138,1.7001
486.177,-1.23,233.785,179.9837,20.2142,1.7007
486.396,-1.243,233.64,179.9833,20.214,1.7013
486.687,-1.255,233.451,179.9833,20.2143,1.6999
486.906,-1.26,233.306,179.9839,20.2141,1.7009
487.172,-1.272,233.127,179.9839,20.2141,1.6995
487.394,-1.284,232.991,179.9834,20.2133,1.7001
487.678,-1.297,232.796,179.983,20.2135,1.7007
487.94,-1.301,232.625,179.9841,20.2138,1.6996
488.23,-1.314,232.434,179.9836,20.2141,1.7002
488.449,-1.326,232.289,179.9831,20.2139,1.7008
488.735,-1.338,232.103,179.9831,20.2134,1.6994
488.957,-1.343,231.953,179.9838,20.214,1.7004
489.218,-1.355,231.781,179.9838,20.2143,1.699
489.504,-1.368,231.595,179.9833,20.2139,1.6996
489.726,-1.38,231.444,179.9829,20.2145,1.7002
489.994,-1.385,231.273,179.984,20.2138,1.6991
490.212,-1.392,231.127,179.9835,20.2136,1.7004
490.497,-1.41,230.943,179.9835,20.2142,1.6983
490.762,-1.422,230.763,179.9831,20.2142,1.6989
491.004,-1.421,230.606,179.9837,20.2143,1.7005
491.289,-1.44,230.418,179.9837,20.2138,1.6984
491.56,-1.452,230.242,179.9832,20.2139,1.6991
491.845,-1.457,230.055,179.9838,20.2134,1.7
492.062,-1.464,229.911,179.9839,20.2143,1.6993
492.329,-1.476,229.739,179.9834,20.2136,1.6999
492.549,-1.488,229.588,179.9834,20.2142,1.6985
492.834,-1.494,229.4,179.984,20.2137,1.6994
493.097,-1.507,229.235,179.9836,20.2133,1.7
493.317,-1.519,229.083,179.9836,20.214,1.6986
493.559,-1.532,228.925,179.9831,20.2141,1.6992
493.825,-1.536,228.752,179.9842,20.2133,1.6981
494.048,-1.543,228.609,179.9837,20.2133,1.6994
494.336,-1.561,228.416,179.9838,20.2135,1.6973
494.595,-1.568,228.242,179.9833,20.2139,1.6986
494.818,-1.574,228.098,179.9839,20.2138,1.6996
495.105,-1.586,227.905,179.9839,20.214,1.6982
495.325,-1.599,227.766,179.9835,20.2132,1.6988
495.586,-1.611,227.587,179.9835,20.2143,1.6974
495.809,-1.616,227.443,179.9841,20.2142,1.6983
496.142,-1.629,227.228,179.9836,20.2131,1.6989
496.364,-1.642,227.084,179.9836,20.213,1.6975
496.604,-1.649,226.925,179.9832,20.2132,1.6988
496.865,-1.654,226.745,179.9843,20.2142,1.6977
497.155,-1.667,226.56,179.9838,20.2138,1.6983
497.377,-1.679,226.415,179.9834,20.2137,1.6989
497.642,-1.692,226.241,179.9834,20.213,1.6975
497.857,-1.697,226.095,179.984,20.214,1.6984
498.192,-1.71,225.875,179.984,20.2137,1.697
498.414,-1.723,225.73,179.9835,20.2136,1.6976
498.635,-1.729,225.586,179.9835,20.2135,1.6969
498.963,-1.741,225.377,179.9842,20.2128,1.6971
499.181,-1.748,225.223,179.9837,20.2134,1.6984
499.427,-1.76,225.067,179.9837,20.2136,1.697
499.648,-1.773,224.922,179.9833,20.2135,1.6976
499.905,-1.779,224.745,179.9844,20.2138,1.6965
500.193,-1.792,224.558,179.9839,20.2134,1.6971
500.414,-1.799,224.413,179.9834,20.2133,1.6984
500.685,-1.811,224.242,179.9834,20.2126,1.697
500.898,-1.824,224.095,179.983,20.2136,1.6976
501.186,-1.83,223.908,179.9841,20.2131,1.6965
501.456,-1.843,223.736,179.9836,20.2125,1.6971
501.677,-1.849,223.59,179.9836,20.2124,1.6964
501.985,-1.861,223.382,179.9842,20.2129,1.6966
502.247,-1.868,223.209,179.9838,20.2133,1.6979
502.467,-1.881,223.063,179.9838,20.2132,1.6965
502.755,-1.894,222.875,179.9833,20.2128,1.6971
502.967,-1.907,222.728,179.9833,20.2138,1.6957
503.237,-1.913,222.555,179.984,20.2131,1.6966
503.46,-1.919,222.418,179.9839,20.2123,1.6959
503.743,-1.932,222.224,179.9835,20.2137,1.6965
504.012,-1.946,222.051,179.983,20.2131,1.6971
504.232,-1.951,221.904,179.9841,20.2129,1.696
504.51,-1.964,221.714,179.9837,20.2135,1.6966
504.737,-1.971,221.572,179.9837,20.2135,1.6959
505.023,-1.984,221.383,179.9832,20.2131,1.6965
505.242,-1.989,221.236,179.9843,20.213,1.6954
505.503,-2.003,221.061,179.9839,20.2134,1.696
505.795,-2.016,220.876,179.9834,20.213,1.6966
506.015,-2.023,220.729,179.9834,20.2129,1.6959
506.276,-2.029,220.554,179.984,20.2133,1.6968
506.501,-2.042,220.41,179.984,20.2133,1.6953
506.787,-2.055,220.221,179.9836,20.2128,1.6959
507.047,-2.069,220.045,179.9831,20.2132,1.6965
507.272,-2.068,219.902,179.9842,20.2132,1.6961
507.557,-2.081,219.712,179.9837,20.2128,1.6967
507.841,-2.094,219.524,179.9837,20.2134,1.6953
508.063,-2.108,219.385,179.9833,20.2126,1.6959
508.334,-2.113,219.206,179.9844,20.2127,1.6948
508.614,-2.127,219.023,179.9839,20.2126,1.6954
508.836,-2.133,218.87,179.9839,20.2133,1.6947
509.103,-2.147,218.695,179.9834,20.2127,1.6953
509.317,-2.16,218.555,179.983,20.2129,1.6959
509.608,-2.166,218.368,179.9841,20.2125,1.6948
509.87,-2.173,218.186,179.9836,20.2137,1.6961
510.112,-2.186,218.026,179.9836,20.2139,1.6947
510.382,-2.2,217.859,179.9831,20.2126,1.6952
510.6,-2.199,217.711,179.9842,20.2124,1.6948
510.882,-2.213,217.522,179.9838,20.2131,1.6954
511.155,-2.227,217.35,179.9833,20.2125,1.696
511.369,-2.24,217.209,179.9833,20.2128,1.6946
511.655,-2.246,217.012,179.984,20.2131,1.6955
511.879,-2.253,216.867,179.984,20.2131,1.6948
512.141,-2.266,216.698,179.9835,20.2128,1.6954
512.43,-2.28,216.51,179.9835,20.2124,1.6939
512.654,-2.286,216.365,179.9841,20.2124,1.6948
512.936,-2.299,216.175,179.9841,20.213,1.6934
513.156,-2.306,216.034,179.9836,20.2122,1.6947
513.445,-2.32,215.846,179.9832,20.2119,1.6953
513.661,-2.32,215.699,179.9843,20.2128,1.6949
513.929,-2.333,215.517,179.9838,20.213,1.6955
514.15,-2.347,215.376,179.9838,20.2122,1.6941
514.434,-2.36,215.194,179.9834,20.2122,1.6946
514.657,-2.367,215.048,179.9834,20.2121,1.6939
514.946,-2.374,214.859,179.984,20.2117,1.6948
515.209,-2.387,214.684,179.984,20.2122,1.6934
515.432,-2.395,214.538,179.9835,20.2122,1.6947
515.713,-2.408,214.347,179.9836,20.2128,1.6933
516.001,-2.414,214.157,179.9842,20.2124,1.6941
516.223,-2.428,214.01,179.9837,20.2124,1.6947
516.484,-2.441,213.84,179.9837,20.2121,1.6933
516.706,-2.449,213.693,179.9832,20.2121,1.6946
516.993,-2.455,213.506,179.9844,20.2128,1.6935
517.253,-2.469,213.335,179.9839,20.2125,1.6941
517.475,-2.476,213.188,179.9839,20.2125,1.6934
517.762,-2.49,212.997,179.9834,20.2121,1.694
517.987,-2.503,212.859,179.9834,20.2114,1.6925
518.25,-2.503,212.683,179.984,20.2118,1.6941
518.492,-2.517,212.514,179.9841,20.2128,1.6927
518.775,-2.531,212.331,179.9836,20.2127,1.6933
518.996,-2.538,212.183,179.9836,20.2127,1.6926
519.259,-2.545,212.007,179.9842,20.2131,1.6934
519.549,-2.559,211.825,179.9837,20.2121,1.694
519.77,-2.572,211.677,179.9837,20.2121,1.6926
520.035,-2.58,211.509,179.9833,20.2118,1.6939
520.257,-2.586,211.361,179.9844,20.2118,1.6928
520.542,-2.6,211.172,179.9839,20.2125,1.6934
520.763,-2.607,211.023,179.9839,20.2125,1.6926
521.045,-2.621,210.839,179.9835,20.2124,1.6932
521.266,-2.634,210.69,179.9835,20.2124,1.6918
521.531,-2.635,210.522,179.9841,20.2121,1.6934
521.819,-2.649,210.325,179.9841,20.2125,1.692
522.044,-2.663,210.185,179.9836,20.2118,1.6925
522.305,-2.67,210.007,179.9836,20.2123,1.6918
522.586,-2.677,209.822,179.9843,20.2122,1.6927
522.813,-2.691,209.677,179.9838,20.2123,1.6933
523.074,-2.698,209.499,179.9838,20.2127,1.6926
523.298,-2.712,209.359,179.9833,20.212,1.6931
523.579,-2.718,209.173,179.9844,20.2119,1.692
523.87,-2.733,208.984,179.9839,20.2116,1.6926
524.09,-2.74,208.834,179.9839,20.2116,1.6919
524.357,-2.754,208.66,179.9835,20.2121,1.6925
524.573,-2.761,208.518,179.9835,20.2124,1.6917
524.861,-2.768,208.333,179.9841,20.2113,1.6926
525.083,-2.776,208.178,179.9841,20.2121,1.6919
525.347,-2.79,208.008,179.9836,20.2119,1.6925
525.63,-2.804,207.817,179.9837,20.2126,1.6911
525.853,-2.804,207.675,179.9843,20.2118,1.6926
526.116,-2.818,207.505,179.9843,20.2116,1.6912
526.338,-2.832,207.35,179.9838,20.2123,1.6918
526.622,-2.84,207.172,179.9838,20.2116,1.691
526.847,-2.854,207.025,179.9833,20.2116,1.6916
527.13,-2.86,206.833,179.9845,20.2123,1.6905
527.393,-2.868,206.662,179.984,20.2121,1.6918
527.615,-2.882,206.521,179.984,20.2114,1.6903
527.905,-2.897,206.329,179.9835,20.2111,1.6909
528.17,-2.897,206.153,179.9841,20.2116,1.6925
528.385,-2.911,206.01,179.9841,20.2119,1.6911
528.675,-2.925,205.818,179.9837,20.2116,1.6916
528.892,-2.933,205.67,179.9837,20.2126,1.6909
529.185,-2.947,205.487,179.9832,20.2116,1.6915
529.447,-2.954,205.315,179.9843,20.2113,1.6903
529.669,-2.962,205.173,179.9838,20.2106,1.6916
529.953,-2.976,204.974,179.9839,20.2121,1.6902
530.175,-2.984,204.831,179.9834,20.2114,1.6915
530.439,-2.99,204.654,179.9845,20.2119,1.6903
530.724,-3.005,204.469,179.984,20.2119,1.6909
530.946,-3.012,204.326,179.984,20.2112,1.6902
531.21,-3.027,204.149,179.9835,20.2117,1.6908
531.424,-3.034,204.005,179.9835,20.212,1.6901
531.716,-3.042,203.82,179.9841,20.211,1.6909
531.932,-3.049,203.671,179.9842,20.2121,1.6902
532.156,-3.064,203.522,179.9837,20.2121,1.6908
532.44,-3.078,203.337,179.9837,20.2121,1.6894
532.661,-3.078,203.193,179.9843,20.2114,1.6909
532.929,-3.092,203.024,179.9843,20.2112,1.6895
533.209,-3.101,202.829,179.9839,20.2119,1.6907
533.476,-3.115,202.659,179.9839,20.2117,1.6893
533.699,-3.123,202.51,179.9834,20.2118,1.6906
533.92,-3.129,202.366,179.9845,20.2111,1.6894
534.206,-3.144,202.175,179.984,20.2118,1.69
534.489,-3.152,201.988,179.984,20.2119,1.6893
534.713,-3.167,201.839,179.9836,20.2119,1.6899
534.996,-3.167,201.652,179.9846,20.2119,1.6894
535.223,-3.182,201.511,179.9842,20.2113,1.69
535.485,-3.196,201.332,179.9842,20.2118,1.6886
535.768,-3.204,201.145,179.9837,20.2118,1.6898
535.995,-3.218,201.004,179.9837,20.2111,1.6884
536.257,-3.219,200.824,179.9843,20.2116,1.6899
536.473,-3.233,200.687,179.9843,20.2112,1.6885
536.766,-3.242,200.495,179.9838,20.211,1.6898
537.032,-3.257,200.324,179.9834,20.2108,1.6904
537.267,-3.263,200.165,179.9845,20.2114,1.6892
537.529,-3.272,199.985,179.984,20.2119,1.6905
537.755,-3.286,199.843,179.984,20.2112,1.6891
538.039,-3.294,199.65,179.9836,20.212,1.6903
538.305,-3.309,199.478,179.9836,20.2118,1.6889
538.528,-3.309,199.342,179.9846,20.2104,1.6884
538.812,-3.324,199.148,179.9842,20.2112,1.689
539.077,-3.339,198.976,179.9837,20.211,1.6896
539.299,-3.346,198.825,179.9837,20.211,1.6889
539.587,-3.362,198.64,179.9832,20.2111,1.6894
539.852,-3.362,198.468,179.9843,20.2109,1.689
540.133,-3.377,198.278,179.9839,20.2109,1.6895
540.358,-3.385,198.136,179.9838,20.2103,1.6888
540.642,-3.4,197.941,179.9834,20.2111,1.6894
540.929,-3.407,197.756,179.9845,20.2111,1.6882
541.154,-3.415,197.613,179.984,20.2105,1.6895
541.415,-3.43,197.431,179.984,20.211,1.6881
541.702,-3.445,197.245,179.9835,20.2111,1.6886
541.919,-3.453,197.101,179.9836,20.2114,1.6879
542.183,-3.454,196.927,179.9842,20.2112,1.6894
542.408,-3.468,196.784,179.9841,20.2106,1.688
542.695,-3.483,196.598,179.9837,20.2107,1.6886
542.908,-3.491,196.444,179.9837,20.2117,1.6879
543.202,-3.499,196.258,179.9843,20.2108,1.6887
543.458,-3.507,196.083,179.9843,20.2116,1.6879
543.682,-3.522,195.94,179.9839,20.211,1.6885
543.968,-3.53,195.752,179.9838,20.211,1.6878
544.113,-3.537,195.655,179.9838,20.2109,1.6871
544.113,-3.537,195.655,179.9838,20.2109,1.6871
544.376,-3.553,195.481,179.9834,20.2107,1.6877
544.662,-3.561,195.293,179.9834,20.2108,1.6869
544.879,-3.568,195.148,179.984,20.2112,1.6877
545.172,-3.577,194.961,179.984,20.2102,1.687
545.391,-3.591,194.811,179.9835,20.2114,1.6876
545.654,-3.6,194.636,179.9835,20.2112,1.6869
545.874,-3.607,194.499,179.9841,20.2108,1.6877
546.159,-3.615,194.311,179.9841,20.2109,1.6869
546.425,-3.631,194.131,179.9837,20.2115,1.6875
546.648,-3.639,193.986,179.9837,20.2108,1.6868
546.933,-3.654,193.797,179.9832,20.2109,1.6874
547.149,-3.654,193.651,179.9843,20.2113,1.6869
547.418,-3.67,193.48,179.9838,20.2111,1.6874
547.702,-3.678,193.291,179.9838,20.2112,1.6867
547.926,-3.693,193.145,179.9834,20.2106,1.6873
548.21,-3.694,192.956,179.9844,20.2106,1.6868
548.432,-3.709,192.813,179.984,20.2111,1.6874
548.694,-3.717,192.637,179.984,20.2109,1.6866
548.981,-3.733,192.442,179.9835,20.2117,1.6872
549.207,-3.741,192.306,179.9835,20.2104,1.6865
549.464,-3.749,192.123,179.9842,20.212,1.6873
549.691,-3.757,191.986,179.9841,20.2106,1.6866
549.975,-3.772,191.796,179.9837,20.2107,1.6871
550.265,-3.781,191.61,179.9837,20.2108,1.6864
550.48,-3.789,191.462,179.9843,20.2112,1.6872
550.747,-3.797,191.289,179.9843,20.2111,1.6865
550.962,-3.805,191.142,179.9838,20.2114,1.6877
551.25,-3.82,190.96,179.9838,20.2108,1.6863
551.474,-3.829,190.808,179.9833,20.2109,1.6876
551.742,-3.837,190.635,179.9844,20.2108,1.6864
552.025,-3.852,190.444,179.984,20.2109,1.6869
552.246,-3.86,190.299,179.984,20.2113,1.6862
552.51,-3.869,190.131,179.9835,20.2104,1.6875
552.727,-3.876,189.977,179.9846,20.2115,1.6863
553.014,-3.885,189.795,179.9841,20.2109,1.6875
553.234,-3.9,189.65,179.9841,20.2113,1.6861
553.517,-3.909,189.458,179.9837,20.2114,1.6874
553.745,-3.917,189.315,179.9836,20.2108,1.6867
554.011,-3.926,189.14,179.9842,20.2107,1.6874
554.298,-3.941,188.957,179.9842,20.2101,1.686
554.514,-3.949,188.803,179.9838,20.2112,1.6873
554.784,-3.958,188.637,179.9838,20.2104,1.6866
554.998,-3.973,188.488,179.9833,20.2108,1.6871
555.286,-3.974,188.299,179.9844,20.2109,1.6866
555.552,-3.99,188.124,179.9839,20.2108,1.6872
555.792,-3.998,187.97,179.9839,20.2107,1.6865
556.058,-4.014,187.794,179.9834,20.2106,1.687
556.278,-4.015,187.649,179.9845,20.211,1.6865
556.566,-4.031,187.459,179.9841,20.2111,1.6871
556.779,-4.039,187.31,179.9841,20.2115,1.6864
557.048,-4.048,187.143,179.9836,20.2107,1.6876
557.336,-4.063,186.953,179.9836,20.2108,1.6862
557.555,-4.064,186.806,179.9842,20.2112,1.6877
557.821,-4.08,186.63,179.9842,20.2111,1.6862
558.108,-4.089,186.44,179.9838,20.2113,1.6875
558.347,-4.104,186.285,179.9838,20.2112,1.6861
558.612,-4.106,186.108,179.9844,20.2111,1.6875
558.831,-4.114,185.962,179.9844,20.2115,1.6868
559.118,-4.13,185.771,179.9839,20.2116,1.6874
559.335,-4.138,185.629,179.9839,20.2113,1.6867
559.606,-4.154,185.456,179.9834,20.2113,1.6872
559.89,-4.155,185.27,179.9845,20.2106,1.6867
560.109,-4.171,185.123,179.984,20.211,1.6873
560.395,-4.179,184.932,179.984,20.2112,1.6865
560.614,-4.188,184.784,179.9836,20.2116,1.6878
560.882,-4.204,184.616,179.9835,20.2108,1.6864
561.123,-4.205,184.454,179.9842,20.2115,1.6878
561.349,-4.22,184.308,179.9842,20.2109,1.6864
561.635,-4.23,184.116,179.9837,20.2111,1.6877
561.857,-4.238,183.977,179.9837,20.2108,1.687
562.114,-4.247,183.798,179.9843,20.2117,1.6877
562.343,-4.255,183.66,179.9843,20.2104,1.687
562.671,-4.271,183.445,179.9838,20.2103,1.6875
562.889,-4.28,183.297,179.9838,20.2107,1.6868
563.107,-4.289,183.148,179.9834,20.2112,1.6881
563.437,-4.297,182.928,179.9845,20.2118,1.6869
563.662,-4.306,182.78,179.984,20.2112,1.6881
563.904,-4.321,182.632,179.9839,20.2104,1.6867
564.169,-4.331,182.448,179.9835,20.2111,1.688
564.391,-4.339,182.308,179.9835,20.2108,1.6872
564.676,-4.348,182.114,179.9841,20.211,1.688
564.898,-4.356,181.974,179.9841,20.2107,1.6872
565.157,-4.372,181.803,179.9836,20.2109,1.6878
565.446,-4.381,181.618,179.9836,20.2103,1.6871
565.665,-4.383,181.463,179.9843,20.2115,1.6885
565.932,-4.399,181.292,179.9842,20.2107,1.6871
566.153,-4.408,181.152,179.9838,20.2104,1.6884
566.438,-4.423,180.958,179.9838,20.2106,1.6869
566.721,-4.433,180.766,179.9833,20.2118,1.6882
566.949,-4.434,180.626,179.9844,20.2105,1.6876
567.208,-4.45,180.454,179.9839,20.2107,1.6882
567.425,-4.458,180.304,179.9839,20.2111,1.6875
567.715,-4.475,180.112,179.9835,20.2113,1.6881
567.936,-4.483,179.971,179.9834,20.2111,1.6873
568.202,-4.485,179.8,179.9845,20.2102,1.6868
568.485,-4.501,179.607,179.9841,20.2114,1.6873
568.705,-4.51,179.465,179.984,20.2112,1.6866
568.973,-4.519,179.288,179.9836,20.2111,1.6879
569.216,-4.535,179.132,179.9836,20.2111,1.6864
569.481,-4.537,178.959,179.9841,20.2103,1.6879
569.704,-4.545,178.812,179.9842,20.2108,1.6871
569.984,-4.562,178.624,179.9837,20.2112,1.6877
570.251,-4.57,178.446,179.9837,20.2112,1.687
570.471,-4.572,178.304,179.9843,20.2109,1.6884
570.758,-4.588,178.117,179.9843,20.2103,1.687
570.981,-4.597,177.969,179.9838,20.2108,1.6883
571.238,-4.613,177.794,179.9838,20.211,1.6868
571.531,-4.623,177.61,179.9833,20.2106,1.6881
571.751,-4.624,177.468,179.9844,20.2103,1.6875
572.04,-4.641,177.274,179.9839,20.2105,1.6881
572.26,-4.649,177.132,179.9839,20.2102,1.6873
572.519,-4.659,176.951,179.9835,20.2112,1.6886
572.738,-4.674,176.808,179.9835,20.2109,1.6872
573.031,-4.677,176.623,179.9841,20.2104,1.6886
573.251,-4.685,176.48,179.984,20.2101,1.6879
573.531,-4.701,176.285,179.9841,20.2113,1.6865
573.802,-4.711,176.114,179.9836,20.2106,1.6877
574.021,-4.719,175.971,179.9836,20.2103,1.687
574.302,-4.729,175.775,179.9842,20.2115,1.6877
574.521,-4.737,175.632,179.9842,20.2113,1.687
574.813,-4.754,175.446,179.9837,20.2108,1.6875
575.032,-4.763,175.302,179.9837,20.2105,1.6868
575.295,-4.765,175.129,179.9843,20.2107,1.6882
575.582,-4.781,174.934,179.9843,20.211,1.6868
575.808,-4.791,174.794,179.9838,20.2108,1.6881
576.066,-4.799,174.612,179.9839,20.2117,1.6873
576.289,-4.809,174.477,179.9834,20.2108,1.6886
576.576,-4.818,174.281,179.9844,20.2109,1.6873
576.838,-4.827,174.107,179.984,20.2112,1.6886
577.061,-4.836,173.972,179.9839,20.2102,1.6878
