X,Y,Z,Rx,Ry,Rz,time
485.26,-1.22,234.321,179.9831,20.2254,1.6933,0.0
485.26,-1.22,234.321,179.9831,20.2254,1.6933,63.6
485.267,-1.22,234.322,179.983,20.2244,1.6933,114.7
485.267,-1.22,234.322,179.983,20.2244,1.6933,166.4
485.275,-1.22,234.323,179.983,20.2234,1.6933,218.0
485.282,-1.22,234.324,179.9834,20.2223,1.6913,269.3
485.289,-1.22,234.325,179.9834,20.2213,1.6913,320.4
485.289,-1.22,234.325,179.9834,20.2213,1.6913,372.2
485.297,-1.22,234.327,179.9834,20.2203,1.6913,422.6
485.304,-1.22,234.328,179.9833,20.2193,1.6912,473.7
485.304,-1.22,234.328,179.9833,20.2193,1.6912,524.7
485.312,-1.22,234.329,179.9833,20.2182,1.6912,574.9
485.319,-1.219,234.33,179.9837,20.2172,1.6892,625.0
485.319,-1.213,234.33,179.9837,20.2172,1.6899,676.7
485.327,-1.213,234.331,179.9837,20.2162,1.6899,727.7
485.334,-1.213,234.333,179.9837,20.2152,1.6899,779.5
485.334,-1.213,234.333,179.9837,20.2152,1.6899,830.9
485.342,-1.213,234.334,179.9836,20.2142,1.6899,881.5
485.349,-1.213,234.335,179.9836,20.2131,1.6899,933.0
485.349,-1.213,234.335,179.9841,20.2131,1.6879,983.8
485.356,-1.213,234.336,179.984,20.2121,1.6879,1033.9
485.364,-1.213,234.338,179.984,20.2111,1.6879,1085.5
485.364,-1.213,234.338,179.984,20.2111,1.6879,1137.0
485.364,-1.213,234.338,179.984,20.2111,1.6879,1188.2
485.371,-1.213,234.339,179.984,20.2101,1.6878,1239.8
485.368,-1.211,234.33,179.9851,20.2107,1.6875,1290.8
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1342.1
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1393.2
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1448.3
485.386,-1.212,234.328,179.9846,20.2095,1.6895,1498.8
485.383,-1.217,234.319,179.9846,20.2102,1.6888,1550.0
485.394,-1.21,234.316,179.9857,20.2099,1.6891,1601.4
485.394,-1.21,234.316,179.9857,20.2099,1.6891,1652.3
485.394,-1.21,234.316,179.9857,20.2099,1.6891,1702.3
485.401,-1.21,234.317,179.9857,20.2089,1.6891,1753.3
485.398,-1.216,234.308,179.9857,20.2096,1.6884,1803.5
485.409,-1.209,234.305,179.9863,20.2093,1.6908,1854.6
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1904.7
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1956.1
485.413,-1.215,234.298,179.9863,20.209,1.6901,2007.4
485.413,-1.215,234.298,179.9863,20.209,1.6901,2060.0
485.421,-1.221,234.299,179.9863,20.208,1.6894,2111.6
485.429,-1.214,234.287,179.9869,20.2084,1.6917,2163.4
485.443,-1.22,234.289,179.9869,20.2064,1.691,2215.4
485.451,-1.218,234.277,179.988,20.2068,1.6906,2266.2
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2316.5
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2366.7
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2421.5
485.466,-1.217,234.266,179.9886,20.2062,1.6923,2473.1
485.481,-1.218,234.269,179.9881,20.2042,1.6942,2524.3
485.489,-1.216,234.257,179.9892,20.2046,1.6939,2576.2
485.493,-1.222,234.249,179.9892,20.2043,1.6932,2627.1
485.504,-1.215,234.246,179.9903,20.204,1.6935,2678.3
485.508,-1.221,234.238,179.9898,20.2037,1.6948,2729.2
485.516,-1.214,234.239,179.9909,20.2026,1.6951,2780.3
485.516,-1.214,234.239,179.9909,20.2026,1.6951,2831.6
485.523,-1.214,234.241,179.9908,20.2016,1.6951,2883.2
485.531,-1.213,234.229,179.9915,20.2021,1.6968,2934.2
485.546,-1.219,234.218,179.9915,20.2015,1.6961,2984.9
485.558,-1.218,234.212,179.9921,20.2001,1.6977,3035.9
485.565,-1.216,234.199,179.9932,20.2006,1.6973,3087.0
485.583,-1.223,234.197,179.9927,20.1993,1.6986,3138.3
485.598,-1.221,234.187,179.9937,20.1987,1.6983,3189.5
485.61,-1.219,234.18,179.9948,20.1973,1.6979,3241.3
485.61,-1.219,234.18,179.9948,20.1973,1.6979,3294.0
485.618,-1.219,234.181,179.9948,20.1963,1.6979,3344.6
485.633,-1.219,234.171,179.9954,20.1957,1.6995,3396.8
485.645,-1.223,234.151,179.996,20.1958,1.7004,3446.9
485.66,-1.222,234.14,179.9971,20.1952,1.7001,3497.8
485.682,-1.221,234.131,179.9977,20.1936,1.7017,3550.2
485.698,-1.226,234.12,179.9983,20.1931,1.7026,3601.3
485.72,-1.224,234.11,179.9994,20.1914,1.7023,3652.9
485.735,-1.223,234.099,180.0,20.1908,1.7039,3704.2
485.75,-1.23,234.089,179.9995,20.1903,1.7052,3754.5
485.75,-1.23,234.089,179.9995,20.1903,1.7052,3806.6
485.758,-1.228,234.077,-179.9994,20.1907,1.7048,3857.8
485.788,-1.233,234.068,-179.9988,20.1881,1.7057,3907.9
485.807,-1.232,234.05,-179.9982,20.1872,1.7074,3958.0
485.837,-1.23,234.028,-179.9965,20.186,1.7086,4009.1
485.86,-1.235,234.019,-179.9959,20.1844,1.7096,4060.1
485.887,-1.232,234.001,-179.9943,20.1824,1.7108,4110.1
485.917,-1.23,233.98,-179.9926,20.1813,1.7121,4161.5
485.936,-1.235,233.961,-179.992,20.1803,1.713,4211.5
485.967,-1.239,233.94,-179.9914,20.1792,1.7139,4262.5
485.974,-1.238,233.941,-179.9903,20.1781,1.7136,4313.5
485.974,-1.238,233.941,-179.9903,20.1781,1.7136,4365.9
486.001,-1.243,233.924,-179.9897,20.1762,1.7145,4418.2
