X,Y,Z,Rx,Ry,Rz,time
485.267,-1.227,234.322,179.9829,20.2244,1.689,0.0
485.274,-1.227,234.323,179.9828,20.2234,1.689,100.9
485.282,-1.227,234.324,179.9828,20.2223,1.6889,202.7
485.297,-1.227,234.327,179.9827,20.2203,1.6889,304.9
485.304,-1.227,234.328,179.9827,20.2193,1.6889,406.1
485.312,-1.219,234.329,179.9838,20.2182,1.6892,506.9
485.327,-1.213,234.331,179.9842,20.2162,1.6879,609.4
485.334,-1.213,234.333,179.9841,20.2152,1.6879,710.3
485.341,-1.213,234.334,179.9841,20.2141,1.6879,811.9
485.356,-1.213,234.336,179.984,20.2121,1.6879,913.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1014.8
485.364,-1.213,234.338,179.984,20.2111,1.6879,1117.2
485.371,-1.218,234.339,179.984,20.2101,1.6872,1219.0
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1321.6
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1423.8
485.383,-1.217,234.319,179.9846,20.2102,1.6888,1526.4
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1628.7
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1730.8
485.406,-1.216,234.31,179.9857,20.2086,1.6884,1833.4
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1934.3
485.421,-1.215,234.299,179.9863,20.208,1.6901,2037.0
485.421,-1.215,234.299,179.9863,20.208,1.6901,2138.3
485.436,-1.214,234.288,179.9869,20.2074,1.6917,2240.1
485.451,-1.212,234.277,179.988,20.2068,1.6913,2342.8
485.466,-1.217,234.266,179.9886,20.2062,1.6923,2444.4
485.474,-1.217,234.267,179.9886,20.2052,1.6922,2545.5
485.496,-1.222,234.258,179.9891,20.2036,1.6932,2646.7
485.519,-1.214,234.235,179.9909,20.2034,1.6951,2747.9
485.546,-1.219,234.218,179.9915,20.2015,1.6961,2849.7
485.553,-1.225,234.219,179.9914,20.2005,1.6954,2950.9
485.576,-1.224,234.209,179.992,20.1989,1.697,3053.0
485.598,-1.221,234.187,179.9937,20.1987,1.6983,3155.7
485.625,-1.226,234.169,179.9943,20.1968,1.6992,3256.8
485.645,-1.223,234.151,179.996,20.1958,1.7004,3358.3
485.655,-1.223,234.148,179.996,20.1956,1.7004,3460.9
485.693,-1.227,234.127,179.9977,20.1934,1.701,3562.2
485.74,-1.223,234.092,180.0,20.1905,1.7039,3664.7
485.785,-1.233,234.059,-179.9988,20.1888,1.7057,3767.2
485.822,-1.23,234.039,-179.9965,20.1866,1.7086,3868.4
485.822,-1.23,234.039,-179.9965,20.1866,1.7086,3971.1
485.864,-1.234,234.011,-179.9953,20.1841,1.7112,4072.2
485.917,-1.235,233.98,-179.9926,20.1813,1.7114,4174.1
485.967,-1.238,233.94,-179.9903,20.1792,1.7136,4276.0
486.019,-1.234,233.909,-179.988,20.1764,1.7164,4378.2
486.054,-1.239,233.893,-179.9874,20.1734,1.7174,4480.0
486.081,-1.237,233.875,-179.9858,20.1715,1.7186,4582.5
486.148,-1.246,233.833,-179.984,20.1681,1.7221,4683.5
486.213,-1.247,233.783,-179.9806,20.1654,1.7239,4785.3
486.281,-1.248,233.741,-179.9777,20.162,1.7277,4886.6
486.335,-1.257,233.693,-179.9759,20.1596,1.7312,4989.2
486.342,-1.257,233.694,-179.9759,20.1586,1.7312,5090.3
486.407,-1.259,233.643,-179.973,20.1559,1.735,5191.3
486.497,-1.259,233.592,-179.969,20.1509,1.7384,5293.3
486.573,-1.259,233.535,-179.9651,20.1469,1.7418,5396.3
486.664,-1.266,233.483,-179.9622,20.1419,1.7449,5498.6
486.758,-1.265,233.424,-179.9572,20.1365,1.748,5600.1
486.785,-1.27,233.407,-179.9566,20.1346,1.7489,5702.0
486.865,-1.27,233.345,-179.9527,20.1313,1.7523,5804.7
486.959,-1.276,233.286,-179.9492,20.126,1.757,5906.8
487.061,-1.282,233.215,-179.9446,20.1211,1.7613,6007.6
487.163,-1.288,233.157,-179.9412,20.1148,1.766,6110.4
487.265,-1.287,233.085,-179.9366,20.1099,1.771,6212.2
487.375,-1.293,233.015,-179.9321,20.1039,1.7754,6314.1
487.425,-1.295,232.975,-179.9298,20.1018,1.7775,6416.7
487.492,-1.297,232.933,-179.9269,20.0984,1.7813,6519.0
487.614,-1.301,232.857,-179.9214,20.0912,1.7852,6620.7
487.743,-1.305,232.769,-179.9163,20.0843,1.7911,6723.0
487.878,-1.309,232.684,-179.9111,20.0775,1.797,6824.5
488.007,-1.313,232.596,-179.9054,20.0707,1.8046,6927.2
488.135,-1.323,232.508,-179.9003,20.0638,1.8098,7028.6
488.248,-1.323,232.446,-179.8958,20.0572,1.8147,7130.3
488.27,-1.322,232.437,-179.8952,20.0556,1.8163,7232.5
488.392,-1.333,232.347,-179.8901,20.0497,1.8215,7334.8
488.554,-1.335,232.246,-179.8833,20.041,1.8286,7437.2
488.713,-1.343,232.136,-179.8766,20.0329,1.835,7538.5
488.871,-1.345,232.039,-179.8698,20.0234,1.8421,7640.4
489.05,-1.359,231.911,-179.8625,20.0144,1.8494,7742.3
489.211,-1.361,231.81,-179.8557,20.0056,1.8565,7843.1
489.363,-1.37,231.698,-179.8489,19.9986,1.8629,7945.8
489.412,-1.38,231.672,-179.8478,19.995,1.8646,8047.4
489.566,-1.383,231.569,-179.8411,19.9873,1.8717,8149.4
489.765,-1.389,231.448,-179.8327,19.9763,1.8793,8251.1
489.951,-1.396,231.321,-179.8248,19.9662,1.8888,8353.2
490.14,-1.404,231.189,-179.8175,19.957,1.8967,8454.5
490.358,-1.408,231.049,-179.8075,19.945,1.9054,8556.5
490.55,-1.423,230.926,-179.8007,19.935,1.9146,8657.3
490.73,-1.431,230.806,-179.7929,19.9253,1.9205,8761.0
490.792,-1.433,230.76,-179.7901,19.9218,1.9242,8861.8
490.973,-1.441,230.641,-179.7828,19.9121,1.9321,8963.4
491.198,-1.446,230.489,-179.7733,19.9005,1.9427,9065.9
491.432,-1.458,230.338,-179.7638,19.888,1.9526,9167.4
491.657,-1.463,230.186,-179.7538,19.8764,1.9613,9269.1
491.883,-1.469,230.047,-179.7444,19.8634,1.9718,9371.0
492.108,-1.48,229.895,-179.7349,19.8518,1.9817,9473.2
492.334,-1.494,229.743,-179.7265,19.8402,1.992,9575.6
492.465,-1.492,229.663,-179.7205,19.8326,1.998,9677.1
492.619,-1.496,229.561,-179.7138,19.8247,2.0049,9779.5
492.879,-1.513,229.393,-179.7039,19.8102,2.0155,9882.4
493.141,-1.518,229.221,-179.6928,19.7963,2.0272,9984.8
493.393,-1.528,229.052,-179.6817,19.7827,2.0381,10085.8
493.663,-1.539,228.867,-179.6707,19.7693,2.0491,10187.5
493.923,-1.55,228.699,-179.6597,19.7547,2.0599,10290.0
494.2,-1.56,228.516,-179.6481,19.7402,2.0724,10390.9
494.417,-1.568,228.376,-179.6394,19.7281,2.0812,10493.4
494.455,-1.572,228.356,-179.6378,19.7258,2.0816,10596.0
494.695,-1.578,228.193,-179.6278,19.7136,2.0936,10698.7
494.991,-1.588,227.991,-179.6157,19.6981,2.1075,10801.0
495.317,-1.61,227.781,-179.6026,19.68,2.1196,10902.4
495.631,-1.619,227.578,-179.5895,19.6632,2.133,11003.7
495.93,-1.63,227.385,-179.5775,19.647,2.1468,11105.5
496.233,-1.647,227.185,-179.5655,19.6304,2.1599,11207.6
496.532,-1.65,226.979,-179.5524,19.6156,2.174,11310.4
496.831,-1.667,226.786,-179.5399,19.5994,2.185,11412.2
496.966,-1.675,226.699,-179.5356,19.5914,2.1925,11513.4
497.209,-1.682,226.545,-179.5253,19.5783,2.2022,11614.3
497.556,-1.698,226.312,-179.5112,19.5599,2.2179,11716.1
497.933,-1.712,226.058,-179.4954,19.5402,2.2346,11817.6
498.284,-1.727,225.834,-179.4809,19.521,2.2481,11918.6
498.631,-1.744,225.601,-179.4669,19.5025,2.2636,12020.1
499.0,-1.753,225.359,-179.4519,19.4823,2.2793,12121.2
499.353,-1.763,225.13,-179.4368,19.4638,2.295,12222.0
499.7,-1.78,224.898,-179.4228,19.4452,2.3104,12323.2
500.05,-1.797,224.674,-179.4084,19.426,2.3237,12424.4
500.247,-1.801,224.539,-179.3998,19.4161,2.3329,12527.7
