X,Y,Z,Rx,Ry,Rz
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.211,1.6879
485.365,-1.213,234.337,179.9841,20.211,1.688
485.366,-1.213,234.337,179.9841,20.211,1.688
485.366,-1.213,234.337,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.2109,1.688
485.368,-1.213,234.335,179.9842,20.2109,1.6881
485.369,-1.213,234.335,179.9842,20.2109,1.6881
485.369,-1.213,234.334,179.9842,20.2108,1.6881
485.37,-1.213,234.334,179.9843,20.2108,1.6882
485.371,-1.213,234.333,179.9843,20.2107,1.6882
485.372,-1.213,234.333,179.9843,20.2107,1.6883
485.374,-1.213,234.332,179.9844,20.2106,1.6883
485.375,-1.213,234.331,179.9845,20.2105,1.6884
485.376,-1.213,234.33,179.9845,20.2105,1.6884
485.378,-1.214,234.329,179.9846,20.2104,1.6885
485.379,-1.214,234.328,179.9846,20.2103,1.6886
485.381,-1.214,234.327,179.9847,20.2102,1.6886
485.383,-1.214,234.326,179.9848,20.2101,1.6887
485.385,-1.214,234.324,179.9849,20.21,1.6888
485.387,-1.214,234.323,179.985,20.2099,1.6889
485.389,-1.214,234.321,179.9851,20.2097,1.689
485.392,-1.214,234.32,179.9852,20.2096,1.6891
485.394,-1.214,234.318,179.9853,20.2095,1.6892
485.397,-1.214,234.316,179.9854,20.2093,1.6894
485.4,-1.214,234.314,179.9855,20.2092,1.6895
485.403,-1.215,234.312,179.9856,20.209,1.6896
485.406,-1.215,234.31,179.9858,20.2088,1.6898
485.41,-1.215,234.308,179.9859,20.2087,1.6899
485.413,-1.215,234.305,179.9861,20.2085,1.6901
485.417,-1.215,234.303,179.9862,20.2083,1.6902
485.421,-1.215,234.3,179.9864,20.2081,1.6904
485.425,-1.215,234.298,179.9866,20.2078,1.6906
485.43,-1.216,234.295,179.9867,20.2076,1.6908
485.434,-1.216,234.292,179.9869,20.2074,1.691
485.439,-1.216,234.289,179.9871,20.2071,1.6912
485.444,-1.216,234.286,179.9873,20.2069,1.6914
