X,Y,Z,Rx,Ry,Rz,time
485.356,-1.218,234.336,179.984,20.2121,1.6872,0
485.356,-1.218,234.336,179.984,20.2121,1.6872,64.5
485.364,-1.213,234.338,179.984,20.2111,1.6879,106.6
485.364,-1.213,234.338,179.984,20.2111,1.6879,147.9
485.364,-1.213,234.338,179.984,20.2111,1.6879,190.7
485.364,-1.213,234.338,179.984,20.2111,1.6879,254
485.364,-1.213,234.338,179.984,20.2111,1.6879,305.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,347.4
485.364,-1.213,234.338,179.984,20.2111,1.6879,393.6
485.364,-1.213,234.338,179.984,20.2111,1.6879,444
485.364,-1.213,234.338,179.984,20.2111,1.6879,493.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,544.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,592.6
485.364,-1.213,234.338,179.984,20.2111,1.6879,642.6
485.364,-1.213,234.338,179.984,20.2111,1.6879,694.8
485.364,-1.213,234.338,179.984,20.2111,1.6879,744.9
485.371,-1.213,234.339,179.984,20.2101,1.6878,786.9
485.371,-1.213,234.339,179.984,20.2101,1.6878,828.7
485.371,-1.213,234.339,179.984,20.2101,1.6878,883.4
485.371,-1.218,234.339,179.984,20.2101,1.6872,926.2
485.371,-1.218,234.339,179.984,20.2101,1.6872,973.7
485.371,-1.218,234.339,179.984,20.2101,1.6872,1015.5
485.374,-1.218,234.334,179.984,20.2108,1.6872,1058.3
485.374,-1.211,234.334,179.9851,20.2108,1.6875,1099.3
485.374,-1.211,234.334,179.9851,20.2108,1.6875,1154.7
485.374,-1.211,234.334,179.9851,20.2108,1.6875,1196.6
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1238
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1279.9
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1326.5
485.386,-1.212,234.328,179.9846,20.2095,1.6895,1369
485.386,-1.217,234.328,179.9846,20.2095,1.6888,1411.8
485.386,-1.217,234.328,179.9846,20.2095,1.6888,1452.8
485.386,-1.217,234.328,179.9846,20.2095,1.6888,1507.4
485.391,-1.217,234.32,179.9846,20.2092,1.6888,1550.2
485.394,-1.21,234.316,179.9857,20.2099,1.6891,1592.1
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1633.3
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1674.8
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1716.6
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1768.1
485.406,-1.216,234.31,179.9857,20.2086,1.6884,1810.7
485.409,-1.215,234.305,179.9863,20.2093,1.6901,1852.9
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1894.9
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1935.9
485.421,-1.215,234.299,179.9863,20.208,1.6901,1978.7
485.421,-1.215,234.299,179.9863,20.208,1.6901,2021.7
485.421,-1.215,234.299,179.9863,20.208,1.6901,2070.9
485.429,-1.213,234.287,179.9874,20.2084,1.6897,2112.2
485.436,-1.214,234.288,179.9869,20.2074,1.6917,2154.1
485.443,-1.22,234.289,179.9869,20.2064,1.691,2195.3
485.451,-1.218,234.277,179.988,20.2068,1.6906,2238.3
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2279.4
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2321.4
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2364.2
