S,L,U,R,B,T
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.4317268501890418e-05,-0.6775176721246551,-0.7170805019031273,5.2553336146970634e-05,-1.3341193674790615,0.01865589891747932
-1.4317268501890418e-05,-0.6775176721246551,-0.7170805019031273,5.2553336146970634e-05,-1.3341193674790615,0.01865589891747932
-1.5229866039184105e-05,-0.677516923993082,-0.7170813358030571,5.1528919205772844e-05,-1.3341168556170182,0.018657404980240943
-1.5229866039184105e-05,-0.677516923993082,-0.7170813358030571,5.1528919205772844e-05,-1.3341168556170182,0.018657404980240943
-1.6648845431704476e-05,-0.6775157607714214,-0.7170826324471192,4.993606612175578e-05,-1.3341129499762125,0.018659746735575588
-1.7582545925476326e-05,-0.6775149952548206,-0.717083485583047,4.888794173430911e-05,-1.3341103799908283,0.018661287645683575
-1.8683898257402305e-05,-0.6775140923675939,-0.7170844919670437,4.76516180649457e-05,-1.3341073485687274,0.018663105238059054
-1.9966449888685088e-05,-0.6775130409219632,-0.7170856639257117,4.621187902340089e-05,-1.334103818391894,0.018665221879881556
-2.1443685080779294e-05,-0.6775118298585229,-0.7170870137809692,4.455358297114644e-05,-1.3340997523398588,0.018667659830063774
-2.3129022873849985e-05,-0.677510448170105,-0.7170885537952782,4.266166024333684e-05,-1.3340951134702381,0.01867044124127236
-2.503581701099188e-05,-0.677508884901682,-0.7170902961715989,4.05211130580282e-05,-1.3340898650187518,0.018673588159999262
-2.7177355856733933e-05,-0.6775071291502461,-0.7170922530533346,3.811701542145233e-05,-1.3340839703992295,0.01867712252663663
-2.956686231234275e-05,-0.6775051700646894,-0.7170944365242807,3.543451302646348e-05,-1.3340773932036207,0.0186810661755568
-3.221749372600968e-05,-0.677502996845671,-0.7170968586085626,3.245882314664408e-05,-1.3340700972020043,0.018685440835196066
