S,L,U,R,B,T
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.4717167286470737e-05,-0.6775173443384999,-0.7170808673460871,5.210444134410073e-05,-1.3341182667997906,0.018656558868320128
-1.4717167286470737e-05,-0.6775173443384999,-0.7170808673460871,5.210444134410073e-05,-1.3341182667997906,0.018656558868320128
-1.6372516683465864e-05,-0.6775159873368937,-0.7170823799691954,5.024625880239033e-05,-1.3341137105666534,0.01865929070288927
-1.7582546746554235e-05,-0.6775149952876276,-0.7170834856066788,4.888794274327729e-05,-1.3341103799992293,0.018661287644859376
-1.9090616277079724e-05,-0.6775137589811,-0.7170848636429499,4.7195057555855194e-05,-1.3341062291076304,0.018663776454942823
-2.092881411245211e-05,-0.6775122520138962,-0.7170865433417495,4.5131566502421164e-05,-1.3341011695292067,0.01866681010753332
-2.312902569098459e-05,-0.6775104482330964,-0.7170885538401442,4.2661663645227826e-05,-1.334095113485756,0.018670441238536232
-2.5722930162516027e-05,-0.6775083216506754,-0.7170909240871943,3.9749770332130876e-05,-1.33408797376195,0.018674722148213713
-2.8742000051070453e-05,-0.6775058464430238,-0.7170936828437384,3.636053479753636e-05,-1.3340796637053773,0.01867970480149969
-3.2217500892285535e-05,-0.6775029969504239,-0.7170968586821573,3.245883173377199e-05,-1.3340700972265824,0.01868544082833781
-3.618049084669038e-05,-0.6774997476764903,-0.7171004799861265,2.8009761832983412e-05,-1.3340591887991062,0.018691981524043177
-4.0661820288573675e-05,-0.6774960732875727,-0.7171045749503459,2.297865130138086e-05,-1.3340468534595293,0.018699377849685762
-4.569213137201134e-05,-0.6774919486121297,-0.7171091715802609,1.7331051345491786e-05,-1.3340330068075195,0.01870768043249598
-5.130185757435896e-05,-0.6774873486400658,-0.7171142976917663,1.1032737631527875e-05,-1.3340175650058774,0.018716939566291568
-5.752122321772437e-05,-0.6774822485220391,-0.7171199809108946,4.049709718739523e-06,-1.3340004447805913,0.018727205211925516
