X,Y,Z,Rx,Ry,Rz,time
485.356,-1.225,234.336,179.9834,20.2121,1.6848,0
485.356,-1.225,234.336,179.9834,20.2121,1.6848,40.3
485.356,-1.225,234.336,179.9834,20.2121,1.6848,81.7
485.356,-1.225,234.336,179.9834,20.2121,1.6848,122.9
485.356,-1.225,234.336,179.9834,20.2121,1.6848,163.9
485.356,-1.225,234.336,179.9834,20.2121,1.6848,205.9
485.356,-1.225,234.336,179.9834,20.2121,1.6848,247.2
485.356,-1.225,234.336,179.9834,20.2121,1.6848,288.7
485.356,-1.225,234.336,179.9834,20.2121,1.6848,329.4
485.356,-1.225,234.336,179.9834,20.2121,1.6848,370.4
485.356,-1.225,234.336,179.9834,20.2121,1.6848,410.6
485.356,-1.225,234.336,179.9834,20.2121,1.6848,451
485.356,-1.225,234.336,179.9834,20.2121,1.6848,491.5
485.356,-1.225,234.336,179.9834,20.2121,1.6848,533.3
485.356,-1.225,234.336,179.9834,20.2121,1.6848,574.4
485.356,-1.225,234.336,179.9834,20.2121,1.6848,615.3
485.356,-1.225,234.336,179.9834,20.2121,1.6848,657.2
485.349,-1.231,234.335,179.9834,20.2131,1.6842,698.9
485.349,-1.231,234.335,179.9834,20.2131,1.6842,740.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,780.4
485.349,-1.231,234.335,179.9834,20.2131,1.6842,822.8
485.349,-1.231,234.335,179.9834,20.2131,1.6842,863.8
485.349,-1.231,234.335,179.9834,20.2131,1.6842,903.9
485.349,-1.231,234.335,179.9834,20.2131,1.6842,944.4
485.349,-1.231,234.335,179.9834,20.2131,1.6842,986.9
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1027.9
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1068.6
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1108.6
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1149.7
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1190.7
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1231.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1274.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1315.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1356.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1397.4
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1438.6
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1480.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1520.4
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1561.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1602.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1643.7
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1684.8
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1726
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1766.9
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1807.9
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1848.1
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1889
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1929.3
485.349,-1.231,234.335,179.9834,20.2131,1.6842,1969.4
485.349,-1.231,234.335,179.9834,20.2131,1.6842,2011.3
485.356,-1.218,234.336,179.984,20.2121,1.6872,2052.4
488.338,1.174,232.702,-179.6452,20.2315,2.2529,2092.5
492.676,4.61,230.327,-179.1055,20.2465,3.0689,2134.4
497.018,8.024,227.971,-178.5651,20.2441,3.8761,2176.3
500.501,10.724,226.096,-178.1339,20.2291,4.5126,2217.6
504.857,14.071,223.78,-177.5957,20.1951,5.3009,2258.2
509.216,17.366,221.472,-177.0605,20.1452,6.0773,2299.2
513.583,20.636,219.182,-176.5264,20.0787,6.8411,2340.4
517.957,23.857,216.908,-175.9971,19.996,7.5947,2381.3
522.351,27.036,214.646,-175.4705,19.897,8.3354,2422.4
528.506,31.42,211.519,-174.7409,19.732,9.3511,2462.5
531.594,33.579,209.967,-174.3796,19.6379,9.8482,2502.6
536.008,36.619,207.757,-173.869,19.4919,10.5488,2542.7
540.433,39.612,205.561,-173.3631,19.3312,11.2352,2583.9
546.203,43.434,202.724,-172.7157,19.101,12.1063,2624.5
550.658,46.32,200.569,-172.2246,18.9077,12.7585,2665
555.125,49.142,198.411,-171.7418,18.7026,13.3971,2705.3
559.601,51.924,196.271,-171.2656,18.4836,14.0216,2746.3
564.097,54.645,194.142,-170.7987,18.2514,14.6305,2786.3
568.6,57.32,192.024,-170.338,18.0081,15.2225,2826.4
573.117,59.93,189.916,-169.8864,17.7529,15.8003,2866.5
577.65,62.484,187.824,-169.4446,17.4862,16.3629,2907.8
582.194,64.986,185.733,-169.0106,17.209,16.91,2949.4
586.758,67.42,183.648,-168.5865,16.9213,17.4388,2990.5
591.334,69.794,181.565,-168.1707,16.6247,17.9535,3030
595.919,72.107,179.492,-167.7656,16.3183,18.4527,3071.3
600.525,74.364,177.434,-167.3689,16.0023,18.934,3112.3
605.14,76.555,175.372,-166.9822,15.678,19.4012,3153.6
609.777,78.667,173.311,-166.6069,15.3451,19.8513,3195.6
615.81,81.327,170.63,-166.1323,14.9027,20.4136,3236.7
620.483,83.297,168.583,-165.7794,14.5519,20.8275,3277.2
625.159,85.186,166.524,-165.4361,14.1968,21.2236,3317.6
629.851,87.019,164.459,-165.1023,13.8353,21.6064,3357.7
634.553,88.781,162.398,-164.779,13.4673,21.9733,3398.4
639.268,90.464,160.331,-164.4669,13.0944,22.3247,3440.2
644.009,92.071,158.272,-164.1641,12.7152,22.6574,3481.3
648.749,93.607,156.194,-163.8723,12.3329,22.9779,3522.9
653.501,95.075,154.113,-163.5897,11.946,23.2831,3563.8
658.264,96.46,152.02,-163.3173,11.5564,23.5714,3604.6
663.04,97.767,149.922,-163.0548,11.1625,23.8457,3645.7
