X,Y,Z,Rx,Ry,Rz
958.521,-37.126,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.117,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.107,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.098,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.089,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.08,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.07,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.061,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.052,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.042,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.033,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.024,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.014,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.005,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.996,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.987,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.977,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.968,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.959,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.949,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.94,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.931,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.921,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.912,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.903,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.894,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.884,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.875,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.866,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.856,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.847,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.838,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.828,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.819,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.81,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.801,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.791,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.782,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.773,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.763,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.754,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.745,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.735,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.726,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.717,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.708,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.698,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.689,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.68,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.67,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.661,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.652,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.642,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.633,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.624,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.615,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.605,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.596,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.587,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.577,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.568,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.559,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.549,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.54,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.531,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.522,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.512,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.503,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.494,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.484,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.475,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.466,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.456,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.447,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.438,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.429,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.419,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.41,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.401,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.391,-164.943,-165.2876,-7.1723,17.5191
