S,L,U,R,B,T
-0.25264024421471976,0.17940225790960945,-0.8389048235918033,-1.4875237321610157,-0.5353460900723713,1.8223063818222158
-0.252560267905736,0.1793797276493516,-0.8389323403317472,-1.487594193747837,-0.5353043624688282,1.8223091982196822
-0.25248006938612705,0.17935687389179647,-0.838960034985123,-1.4876646993958607,-0.5352620192382783,1.822311801121566
-0.2523998668119208,0.17933402582787272,-0.8389877213838596,-1.4877352097670353,-0.5352196727947699,1.822314405049762
-0.25231966091954283,0.17931118456846476,-0.8390153989005157,-1.4878057247305674,-0.5351773252052299,1.8223170107305864
-0.2522394517122999,0.17928835011798244,-0.8390430675326969,-1.4878762442868394,-0.535134976476829,1.822319618168259
-0.2521592391910269,0.17926552247710573,-0.8390707272801133,-1.4879467684366723,-0.5350926266097864,1.8223222273645614
-0.25207902335655075,0.17924270164650064,-0.8390983781424826,-1.4880172971808885,-0.5350502756042986,1.8223248383212662
-0.25199880420969856,0.17921988762683327,-0.8391260201195226,-1.488087830520311,-0.5350079234605621,1.8223274510401462
-0.2519185817512977,0.17919708041877017,-0.8391536532109507,-1.4881583684557624,-0.5349655701787737,1.8223300655229755
-0.2518383559821757,0.1791742800229769,-0.8391812774164848,-1.4882289109880662,-0.5349232157591299,1.8223326817715277
-0.2517581269031603,0.17915148644012022,-0.8392088927358425,-1.4882994581180458,-0.5348808602018282,1.8223352997875775
-0.2516778945150796,0.17912869967086525,-0.8392364991687419,-1.4883700098465242,-0.5348385035070662,1.8223379195728986
-0.25159765881876184,0.17910591971587794,-0.8392640967149009,-1.4884405661743259,-0.5347961456750413,1.8223405411292666
-0.25151741981503567,0.17908314657582425,-0.8392916853740372,-1.4885111271022744,-0.5347537867059515,1.822343164458457
-0.2514371775047298,0.17906038025136897,-0.8393192651458692,-1.4885816926311939,-0.534711426599995,1.8223457895622446
-0.2513569318886731,0.17903762074317897,-0.8393468360301138,-1.4886522627619083,-0.5346690653573702,1.8223484164424053
-0.25127668296769506,0.1790148680519177,-0.8393743980264915,-1.4887228374952435,-0.5346267029782759,1.8223510451007168
-0.2511964307426248,0.1789921221782524,-0.8394019511347176,-1.488793416832023,-0.5345843394629106,1.822353675538954
-0.25111617521429247,0.17896938312284627,-0.839429495354513,-1.488864000773072,-0.5345419748114739,1.822356307758895
-0.2510359163835277,0.17894665088636647,-0.8394570306855934,-1.488934589319216,-0.5344996090241648,1.8223589417623167
-0.25095565425116073,0.17892392546947586,-0.8394845571276792,-1.48900518247128,-0.5344572421011832,1.8223615775509963
-0.250875388818022,0.17890120687284053,-0.8395120746804876,-1.4890757802300894,-0.5344148740427287,1.822364215126712
-0.2507951200849424,0.17887849509712514,-0.8395395833437375,-1.4891463825964704,-0.5343725048490018,1.8223668544912428
-0.2507148480527525,0.17885579014299388,-0.839567083117147,-1.4892169895712482,-0.5343301345202024,1.8223694956463659
-0.25063457272228373,0.1788330920111119,-0.8395945740004346,-1.4892876011552492,-0.5342877630565314,1.8223721385938612
-0.25055429409436747,0.17881040070214285,-0.8396220559933196,-1.4893582173493003,-0.5342453904581896,1.8223747833355084
-0.250474012169835,0.17878771621675216,-0.8396495290955194,-1.489428838154227,-0.5342030167253781,1.822377429873086
-0.25039372694951856,0.17876503855560294,-0.8396769933067542,-1.4894994635708572,-0.534160641858298,1.822380078208375
-0.25031343843425,0.17874236771936,-0.8397044486267413,-1.489570093600017,-0.534118265857151,1.8223827283431548
-0.25023314662486185,0.17871970370868695,-0.8397318950552003,-1.4896407282425332,-0.5340758887221391,1.8223853802792067
-0.2501528515221866,0.17869704652424845,-0.8397593325918496,-1.4897113674992342,-0.5340335104534641,1.8223880340183116
-0.250072553127057,0.1786743961667079,-0.8397867612364078,-1.4897820113709457,-0.5339911310513286,1.82239068956225
-0.2499922514403062,0.17865175263672864,-0.8398141809885948,-1.4898526598584971,-0.5339487505159346,1.8223933469128042
-0.24991194646276743,0.17862911593497502,-0.8398415918481286,-1.4899233129627156,-0.5339063688474854,1.8223960060717563
-0.24983163819527426,0.1786064860621097,-0.8398689938147291,-1.489993970684429,-0.5338639860461837,1.8223986670408883
-0.24975132663866048,0.17858386301879717,-0.8398963868881145,-1.490064633024466,-0.5338216021122331,1.8224013298219832
-0.24967101179375997,0.1785612468057001,-0.8399237710680043,-1.490135299983655,-0.5337792170458368,1.8224039944168235
-0.24959069366140713,0.17853863742348142,-0.839951146354118,-1.4902059715628242,-0.5337368308471986,1.8224066608271927
-0.2495103722424363,0.17851603487280512,-0.8399785127461741,-1.4902766477628027,-0.5336944435165226,1.822409329054874
-0.24943004753768244,0.1784934391543334,-0.8400058702438927,-1.49034732858442,-0.5336520550540131,1.8224119991016525
-0.2493497195479802,0.17847085026872989,-0.8400332188469922,-1.4904180140285048,-0.5336096654598745,1.8224146709693114
-0.24926938827416498,0.17844826821665677,-0.840060558555193,-1.4904887040958867,-0.5335672747343115,1.822417344659636
-0.24918905371707198,0.17842569299877709,-0.8400878893682137,-1.4905593987873953,-0.533524882877529,1.8224200201744107
-0.2491087158775372,0.1784031246157532,-0.8401152112857744,-1.4906300981038603,-0.5334824898897323,1.8224226975154212
-0.2490283747563963,0.1783805630682479,-0.8401425243075942,-1.4907008020461123,-0.5334400957711269,1.8224253766844534
-0.2489480303544856,0.17835800835692314,-0.8401698284333932,-1.490771510614981,-0.5333977005219185,1.822428057683293
-0.24886768267264148,0.178335460482441,-0.840197123662891,-1.4908422238112964,-0.5333553041423131,1.8224307405137257
-0.24878733171170025,0.17831291944546546,-0.8402244099958059,-1.4909129416358902,-0.5333129066325166,1.8224334251775391
-0.24870697747249917,0.17829038524665639,-0.8402516874318597,-1.4909836640895926,-0.5332705079927357,1.8224361116765202
-0.2486266199558751,0.17826785788667684,-0.840278955970771,-1.4910543911732341,-0.533228108223177,1.8224388000124552
-0.24854625916266535,0.1782453373661888,-0.8403062156122595,-1.4911251228876465,-0.5331857073240472,1.8224414901871324
-0.24846589509370762,0.17822282368585335,-0.8403334663560459,-1.4911958592336612,-0.5331433052955539,1.82244418220234
-0.2483855277498397,0.1782003168463328,-0.8403607082018495,-1.4912666002121095,-0.533100902137904,1.822446876059866
-0.24830515713189966,0.1781778168482885,-0.8403879411493909,-1.4913373458238242,-0.5330584978513055,1.8224495717615001
-0.24822478324072567,0.17815532369238196,-0.8404151651983894,-1.4914080960696356,-0.5330160924359661,1.8224522693090295
-0.24814440607715635,0.17813283737927393,-0.8404423803485659,-1.4914788509503765,-0.5329736858920942,1.8224549687042442
