X,Y,Z,Rx,Ry,Rz
958.525,-37.063,-164.94,-165.2882,-7.1724,17.5189
958.525,-36.35,-164.943,-165.2878,-7.1725,17.5189
958.524,-35.557,-164.943,-165.2887,-7.1724,17.5197
958.522,-34.892,-164.942,-165.2875,-7.1721,17.519
958.518,-34.044,-164.943,-165.287,-7.1722,17.5191
958.526,-33.36,-164.934,-165.2882,-7.1728,17.5196
958.518,-32.512,-164.946,-165.2872,-7.1721,17.5196
958.518,-31.873,-164.94,-165.2868,-7.1721,17.5185
958.518,-31.023,-164.947,-165.2871,-7.1716,17.5188
958.522,-30.333,-164.935,-165.2874,-7.1725,17.5198
958.52,-29.495,-164.943,-165.2876,-7.172,17.5194
958.527,-28.859,-164.937,-165.2881,-7.1726,17.5191
958.526,-27.338,-164.935,-165.2869,-7.1724,17.5185
958.523,-27.926,-164.934,-165.2876,-7.1728,17.5195
958.519,-28.616,-164.947,-165.2877,-7.1716,17.5194
958.523,-26.054,-164.934,-165.2878,-7.1726,17.5197
958.518,-25.523,-164.938,-165.2882,-7.1724,17.5201
958.52,-24.906,-164.936,-165.2887,-7.1727,17.5207
958.523,-24.407,-164.935,-165.2882,-7.1725,17.5196
958.52,-23.754,-164.939,-165.2885,-7.1722,17.5193
958.524,-23.273,-164.939,-165.2876,-7.172,17.5181
958.525,-22.604,-164.934,-165.288,-7.1724,17.52
958.527,-22.076,-164.93,-165.2887,-7.1728,17.5204
958.523,-21.471,-164.939,-165.2888,-7.1723,17.5203
958.519,-20.947,-164.934,-165.2878,-7.1724,17.5196
958.525,-20.315,-164.932,-165.2881,-7.1727,17.5193
958.527,-19.794,-164.929,-165.2885,-7.1731,17.5204
958.528,-19.173,-164.929,-165.2879,-7.1726,17.5186
958.524,-18.638,-164.932,-165.2874,-7.1727,17.5194
