X,Y,Z,Rx,Ry,Rz
958.522,-37.019,-164.943,-165.2873,-7.1723,17.5184
958.518,-36.444,-164.941,-165.2881,-7.1725,17.5203
958.52,-36.391,-164.948,-165.2883,-7.172,17.5194
958.518,-35.82,-164.942,-165.2866,-7.1723,17.5182
958.517,-35.768,-164.95,-165.2872,-7.1715,17.5182
958.52,-35.697,-164.944,-165.287,-7.172,17.5185
958.52,-35.65,-164.939,-165.2872,-7.1722,17.5183
958.522,-35.579,-164.943,-165.288,-7.1725,17.5203
958.521,-35.532,-164.938,-165.2883,-7.1727,17.5202
958.516,-34.985,-164.949,-165.287,-7.1718,17.5194
958.52,-34.921,-164.945,-165.2876,-7.1719,17.5192
958.52,-34.874,-164.941,-165.2878,-7.1721,17.519
958.524,-34.313,-164.94,-165.2882,-7.1724,17.5192
958.519,-34.24,-164.941,-165.2876,-7.1723,17.5195
958.52,-34.18,-164.945,-165.287,-7.1722,17.519
958.52,-34.128,-164.944,-165.288,-7.172,17.5191
958.523,-34.069,-164.937,-165.2878,-7.1725,17.5187
958.521,-34.01,-164.943,-165.2877,-7.172,17.5191
958.516,-33.435,-164.95,-165.2876,-7.1717,17.52
958.519,-33.387,-164.944,-165.2874,-7.1722,17.5188
958.522,-32.814,-164.943,-165.2864,-7.1721,17.5179
958.522,-32.756,-164.938,-165.288,-7.1727,17.5202
958.519,-32.708,-164.944,-165.2879,-7.1723,17.52
958.523,-32.644,-164.941,-165.2885,-7.1724,17.5198
958.519,-32.601,-164.944,-165.2875,-7.1723,17.5193
958.518,-32.512,-164.946,-165.2872,-7.1721,17.5196
958.526,-31.964,-164.939,-165.2871,-7.1723,17.5182
958.525,-31.917,-164.935,-165.2873,-7.1725,17.5181
958.526,-31.857,-164.939,-165.2867,-7.1723,17.5176
958.526,-31.255,-164.937,-165.2874,-7.1725,17.5192
958.525,-31.208,-164.932,-165.2876,-7.1727,17.519
958.517,-31.146,-164.944,-165.2866,-7.172,17.5185
958.517,-31.094,-164.943,-165.2877,-7.1718,17.5186
958.518,-31.023,-164.947,-165.2871,-7.1716,17.5188
