X,Y,Z,Rx,Ry,Rz
958.518,-36.503,-164.946,-165.2879,-7.1723,17.5198
958.526,-19.231,-164.935,-165.2881,-7.1721,17.519
958.528,-19.173,-164.929,-165.2879,-7.1726,17.5186
958.524,-19.113,-164.935,-165.2877,-7.1721,17.5191
958.524,-19.054,-164.939,-165.2871,-7.1719,17.5186
958.531,-19.009,-164.926,-165.2877,-7.1727,17.5185
958.527,-18.95,-164.932,-165.2875,-7.1722,17.5189
958.529,-18.891,-164.926,-165.2873,-7.1727,17.5185
958.525,-18.844,-164.932,-165.2872,-7.1722,17.5182
958.525,-18.785,-164.936,-165.2865,-7.172,17.5178
958.523,-18.726,-164.932,-165.2881,-7.1726,17.5201
958.528,-18.681,-164.929,-165.2883,-7.1727,17.5199
958.528,-18.622,-164.933,-165.2877,-7.1725,17.5194
958.526,-18.575,-164.929,-165.288,-7.1727,17.5193
958.531,-18.529,-164.927,-165.2882,-7.1728,17.5191
958.413,-17.744,-163.855,-165.2402,-7.2024,17.5618
