I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,10199.0,166.9,0.0,0.0,0.0
6.0,6.0,0.0,10232.0,199.4,0.0,0.0,0.0
7.0,6.0,0.0,10262.0,228.3,0.0,0.0,0.0
8.0,7.0,0.0,10291.0,258.2,0.0,0.0,0.0
8.0,8.0,0.0,10320.0,287.8,0.0,0.0,0.0
9.0,8.0,0.0,10350.0,317.7,0.0,0.0,0.0
10.0,9.0,0.0,10380.0,347.7,0.0,0.0,0.0
10.0,10.0,0.0,10411.0,378.6,0.0,0.0,0.0
11.0,10.0,1.0,10446.0,413.8,413.8,142.0,1.0
14.0,11.0,0.0,0.0,564.9,0.0,0.0,0.0
15.0,14.0,0.0,31.0,596.5,0.0,0.0,0.0
16.0,15.0,0.0,62.0,627.3,0.0,0.0,0.0
16.0,16.0,0.0,92.0,657.3,0.0,0.0,0.0
17.0,16.0,0.0,122.0,686.9,0.0,0.0,0.0
18.0,17.0,0.0,152.0,717.9,0.0,0.0,0.0
18.0,18.0,0.0,187.0,752.0,0.0,0.0,0.0
19.0,18.0,0.0,218.0,783.6,0.0,0.0,0.0
2.0,19.0,1.0,250.0,815.2,815.2,144.0,2.0
5.0,2.0,0.0,0.0,969.1,0.0,0.0,0.0
6.0,5.0,0.0,29.0,999.0,0.0,0.0,0.0
6.0,6.0,0.0,59.0,1028.9,0.0,0.0,0.0
7.0,6.0,0.0,89.0,1059.0,0.0,0.0,0.0
8.0,7.0,0.0,119.0,1089.0,0.0,0.0,0.0
8.0,8.0,0.0,153.0,1122.9,0.0,0.0,0.0
9.0,8.0,0.0,183.0,1152.8,0.0,0.0,0.0
10.0,9.0,0.0,214.0,1183.9,0.0,0.0,0.0
10.0,10.0,0.0,245.0,1214.8,0.0,0.0,0.0
11.0,10.0,1.0,277.0,1246.7,1246.7,132.0,1.0
14.0,11.0,0.0,0.0,1388.9,0.0,0.0,0.0
15.0,14.0,0.0,32.0,1421.4,0.0,0.0,0.0
15.0,15.0,0.0,61.0,1450.4,0.0,0.0,0.0
16.0,15.0,0.0,92.0,1481.3,0.0,0.0,0.0
16.0,16.0,0.0,121.0,1510.8,0.0,0.0,0.0
17.0,16.0,0.0,152.0,1541.2,0.0,0.0,0.0
18.0,17.0,0.0,182.0,1571.1,0.0,0.0,0.0
18.0,18.0,0.0,214.0,1603.8,0.0,0.0,0.0
19.0,18.0,0.0,242.0,1631.7,0.0,0.0,0.0
2.0,19.0,1.0,276.0,1665.6,1665.6,142.0,2.0
5.0,2.0,0.0,0.0,1815.1,0.0,0.0,0.0
6.0,5.0,0.0,27.0,1842.8,0.0,0.0,0.0
6.0,6.0,0.0,57.0,1872.7,0.0,0.0,0.0
7.0,6.0,0.0,87.0,1902.8,0.0,0.0,0.0
8.0,7.0,0.0,118.0,1933.1,0.0,0.0,0.0
8.0,8.0,0.0,148.0,1964.0,0.0,0.0,0.0
9.0,8.0,0.0,177.0,1992.9,0.0,0.0,0.0
10.0,9.0,0.0,208.0,2023.9,0.0,0.0,0.0
10.0,10.0,0.0,240.0,2055.8,0.0,0.0,0.0
11.0,10.0,1.0,271.0,2086.7,2086.7,157.0,1.0
14.0,11.0,0.0,0.0,2253.0,0.0,0.0,0.0
15.0,14.0,0.0,30.0,2283.1,0.0,0.0,0.0
16.0,15.0,0.0,61.0,2314.0,0.0,0.0,0.0
16.0,16.0,0.0,93.0,2346.9,0.0,0.0,0.0
17.0,16.0,0.0,121.0,2374.8,0.0,0.0,0.0
18.0,17.0,0.0,152.0,2405.7,0.0,0.0,0.0
18.0,18.0,0.0,181.0,2434.6,0.0,0.0,0.0
19.0,18.0,0.0,217.0,2470.5,0.0,0.0,0.0
2.0,19.0,1.0,252.0,2505.1,2505.1,138.0,2.0
5.0,2.0,0.0,0.0,2646.6,0.0,0.0,0.0
5.0,5.0,0.0,26.0,2673.4,0.0,0.0,0.0
6.0,5.0,0.0,56.0,2703.4,0.0,0.0,0.0
7.0,6.0,0.0,89.0,2736.0,0.0,0.0,0.0
7.0,7.0,0.0,120.0,2766.9,0.0,0.0,0.0
8.0,7.0,0.0,150.0,2796.8,0.0,0.0,0.0
9.0,8.0,0.0,180.0,2826.9,0.0,0.0,0.0
9.0,9.0,0.0,210.0,2856.9,0.0,0.0,0.0
10.0,9.0,0.0,240.0,2886.8,0.0,0.0,0.0
11.0,10.0,1.0,270.0,2916.8,2916.8,141.0,1.0
14.0,11.0,0.0,1.0,3072.0,0.0,0.0,0.0
15.0,14.0,0.0,26.0,3098.6,0.0,0.0,0.0
15.0,15.0,0.0,58.0,3130.5,0.0,0.0,0.0
16.0,15.0,0.0,86.0,3158.4,0.0,0.0,0.0
17.0,16.0,0.0,117.0,3188.4,0.0,0.0,0.0
17.0,17.0,0.0,148.0,3220.8,0.0,0.0,0.0
18.0,17.0,0.0,178.0,3250.7,0.0,0.0,0.0
19.0,18.0,0.0,212.0,3284.6,0.0,0.0,0.0
19.0,19.0,0.0,246.0,3318.5,0.0,0.0,0.0
2.0,19.0,1.0,279.0,3351.4,3351.4,137.0,2.0
5.0,2.0,0.0,0.0,3498.9,0.0,0.0,0.0
6.0,5.0,0.0,27.0,3526.9,0.0,0.0,0.0
7.0,6.0,0.0,58.0,3557.8,0.0,0.0,0.0
7.0,7.0,0.0,93.0,3592.7,0.0,0.0,0.0
8.0,7.0,0.0,124.0,3623.6,0.0,0.0,0.0
9.0,8.0,0.0,154.0,3653.4,0.0,0.0,0.0
9.0,9.0,0.0,183.0,3682.4,0.0,0.0,0.0
10.0,9.0,0.0,214.0,3713.6,0.0,0.0,0.0
10.0,10.0,0.0,244.0,3743.6,0.0,0.0,0.0
11.0,10.0,1.0,274.0,3773.5,3773.5,142.0,1.0
14.0,11.0,0.0,0.0,3927.2,0.0,0.0,0.0
15.0,14.0,0.0,26.0,3954.0,0.0,0.0,0.0
16.0,15.0,0.0,56.0,3984.0,0.0,0.0,0.0
16.0,16.0,0.0,87.0,4014.9,0.0,0.0,0.0
17.0,16.0,0.0,117.0,4044.9,0.0,0.0,0.0
17.0,17.0,0.0,147.0,4074.7,0.0,0.0,0.0
18.0,17.0,0.0,177.0,4105.1,0.0,0.0,0.0
19.0,18.0,0.0,211.0,4139.1,0.0,0.0,0.0
19.0,19.0,0.0,237.0,4165.0,0.0,0.0,0.0
2.0,19.0,1.0,273.0,4200.8,4200.8,135.0,2.0
5.0,2.0,0.0,0.0,4343.7,0.0,0.0,0.0
6.0,5.0,0.0,32.0,4375.8,0.0,0.0,0.0
7.0,6.0,0.0,59.0,4403.2,0.0,0.0,0.0
7.0,7.0,0.0,92.0,4435.8,0.0,0.0,0.0
8.0,7.0,0.0,123.0,4467.0,0.0,0.0,0.0
9.0,8.0,0.0,153.0,4496.9,0.0,0.0,0.0
9.0,9.0,0.0,183.0,4526.9,0.0,0.0,0.0
10.0,9.0,0.0,212.0,4556.6,0.0,0.0,0.0
