X,Y,Z,Rx,Ry,Rz,Time
959.736,21.572,-165.399,175.9721,17.8811,58.697,0.0
959.736,21.508,-165.399,175.9721,17.8811,58.697,0.04
959.736,21.444,-165.398,175.9721,17.8811,58.697,0.08
959.737,21.38,-165.398,175.9721,17.8811,58.697,0.12
959.737,21.316,-165.398,175.9721,17.8811,58.697,0.16
959.737,21.252,-165.398,175.9721,17.8811,58.697,0.2
959.737,21.188,-165.397,175.9721,17.8811,58.697,0.24
959.737,21.124,-165.397,175.9721,17.8811,58.697,0.28
959.738,21.06,-165.397,175.9721,17.8811,58.697,0.32
959.738,20.996,-165.397,175.9721,17.8811,58.697,0.36
959.738,20.932,-165.396,175.9721,17.8811,58.697,0.4
959.738,20.868,-165.396,175.9721,17.8811,58.697,0.44
959.739,20.804,-165.396,175.9721,17.8811,58.697,0.48
959.739,20.74,-165.396,175.9721,17.8811,58.697,0.52
959.739,20.677,-165.395,175.9721,17.8811,58.697,0.56
959.739,20.613,-165.395,175.9721,17.8811,58.697,0.6
959.739,20.549,-165.395,175.9721,17.8811,58.697,0.64
959.74,20.485,-165.394,175.9721,17.8811,58.697,0.68
959.74,20.421,-165.394,175.9721,17.8811,58.697,0.72
959.74,20.357,-165.394,175.9721,17.8811,58.697,0.76
959.74,20.293,-165.394,175.9721,17.8811,58.697,0.8
959.74,20.229,-165.393,175.9721,17.8811,58.697,0.84
959.741,20.165,-165.393,175.9721,17.8811,58.697,0.88
959.741,20.101,-165.393,175.9721,17.8811,58.697,0.92
959.741,20.037,-165.393,175.9721,17.8811,58.697,0.96
959.741,19.973,-165.392,175.9721,17.8811,58.697,1.0
959.742,19.909,-165.392,175.9721,17.8811,58.697,1.04
959.742,19.845,-165.392,175.9721,17.8811,58.697,1.08
959.742,19.781,-165.392,175.9721,17.8811,58.697,1.12
959.742,19.717,-165.391,175.9721,17.8811,58.697,1.16
959.742,19.653,-165.391,175.9721,17.8811,58.697,1.2
959.743,19.589,-165.391,175.9721,17.8811,58.697,1.24
959.743,19.525,-165.391,175.9721,17.8811,58.697,1.28
959.743,19.461,-165.39,175.9721,17.8811,58.697,1.32
959.743,19.397,-165.39,175.9721,17.8811,58.697,1.36
959.743,19.333,-165.39,175.9721,17.8811,58.697,1.4000000000000001
959.744,19.269,-165.389,175.9721,17.8811,58.697,1.44
959.744,19.205,-165.389,175.9721,17.8811,58.697,1.48
959.744,19.141,-165.389,175.9721,17.8811,58.697,1.52
959.744,19.077,-165.389,175.9721,17.8811,58.697,1.56
959.745,19.014,-165.388,175.9721,17.8811,58.697,1.6
959.745,18.95,-165.388,175.9721,17.8811,58.697,1.6400000000000001
959.745,18.886,-165.388,175.9721,17.8811,58.697,1.68
959.745,18.822,-165.388,175.9721,17.8811,58.697,1.72
959.745,18.758,-165.387,175.9721,17.8811,58.697,1.76
959.746,18.694,-165.387,175.9721,17.8811,58.697,1.8
959.746,18.63,-165.387,175.9721,17.8811,58.697,1.84
959.746,18.566,-165.387,175.9721,17.8811,58.697,1.8800000000000001
959.746,18.502,-165.386,175.9721,17.8811,58.697,1.92
959.746,18.438,-165.386,175.9721,17.8811,58.697,1.96
959.747,18.374,-165.386,175.9721,17.8811,58.697,2.0
959.747,18.31,-165.385,175.9721,17.8811,58.697,2.04
959.747,18.246,-165.385,175.9721,17.8811,58.697,2.08
959.747,18.182,-165.385,175.9721,17.8811,58.697,2.12
959.748,18.118,-165.385,175.9721,17.8811,58.697,2.16
959.748,18.054,-165.384,175.9721,17.8811,58.697,2.2
959.748,17.99,-165.384,175.9721,17.8811,58.697,2.24
959.748,17.926,-165.384,175.9721,17.8811,58.697,2.2800000000000002
959.748,17.862,-165.384,175.9721,17.8811,58.697,2.32
959.749,17.798,-165.383,175.9721,17.8811,58.697,2.36
959.749,17.734,-165.383,175.9721,17.8811,58.697,2.4
959.749,17.67,-165.383,175.9721,17.8811,58.697,2.44
959.749,17.606,-165.383,175.9721,17.8811,58.697,2.48
959.749,17.542,-165.382,175.9721,17.8811,58.697,2.52
959.75,17.478,-165.382,175.9721,17.8811,58.697,2.56
959.75,17.414,-165.382,175.9721,17.8811,58.697,2.6
959.75,17.35,-165.382,175.9721,17.8811,58.697,2.64
959.75,17.287,-165.381,175.9721,17.8811,58.697,2.68
959.751,17.223,-165.381,175.9721,17.8811,58.697,2.72
959.751,17.159,-165.381,175.9721,17.8811,58.697,2.7600000000000002
