X,Y,Z,Rx,Ry,Rz
959.738,21.31,-165.395,175.9717,17.8813,58.6979
959.741,21.268,-165.394,175.9715,17.8809,58.6964
959.736,21.239,-165.394,175.9723,17.8807,58.6962
959.738,21.193,-165.398,175.9723,17.8813,58.6978
959.74,21.15,-165.397,175.9721,17.8808,58.6964
959.735,21.117,-165.398,175.9726,17.8812,58.6968
959.738,21.063,-165.397,175.9718,17.8809,58.6965
959.741,21.029,-165.39,175.9716,17.881,58.6968
959.734,20.989,-165.401,175.9732,17.8811,58.696
959.743,20.736,-165.396,175.9717,17.8811,58.6971
959.738,20.696,-165.396,175.9726,17.8809,58.6961
959.733,20.651,-165.397,175.9725,17.8814,58.6978
959.745,20.619,-165.388,175.9716,17.8806,58.6968
959.739,20.574,-165.389,175.9721,17.881,58.6965
959.733,20.51,-165.4,175.9731,17.8813,58.6964
959.744,20.475,-165.392,175.9719,17.8811,58.696
959.74,20.434,-165.392,175.9722,17.8811,58.697
959.748,20.182,-165.387,175.9713,17.8809,58.6962
959.743,20.152,-165.387,175.9716,17.8808,58.6979
959.736,20.096,-165.398,175.9727,17.8816,58.6971
959.738,20.065,-165.398,175.9725,17.8811,58.6963
959.743,20.012,-165.39,175.9722,17.8807,58.6964
959.737,19.979,-165.391,175.9726,17.8811,58.6968
959.74,19.936,-165.39,175.9719,17.8808,58.6973
959.742,19.891,-165.394,175.9724,17.8812,58.697
959.744,19.848,-165.393,175.9722,17.8808,58.6955
959.745,19.598,-165.389,175.9718,17.881,58.6972
959.74,19.565,-165.389,175.9723,17.8814,58.6976
959.742,19.522,-165.389,175.9721,17.8809,58.6961
959.744,19.477,-165.392,175.9721,17.8815,58.6978
959.746,19.434,-165.392,175.9719,17.881,58.6963
959.742,19.393,-165.392,175.9721,17.881,58.6973
959.736,19.36,-165.392,175.9726,17.8814,58.6977
959.748,19.305,-165.384,175.9718,17.8806,58.6953
959.741,19.272,-165.395,175.9724,17.8815,58.6979
959.741,19.022,-165.391,175.9725,17.8815,58.6975
959.744,18.979,-165.39,175.9723,17.8811,58.6961
959.749,18.938,-165.383,175.972,17.8807,58.6969
959.75,18.891,-165.382,175.9714,17.8808,58.696
959.744,18.862,-165.393,175.9724,17.8811,58.698
959.738,18.817,-165.394,175.9729,17.8815,58.6977
959.75,18.774,-165.385,175.972,17.8807,58.696
959.744,18.729,-165.386,175.9719,17.8813,58.6977
959.747,18.698,-165.385,175.9717,17.8808,58.6969
959.746,18.424,-165.392,175.972,17.8814,58.6973
959.75,18.383,-165.384,175.9722,17.8808,58.6961
959.745,18.327,-165.385,175.9721,17.8813,58.6971
959.747,18.307,-165.384,175.9719,17.8809,58.697
959.752,18.25,-165.377,175.9712,17.8811,58.6978
959.751,18.219,-165.387,175.9717,17.881,58.6972
959.746,18.174,-165.388,175.9722,17.8814,58.6969
959.751,18.133,-165.38,175.9718,17.881,58.6978
959.749,17.893,-165.383,175.9716,17.8811,58.6978
959.753,17.84,-165.375,175.9717,17.8806,58.6959
959.746,17.796,-165.387,175.9724,17.8815,58.6978
959.748,17.753,-165.386,175.9722,17.881,58.6963
959.752,17.707,-165.379,175.9715,17.8812,58.6978
959.748,17.667,-165.379,175.9723,17.881,58.6968
959.748,17.636,-165.389,175.9728,17.8809,58.6963
959.742,17.591,-165.39,175.9727,17.8815,58.6979
959.754,17.547,-165.381,175.9719,17.8807,58.6963
959.754,17.298,-165.377,175.972,17.8807,58.6959
959.749,17.253,-165.378,175.9719,17.8813,58.6976
959.749,17.222,-165.388,175.9724,17.8812,58.697
959.753,17.165,-165.381,175.9717,17.8814,58.6978
959.748,17.136,-165.381,175.9725,17.8812,58.6975
959.749,17.089,-165.381,175.972,17.8813,58.6967
959.754,17.059,-165.373,175.9716,17.8809,58.6982
959.755,17.005,-165.383,175.9721,17.8808,58.6962
959.749,16.96,-165.384,175.972,17.8813,58.6979
959.749,16.71,-165.379,175.9722,17.8814,58.6975
959.751,16.679,-165.379,175.972,17.8809,58.6968
959.753,16.622,-165.382,175.9719,17.8815,58.6978
959.748,16.581,-165.382,175.9728,17.8813,58.6968
959.761,16.538,-165.374,175.9714,17.8806,58.6971
959.755,16.493,-165.374,175.9718,17.881,58.6968
959.75,16.452,-165.375,175.9727,17.8808,58.6958
959.749,16.417,-165.385,175.9723,17.8815,58.6979
959.754,16.376,-165.377,175.9724,17.8809,58.6967
959.761,16.135,-165.372,175.9716,17.8807,58.6965
959.755,16.091,-165.373,175.972,17.8811,58.6963
959.75,16.05,-165.373,175.9723,17.881,58.6973
959.759,16.003,-165.376,175.9718,17.8812,58.6965
959.755,15.962,-165.376,175.9721,17.8811,58.6975
959.756,15.927,-165.376,175.9715,17.8813,58.6973
959.761,15.874,-165.368,175.9712,17.8809,58.6975
959.754,15.853,-165.369,175.9722,17.8811,58.6966
959.755,15.798,-165.379,175.9721,17.8812,58.6966
959.754,15.548,-165.375,175.9723,17.8812,58.6962
959.75,15.507,-165.375,175.9725,17.8811,58.6972
959.76,15.472,-165.367,175.9713,17.881,58.6969
959.753,15.431,-165.378,175.9729,17.8811,58.6962
959.755,15.384,-165.378,175.9718,17.8814,58.6973
959.76,15.343,-165.37,175.9719,17.8808,58.6962
959.754,15.298,-165.371,175.9719,17.8814,58.6978
959.754,15.267,-165.381,175.9724,17.8813,58.6973
959.758,15.222,-165.374,175.9722,17.8813,58.6968
959.759,14.976,-165.369,175.9721,17.8809,58.6977
959.76,14.929,-165.369,175.9716,17.8811,58.6969
959.755,14.888,-165.369,175.9724,17.8808,58.6959
959.764,14.852,-165.372,175.9714,17.8812,58.6978
959.759,14.8,-165.372,175.9722,17.881,58.6962
959.753,14.767,-165.372,175.9721,17.8815,58.6985
959.765,14.724,-165.364,175.9713,17.8807,58.6968
959.757,14.679,-165.375,175.9724,17.8814,58.6968
959.757,14.433,-165.37,175.9729,17.8809,58.6957
959.759,14.398,-165.37,175.9718,17.8812,58.6976
959.763,14.345,-165.363,175.972,17.8806,58.6957
959.756,14.312,-165.374,175.9726,17.8815,58.6983
959.758,14.269,-165.373,175.9724,17.881,58.6968
959.761,14.224,-165.366,175.9722,17.8811,58.6963
959.764,14.181,-165.365,175.9715,17.8808,58.6968
959.758,14.148,-165.366,175.972,17.8812,58.6972
959.761,14.095,-165.369,175.9723,17.8811,58.6976
959.766,13.878,-165.364,175.972,17.8808,58.6968
959.761,13.822,-165.365,175.9719,17.8813,58.6978
959.763,13.779,-165.364,175.9717,17.8808,58.6963
959.765,13.734,-165.368,175.9717,17.8814,58.698
959.76,13.705,-165.368,175.9725,17.8812,58.6977
959.762,13.65,-165.367,175.9723,17.8807,58.6955
959.766,13.617,-165.36,175.9716,17.8809,58.6977
959.759,13.564,-165.371,175.9731,17.8811,58.6963
959.76,13.529,-165.371,175.9725,17.8812,58.6961
959.759,13.279,-165.367,175.9721,17.8814,58.6978
959.77,13.247,-165.358,175.9713,17.8806,58.6968
959.762,13.215,-165.37,175.9725,17.8813,58.6974
959.757,13.174,-165.37,175.9733,17.8811,58.6964
959.768,13.115,-165.362,175.9715,17.8811,58.6967
959.763,13.086,-165.362,175.9723,17.8809,58.6964
959.764,13.051,-165.362,175.9718,17.881,58.6963
959.767,12.998,-165.365,175.9721,17.881,58.6966
959.761,12.965,-165.365,175.9726,17.8814,58.697
959.762,12.684,-165.36,175.9725,17.8809,58.6959
959.77,12.648,-165.363,175.9715,17.8812,58.6977
959.765,12.607,-165.363,175.9723,17.881,58.6968
959.76,12.551,-165.364,175.9722,17.8815,58.6978
959.771,12.519,-165.355,175.9714,17.8808,58.6968
959.763,12.475,-165.367,175.9726,17.8815,58.6967
959.759,12.434,-165.367,175.9728,17.8814,58.6977
959.769,12.398,-165.359,175.9716,17.8812,58.6974
959.764,12.358,-165.359,175.9724,17.881,58.6964
959.761,12.096,-165.366,175.9727,17.8815,58.6976
959.773,12.053,-165.357,175.9719,17.8808,58.6959
959.767,12.008,-165.358,175.9718,17.8813,58.6976
959.762,11.979,-165.358,175.9726,17.8811,58.6973
959.771,11.92,-165.361,175.9716,17.8814,58.6978
959.766,11.891,-165.361,175.9724,17.8812,58.6975
959.767,11.844,-165.361,175.9719,17.8813,58.6967
959.771,11.803,-165.353,175.972,17.8808,58.6955
959.768,11.553,-165.359,175.9723,17.8813,58.6974
959.77,11.522,-165.359,175.9721,17.8808,58.6966
959.774,11.465,-165.352,175.9714,17.881,58.6973
959.769,11.436,-165.352,175.9722,17.8808,58.6971
959.767,11.401,-165.362,175.9724,17.8813,58.6972
959.772,11.359,-165.354,175.972,17.8809,58.698
959.773,11.312,-165.354,175.9714,17.881,58.6972
959.768,11.272,-165.354,175.9723,17.8808,58.6962
959.77,11.227,-165.358,175.9722,17.8814,58.6979
959.775,10.986,-165.353,175.9714,17.8811,58.6977
959.77,10.946,-165.353,175.9722,17.8809,58.6968
959.769,10.91,-165.364,175.9723,17.8814,58.6968
959.774,10.858,-165.356,175.9719,17.881,58.697
959.768,10.825,-165.357,175.9724,17.8814,58.6974
959.773,10.772,-165.349,175.972,17.881,58.6975
959.774,10.736,-165.349,175.9715,17.8811,58.6974
959.766,10.696,-165.36,175.973,17.8813,58.6966
959.777,10.648,-165.352,175.9713,17.8812,58.6976
959.775,10.379,-165.358,175.9719,17.8812,58.6973
959.769,10.335,-165.358,175.9724,17.8815,58.697
959.773,10.294,-165.351,175.9725,17.881,58.6959
959.775,10.246,-165.351,175.9715,17.8813,58.697
959.777,10.217,-165.353,175.9723,17.8811,58.6968
959.771,10.172,-165.354,175.9722,17.8816,58.6985
959.773,10.129,-165.353,175.972,17.8811,58.697
959.776,10.096,-165.346,175.9719,17.8812,58.6972
959.778,10.053,-165.346,175.9717,17.8807,58.6957
959.775,9.803,-165.352,175.972,17.8812,58.6975
959.769,9.774,-165.352,175.9728,17.881,58.6973
959.78,9.727,-165.344,175.9716,17.8808,58.6962
959.772,9.698,-165.355,175.9731,17.881,58.6962
959.774,9.651,-165.355,175.972,17.8813,58.6973
959.778,9.61,-165.347,175.9722,17.8807,58.6962
959.772,9.577,-165.348,175.9726,17.8811,58.6966
959.782,9.522,-165.35,175.9719,17.8808,58.6964
959.775,9.477,-165.351,175.9724,17.8812,58.6961
959.773,9.239,-165.347,175.9725,17.8812,58.6964
959.774,9.196,-165.357,175.9725,17.8812,58.6971
959.777,9.151,-165.35,175.9723,17.8813,58.6967
959.772,9.11,-165.35,175.9726,17.8812,58.6977
959.782,9.063,-165.342,175.9714,17.881,58.6966
959.775,9.034,-165.352,175.9729,17.8812,58.6966
959.776,8.987,-165.352,175.9718,17.8814,58.6977
959.781,8.958,-165.345,175.972,17.8809,58.6973
959.775,8.901,-165.345,175.9725,17.8813,58.6963
959.777,8.661,-165.351,175.9723,17.8814,58.6963
959.782,8.631,-165.343,175.9719,17.881,58.6978
959.776,8.575,-165.344,175.9724,17.8814,58.6968
959.776,8.544,-165.354,175.9723,17.8814,58.6982
959.779,8.499,-165.347,175.9722,17.8815,58.6977
959.774,8.446,-165.347,175.9724,17.8814,58.6981
959.786,8.403,-165.338,175.9716,17.8806,58.6964
959.777,8.37,-165.35,175.9727,17.8813,58.697
959.773,8.318,-165.35,175.973,17.8813,58.6973
959.787,8.077,-165.337,175.9715,17.8807,58.6969
959.778,8.044,-165.348,175.9727,17.8814,58.6975
959.781,7.989,-165.348,175.9719,17.8811,58.6973
959.784,7.944,-165.341,175.9717,17.8812,58.6968
959.779,7.904,-165.341,175.9725,17.8809,58.6959
959.787,7.868,-165.343,175.9715,17.8812,58.6977
959.782,7.827,-165.343,175.9723,17.881,58.6968
959.776,7.782,-165.344,175.9722,17.8815,58.6985
959.788,7.739,-165.336,175.9714,17.8808,58.6968
959.782,7.513,-165.342,175.9728,17.881,58.6961
959.776,7.457,-165.343,175.9727,17.8815,58.697
959.788,7.413,-165.334,175.9713,17.8808,58.6973
959.78,7.38,-165.346,175.9725,17.8816,58.6979
959.784,7.327,-165.338,175.9726,17.881,58.6961
959.785,7.292,-165.338,175.9715,17.8813,58.6979
959.78,7.251,-165.338,175.9724,17.8811,58.697
959.79,7.208,-165.34,175.9717,17.8808,58.6975
959.783,7.163,-165.341,175.9721,17.8812,58.6972
959.779,6.902,-165.347,175.973,17.8815,58.6964
959.783,6.861,-165.339,175.9726,17.8811,58.6972
959.784,6.825,-165.339,175.972,17.8813,58.697
959.789,6.784,-165.332,175.9717,17.8808,58.6978
959.78,6.728,-165.343,175.9728,17.8816,58.6971
959.782,6.697,-165.342,175.9726,17.8811,58.6963
959.786,6.652,-165.335,175.9719,17.8813,58.6978
959.788,6.609,-165.334,175.9717,17.8809,58.6963
959.785,6.337,-165.334,175.9724,17.8812,58.697
959.787,6.306,-165.333,175.9722,17.8808,58.6963
959.789,6.261,-165.337,175.9721,17.8813,58.6979
959.783,6.209,-165.337,175.9729,17.8811,58.6963
959.784,6.174,-165.337,175.9724,17.8812,58.6962
959.789,6.132,-165.329,175.972,17.8808,58.697
959.787,6.085,-165.34,175.9722,17.8813,58.6964
959.792,6.056,-165.332,175.9718,17.8809,58.6979
959.787,5.795,-165.338,175.9726,17.8813,58.6971
959.788,5.748,-165.338,175.9721,17.8814,58.6962
959.792,5.706,-165.33,175.9717,17.881,58.697
959.786,5.673,-165.331,175.9722,17.8814,58.6974
959.788,5.621,-165.334,175.9725,17.8813,58.6978
959.79,5.578,-165.333,175.9723,17.8809,58.6963
959.794,5.521,-165.326,175.9716,17.8811,58.6971
959.796,5.489,-165.325,175.9714,17.8806,58.6963
959.787,5.457,-165.337,175.9725,17.8813,58.6969
959.794,5.206,-165.325,175.9715,17.8811,58.6983
959.793,5.164,-165.335,175.972,17.881,58.697
959.787,5.119,-165.336,175.9724,17.8814,58.6968
959.791,5.078,-165.328,175.9721,17.881,58.6976
959.792,5.031,-165.328,175.9715,17.8811,58.6967
959.794,4.99,-165.331,175.9724,17.8809,58.6958
959.788,4.945,-165.331,175.9723,17.8814,58.6975
959.8,4.89,-165.323,175.9709,17.8808,58.6971
959.794,4.664,-165.329,175.9723,17.881,58.6964
959.788,4.619,-165.33,175.9722,17.8815,58.698
959.792,4.566,-165.322,175.9724,17.8809,58.6962
959.791,4.531,-165.333,175.972,17.8816,58.6982
959.786,4.49,-165.333,175.9728,17.8814,58.6973
959.796,4.455,-165.325,175.9716,17.8812,58.697
959.791,4.402,-165.325,175.9719,17.8811,58.6973
959.793,4.373,-165.328,175.9727,17.8809,58.697
959.794,4.326,-165.328,175.9722,17.881,58.6962
959.798,4.285,-165.32,175.9718,17.8806,58.697
959.793,4.035,-165.327,175.9726,17.8809,58.6969
959.793,3.988,-165.327,175.9721,17.8811,58.6961
959.795,3.959,-165.329,175.9724,17.881,58.6978
959.796,3.912,-165.329,175.9719,17.8812,58.697
959.801,3.859,-165.322,175.9715,17.8808,58.6971
959.794,3.826,-165.322,175.972,17.8811,58.6975
959.796,3.795,-165.322,175.9717,17.8807,58.6967
959.797,3.75,-165.325,175.9723,17.8811,58.6964
959.794,3.5,-165.321,175.9719,17.8812,58.698
959.803,3.468,-165.323,175.9717,17.8808,58.6973
959.796,3.412,-165.324,175.9722,17.8811,58.6963
959.791,3.383,-165.324,175.973,17.8809,58.696
959.799,3.347,-165.327,175.972,17.8812,58.6979
959.794,3.295,-165.327,175.9728,17.881,58.6962
959.797,3.25,-165.32,175.972,17.8812,58.6977
959.799,3.219,-165.319,175.9718,17.8807,58.6969
959.791,3.162,-165.33,175.9725,17.8816,58.6981
959.796,2.924,-165.318,175.9719,17.8812,58.6982
959.796,2.893,-165.328,175.9725,17.8811,58.6977
959.799,2.836,-165.321,175.9723,17.8812,58.6965
959.801,2.805,-165.32,175.9715,17.8809,58.6977
959.804,2.759,-165.313,175.9713,17.8809,58.6972
959.796,2.719,-165.324,175.9729,17.881,58.6964
959.798,2.684,-165.324,175.9718,17.8813,58.6983
959.801,2.631,-165.316,175.9719,17.8808,58.6964
959.793,2.587,-165.328,175.9731,17.8815,58.6964
959.806,2.334,-165.315,175.971,17.881,58.6972
959.8,2.305,-165.315,175.9718,17.8808,58.697
959.801,2.26,-165.318,175.9724,17.8812,58.6967
959.803,2.217,-165.318,175.9716,17.8809,58.6972
959.805,2.16,-165.321,175.9716,17.8814,58.6982
959.799,2.119,-165.321,175.9724,17.8812,58.6972
959.802,2.074,-165.314,175.9722,17.8812,58.6967
959.796,2.01,-165.325,175.9726,17.8817,58.6985
959.808,1.769,-165.312,175.9711,17.8811,58.6981
959.802,1.729,-165.312,175.9719,17.8808,58.6972
959.794,1.684,-165.323,175.9731,17.8816,58.6971
959.805,1.641,-165.315,175.9717,17.8809,58.6974
959.799,1.608,-165.316,175.9722,17.8813,58.6978
959.808,1.564,-165.318,175.972,17.8808,58.6963
959.802,1.52,-165.318,175.9719,17.8814,58.698
959.796,1.491,-165.318,175.9727,17.8811,58.6978
959.809,1.367,-165.313,175.9713,17.881,58.6976
959.81,1.17,-165.309,175.9712,17.8811,58.697
959.807,1.065,-165.312,175.9718,17.8809,58.6976
959.803,0.956,-165.316,175.9726,17.8812,58.697
959.808,0.855,-165.308,175.9711,17.8811,58.6982
959.809,1.367,-165.313,175.9713,17.881,58.6976
959.802,1.496,-165.318,175.9719,17.8814,58.6966
959.805,1.653,-165.315,175.9722,17.8808,58.6961
959.797,1.794,-165.32,175.9728,17.8811,58.6958
959.8,1.922,-165.317,175.9723,17.8812,58.6966
959.803,1.846,-165.32,175.972,17.8813,58.6975
959.8,1.717,-165.323,175.9726,17.8812,58.6967
959.799,1.608,-165.316,175.9722,17.8813,58.6978
959.805,1.479,-165.311,175.9721,17.8808,58.6969
959.809,1.367,-165.313,175.9713,17.881,58.6976
959.81,0.791,-165.311,175.9714,17.881,58.6978
959.81,0.674,-165.303,175.9713,17.8805,58.6976
959.806,0.53,-165.306,175.9715,17.881,58.6968
959.813,0.424,-165.301,175.9714,17.8805,58.6972
959.809,0.291,-165.305,175.9717,17.881,58.6972
959.806,0.162,-165.308,175.9717,17.881,58.6984
959.812,0.018,-165.304,175.9713,17.8811,58.6974
959.809,-0.111,-165.306,175.9719,17.8809,58.6967
959.816,-0.24,-165.301,175.9713,17.8806,58.6977
959.812,-0.385,-165.305,175.9716,17.881,58.6969
959.809,-0.501,-165.308,175.9721,17.8809,58.6968
959.815,-0.635,-165.304,175.9717,17.881,58.6966
959.812,-0.787,-165.307,175.9718,17.881,58.6964
959.819,-0.904,-165.302,175.9712,17.8807,58.6981
959.808,-1.058,-165.306,175.9724,17.8813,58.6971
959.813,-1.146,-165.298,175.9715,17.8811,58.6971
959.82,-1.275,-165.293,175.9709,17.8807,58.6982
959.817,-1.416,-165.296,175.9715,17.8806,58.6967
959.822,-1.951,-165.293,175.9707,17.8808,58.6979
959.812,-2.101,-165.297,175.9723,17.8808,58.6963
959.824,-2.213,-165.292,175.9709,17.8807,58.6968
