S,L,U,R,B,T
-0.0404547356087703,0.263345789679333,-0.5780294901952949,-0.32531290677386693,0.5787365645526426,1.3430571717573763
-0.04052646247599601,0.26334949133632674,-0.5780250577890915,-0.3253280758637646,-0.5787528554640264,1.3431393241639886
-0.04059787276109098,0.2633539839149665,-0.578019258809526,-0.3253433420619071,-0.5787700305019782,1.3432211597989823
-0.040669581579336526,0.26335770118276663,-0.5780144588729916,-0.3253586501550699,-0.5787863343650291,1.3433033108325232
-0.040741290992746565,0.2633614224752645,-0.5780096538139793,-0.3253739547091073,-0.5788026376595847,1.3433854589764178
-0.040812999993870204,0.26336515040886477,-0.5780048402563179,-0.3253892555676201,-0.5788189433243267,1.343467603151807
-0.040884708578571904,0.2633688849922814,-0.5780000181886725,-0.32540455272999,-0.5788352513689083,1.343549743354248
-0.04095641674610635,0.26337262622547014,-0.5779951876110266,-0.32541984619613545,-0.578851561793093,1.3436318795829396
-0.041028124495739685,0.26337637410836,-0.577990348523398,-0.32543513596597673,-0.5788678745966122,1.343714011837092
-0.04109983182673812,0.26338012864087845,-0.5779855009258055,-0.325450422039434,-0.5788841897791972,1.3437961401159155
-0.04117153873836794,0.2633838898229529,-0.577980644818268,-0.3254657044164279,-0.5789005073405797,1.3438782644186211
-0.04124324522989533,0.26338765765451033,-0.577975780200806,-0.3254809830968791,-0.5789168272804904,1.3439603847444197
-0.041314951300586676,0.2633914321354788,-0.5779709070734371,-0.32549625808070853,-0.5789331495986615,1.344042501092522
-0.04138665694970824,0.2633952132657848,-0.5779660254361819,-0.3255115293678374,-0.5789494742948237,1.3441246134621403
-0.04145836217652638,0.2633990010453558,-0.5779611352890587,-0.3255267969581868,-0.5789658013687089,1.3442067218524851
-0.04153006698030749,0.26340279547411855,-0.5779562366320871,-0.32554206085167803,-0.5789821308200491,1.3442888262627686
-0.04160177136031794,0.26340659655199966,-0.5779513294652864,-0.32555732104823276,-0.578998462648576,1.344370926692202
-0.04167347531582417,0.26341040427892615,-0.5779464137886757,-0.3255725775477728,-0.5790147968540212,1.344453023139998
-0.04174517884609263,0.2634142186548236,-0.5779414896022753,-0.3255878303502198,-0.5790311334361171,1.3445351156053682
-0.04181688195038979,0.26341803967961996,-0.5779365569061032,-0.32560307945549616,-0.5790474723945953,1.3446172040875253
-0.04188858462798218,0.2634218673532402,-0.57793161570018,-0.325618324863524,-0.5790638137291881,1.3446992885856817
-0.04196028687813627,0.26342570167561075,-0.5779266659845245,-0.3256335665742255,-0.579080157439628,1.3447813690990498
-0.04203198870011868,0.26342954264665824,-0.5779217077591567,-0.3256488045875238,-0.5790965035256465,1.3448634456268431
-0.04210369009319595,0.26343339026630735,-0.5779167410240958,-0.32566403890334106,-0.5791128519869768,1.344945518168274
-0.042175391056634697,0.26343724453448547,-0.5779117657793614,-0.32567926952160053,-0.5791292028233508,1.3450275867225558
-0.04224709158970156,0.26344110545111693,-0.577906782024973,-0.3256944964422252,-0.5791455560345015,1.3451096512889025
-0.04231879169166319,0.2634449730161278,-0.5779017897609506,-0.3257097196651385,-0.5791619116201608,1.3451917118665269
-0.04239049136178634,0.2634488472294426,-0.5778967889873144,-0.3257249391902637,-0.5791782695800622,1.3452737684546432
-0.042462190599337604,0.2634527280909884,-0.5778917797040819,-0.3257401550175244,-0.5791946299139382,1.3453558210524648
-0.04253388940358386,0.2634566156006882,-0.5778867619112757,-0.32575536714684444,-0.5792109926215216,1.3454378696592066
-0.04260558777379177,0.2634605097584688,-0.5778817356089133,-0.32577057557814776,-0.5792273577025455,1.3455199142740821
-0.04267728570922816,0.2634644105642537,-0.5778767007970158,-0.32578578031135824,-0.5792437251567429,1.3456019548963056
-0.04274898320915985,0.2634683180179685,-0.5778716574756027,-0.3258009813464005,-0.5792600949838466,1.3456839915250927
-0.042820680272853726,0.2634722321195374,-0.5778666056446935,-0.32581617868319895,-0.5792764671835903,1.3457660241596572
-0.04289237689957661,0.2634761528688851,-0.5778615453043089,-0.325831372321678,-0.5792928417557068,1.3458480527992145
-0.04296407308859544,0.2634800802659364,-0.5778564764544677,-0.32584656226176295,-0.5793092186999297,1.34593007744298
-0.04303576883917709,0.26348401431061436,-0.5778513990951913,-0.325861748503378,-0.5793255980159925,1.3460120980901684
-0.043107464150588595,0.2634879550028444,-0.5778463132264982,-0.32587693104644877,-0.5793419797036288,1.3460941147399956
-0.04317915902209689,0.2634919023425493,-0.5778412188484094,-0.3258921098909003,-0.5793583637625723,1.3461761273916768
-0.04325085345296901,0.263495856329654,-0.5778361159609448,-0.32590728503665833,-0.5793747501925565,1.3462581360444286
-0.04332254744247195,0.26349981696408187,-0.5778310045641241,-0.32592245648364837,-0.579391138993315,1.346340140697466
-0.043394240989872816,0.2635037842457565,-0.5778258846579674,-0.32593762423179623,-0.5794075301645821,1.346422141350006
-0.04346593409443867,0.2635077581746009,-0.5778207562424958,-0.3259527882810278,-0.5794239237060915,1.3465041380012646
-0.04353762675543666,0.26351173875053924,-0.5778156193177285,-0.3259679486312694,-0.5794403196175774,1.3465861306504585
-0.04360931897213395,0.26351572597349376,-0.5778104738836867,-0.32598310528244717,-0.579456717898774,1.3466681192968042
-0.0436810107437976,0.2635197198433888,-0.5778053199403892,-0.32599825823448764,-0.5794731185494152,1.3467501039395184
-0.04375270206969492,0.2635237203601468,-0.5778001574878571,-0.3260134074873174,-0.5794895215692356,1.3468320845778183
-0.04382439294909315,0.26352772752369,-0.5777949865261114,-0.32602855304086364,-0.5795059269579691,1.3469140612109218
-0.04389608338125947,0.26353174133394214,-0.5777898070551711,-0.3260436948950528,-0.5795223347153509,1.3469960338380453
-0.04396777336546122,0.2635357617908251,-0.577784619075058,-0.32605883304981254,-0.5795387448411148,1.3470780024584073
-0.04403946290096568,0.2635397888942619,-0.5777794225857911,-0.3260739675050697,-0.5795551573349961,1.3471599670712244
-0.04411115198704021,0.2635438226441745,-0.5777742175873918,-0.32608909826075233,-0.5795715721967288,1.347241927675716
-0.04418284062295214,0.26354786304048516,-0.5777690040798805,-0.3261042253167876,-0.5795879894260484,1.3473238842710988
-0.0442545288079689,0.2635519100831158,-0.5777637820632774,-0.3261193486731035,-0.5796044090226895,1.3474058368565915
-0.044326216541357925,0.2635559637719887,-0.5777585515376035,-0.3261344683296281,-0.5796208309863868,1.3474877854314131
-0.0443979038223866,0.2635600241070262,-0.5777533125028782,-0.32614958428628954,-0.5796372553168759,1.3475697299947818
-0.04446959065032249,0.263564091088149,-0.5777480649591239,-0.3261646965430164,-0.5796536820138912,1.3476516705459165
-0.04454127702443298,0.26356816471527983,-0.5777428089063594,-0.3261798050997366,-0.5796701110771688,1.3477336070840356
-0.04461296294398571,0.2635722449883388,-0.5777375443446071,-0.32619490995637934,-0.5796865425064434,1.347815539608359
-0.044684648408248234,0.26357633190724844,-0.5777322712738862,-0.3262100111128732,-0.5797029763014507,1.347897468118106
-0.044756333416488055,0.26358042547192895,-0.5777269896942189,-0.3262251085691473,-0.5797194124619257,1.3479793926124957
-0.04482801796797289,0.2635845256823028,-0.5777216996056244,-0.3262402023251309,-0.5797358509876044,1.348061313090748
-0.04489970206197035,0.2635886325382891,-0.5777164010081253,-0.3262552923807533,-0.5797522918782222,1.3481432295520828
-0.044971385697748084,0.26359274603981037,-0.5777110939017408,-0.32627037873594383,-0.5797687351335151,1.3482251419957199
-0.045043068874573815,0.2635968661867864,-0.5777057782864928,-0.32628546139063247,-0.5797851807532186,1.3483070504208796
-0.045114751591715296,0.26360099297913836,-0.5777004541624013,-0.3263005403447489,-0.579801628737069,1.3483889548267822
-0.04518643384844022,0.2636051264167865,-0.5776951215294879,-0.3263156155982232,-0.5798180790848018,1.3484708552126485
-0.045258115644016446,0.26360926649965055,-0.5776897803877741,-0.3263306871509857,-0.5798345317961531,1.3485527515776992
-0.04532979697771168,0.2636134132276517,-0.5776844307372796,-0.3263457550029663,-0.5798509868708593,1.3486346439211547
-0.045401477848793906,0.26361756660070945,-0.5776790725780263,-0.32636081915409615,-0.5798674443086566,1.348716532242237
-0.04547315825653093,0.26362172661874406,-0.5776737059100345,-0.3263758796043055,-0.5798839041092815,1.3487984165401663
