X,Y,Z,Rx,Ry,Rz,Time
958.658,21.563,-165.464,175.9833,17.8925,58.6936,0.0
958.658,21.499,-165.464,175.9833,17.8925,58.6936,0.04
958.658,21.435,-165.464,175.9833,17.8925,58.6936,0.08
958.658,21.371,-165.464,175.9833,17.8925,58.6936,0.12
958.658,21.307,-165.464,175.9833,17.8925,58.6936,0.16
958.658,21.243,-165.464,175.9833,17.8925,58.6936,0.2
958.658,21.18,-165.464,175.9833,17.8925,58.6936,0.24
958.658,21.116,-165.464,175.9833,17.8925,58.6936,0.28
958.658,21.052,-165.464,175.9833,17.8925,58.6936,0.32
958.658,20.988,-165.464,175.9833,17.8925,58.6936,0.36
958.658,20.924,-165.464,175.9833,17.8925,58.6936,0.4
958.658,20.86,-165.464,175.9833,17.8925,58.6936,0.44
958.658,20.796,-165.464,175.9833,17.8925,58.6936,0.48
958.658,20.732,-165.464,175.9833,17.8925,58.6936,0.52
958.658,20.668,-165.464,175.9833,17.8925,58.6936,0.56
958.658,20.604,-165.464,175.9833,17.8925,58.6936,0.6
958.658,20.54,-165.464,175.9833,17.8925,58.6936,0.64
958.658,20.477,-165.464,175.9833,17.8925,58.6936,0.68
958.658,20.413,-165.463,175.9833,17.8925,58.6936,0.72
958.658,20.349,-165.463,175.9833,17.8925,58.6936,0.76
958.658,20.285,-165.463,175.9833,17.8925,58.6936,0.8
958.658,20.221,-165.463,175.9833,17.8925,58.6936,0.84
958.658,20.157,-165.463,175.9833,17.8925,58.6936,0.88
958.657,20.093,-165.463,175.9833,17.8925,58.6936,0.92
958.657,20.029,-165.463,175.9833,17.8925,58.6936,0.96
958.657,19.965,-165.463,175.9833,17.8925,58.6936,1.0
958.657,19.901,-165.463,175.9833,17.8925,58.6936,1.04
958.657,19.838,-165.463,175.9833,17.8925,58.6936,1.08
958.657,19.774,-165.463,175.9833,17.8925,58.6936,1.12
958.657,19.71,-165.463,175.9833,17.8925,58.6936,1.16
958.657,19.646,-165.463,175.9833,17.8925,58.6936,1.2
958.657,19.582,-165.463,175.9833,17.8925,58.6936,1.24
958.657,19.518,-165.463,175.9833,17.8925,58.6936,1.28
958.657,19.454,-165.463,175.9833,17.8925,58.6936,1.32
958.657,19.39,-165.463,175.9833,17.8925,58.6936,1.36
958.657,19.326,-165.463,175.9833,17.8925,58.6936,1.4000000000000001
958.657,19.262,-165.463,175.9833,17.8925,58.6936,1.44
958.657,19.198,-165.463,175.9833,17.8925,58.6936,1.48
958.657,19.135,-165.463,175.9833,17.8925,58.6936,1.52
958.657,19.071,-165.463,175.9833,17.8925,58.6936,1.56
958.657,19.007,-165.463,175.9833,17.8925,58.6936,1.6
958.657,18.943,-165.463,175.9833,17.8925,58.6936,1.6400000000000001
958.657,18.879,-165.463,175.9833,17.8925,58.6936,1.68
958.657,18.815,-165.463,175.9833,17.8925,58.6936,1.72
958.657,18.751,-165.463,175.9833,17.8925,58.6936,1.76
958.657,18.687,-165.463,175.9833,17.8925,58.6936,1.8
958.657,18.623,-165.463,175.9833,17.8925,58.6936,1.84
958.657,18.559,-165.463,175.9833,17.8925,58.6936,1.8800000000000001
958.657,18.495,-165.463,175.9833,17.8925,58.6936,1.92
958.657,18.432,-165.463,175.9833,17.8925,58.6936,1.96
958.657,18.368,-165.463,175.9833,17.8925,58.6936,2.0
958.657,18.304,-165.463,175.9833,17.8925,58.6936,2.04
958.657,18.24,-165.462,175.9833,17.8925,58.6936,2.08
958.657,18.176,-165.462,175.9833,17.8925,58.6936,2.12
958.657,18.112,-165.462,175.9833,17.8925,58.6936,2.16
958.657,18.048,-165.462,175.9833,17.8925,58.6936,2.2
958.657,17.984,-165.462,175.9833,17.8925,58.6936,2.24
958.657,17.92,-165.462,175.9833,17.8925,58.6936,2.2800000000000002
958.657,17.856,-165.462,175.9833,17.8925,58.6936,2.32
958.657,17.792,-165.462,175.9833,17.8925,58.6936,2.36
958.657,17.729,-165.462,175.9833,17.8925,58.6936,2.4
958.657,17.665,-165.462,175.9833,17.8925,58.6936,2.44
958.657,17.601,-165.462,175.9833,17.8925,58.6936,2.48
958.657,17.537,-165.462,175.9833,17.8925,58.6936,2.52
958.657,17.473,-165.462,175.9833,17.8925,58.6936,2.56
958.657,17.409,-165.462,175.9833,17.8925,58.6936,2.6
958.657,17.345,-165.462,175.9833,17.8925,58.6936,2.64
958.657,17.281,-165.462,175.9833,17.8925,58.6936,2.68
958.657,17.217,-165.462,175.9833,17.8925,58.6936,2.72
958.656,17.153,-165.462,175.9833,17.8925,58.6936,2.7600000000000002
