X,Y,Z,Rx,Ry,Rz
958.636,-31.078,-165.44,175.9835,17.8922,58.6941
958.636,-31.437,-165.44,175.9835,17.8922,58.6941
958.636,-31.797,-165.44,175.9835,17.8922,58.6941
958.636,-32.156,-165.44,175.9835,17.8922,58.6941
958.636,-32.516,-165.439,175.9835,17.8922,58.6941
958.635,-32.875,-165.439,175.9835,17.8922,58.6941
958.635,-33.235,-165.439,175.9835,17.8922,58.6941
958.635,-33.594,-165.439,175.9835,17.8922,58.6941
958.635,-33.954,-165.439,175.9835,17.8922,58.6941
958.635,-34.313,-165.439,175.9835,17.8922,58.6941
958.635,-34.673,-165.438,175.9835,17.8922,58.6941
958.635,-35.032,-165.438,175.9835,17.8922,58.6941
958.635,-35.392,-165.438,175.9835,17.8922,58.6941
958.635,-35.751,-165.438,175.9835,17.8922,58.6941
958.635,-36.111,-165.438,175.9835,17.8922,58.6941
958.634,-36.47,-165.438,175.9835,17.8922,58.6941
958.634,-36.83,-165.437,175.9835,17.8922,58.6941
958.634,-37.189,-165.437,175.9835,17.8922,58.6941
958.634,-37.549,-165.437,175.9835,17.8922,58.6941
958.634,-37.908,-165.437,175.9835,17.8922,58.6941
958.634,-38.268,-165.437,175.9835,17.8922,58.6941
958.634,-38.627,-165.437,175.9835,17.8922,58.6941
958.634,-38.987,-165.436,175.9835,17.8922,58.6941
958.634,-39.346,-165.436,175.9835,17.8922,58.6941
958.634,-39.706,-165.436,175.9835,17.8922,58.6941
958.633,-40.065,-165.436,175.9835,17.8922,58.6941
958.633,-40.425,-165.436,175.9835,17.8922,58.6941
958.633,-40.784,-165.436,175.9835,17.8922,58.6941
958.633,-41.144,-165.435,175.9835,17.8922,58.6941
958.633,-41.503,-165.435,175.9835,17.8922,58.6941
958.633,-41.863,-165.435,175.9835,17.8922,58.6941
958.633,-42.222,-165.435,175.9835,17.8922,58.6941
958.633,-42.582,-165.435,175.9835,17.8922,58.6941
958.633,-42.941,-165.435,175.9835,17.8922,58.6941
958.633,-43.301,-165.434,175.9835,17.8922,58.6941
958.632,-43.66,-165.434,175.9835,17.8922,58.6941
958.632,-44.02,-165.434,175.9835,17.8922,58.6941
958.632,-44.379,-165.434,175.9835,17.8922,58.6941
958.632,-44.739,-165.434,175.9835,17.8922,58.6941
958.632,-45.098,-165.434,175.9835,17.8922,58.6941
958.632,-45.458,-165.433,175.9835,17.8922,58.6941
958.632,-45.817,-165.433,175.9835,17.8922,58.6941
958.632,-46.177,-165.433,175.9835,17.8922,58.6941
958.632,-46.536,-165.433,175.9835,17.8922,58.6941
958.632,-46.896,-165.433,175.9835,17.8922,58.6941
958.631,-47.255,-165.433,175.9835,17.8922,58.6941
958.631,-47.615,-165.433,175.9835,17.8922,58.6941
958.631,-47.974,-165.432,175.9835,17.8922,58.6941
958.631,-48.334,-165.432,175.9835,17.8922,58.6941
958.631,-48.693,-165.432,175.9835,17.8922,58.6941
958.631,-49.053,-165.432,175.9835,17.8922,58.6941
958.631,-49.412,-165.432,175.9835,17.8922,58.6941
958.631,-49.772,-165.432,175.9835,17.8922,58.6941
958.631,-50.131,-165.431,175.9835,17.8922,58.6941
958.631,-50.491,-165.431,175.9835,17.8922,58.6941
958.63,-50.85,-165.431,175.9835,17.8922,58.6941
958.63,-51.21,-165.431,175.9835,17.8922,58.6941
958.63,-51.569,-165.431,175.9835,17.8922,58.6941
958.63,-51.929,-165.431,175.9835,17.8922,58.6941
958.63,-52.288,-165.43,175.9835,17.8922,58.6941
958.63,-52.648,-165.43,175.9835,17.8922,58.6941
958.63,-53.007,-165.43,175.9835,17.8922,58.6941
958.63,-53.367,-165.43,175.9835,17.8922,58.6941
958.63,-53.726,-165.43,175.9835,17.8922,58.6941
958.63,-54.086,-165.43,175.9835,17.8922,58.6941
958.629,-54.445,-165.429,175.9835,17.8922,58.6941
958.629,-54.805,-165.429,175.9835,17.8922,58.6941
958.629,-55.164,-165.429,175.9835,17.8922,58.6941
958.629,-55.524,-165.429,175.9835,17.8922,58.6941
958.629,-55.883,-165.429,175.9835,17.8922,58.6941
958.629,-56.243,-165.429,175.9835,17.8922,58.6941
958.629,-56.602,-165.428,175.9835,17.8922,58.6941
958.629,-56.962,-165.428,175.9835,17.8922,58.6941
958.629,-57.321,-165.428,175.9835,17.8922,58.6941
958.629,-57.681,-165.428,175.9835,17.8922,58.6941
958.628,-58.04,-165.428,175.9835,17.8922,58.6941
958.628,-58.4,-165.428,175.9835,17.8922,58.6941
958.628,-58.759,-165.427,175.9835,17.8922,58.6941
958.628,-59.119,-165.427,175.9835,17.8922,58.6941
958.628,-59.478,-165.427,175.9835,17.8922,58.6941
958.628,-59.838,-165.427,175.9835,17.8922,58.6941
958.628,-60.197,-165.427,175.9835,17.8922,58.6941
958.628,-60.557,-165.427,175.9835,17.8922,58.6941
958.628,-60.916,-165.426,175.9835,17.8922,58.6941
958.628,-61.276,-165.426,175.9835,17.8922,58.6941
958.627,-61.635,-165.426,175.9835,17.8922,58.6941
958.627,-61.995,-165.426,175.9835,17.8922,58.6941
958.627,-62.354,-165.426,175.9835,17.8922,58.6941
958.627,-62.714,-165.426,175.9835,17.8922,58.6941
958.627,-63.073,-165.425,175.9835,17.8922,58.6941
958.627,-63.432,-165.425,175.9835,17.8922,58.6941
958.627,-63.792,-165.425,175.9835,17.8922,58.6941
958.627,-64.151,-165.425,175.9835,17.8922,58.6941
958.627,-64.511,-165.425,175.9835,17.8922,58.6941
958.626,-64.87,-165.425,175.9835,17.8922,58.6941
958.626,-65.23,-165.425,175.9835,17.8922,58.6941
958.626,-65.589,-165.424,175.9835,17.8922,58.6941
958.626,-65.949,-165.424,175.9835,17.8922,58.6941
958.626,-66.308,-165.424,175.9835,17.8922,58.6941
958.626,-66.668,-165.424,175.9835,17.8922,58.6941
958.626,-67.027,-165.424,175.9835,17.8922,58.6941
958.626,-67.387,-165.424,175.9835,17.8922,58.6941
958.626,-67.746,-165.423,175.9835,17.8922,58.6941
958.626,-68.106,-165.423,175.9835,17.8922,58.6941
958.625,-68.465,-165.423,175.9835,17.8922,58.6941
958.625,-68.825,-165.423,175.9835,17.8922,58.6941
958.625,-69.184,-165.423,175.9835,17.8922,58.6941
958.625,-69.544,-165.423,175.9835,17.8922,58.6941
958.625,-69.903,-165.422,175.9835,17.8922,58.6941
958.625,-70.263,-165.422,175.9835,17.8922,58.6941
958.625,-70.622,-165.422,175.9835,17.8922,58.6941
958.625,-70.982,-165.422,175.9835,17.8922,58.6941
958.625,-71.341,-165.422,175.9835,17.8922,58.6941
958.625,-71.701,-165.422,175.9835,17.8922,58.6941
958.624,-72.06,-165.421,175.9835,17.8922,58.6941
958.624,-72.42,-165.421,175.9835,17.8922,58.6941
958.624,-72.779,-165.421,175.9835,17.8922,58.6941
958.624,-73.139,-165.421,175.9835,17.8922,58.6941
958.624,-73.498,-165.421,175.9835,17.8922,58.6941
958.624,-73.858,-165.421,175.9835,17.8922,58.6941
958.624,-74.217,-165.42,175.9835,17.8922,58.6941
958.624,-74.577,-165.42,175.9835,17.8922,58.6941
958.624,-74.936,-165.42,175.9835,17.8922,58.6941
958.624,-75.296,-165.42,175.9835,17.8922,58.6941
958.623,-75.655,-165.42,175.9835,17.8922,58.6941
958.623,-76.015,-165.42,175.9835,17.8922,58.6941
958.623,-76.374,-165.419,175.9835,17.8922,58.6941
958.623,-76.734,-165.419,175.9835,17.8922,58.6941
958.623,-77.093,-165.419,175.9835,17.8922,58.6941
958.623,-77.453,-165.419,175.9835,17.8922,58.6941
958.623,-77.812,-165.419,175.9835,17.8922,58.6941
958.623,-78.172,-165.419,175.9835,17.8922,58.6941
958.623,-78.531,-165.418,175.9835,17.8922,58.6941
958.623,-78.891,-165.418,175.9835,17.8922,58.6941
958.622,-79.25,-165.418,175.9835,17.8922,58.6941
958.622,-79.61,-165.418,175.9835,17.8922,58.6941
958.622,-79.969,-165.418,175.9835,17.8922,58.6941
958.622,-80.329,-165.418,175.9835,17.8922,58.6941
958.622,-80.688,-165.418,175.9835,17.8922,58.6941
958.622,-81.048,-165.417,175.9835,17.8922,58.6941
958.622,-81.407,-165.417,175.9835,17.8922,58.6941
958.622,-81.767,-165.417,175.9835,17.8922,58.6941
958.622,-82.126,-165.417,175.9835,17.8922,58.6941
958.622,-82.486,-165.417,175.9835,17.8922,58.6941
958.621,-82.845,-165.417,175.9835,17.8922,58.6941
958.621,-83.205,-165.416,175.9835,17.8922,58.6941
958.621,-83.564,-165.416,175.9835,17.8922,58.6941
958.621,-83.924,-165.416,175.9835,17.8922,58.6941
958.621,-84.283,-165.416,175.9835,17.8922,58.6941
958.621,-84.643,-165.416,175.9835,17.8922,58.6941
958.621,-85.002,-165.416,175.9835,17.8922,58.6941
