I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,32552.0,161.7,0.0,0.0,0.0
7.0,6.0,0.0,32587.0,197.5,0.0,0.0,0.0
7.0,7.0,0.0,32617.0,226.5,0.0,0.0,0.0
8.0,7.0,0.0,32648.0,257.5,0.0,0.0,0.0
8.0,8.0,0.0,32675.0,285.5,0.0,0.0,0.0
9.0,8.0,0.0,32706.0,316.4,0.0,0.0,0.0
10.0,9.0,0.0,32739.0,349.0,0.0,0.0,0.0
10.0,10.0,0.0,32771.0,381.3,0.0,0.0,0.0
11.0,10.0,1.0,32799.0,409.0,409.0,131.0,1.0
14.0,11.0,0.0,0.0,551.3,0.0,0.0,0.0
15.0,14.0,0.0,34.0,585.4,0.0,0.0,0.0
15.0,15.0,0.0,64.0,615.5,0.0,0.0,0.0
16.0,15.0,0.0,95.0,646.4,0.0,0.0,0.0
17.0,16.0,0.0,127.0,678.4,0.0,0.0,0.0
17.0,17.0,0.0,158.0,709.8,0.0,0.0,0.0
18.0,17.0,0.0,188.0,739.8,0.0,0.0,0.0
19.0,18.0,0.0,228.0,779.7,0.0,0.0,0.0
2.0,19.0,1.0,271.0,822.6,822.6,142.0,2.0
5.0,2.0,0.0,0.0,976.9,0.0,0.0,0.0
6.0,5.0,0.0,26.0,1003.9,0.0,0.0,0.0
7.0,6.0,0.0,67.0,1044.7,0.0,0.0,0.0
7.0,7.0,0.0,96.0,1073.6,0.0,0.0,0.0
8.0,7.0,0.0,126.0,1103.5,0.0,0.0,0.0
8.0,8.0,0.0,160.0,1137.4,0.0,0.0,0.0
9.0,8.0,0.0,187.0,1164.3,0.0,0.0,0.0
10.0,9.0,0.0,218.0,1195.2,0.0,0.0,0.0
10.0,10.0,0.0,248.0,1225.1,0.0,0.0,0.0
11.0,10.0,1.0,278.0,1255.0,1255.0,148.0,1.0
14.0,11.0,0.0,0.0,1413.4,0.0,0.0,0.0
15.0,14.0,0.0,26.0,1440.3,0.0,0.0,0.0
16.0,15.0,0.0,61.0,1474.9,0.0,0.0,0.0
16.0,16.0,0.0,91.0,1504.8,0.0,0.0,0.0
17.0,16.0,0.0,121.0,1534.7,0.0,0.0,0.0
