S,L,U,R,B,T
-0.09525844264140151,0.2658418604094739,-0.5742860091159686,-0.3356575062732112,0.5917892837886494,1.40446273618916
-0.0953296945321342,0.2658510146966017,-0.5742750585745987,-0.33567025895815045,-0.5918063743173918,1.4045420397716741
-0.09540060543583188,0.26586140434266725,-0.5742621479559655,-0.33568283522390346,-0.5918251104531634,1.404620823220861
-0.09547182235502913,0.2658709900778407,-0.574250281125421,-0.3356954382074949,-0.5918429235353241,1.4046999152722652
-0.09554303928032803,0.2658805796460113,-0.5742384093520653,-0.3357080375733055,-0.5918607356825196,1.4047790037887833
-0.09561425517703534,0.265890175758863,-0.5742265291097792,-0.3357206332160275,-0.5918785500074232,1.4048580877124262
-0.09568547004095722,0.2658997784253217,-0.5742146403867494,-0.33573322513533177,-0.5918963665203534,1.404937167038952
-0.09575668387138207,0.2659093876452373,-0.5742027431829811,-0.33574581333125336,-0.5919141852211556,1.4050162417676895
-0.09582789666761005,0.26591900341843056,-0.5741908374985173,-0.33575839780382855,-0.5919320061096401,1.405095311897978
-0.09589910842894141,0.2659286257447219,-0.574178923333402,-0.33577097855309396,-0.5919498291856178,1.4051743774291585
-0.09597031915467646,0.2659382546239308,-0.5741670006876801,-0.33578355557908673,-0.5919676544488979,1.405253438360572
-0.09604152884411565,0.2659478900558766,-0.5741550695613957,-0.3357961288818434,-0.5919854818992918,1.4053324946915589
-0.0961127374965594,0.2659575320403805,-0.5741431299545913,-0.3358086984614011,-0.5920033115366101,1.4054115464214598
-0.09618394511130819,0.26596718057726076,-0.5741311818673129,-0.3358212643177973,-0.5920211433606629,1.405490593549617
-0.09625515168766265,0.2659768356663375,-0.5741192252996039,-0.3358338264510693,-0.5920389773712611,1.4055696360753713
-0.09632635722492339,0.2659864973074305,-0.5741072602515083,-0.3358463848612545,-0.5920568135682158,1.4056486739980645
-0.09639756172239114,0.26599616550035854,-0.5740952867230702,-0.33585893954839074,-0.5920746519513379,1.4057277073170387
-0.09646876517936667,0.2660058402449403,-0.5740833047143349,-0.33587149051251564,-0.5920924925204384,1.405806736031635
-0.0965399675951508,0.2660155215409959,-0.5740713142253455,-0.3358840377536674,-0.5921103352753282,1.4058857601411965
-0.09661116896904434,0.2660252093883439,-0.574059315256147,-0.33589658127188393,-0.5921281802158187,1.4059647796450652
-0.0966823693003484,0.26603490378680283,-0.5740473078067834,-0.33590912106720366,-0.5921460273417215,1.4060437945425839
-0.09675356858836387,0.2660446047361918,-0.574035291877299,-0.3359216571396649,-0.5921638766528478,1.4061228048330947
-0.09682476683239191,0.2660543122363294,-0.5740232674677381,-0.33593418948930637,-0.592181728149009,1.4062018105159413
-0.0968959640317336,0.26606402628703385,-0.5740112345781456,-0.3359467181161666,-0.5921995818300171,1.4062808115904664
-0.0969671601856902,0.2660737468881239,-0.5739991932085654,-0.33595924302028457,-0.5922174376956834,1.4063598080560131
-0.09703835529356293,0.2660834740394178,-0.5739871433590423,-0.33597176420169933,-0.5922352957458197,1.4064387999119252
-0.09710954935465316,0.26609320774073325,-0.5739750850296209,-0.3359842816604499,-0.5922531559802382,1.4065177871575463
-0.09718074236826225,0.2661029479918895,-0.5739630182203447,-0.3359967953965758,-0.5922710183987508,1.4065967697922204
-0.09725193433369167,0.26611269479270316,-0.5739509429312593,-0.33600930541011614,-0.5922888830011699,1.4066757478152911
-0.09732312525024298,0.26612244814299235,-0.5739388591624095,-0.33602181170111095,-0.5923067497873069,1.4067547212261031
-0.09739431511721773,0.2661322080425752,-0.5739267669138389,-0.3360343142695995,-0.592324618756975,1.4068336900240006
-0.09746550393391754,0.2661419744912695,-0.5739146661855926,-0.3360468131156223,-0.5923424899099857,1.4069126542083281
-0.09753669169964413,0.26615174748889225,-0.5739025569777151,-0.3360593082392188,-0.5923603632461522,1.4069916137784306
-0.09760787841369933,0.26616152703526086,-0.5738904392902514,-0.33607179964042955,-0.592378238765287,1.4070705687336529
-0.09767906407538489,0.2661713131301932,-0.5738783131232458,-0.33608428731929485,-0.592396116467202,1.40714951907334
-0.09775024868400281,0.26618110577350573,-0.573866178476743,-0.3360967712758551,-0.5924139963517111,1.4072284647968376
-0.09782143223885502,0.2661909049650157,-0.5738540353507883,-0.336109251510151,-0.5924318784186267,1.4073074059034913
-0.09789261473924343,0.2662007107045409,-0.5738418837454253,-0.33612172802222334,-0.5924497626677612,1.4073863423926465
-0.0979637961844703,0.2662105229918968,-0.5738297236607002,-0.33613420081211304,-0.5924676490989285,1.4074652742636489
-0.09803497657383768,0.26622034182690074,-0.573817555096657,-0.33614666987986097,-0.5924855377119416,1.4075442015158448
-0.09810615590664781,0.2662301672093698,-0.5738053780533406,-0.33615913522550894,-0.592503428506613,1.4076231241485808
-0.09817733418220302,0.26623999913911955,-0.5737931925307963,-0.3361715968490978,-0.5925213214827569,1.407702042161203
-0.09824851139980557,0.2662498376159673,-0.5737809985290684,-0.3361840547506693,-0.5925392166401864,1.407780955553058
-0.09831968755875793,0.2662596826397285,-0.5737687960482026,-0.33619650893026504,-0.5925571139787151,1.407859864323493
-0.09839086265836254,0.26626953421022015,-0.5737565850882431,-0.33620895938792694,-0.5925750134981566,1.4079387684718545
-0.09846203669792196,0.2662793923272581,-0.5737443656492347,-0.3362214061236969,-0.5925929151983246,1.40801766799749
-0.09853320967673873,0.2662892569906576,-0.5737321377312237,-0.336233849137617,-0.5926108190790328,1.408096562899747
-0.09860438159411558,0.2662991282002355,-0.5737199013342534,-0.3362462884297294,-0.5926287251400957,1.4081754531779727
-0.09867555244935518,0.26630900595580714,-0.5737076564583697,-0.33625872400007684,-0.5926466333813264,1.4082543388315152
-0.09874672224176036,0.26631889025718786,-0.573695403103618,-0.3362711558487018,-0.5926645438025399,1.408333219859722
-0.09881789097063401,0.26632878110419295,-0.5736831412700437,-0.33628358397564684,-0.5926824564035497,1.408412096261942
-0.09888905863527897,0.2663386784966384,-0.5736708709576908,-0.3362960083809548,-0.5927003711841705,1.4084909680375226
-0.09896022523499827,0.26634858243433945,-0.5736585921666051,-0.3363084290646689,-0.5927182881442167,1.4085698351858131
-0.09903139076909492,0.26635849291711083,-0.5736463048968318,-0.3363208460268321,-0.5927362072835026,1.4086486977061616
-0.09910255523687206,0.26636840994476835,-0.5736340091484154,-0.3363332592674876,-0.5927541286018432,1.4087275555979173
-0.0991737186376329,0.2663783335171259,-0.5736217049214027,-0.33634566878667926,-0.5927720520990526,1.4088064088604293
-0.09924488097068056,0.2663882636339995,-0.5736093922158371,-0.3363580745844501,-0.5927899777749462,1.4088852574930462
-0.09931604223531844,0.2663982002952029,-0.5735970710317652,-0.33637047666084435,-0.5928079056293386,1.4089641014951182
-0.09938720243084988,0.26640814350055153,-0.5735847413692317,-0.3363828750159058,-0.5928258356620443,1.4090429408659948
-0.0994583615565783,0.2664180932498589,-0.5735724032282825,-0.3363952696496783,-0.5928437678728791,1.4091217756050254
-0.09952951961180725,0.2664280495429403,-0.5735600566089625,-0.3364076605622062,-0.5928617022616578,1.4092006057115603
-0.09960067659584025,0.2664380123796097,-0.5735477015113172,-0.33642004775353385,-0.5928796388281958,1.4092794311849497
-0.09967183250798091,0.266447981759681,-0.5735353379353922,-0.3364324312237056,-0.5928975775723082,1.4093582520245438
-0.09974298734753288,0.26645795768296915,-0.5735229658812321,-0.33644481097276596,-0.5929155184938112,1.409437068229693
-0.09981414111380003,0.26646794014928654,-0.573510585348884,-0.3364571870007601,-0.5929334615925194,1.4095158797997487
-0.09988529380608606,0.26647792915844903,-0.5734981963383915,-0.33646955930773254,-0.592951406868249,1.4095946867340612
-0.09995644542369492,0.26648792471026905,-0.573485798849801,-0.33648192789372855,-0.5929693543208158,1.4096734890319813
-0.10002759596593054,0.26649792680456025,-0.5734733928831587,-0.3364942927587934,-0.5929873039500352,1.4097522866928613
-0.10009874543209696,0.26650793544113605,-0.5734609784385096,-0.33650665390297235,-0.5930052557557235,1.409831079716052
-0.10016989382149814,0.2665179506198106,-0.5734485555158987,-0.33651901132631074,-0.5930232097376967,1.409909868100905
-0.10024104113343835,0.2665279723403966,-0.5734361241153725,-0.33653136502885456,-0.5930411658957708,1.4099886518467724
-0.10031218736722178,0.26653800060270744,-0.5734236842369764,-0.3365437150106495,-0.593059124229762,1.4100674309530064
-0.10038333252215259,0.2665480354065562,-0.5734112358807558,-0.33655606127174126,-0.5930770847394871,1.4101462054189586
-0.10045447659753527,0.2665580767517554,-0.5733987790467573,-0.33656840381217634,-0.5930950474247616,1.4102249752439822
-0.10052561959267406,0.26656812463811896,-0.5733863137350247,-0.3365807426320006,-0.5931130122854029,1.410303740427429
-0.10059676150687355,0.2665781790654586,-0.5733738399456055,-0.3365930777312607,-0.5931309793212273,1.4103825009686524
-0.10066790233943823,0.266588240033587,-0.5733613576785453,-0.336605409110003,-0.5931489485320515,1.410461256867005
-0.10073904208967269,0.2665983075423173,-0.5733488669338892,-0.3366177367682743,-0.5931669199176921,1.4105400081218402
-0.10081018075688152,0.2666083815914614,-0.5733363677116835,-0.33663006070612134,-0.5931848934779663,1.410618754732511
-0.10088131834036956,0.26661846218083174,-0.5733238600119739,-0.33664238092359106,-0.593202869212691,1.4106974966983712
-0.10095245483944155,0.2666285493102406,-0.5733113438348064,-0.3366546974207308,-0.5932208471216832,1.4107762340187746
-0.10102359025340238,0.26663864297949985,-0.5732988191802271,-0.3366670101975877,-0.5932388272047601,1.410854966693075
-0.10109472458155686,0.26664874318842124,-0.5732862860482817,-0.33667931925420896,-0.5932568094617393,1.4109336947206261
-0.10116585782321005,0.2666588499368178,-0.5732737444390156,-0.33669162459064256,-0.5932747938924376,1.4110124181007828
-0.10123698997766703,0.2666689632245001,-0.5732611943524751,-0.3367039262069358,-0.5932927804966733,1.411091136832899
-0.10130812104423287,0.2666790830512797,-0.5732486357887074,-0.33671622410313684,-0.5933107692742631,1.4111698509163297
-0.10137925102221279,0.266689209416969,-0.5732360687477569,-0.33672851827929356,-0.5933287602250253,1.4112485603504297
-0.10145037991091195,0.26669934232137915,-0.57322349322967,-0.33674080873545403,-0.5933467533487774,1.4113272651345536
-0.10152150770963572,0.26670948176432097,-0.5732109092344937,-0.3367530954716666,-0.5933647486453371,1.4114059652680573
-0.10159263441768951,0.26671962774560587,-0.5731983167622734,-0.33676537848797977,-0.5933827461145227,1.4114846607502956
-0.10166376003437869,0.26672978026504535,-0.5731857158130551,-0.3367776577844421,-0.5934007457561521,1.4115633515806243
-0.10173488455900885,0.26673993932244955,-0.5731731063868856,-0.3367899333611022,-0.5934187475700435,1.4116420377583991
-0.10180600799088545,0.2667501049176305,-0.57316048848381,-0.3368022052180092,-0.5934367515560152,1.4117207192829762
-0.10187713032931418,0.26676027705039823,-0.5731478621038754,-0.33681447335521186,-0.5934547577138852,1.4117993961537112
