I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,30466.0,154.0,0.0,0.0,0.0
6.0,6.0,0.0,30504.0,192.0,0.0,0.0,0.0
7.0,6.0,0.0,30533.0,221.1,0.0,0.0,0.0
8.0,7.0,0.0,30563.0,250.8,0.0,0.0,0.0
8.0,8.0,0.0,30593.0,281.0,0.0,0.0,0.0
9.0,8.0,0.0,30623.0,310.9,0.0,0.0,0.0
10.0,9.0,0.0,30652.0,340.5,0.0,0.0,0.0
10.0,10.0,0.0,30687.0,375.2,0.0,0.0,0.0
11.0,10.0,1.0,30721.0,409.5,409.5,147.0,1.0
14.0,11.0,0.0,0.0,566.9,0.0,0.0,0.0
15.0,14.0,0.0,27.0,594.6,0.0,0.0,0.0
16.0,15.0,0.0,56.0,623.8,0.0,0.0,0.0
16.0,16.0,0.0,88.0,655.3,0.0,0.0,0.0
17.0,16.0,0.0,118.0,685.5,0.0,0.0,0.0
17.0,17.0,0.0,148.0,715.0,0.0,0.0,0.0
18.0,17.0,0.0,179.0,746.5,0.0,0.0,0.0
19.0,18.0,0.0,208.0,775.4,0.0,0.0,0.0
19.0,19.0,0.0,238.0,805.2,0.0,0.0,0.0
2.0,19.0,1.0,268.0,835.1,835.1,130.0,2.0
5.0,2.0,0.0,0.0,975.3,0.0,0.0,0.0
6.0,5.0,0.0,30.0,1005.4,0.0,0.0,0.0
6.0,6.0,0.0,59.0,1035.1,0.0,0.0,0.0
7.0,6.0,0.0,94.0,1070.1,0.0,0.0,0.0
8.0,7.0,0.0,124.0,1099.8,0.0,0.0,0.0
8.0,8.0,0.0,155.0,1130.8,0.0,0.0,0.0
9.0,8.0,0.0,179.0,1155.2,0.0,0.0,0.0
9.0,9.0,0.0,205.0,1180.7,0.0,0.0,0.0
10.0,9.0,0.0,237.0,1213.2,0.0,0.0,0.0
11.0,10.0,1.0,271.0,1247.1,1247.1,158.0,1.0
14.0,11.0,0.0,0.0,1411.3,0.0,0.0,0.0
15.0,14.0,0.0,25.0,1436.3,0.0,0.0,0.0
16.0,15.0,0.0,56.0,1467.9,0.0,0.0,0.0
16.0,16.0,0.0,89.0,1500.3,0.0,0.0,0.0
17.0,16.0,0.0,120.0,1531.7,0.0,0.0,0.0
18.0,17.0,0.0,147.0,1559.0,0.0,0.0,0.0
18.0,18.0,0.0,178.0,1590.2,0.0,0.0,0.0
19.0,18.0,0.0,209.0,1620.7,0.0,0.0,0.0
19.0,19.0,0.0,239.0,1650.4,0.0,0.0,0.0
2.0,19.0,1.0,269.0,1680.4,1680.4,137.0,2.0
