I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,19631.0,161.8,0.0,0.0,0.0
7.0,6.0,0.0,19666.0,196.6,0.0,0.0,0.0
7.0,7.0,0.0,19692.0,222.4,0.0,0.0,0.0
8.0,7.0,0.0,19726.0,257.2,0.0,0.0,0.0
9.0,8.0,0.0,19752.0,283.0,0.0,0.0,0.0
9.0,9.0,0.0,19782.0,312.7,0.0,0.0,0.0
10.0,9.0,0.0,19812.0,343.1,0.0,0.0,0.0
11.0,10.0,1.0,19842.0,373.0,373.0,143.0,1.0
14.0,11.0,0.0,0.0,527.1,0.0,0.0,0.0
15.0,14.0,0.0,30.0,557.4,0.0,0.0,0.0
15.0,15.0,0.0,60.0,587.3,0.0,0.0,0.0
16.0,15.0,0.0,91.0,619.0,0.0,0.0,0.0
17.0,16.0,0.0,122.0,649.4,0.0,0.0,0.0
17.0,17.0,0.0,156.0,683.7,0.0,0.0,0.0
18.0,17.0,0.0,187.0,714.6,0.0,0.0,0.0
19.0,18.0,0.0,217.0,744.5,0.0,0.0,0.0
19.0,19.0,0.0,249.0,776.8,0.0,0.0,0.0
2.0,19.0,1.0,280.0,807.2,807.2,146.0,2.0
5.0,2.0,0.0,0.0,962.3,0.0,0.0,0.0
6.0,5.0,0.0,29.0,991.6,0.0,0.0,0.0
7.0,6.0,0.0,60.0,1022.7,0.0,0.0,0.0
7.0,7.0,0.0,92.0,1055.0,0.0,0.0,0.0
8.0,7.0,0.0,123.0,1085.3,0.0,0.0,0.0
9.0,8.0,0.0,153.0,1115.5,0.0,0.0,0.0
9.0,9.0,0.0,188.0,1150.5,0.0,0.0,0.0
10.0,9.0,0.0,216.0,1178.5,0.0,0.0,0.0
11.0,10.0,1.0,245.0,1207.6,1207.6,140.0,1.0
14.0,11.0,0.0,0.0,1363.6,0.0,0.0,0.0
14.0,14.0,0.0,25.0,1389.4,0.0,0.0,0.0
15.0,14.0,0.0,55.0,1419.2,0.0,0.0,0.0
16.0,15.0,0.0,85.0,1449.3,0.0,0.0,0.0
16.0,16.0,0.0,115.0,1479.3,0.0,0.0,0.0
17.0,16.0,0.0,145.0,1509.3,0.0,0.0,0.0
18.0,17.0,0.0,175.0,1539.4,0.0,0.0,0.0
18.0,18.0,0.0,206.0,1569.4,0.0,0.0,0.0
19.0,18.0,0.0,235.0,1599.4,0.0,0.0,0.0
2.0,19.0,1.0,266.0,1630.4,1630.4,140.0,2.0
5.0,2.0,0.0,0.0,1779.6,0.0,0.0,0.0
5.0,5.0,0.0,31.0,1811.1,0.0,0.0,0.0
6.0,5.0,0.0,61.0,1841.0,0.0,0.0,0.0
7.0,6.0,0.0,95.0,1875.5,0.0,0.0,0.0
8.0,7.0,0.0,127.0,1906.6,0.0,0.0,0.0
8.0,8.0,0.0,159.0,1939.4,0.0,0.0,0.0
9.0,8.0,0.0,190.0,1969.7,0.0,0.0,0.0
10.0,9.0,0.0,219.0,1999.5,0.0,0.0,0.0
10.0,10.0,0.0,252.0,2031.7,0.0,0.0,0.0
11.0,10.0,1.0,282.0,2062.3,2062.3,150.0,1.0
14.0,11.0,0.0,0.0,2222.7,0.0,0.0,0.0
15.0,14.0,0.0,34.0,2257.1,0.0,0.0,0.0
16.0,15.0,0.0,60.0,2283.1,0.0,0.0,0.0
16.0,16.0,0.0,90.0,2313.0,0.0,0.0,0.0
17.0,16.0,0.0,120.0,2343.1,0.0,0.0,0.0
18.0,17.0,0.0,149.0,2372.7,0.0,0.0,0.0
18.0,18.0,0.0,180.0,2403.3,0.0,0.0,0.0
19.0,18.0,0.0,212.0,2434.7,0.0,0.0,0.0
19.0,19.0,0.0,242.0,2465.1,0.0,0.0,0.0
2.0,19.0,1.0,273.0,2495.9,2495.9,134.0,2.0
5.0,2.0,0.0,0.0,2641.6,0.0,0.0,0.0
6.0,5.0,0.0,29.0,2670.7,0.0,0.0,0.0
6.0,6.0,0.0,59.0,2701.2,0.0,0.0,0.0
7.0,6.0,0.0,89.0,2731.0,0.0,0.0,0.0
8.0,7.0,0.0,121.0,2763.0,0.0,0.0,0.0
8.0,8.0,0.0,151.0,2793.4,0.0,0.0,0.0
9.0,8.0,0.0,181.0,2823.1,0.0,0.0,0.0
10.0,9.0,0.0,211.0,2853.1,0.0,0.0,0.0
10.0,10.0,0.0,241.0,2883.2,0.0,0.0,0.0
11.0,10.0,1.0,275.0,2917.5,2917.5,145.0,1.0
14.0,11.0,0.0,0.0,3071.8,0.0,0.0,0.0
15.0,14.0,0.0,33.0,3105.2,0.0,0.0,0.0
16.0,15.0,0.0,72.0,3144.2,0.0,0.0,0.0
16.0,16.0,0.0,103.0,3174.9,0.0,0.0,0.0
17.0,16.0,0.0,133.0,3205.0,0.0,0.0,0.0
18.0,17.0,0.0,167.0,3239.2,0.0,0.0,0.0
19.0,18.0,0.0,197.0,3269.1,0.0,0.0,0.0
19.0,19.0,0.0,231.0,3303.3,0.0,0.0,0.0
2.0,19.0,1.0,261.0,3333.0,3333.0,136.0,2.0
5.0,2.0,0.0,0.0,3479.0,0.0,0.0,0.0
6.0,5.0,0.0,28.0,3507.6,0.0,0.0,0.0
6.0,6.0,0.0,59.0,3538.7,0.0,0.0,0.0
7.0,6.0,0.0,89.0,3568.9,0.0,0.0,0.0
7.0,7.0,0.0,120.0,3599.0,0.0,0.0,0.0
8.0,7.0,0.0,150.0,3629.0,0.0,0.0,0.0
9.0,8.0,0.0,183.0,3662.8,0.0,0.0,0.0
9.0,9.0,0.0,210.0,3689.4,0.0,0.0,0.0
10.0,9.0,0.0,240.0,3719.0,0.0,0.0,0.0
11.0,10.0,1.0,270.0,3749.3,3749.3,135.0,1.0
14.0,11.0,0.0,0.0,3894.4,0.0,0.0,0.0
14.0,14.0,0.0,27.0,3921.9,0.0,0.0,0.0
15.0,14.0,0.0,57.0,3951.7,0.0,0.0,0.0
16.0,15.0,0.0,88.0,3982.7,0.0,0.0,0.0
16.0,16.0,0.0,120.0,4015.1,0.0,0.0,0.0
17.0,16.0,0.0,156.0,4050.7,0.0,0.0,0.0
18.0,17.0,0.0,180.0,4075.3,0.0,0.0,0.0
18.0,18.0,0.0,212.0,4107.0,0.0,0.0,0.0
19.0,18.0,0.0,242.0,4136.6,0.0,0.0,0.0
19.0,19.0,0.0,273.0,4168.0,0.0,0.0,0.0
2.0,19.0,1.0,302.0,4197.3,4197.3,143.0,2.0
5.0,2.0,0.0,0.0,4350.8,0.0,0.0,0.0
6.0,5.0,0.0,31.0,4382.4,0.0,0.0,0.0
7.0,6.0,0.0,60.0,4411.6,0.0,0.0,0.0
7.0,7.0,0.0,91.0,4442.4,0.0,0.0,0.0
8.0,7.0,0.0,127.0,4478.5,0.0,0.0,0.0
9.0,8.0,0.0,152.0,4503.3,0.0,0.0,0.0
