X,Y,Z,Rx,Ry,Rz
957.76,21.179,-165.286,175.9948,17.9275,58.6613
957.753,21.139,-165.296,175.9963,17.9276,58.6606
957.764,21.092,-165.289,175.9951,17.9275,58.6595
957.76,21.039,-165.289,175.9954,17.9274,58.6598
957.772,21.008,-165.28,175.9945,17.9266,58.6589
957.764,20.963,-165.291,175.9952,17.9275,58.6608
957.76,20.922,-165.292,175.996,17.9273,58.6598
957.771,20.875,-165.284,175.9942,17.9273,58.6607
957.772,20.626,-165.279,175.9944,17.9273,58.6604
957.765,20.597,-165.29,175.9959,17.9275,58.6603
957.768,20.554,-165.29,175.9952,17.9272,58.6608
957.772,20.509,-165.282,175.995,17.9272,58.6603
957.768,20.456,-165.283,175.9953,17.9272,58.6606
957.776,20.409,-165.285,175.9948,17.9273,58.6598
957.772,20.368,-165.285,175.9951,17.9273,58.6609
957.766,20.335,-165.286,175.9955,17.9277,58.6613
957.778,20.292,-165.278,175.9947,17.9269,58.6596
957.777,20.043,-165.284,175.995,17.9275,58.6614
957.78,20.0,-165.283,175.9948,17.927,58.6599
957.784,19.943,-165.276,175.9941,17.9272,58.6607
957.777,19.903,-165.287,175.9956,17.9274,58.66
957.773,19.85,-165.287,175.9959,17.9273,58.6603
957.784,19.815,-165.279,175.9947,17.9271,58.66
957.779,19.786,-165.279,175.9955,17.9269,58.6597
957.774,19.729,-165.28,175.9955,17.9275,58.6607
957.779,19.478,-165.286,175.9953,17.9276,58.66
957.784,19.448,-165.278,175.9955,17.9271,58.6595
957.786,19.401,-165.278,175.9944,17.9274,58.6607
957.788,19.36,-165.281,175.9953,17.9272,58.6598
957.783,19.316,-165.282,175.9952,17.9277,58.6614
957.785,19.273,-165.281,175.995,17.9273,58.6599
957.789,19.24,-165.274,175.9948,17.9273,58.6601
957.783,19.187,-165.285,175.9958,17.9276,58.6607
957.785,19.156,-165.284,175.9956,17.9272,58.6599
957.795,18.906,-165.272,175.9951,17.9269,58.6593
957.796,18.871,-165.272,175.994,17.9272,58.6612
957.79,18.819,-165.283,175.9956,17.9274,58.6597
957.794,18.774,-165.276,175.9948,17.9276,58.6612
957.789,18.721,-165.276,175.9956,17.9273,58.6596
957.792,18.69,-165.275,175.9949,17.927,58.6607
957.794,18.633,-165.278,175.9954,17.9275,58.6598
957.796,18.602,-165.278,175.9952,17.927,58.659
957.8,18.557,-165.271,175.9945,17.9272,58.6605
957.8,18.3,-165.276,175.9952,17.9272,58.6609
957.794,18.255,-165.277,175.9957,17.9276,58.6606
957.806,18.212,-165.269,175.9948,17.9268,58.659
957.8,18.179,-165.269,175.9947,17.9273,58.6613
957.793,18.139,-165.28,175.9963,17.9275,58.6606
957.804,18.091,-165.272,175.9951,17.9273,58.6596
957.8,18.051,-165.272,175.9953,17.9272,58.6606
957.801,18.004,-165.272,175.9948,17.9274,58.6598
957.803,17.975,-165.275,175.9957,17.9272,58.6595
957.81,17.735,-165.27,175.9948,17.927,58.6593
957.804,17.702,-165.271,175.9953,17.9274,58.6597
957.809,17.66,-165.263,175.9949,17.927,58.6605
957.808,17.614,-165.274,175.9951,17.9275,58.6599
957.804,17.573,-165.274,175.9954,17.9274,58.661
957.815,17.526,-165.266,175.9942,17.9272,58.6599
957.81,17.497,-165.266,175.995,17.927,58.6597
957.802,17.452,-165.278,175.9956,17.9279,58.6616
957.814,17.397,-165.269,175.9948,17.9271,58.6592
957.815,17.148,-165.265,175.9944,17.9273,58.6608
957.808,17.095,-165.276,175.9954,17.9276,58.6613
957.812,17.05,-165.269,175.9952,17.9277,58.6608
957.814,17.019,-165.268,175.995,17.9272,58.66
957.819,16.978,-165.26,175.9946,17.9268,58.6609
957.811,16.934,-165.271,175.9958,17.9276,58.6608
957.824,16.878,-165.263,175.9944,17.9269,58.6604
957.818,16.834,-165.264,175.9949,17.9273,58.6601
957.815,16.596,-165.27,175.9957,17.9277,58.6606
957.817,16.553,-165.269,175.9955,17.9273,58.6592
957.821,16.52,-165.262,175.9948,17.9275,58.6613
957.824,16.477,-165.262,175.9946,17.927,58.6598
957.825,16.432,-165.265,175.9946,17.9276,58.6615
957.821,16.391,-165.265,175.9954,17.9274,58.6606
957.823,16.349,-165.264,175.9952,17.9269,58.6591
957.826,16.327,-165.257,175.995,17.927,58.66
957.826,16.28,-165.268,175.9947,17.9276,58.6614
957.825,16.042,-165.264,175.9948,17.9276,58.6617
957.827,16.011,-165.263,175.9946,17.9272,58.6609
957.829,15.955,-165.267,175.9952,17.9276,58.6599
957.824,15.914,-165.267,175.9954,17.9275,58.661
957.829,15.873,-165.259,175.9956,17.927,58.6598
957.83,15.838,-165.259,175.9951,17.9271,58.6597
957.823,15.797,-165.27,175.996,17.9274,58.6609
957.834,15.75,-165.262,175.9948,17.9273,58.6599
957.83,15.697,-165.262,175.9951,17.9272,58.6602
957.833,15.664,-165.255,175.9949,17.9272,58.6604
957.837,15.424,-165.261,175.9948,17.9274,58.6604
957.832,15.384,-165.261,175.9956,17.9272,58.6595
957.834,15.348,-165.261,175.9945,17.9275,58.6613
957.837,15.296,-165.264,175.9954,17.9273,58.6597
957.83,15.263,-165.264,175.9959,17.9277,58.6601
957.836,15.198,-165.257,175.9955,17.9273,58.6595
