I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,19630.0,160.0,0.0,0.0,0.0
7.0,6.0,0.0,19664.0,194.1,0.0,0.0,0.0
7.0,7.0,0.0,19697.0,226.8,0.0,0.0,0.0
8.0,7.0,0.0,19725.0,254.7,0.0,0.0,0.0
9.0,8.0,0.0,19764.0,293.2,0.0,0.0,0.0
9.0,9.0,0.0,19794.0,323.5,0.0,0.0,0.0
10.0,9.0,0.0,19830.0,359.9,0.0,0.0,0.0
11.0,10.0,1.0,19862.0,391.5,391.5,150.0,1.0
14.0,11.0,0.0,0.0,551.8,0.0,0.0,0.0
15.0,14.0,0.0,30.0,582.0,0.0,0.0,0.0
16.0,15.0,0.0,60.0,612.1,0.0,0.0,0.0
16.0,16.0,0.0,95.0,647.0,0.0,0.0,0.0
17.0,16.0,0.0,122.0,674.4,0.0,0.0,0.0
18.0,17.0,0.0,152.0,704.8,0.0,0.0,0.0
18.0,18.0,0.0,185.0,737.3,0.0,0.0,0.0
19.0,18.0,0.0,215.0,767.4,0.0,0.0,0.0
2.0,19.0,1.0,245.0,797.6,797.6,141.0,2.0
5.0,2.0,0.0,0.0,952.2,0.0,0.0,0.0
6.0,5.0,0.0,29.0,981.6,0.0,0.0,0.0
6.0,6.0,0.0,59.0,1011.3,0.0,0.0,0.0
7.0,6.0,0.0,91.0,1043.9,0.0,0.0,0.0
7.0,7.0,0.0,121.0,1074.1,0.0,0.0,0.0
8.0,7.0,0.0,152.0,1104.3,0.0,0.0,0.0
9.0,8.0,0.0,183.0,1136.1,0.0,0.0,0.0
9.0,9.0,0.0,213.0,1166.0,0.0,0.0,0.0
10.0,9.0,0.0,243.0,1196.0,0.0,0.0,0.0
11.0,10.0,1.0,277.0,1229.8,1229.8,136.0,1.0
14.0,11.0,0.0,0.0,1371.3,0.0,0.0,0.0
14.0,14.0,0.0,24.0,1395.6,0.0,0.0,0.0
15.0,14.0,0.0,55.0,1426.6,0.0,0.0,0.0
16.0,15.0,0.0,84.0,1456.0,0.0,0.0,0.0
16.0,16.0,0.0,115.0,1486.6,0.0,0.0,0.0
17.0,16.0,0.0,146.0,1517.6,0.0,0.0,0.0
18.0,17.0,0.0,176.0,1548.2,0.0,0.0,0.0
18.0,18.0,0.0,206.0,1578.3,0.0,0.0,0.0
19.0,18.0,0.0,240.0,1611.4,0.0,0.0,0.0
2.0,19.0,1.0,267.0,1639.2,1639.2,140.0,2.0
5.0,2.0,0.0,0.0,1788.9,0.0,0.0,0.0
5.0,5.0,0.0,30.0,1819.6,0.0,0.0,0.0
6.0,5.0,0.0,61.0,1849.9,0.0,0.0,0.0
7.0,6.0,0.0,94.0,1883.7,0.0,0.0,0.0
7.0,7.0,0.0,124.0,1913.3,0.0,0.0,0.0
8.0,7.0,0.0,154.0,1943.8,0.0,0.0,0.0
9.0,8.0,0.0,185.0,1974.3,0.0,0.0,0.0
9.0,9.0,0.0,214.0,2003.7,0.0,0.0,0.0
10.0,9.0,0.0,250.0,2038.9,0.0,0.0,0.0
11.0,10.0,1.0,279.0,2068.1,2068.1,142.0,1.0
14.0,11.0,0.0,0.0,2221.5,0.0,0.0,0.0
15.0,14.0,0.0,29.0,2251.3,0.0,0.0,0.0
15.0,15.0,0.0,60.0,2281.5,0.0,0.0,0.0
16.0,15.0,0.0,90.0,2311.6,0.0,0.0,0.0
17.0,16.0,0.0,120.0,2341.8,0.0,0.0,0.0
17.0,17.0,0.0,154.0,2375.5,0.0,0.0,0.0
18.0,17.0,0.0,188.0,2410.5,0.0,0.0,0.0
19.0,18.0,0.0,218.0,2439.9,0.0,0.0,0.0
19.0,19.0,0.0,249.0,2470.6,0.0,0.0,0.0
2.0,19.0,1.0,281.0,2502.5,2502.5,142.0,2.0
5.0,2.0,0.0,0.0,2653.6,0.0,0.0,0.0
6.0,5.0,0.0,29.0,2683.4,0.0,0.0,0.0
6.0,6.0,0.0,59.0,2713.5,0.0,0.0,0.0
7.0,6.0,0.0,89.0,2743.5,0.0,0.0,0.0
8.0,7.0,0.0,119.0,2773.2,0.0,0.0,0.0
8.0,8.0,0.0,150.0,2803.7,0.0,0.0,0.0
9.0,8.0,0.0,180.0,2833.6,0.0,0.0,0.0
10.0,9.0,0.0,210.0,2864.1,0.0,0.0,0.0
10.0,10.0,0.0,241.0,2894.6,0.0,0.0,0.0
11.0,10.0,1.0,272.0,2926.2,2926.2,146.0,1.0
14.0,11.0,0.0,0.0,3082.2,0.0,0.0,0.0
15.0,14.0,0.0,24.0,3107.1,0.0,0.0,0.0
16.0,15.0,0.0,55.0,3137.3,0.0,0.0,0.0
16.0,16.0,0.0,85.0,3167.4,0.0,0.0,0.0
17.0,16.0,0.0,115.0,3197.6,0.0,0.0,0.0
17.0,17.0,0.0,145.0,3228.2,0.0,0.0,0.0
18.0,17.0,0.0,175.0,3258.1,0.0,0.0,0.0
19.0,18.0,0.0,209.0,3291.5,0.0,0.0,0.0
19.0,19.0,0.0,240.0,3322.4,0.0,0.0,0.0
2.0,19.0,1.0,269.0,3351.4,3351.4,142.0,2.0
5.0,2.0,0.0,0.0,3505.2,0.0,0.0,0.0
6.0,5.0,0.0,31.0,3537.0,0.0,0.0,0.0
7.0,6.0,0.0,61.0,3566.8,0.0,0.0,0.0
7.0,7.0,0.0,89.0,3595.0,0.0,0.0,0.0
8.0,7.0,0.0,120.0,3625.6,0.0,0.0,0.0
9.0,8.0,0.0,151.0,3657.1,0.0,0.0,0.0
9.0,9.0,0.0,182.0,3687.5,0.0,0.0,0.0
10.0,9.0,0.0,212.0,3717.6,0.0,0.0,0.0
10.0,10.0,0.0,242.0,3747.4,0.0,0.0,0.0
11.0,10.0,1.0,272.0,3777.9,3777.9,146.0,1.0
14.0,11.0,0.0,0.0,3933.9,0.0,0.0,0.0
15.0,14.0,0.0,25.0,3959.6,0.0,0.0,0.0
16.0,15.0,0.0,55.0,3989.5,0.0,0.0,0.0
16.0,16.0,0.0,86.0,4020.2,0.0,0.0,0.0
17.0,16.0,0.0,120.0,4054.4,0.0,0.0,0.0
18.0,17.0,0.0,145.0,4079.4,0.0,0.0,0.0
18.0,18.0,0.0,175.0,4109.5,0.0,0.0,0.0
19.0,18.0,0.0,205.0,4139.5,0.0,0.0,0.0
2.0,19.0,1.0,235.0,4169.6,4169.6,127.0,2.0
5.0,2.0,0.0,0.0,4311.4,0.0,0.0,0.0
5.0,5.0,0.0,32.0,4343.6,0.0,0.0,0.0
6.0,5.0,0.0,63.0,4374.9,0.0,0.0,0.0
6.0,6.0,0.0,91.0,4402.4,0.0,0.0,0.0
7.0,6.0,0.0,121.0,4433.0,0.0,0.0,0.0
8.0,7.0,0.0,156.0,4467.9,0.0,0.0,0.0
8.0,8.0,0.0,182.0,4493.7,0.0,0.0,0.0
9.0,8.0,0.0,211.0,4523.3,0.0,0.0,0.0
10.0,9.0,0.0,242.0,4553.5,0.0,0.0,0.0
10.0,10.0,0.0,272.0,4583.7,0.0,0.0,0.0
11.0,10.0,1.0,306.0,4618.1,4618.1,144.0,1.0
14.0,11.0,0.0,0.0,4772.4,0.0,0.0,0.0
15.0,14.0,0.0,28.0,4799.8,0.0,0.0,0.0
16.0,15.0,0.0,59.0,4831.2,0.0,0.0,0.0
16.0,16.0,0.0,94.0,4865.6,0.0,0.0,0.0
17.0,16.0,0.0,123.0,4895.2,0.0,0.0,0.0
18.0,17.0,0.0,155.0,4927.2,0.0,0.0,0.0
18.0,18.0,0.0,183.0,4955.1,0.0,0.0,0.0
19.0,18.0,0.0,214.0,4985.7,0.0,0.0,0.0
19.0,19.0,0.0,244.0,5015.6,0.0,0.0,0.0
2.0,19.0,1.0,274.0,5045.6,5045.6,133.0,2.0
5.0,2.0,0.0,0.0,5191.0,0.0,0.0,0.0
6.0,5.0,0.0,28.0,5219.4,0.0,0.0,0.0
7.0,6.0,0.0,58.0,5249.4,0.0,0.0,0.0
7.0,7.0,0.0,95.0,5286.7,0.0,0.0,0.0
8.0,7.0,0.0,123.0,5315.0,0.0,0.0,0.0
9.0,8.0,0.0,153.0,5344.5,0.0,0.0,0.0
9.0,9.0,0.0,184.0,5375.8,0.0,0.0,0.0
10.0,9.0,0.0,215.0,5406.4,0.0,0.0,0.0
10.0,10.0,0.0,244.0,5435.8,0.0,0.0,0.0
11.0,10.0,1.0,274.0,5465.7,5465.7,138.0,1.0
14.0,11.0,0.0,0.0,5613.0,0.0,0.0,0.0
15.0,14.0,0.0,26.0,5639.6,0.0,0.0,0.0
15.0,15.0,0.0,57.0,5670.5,0.0,0.0,0.0
16.0,15.0,0.0,89.0,5702.6,0.0,0.0,0.0
17.0,16.0,0.0,121.0,5734.7,0.0,0.0,0.0
17.0,17.0,0.0,148.0,5761.3,0.0,0.0,0.0
18.0,17.0,0.0,180.0,5793.1,0.0,0.0,0.0
19.0,18.0,0.0,214.0,5827.9,0.0,0.0,0.0
19.0,19.0,0.0,245.0,5858.2,0.0,0.0,0.0
2.0,19.0,1.0,275.0,5888.4,5888.4,138.0,2.0
5.0,2.0,0.0,0.0,6037.4,0.0,0.0,0.0
6.0,5.0,0.0,30.0,6067.8,0.0,0.0,0.0
7.0,6.0,0.0,60.0,6097.9,0.0,0.0,0.0
7.0,7.0,0.0,94.0,6131.8,0.0,0.0,0.0
8.0,7.0,0.0,125.0,6163.2,0.0,0.0,0.0
8.0,8.0,0.0,154.0,6191.5,0.0,0.0,0.0
9.0,8.0,0.0,185.0,6222.8,0.0,0.0,0.0
10.0,9.0,0.0,217.0,6255.1,0.0,0.0,0.0
11.0,10.0,1.0,247.0,6285.4,6285.4,144.0,1.0
14.0,11.0,0.0,0.0,6443.6,0.0,0.0,0.0
15.0,14.0,0.0,29.0,6473.1,0.0,0.0,0.0
15.0,15.0,0.0,64.0,6507.7,0.0,0.0,0.0
16.0,15.0,0.0,95.0,6539.5,0.0,0.0,0.0
17.0,16.0,0.0,126.0,6569.8,0.0,0.0,0.0
17.0,17.0,0.0,156.0,6599.8,0.0,0.0,0.0
18.0,17.0,0.0,186.0,6630.5,0.0,0.0,0.0
19.0,18.0,0.0,216.0,6660.3,0.0,0.0,0.0
19.0,19.0,0.0,247.0,6691.5,0.0,0.0,0.0
2.0,19.0,1.0,279.0,6723.4,6723.4,157.0,2.0
5.0,2.0,0.0,0.0,6889.6,0.0,0.0,0.0
6.0,5.0,0.0,29.0,6918.7,0.0,0.0,0.0
7.0,6.0,0.0,53.0,6943.5,0.0,0.0,0.0
7.0,7.0,0.0,84.0,6973.7,0.0,0.0,0.0
8.0,7.0,0.0,114.0,7004.1,0.0,0.0,0.0
8.0,8.0,0.0,144.0,7033.8,0.0,0.0,0.0
9.0,8.0,0.0,174.0,7064.4,0.0,0.0,0.0
10.0,9.0,0.0,208.0,7097.9,0.0,0.0,0.0
10.0,10.0,0.0,234.0,7124.3,0.0,0.0,0.0
11.0,10.0,1.0,278.0,7168.2,7168.2,148.0,1.0
15.0,11.0,0.0,0.0,7326.3,0.0,0.0,0.0
15.0,15.0,0.0,27.0,7353.5,0.0,0.0,0.0
16.0,15.0,0.0,57.0,7383.7,0.0,0.0,0.0
17.0,16.0,0.0,87.0,7413.7,0.0,0.0,0.0
17.0,17.0,0.0,117.0,7443.5,0.0,0.0,0.0
18.0,17.0,0.0,147.0,7473.7,0.0,0.0,0.0
18.0,18.0,0.0,178.0,7504.1,0.0,0.0,0.0
19.0,18.0,0.0,208.0,7534.3,0.0,0.0,0.0
2.0,19.0,1.0,238.0,7564.8,7564.8,137.0,2.0
5.0,2.0,0.0,0.0,7713.8,0.0,0.0,0.0
6.0,5.0,0.0,32.0,7746.1,0.0,0.0,0.0
6.0,6.0,0.0,61.0,7775.5,0.0,0.0,0.0
7.0,6.0,0.0,93.0,7807.0,0.0,0.0,0.0
8.0,7.0,0.0,121.0,7835.2,0.0,0.0,0.0
8.0,8.0,0.0,151.0,7865.5,0.0,0.0,0.0
9.0,8.0,0.0,182.0,7896.4,0.0,0.0,0.0
10.0,9.0,0.0,211.0,7925.1,0.0,0.0,0.0
10.0,10.0,0.0,245.0,7959.5,0.0,0.0,0.0
11.0,10.0,1.0,277.0,7990.8,7990.8,157.0,1.0
14.0,11.0,0.0,0.0,8157.5,0.0,0.0,0.0
15.0,14.0,0.0,29.0,8187.4,0.0,0.0,0.0
16.0,15.0,0.0,59.0,8217.2,0.0,0.0,0.0
16.0,16.0,0.0,89.0,8247.1,0.0,0.0,0.0
17.0,16.0,0.0,125.0,8283.3,0.0,0.0,0.0
18.0,17.0,0.0,159.0,8316.6,0.0,0.0,0.0
18.0,18.0,0.0,183.0,8341.4,0.0,0.0,0.0
19.0,18.0,0.0,217.0,8374.7,0.0,0.0,0.0
2.0,19.0,1.0,249.0,8407.2,8407.2,141.0,2.0
5.0,2.0,0.0,0.0,8558.8,0.0,0.0,0.0
6.0,5.0,0.0,30.0,8589.2,0.0,0.0,0.0
6.0,6.0,0.0,61.0,8619.5,0.0,0.0,0.0
7.0,6.0,0.0,94.0,8652.9,0.0,0.0,0.0
8.0,7.0,0.0,120.0,8679.1,0.0,0.0,0.0
8.0,8.0,0.0,152.0,8711.6,0.0,0.0,0.0
9.0,8.0,0.0,184.0,8743.4,0.0,0.0,0.0
10.0,9.0,0.0,212.0,8771.2,0.0,0.0,0.0
10.0,10.0,0.0,244.0,8803.6,0.0,0.0,0.0
11.0,10.0,1.0,274.0,8833.4,8833.4,140.0,1.0
14.0,11.0,0.0,0.0,8984.1,0.0,0.0,0.0
15.0,14.0,0.0,26.0,9010.7,0.0,0.0,0.0
15.0,15.0,0.0,57.0,9041.6,0.0,0.0,0.0
16.0,15.0,0.0,88.0,9072.4,0.0,0.0,0.0
17.0,16.0,0.0,118.0,9102.3,0.0,0.0,0.0
17.0,17.0,0.0,148.0,9132.1,0.0,0.0,0.0
18.0,17.0,0.0,177.0,9161.4,0.0,0.0,0.0
19.0,18.0,0.0,209.0,9193.5,0.0,0.0,0.0
19.0,19.0,0.0,237.0,9221.5,0.0,0.0,0.0
2.0,19.0,1.0,267.0,9251.6,9251.6,134.0,2.0
5.0,2.0,0.0,0.0,9396.2,0.0,0.0,0.0
6.0,5.0,0.0,30.0,9426.5,0.0,0.0,0.0
6.0,6.0,0.0,63.0,9459.7,0.0,0.0,0.0
7.0,6.0,0.0,99.0,9495.3,0.0,0.0,0.0
8.0,7.0,0.0,127.0,9523.9,0.0,0.0,0.0
8.0,8.0,0.0,158.0,9554.9,0.0,0.0,0.0
9.0,8.0,0.0,187.0,9584.1,0.0,0.0,0.0
10.0,9.0,0.0,216.0,9613.1,0.0,0.0,0.0
10.0,10.0,0.0,249.0,9645.2,0.0,0.0,0.0
11.0,10.0,1.0,279.0,9675.6,9675.6,136.0,1.0
14.0,11.0,0.0,0.0,9821.7,0.0,0.0,0.0
15.0,14.0,0.0,30.0,9852.0,0.0,0.0,0.0
15.0,15.0,0.0,60.0,9882.2,0.0,0.0,0.0
16.0,15.0,0.0,93.0,9915.3,0.0,0.0,0.0
17.0,16.0,0.0,122.0,9944.3,0.0,0.0,0.0
17.0,17.0,0.0,153.0,9975.4,0.0,0.0,0.0
18.0,17.0,0.0,185.0,10007.2,0.0,0.0,0.0
19.0,18.0,0.0,215.0,10037.4,0.0,0.0,0.0
19.0,19.0,0.0,245.0,10067.6,0.0,0.0,0.0
2.0,19.0,1.0,280.0,10101.8,10101.8,148.0,2.0
5.0,2.0,0.0,0.0,10255.8,0.0,0.0,0.0
6.0,5.0,0.0,29.0,10285.7,0.0,0.0,0.0
7.0,6.0,0.0,60.0,10316.1,0.0,0.0,0.0
7.0,7.0,0.0,89.0,10345.6,0.0,0.0,0.0
8.0,7.0,0.0,123.0,10378.9,0.0,0.0,0.0
9.0,8.0,0.0,152.0,10408.3,0.0,0.0,0.0
9.0,9.0,0.0,184.0,10439.9,0.0,0.0,0.0
10.0,9.0,0.0,217.0,10473.7,0.0,0.0,0.0
11.0,10.0,1.0,243.0,10499.4,10499.4,144.0,1.0
14.0,11.0,0.0,0.0,10654.1,0.0,0.0,0.0
15.0,14.0,0.0,33.0,10687.7,0.0,0.0,0.0
15.0,15.0,0.0,61.0,10715.6,0.0,0.0,0.0
16.0,15.0,0.0,92.0,10746.6,0.0,0.0,0.0
17.0,16.0,0.0,122.0,10776.3,0.0,0.0,0.0
17.0,17.0,0.0,154.0,10808.2,0.0,0.0,0.0
18.0,17.0,0.0,184.0,10839.1,0.0,0.0,0.0
19.0,18.0,0.0,214.0,10868.2,0.0,0.0,0.0
19.0,19.0,0.0,246.0,10900.5,0.0,0.0,0.0
2.0,19.0,1.0,276.0,10930.5,10930.5,145.0,2.0
5.0,2.0,0.0,0.0,11085.9,0.0,0.0,0.0
6.0,5.0,0.0,29.0,11115.6,0.0,0.0,0.0
7.0,6.0,0.0,61.0,11146.9,0.0,0.0,0.0
7.0,7.0,0.0,93.0,11179.9,0.0,0.0,0.0
8.0,7.0,0.0,123.0,11209.1,0.0,0.0,0.0
9.0,8.0,0.0,154.0,11240.5,0.0,0.0,0.0
