X,Y,Z,Rx,Ry,Rz,Time
958.188,21.377,-164.802,175.9938,17.9382,58.6549,0.0
958.189,21.313,-164.802,175.9938,17.9382,58.6549,0.04
958.189,21.249,-164.802,175.9938,17.9382,58.6549,0.08
958.19,21.185,-164.802,175.9938,17.9382,58.6549,0.12
958.191,21.121,-164.803,175.9938,17.9382,58.6549,0.16
958.192,21.057,-164.803,175.9938,17.9382,58.6549,0.2
958.192,20.993,-164.803,175.9938,17.9382,58.6549,0.24
958.193,20.929,-164.803,175.9938,17.9382,58.6549,0.28
958.194,20.865,-164.803,175.9938,17.9382,58.6549,0.32
958.195,20.801,-164.803,175.9938,17.9382,58.6549,0.36
958.195,20.737,-164.803,175.9938,17.9382,58.6549,0.4
958.196,20.673,-164.803,175.9938,17.9382,58.6549,0.44
958.197,20.609,-164.804,175.9938,17.9382,58.6549,0.48
958.198,20.545,-164.804,175.9938,17.9382,58.6549,0.52
958.198,20.481,-164.804,175.9938,17.9382,58.6549,0.56
958.199,20.417,-164.804,175.9938,17.9382,58.6549,0.6
958.2,20.353,-164.804,175.9938,17.9382,58.6549,0.64
958.201,20.289,-164.804,175.9938,17.9382,58.6549,0.68
958.201,20.225,-164.804,175.9938,17.9382,58.6549,0.72
958.202,20.161,-164.805,175.9938,17.9382,58.6549,0.76
958.203,20.098,-164.805,175.9938,17.9382,58.6549,0.8
958.204,20.034,-164.805,175.9938,17.9382,58.6549,0.84
958.204,19.97,-164.805,175.9938,17.9382,58.6549,0.88
958.205,19.906,-164.805,175.9938,17.9382,58.6549,0.92
958.206,19.842,-164.805,175.9938,17.9382,58.6549,0.96
958.207,19.778,-164.805,175.9938,17.9382,58.6549,1.0
958.207,19.714,-164.805,175.9938,17.9382,58.6549,1.04
958.208,19.65,-164.806,175.9938,17.9382,58.6549,1.08
958.209,19.586,-164.806,175.9938,17.9382,58.6549,1.12
958.21,19.522,-164.806,175.9938,17.9382,58.6549,1.16
958.21,19.458,-164.806,175.9938,17.9382,58.6549,1.2
958.211,19.394,-164.806,175.9938,17.9382,58.6549,1.24
958.212,19.33,-164.806,175.9938,17.9382,58.6549,1.28
958.213,19.266,-164.806,175.9938,17.9382,58.6549,1.32
958.213,19.202,-164.807,175.9938,17.9382,58.6549,1.36
958.214,19.138,-164.807,175.9938,17.9382,58.6549,1.4000000000000001
958.215,19.074,-164.807,175.9938,17.9382,58.6549,1.44
958.216,19.01,-164.807,175.9938,17.9382,58.6549,1.48
958.216,18.946,-164.807,175.9938,17.9382,58.6549,1.52
958.217,18.882,-164.807,175.9938,17.9382,58.6549,1.56
958.218,18.818,-164.807,175.9938,17.9382,58.6549,1.6
958.219,18.754,-164.807,175.9938,17.9382,58.6549,1.6400000000000001
958.219,18.69,-164.808,175.9938,17.9382,58.6549,1.68
958.22,18.626,-164.808,175.9938,17.9382,58.6549,1.72
958.221,18.562,-164.808,175.9938,17.9382,58.6549,1.76
958.222,18.498,-164.808,175.9938,17.9382,58.6549,1.8
958.222,18.434,-164.808,175.9938,17.9382,58.6549,1.84
958.223,18.37,-164.808,175.9938,17.9382,58.6549,1.8800000000000001
958.224,18.306,-164.808,175.9938,17.9382,58.6549,1.92
958.225,18.242,-164.809,175.9938,17.9382,58.6549,1.96
958.225,18.178,-164.809,175.9938,17.9382,58.6549,2.0
958.226,18.114,-164.809,175.9938,17.9382,58.6549,2.04
958.227,18.05,-164.809,175.9938,17.9382,58.6549,2.08
958.228,17.986,-164.809,175.9938,17.9382,58.6549,2.12
958.228,17.922,-164.809,175.9938,17.9382,58.6549,2.16
958.229,17.858,-164.809,175.9938,17.9382,58.6549,2.2
958.23,17.794,-164.809,175.9938,17.9382,58.6549,2.24
958.231,17.73,-164.81,175.9938,17.9382,58.6549,2.2800000000000002
958.231,17.667,-164.81,175.9938,17.9382,58.6549,2.32
958.232,17.603,-164.81,175.9938,17.9382,58.6549,2.36
958.233,17.539,-164.81,175.9938,17.9382,58.6549,2.4
958.234,17.475,-164.81,175.9938,17.9382,58.6549,2.44
958.234,17.411,-164.81,175.9938,17.9382,58.6549,2.48
958.235,17.347,-164.81,175.9938,17.9382,58.6549,2.52
958.236,17.283,-164.811,175.9938,17.9382,58.6549,2.56
958.237,17.219,-164.811,175.9938,17.9382,58.6549,2.6
958.237,17.155,-164.811,175.9938,17.9382,58.6549,2.64
958.238,17.091,-164.811,175.9938,17.9382,58.6549,2.68
958.239,17.027,-164.811,175.9938,17.9382,58.6549,2.72
958.24,16.963,-164.811,175.9938,17.9382,58.6549,2.7600000000000002
958.24,16.899,-164.811,175.9938,17.9382,58.6549,2.8000000000000003
958.241,16.835,-164.811,175.9938,17.9382,58.6549,2.84
958.242,16.771,-164.812,175.9938,17.9382,58.6549,2.88
