X,Y,Z,Rx,Ry,Rz
958.506,-6.021,-164.856,175.9938,17.9383,58.6547
958.507,-6.131,-164.856,175.9938,17.9383,58.6547
958.509,-6.241,-164.856,175.9938,17.9383,58.6547
958.51,-6.351,-164.857,175.9938,17.9383,58.6547
958.511,-6.461,-164.857,175.9938,17.9383,58.6547
958.512,-6.57,-164.857,175.9938,17.9383,58.6547
958.514,-6.68,-164.857,175.9938,17.9383,58.6547
958.515,-6.79,-164.858,175.9938,17.9383,58.6547
958.516,-6.9,-164.858,175.9938,17.9383,58.6547
958.518,-7.01,-164.858,175.9938,17.9383,58.6547
958.519,-7.12,-164.858,175.9938,17.9383,58.6547
958.52,-7.23,-164.859,175.9938,17.9383,58.6547
958.521,-7.34,-164.859,175.9938,17.9383,58.6547
958.523,-7.45,-164.859,175.9938,17.9383,58.6547
958.524,-7.56,-164.859,175.9938,17.9383,58.6547
958.525,-7.669,-164.859,175.9938,17.9383,58.6547
958.527,-7.779,-164.86,175.9938,17.9383,58.6547
958.528,-7.889,-164.86,175.9938,17.9383,58.6547
958.529,-7.999,-164.86,175.9938,17.9383,58.6547
958.53,-8.109,-164.86,175.9938,17.9383,58.6547
958.532,-8.219,-164.861,175.9938,17.9383,58.6547
958.533,-8.329,-164.861,175.9938,17.9383,58.6547
958.534,-8.439,-164.861,175.9938,17.9383,58.6547
958.536,-8.549,-164.861,175.9938,17.9383,58.6547
958.537,-8.658,-164.862,175.9938,17.9383,58.6547
958.538,-8.768,-164.862,175.9938,17.9383,58.6547
958.539,-8.878,-164.862,175.9938,17.9383,58.6547
958.541,-8.988,-164.862,175.9938,17.9383,58.6547
958.542,-9.098,-164.863,175.9938,17.9383,58.6547
958.543,-9.208,-164.863,175.9938,17.9383,58.6547
958.545,-9.318,-164.863,175.9938,17.9383,58.6547
958.546,-9.428,-164.863,175.9938,17.9383,58.6547
958.547,-9.538,-164.863,175.9938,17.9383,58.6547
958.548,-9.647,-164.864,175.9938,17.9383,58.6547
958.55,-9.757,-164.864,175.9938,17.9383,58.6547
958.551,-9.867,-164.864,175.9938,17.9383,58.6547
958.552,-9.977,-164.864,175.9938,17.9383,58.6547
958.554,-10.087,-164.865,175.9938,17.9383,58.6547
958.555,-10.197,-164.865,175.9938,17.9383,58.6547
958.556,-10.307,-164.865,175.9938,17.9383,58.6547
958.557,-10.417,-164.865,175.9938,17.9383,58.6547
958.559,-10.527,-164.866,175.9938,17.9383,58.6547
958.56,-10.637,-164.866,175.9938,17.9383,58.6547
958.561,-10.746,-164.866,175.9938,17.9383,58.6547
958.563,-10.856,-164.866,175.9938,17.9383,58.6547
958.564,-10.966,-164.866,175.9938,17.9383,58.6547
958.565,-11.076,-164.867,175.9938,17.9383,58.6547
958.566,-11.186,-164.867,175.9938,17.9383,58.6547
958.568,-11.296,-164.867,175.9938,17.9383,58.6547
958.569,-11.406,-164.867,175.9938,17.9383,58.6547
958.57,-11.516,-164.868,175.9938,17.9383,58.6547
958.572,-11.626,-164.868,175.9938,17.9383,58.6547
958.573,-11.735,-164.868,175.9938,17.9383,58.6547
958.574,-11.845,-164.868,175.9938,17.9383,58.6547
958.575,-11.955,-164.869,175.9938,17.9383,58.6547
958.577,-12.065,-164.869,175.9938,17.9383,58.6547
958.578,-12.175,-164.869,175.9938,17.9383,58.6547
958.579,-12.285,-164.869,175.9938,17.9383,58.6547
958.58,-12.395,-164.87,175.9938,17.9383,58.6547
958.582,-12.505,-164.87,175.9938,17.9383,58.6547
958.583,-12.615,-164.87,175.9938,17.9383,58.6547
958.584,-12.724,-164.87,175.9938,17.9383,58.6547
958.586,-12.834,-164.87,175.9938,17.9383,58.6547
