X,Y,Z,Rx,Ry,Rz
958.196,21.125,-164.797,175.993,17.938,58.654
958.19,21.084,-164.808,175.994,17.9383,58.6553
958.186,21.032,-164.808,175.9943,17.9382,58.6556
958.197,20.996,-164.8,175.9931,17.938,58.6553
958.193,20.944,-164.8,175.9933,17.938,58.6556
958.185,20.899,-164.811,175.9945,17.9387,58.6555
958.198,20.844,-164.803,175.9931,17.9381,58.6551
958.193,20.803,-164.803,175.9939,17.9379,58.6541
958.192,20.542,-164.809,175.9943,17.9385,58.6553
958.205,20.499,-164.801,175.9929,17.9378,58.6555
958.199,20.454,-164.801,175.9934,17.9382,58.6553
958.194,20.413,-164.801,175.9942,17.938,58.6543
958.205,20.358,-164.804,175.9935,17.9377,58.6541
958.199,20.325,-164.804,175.994,17.9381,58.6545
958.201,20.294,-164.804,175.9938,17.9377,58.6537
958.205,20.249,-164.796,175.9931,17.9379,58.6552
958.204,20.0,-164.803,175.9939,17.9383,58.6551
958.207,19.957,-164.802,175.9932,17.938,58.6555
958.202,19.916,-164.802,175.994,17.9378,58.6546
958.21,19.88,-164.805,175.9935,17.938,58.6545
958.207,19.828,-164.805,175.9938,17.9379,58.6548
958.201,19.783,-164.806,175.9943,17.9383,58.6545
958.213,19.74,-164.797,175.9929,17.9376,58.6548
958.205,19.695,-164.809,175.9941,17.9384,58.6547
958.208,19.652,-164.808,175.9933,17.9381,58.6552
958.208,19.415,-164.804,175.9935,17.9382,58.6555
958.218,19.383,-164.806,175.9934,17.9377,58.6548
958.212,19.338,-164.807,175.9938,17.9381,58.6545
958.208,19.298,-164.807,175.9941,17.9381,58.6555
958.219,19.25,-164.799,175.9929,17.9379,58.6545
958.212,19.21,-164.81,175.9944,17.938,58.6537
958.214,19.174,-164.81,175.9933,17.9383,58.6556
958.218,19.134,-164.802,175.9935,17.9378,58.6544
958.213,19.077,-164.803,175.9934,17.9383,58.6554
958.219,18.841,-164.808,175.9936,17.9379,58.6548
958.214,18.796,-164.809,175.9941,17.9383,58.6545
958.226,18.753,-164.8,175.9927,17.9376,58.6548
958.218,18.72,-164.812,175.9939,17.9384,58.6554
958.22,18.677,-164.811,175.9937,17.9379,58.6539
958.224,18.632,-164.804,175.993,17.9382,58.6554
958.219,18.592,-164.804,175.9938,17.9379,58.6544
958.219,18.545,-164.814,175.9934,17.9386,58.6558
958.224,18.504,-164.807,175.9936,17.9381,58.6546
958.222,18.254,-164.813,175.9945,17.9385,58.6545
958.224,18.223,-164.812,175.9937,17.9382,58.6557
958.219,18.178,-164.813,175.9942,17.9386,58.6554
958.23,18.135,-164.805,175.9934,17.9378,58.6537
958.224,18.094,-164.815,175.9943,17.9381,58.6549
958.228,18.037,-164.808,175.9936,17.9383,58.6557
958.231,17.995,-164.808,175.9934,17.9378,58.6542
958.225,17.95,-164.808,175.9934,17.9384,58.6559
958.237,17.918,-164.8,175.9925,17.9376,58.6549
958.235,17.669,-164.806,175.9934,17.938,58.6548
958.23,17.628,-164.806,175.9937,17.9379,58.6558
958.229,17.593,-164.817,175.9938,17.9384,58.6559
958.234,17.54,-164.809,175.994,17.9379,58.654
958.236,17.505,-164.809,175.9929,17.9382,58.6559
958.231,17.464,-164.809,175.9937,17.938,58.6549
958.233,17.419,-164.813,175.9937,17.9385,58.6566
958.235,17.376,-164.812,175.9935,17.9381,58.6551
958.239,17.331,-164.805,175.9933,17.9381,58.6546
958.244,17.095,-164.81,175.9935,17.9377,58.654
958.239,17.05,-164.811,175.9935,17.9382,58.6557
958.234,17.01,-164.811,175.9943,17.938,58.6547
958.243,16.962,-164.814,175.9933,17.9383,58.6559
958.239,16.922,-164.814,175.9941,17.9381,58.6549
958.24,16.875,-164.814,175.9935,17.9383,58.6541
958.245,16.834,-164.806,175.9931,17.9379,58.6549
958.237,16.801,-164.817,175.9943,17.9386,58.6556
958.239,16.758,-164.817,175.9941,17.9382,58.6541
958.249,16.496,-164.805,175.9931,17.938,58.6548
958.242,16.468,-164.815,175.9946,17.9382,58.6547
958.243,16.432,-164.815,175.9941,17.9383,58.6546
958.248,16.391,-164.808,175.9937,17.9379,58.6554
958.249,16.344,-164.807,175.9932,17.9381,58.6546
958.243,16.304,-164.818,175.9941,17.9384,58.6558
958.253,16.256,-164.81,175.993,17.9382,58.6548
958.248,16.216,-164.81,175.9938,17.938,58.6539
958.242,16.175,-164.821,175.9948,17.9383,58.6551
958.248,15.935,-164.816,175.9939,17.9381,58.6549
958.252,15.89,-164.809,175.9937,17.9381,58.6544
958.252,15.847,-164.819,175.9937,17.9382,58.6551
958.258,15.794,-164.811,175.9933,17.9378,58.6552
958.252,15.761,-164.812,175.9938,17.9382,58.6556
958.253,15.726,-164.812,175.9932,17.9383,58.6555
958.255,15.685,-164.815,175.9941,17.9381,58.6546
958.258,15.642,-164.814,175.9934,17.9378,58.6551
958.257,15.404,-164.81,175.9935,17.9378,58.6554
958.256,15.358,-164.821,175.9937,17.9384,58.6548
958.26,15.317,-164.813,175.9939,17.9378,58.6537
958.255,15.284,-164.814,175.9938,17.9383,58.656
958.264,15.24,-164.816,175.9937,17.9379,58.6546
958.259,15.196,-164.817,175.9936,17.9385,58.6562
958.261,15.164,-164.816,175.9934,17.938,58.6554
958.265,15.108,-164.809,175.9932,17.938,58.6543
958.257,15.079,-164.82,175.9947,17.9382,58.6542
958.259,15.032,-164.819,175.9937,17.9385,58.6554
958.267,14.786,-164.817,175.9942,17.9379,58.6544
958.268,14.751,-164.817,175.9937,17.9381,58.6542
958.263,14.699,-164.817,175.9939,17.938,58.6546
958.267,14.665,-164.81,175.9938,17.9381,58.6548
958.267,14.622,-164.82,175.9937,17.9381,58.6555
958.261,14.566,-164.821,175.9942,17.9385,58.6545
958.273,14.534,-164.812,175.9928,17.9379,58.6555
958.267,14.49,-164.813,175.9933,17.9383,58.6552
958.27,14.46,-164.816,175.9942,17.9381,58.6549
958.276,14.22,-164.811,175.9933,17.9379,58.6547
958.269,14.168,-164.822,175.9943,17.9382,58.6553
958.28,14.121,-164.814,175.9931,17.938,58.6543
958.275,14.08,-164.814,175.9934,17.9379,58.6553
958.267,14.024,-164.826,175.9945,17.9387,58.6545
958.279,13.992,-164.817,175.9932,17.938,58.6555
958.273,13.959,-164.818,175.9936,17.9384,58.6559
958.268,13.907,-164.818,175.9944,17.9382,58.6542
958.276,13.883,-164.821,175.994,17.9384,58.6548
958.283,13.635,-164.815,175.9934,17.9375,58.6533
958.278,13.602,-164.816,175.9934,17.9381,58.6556
958.279,13.557,-164.819,175.9939,17.9385,58.6554
958.282,13.514,-164.819,175.9932,17.9382,58.6559
958.277,13.485,-164.819,175.994,17.938,58.6556
958.285,13.426,-164.821,175.9935,17.9381,58.6541
958.281,13.386,-164.821,175.9938,17.9381,58.6551
958.284,13.341,-164.814,175.9936,17.9381,58.6546
958.287,13.298,-164.814,175.9929,17.9378,58.6551
958.283,13.048,-164.82,175.9937,17.9382,58.655
958.288,13.019,-164.812,175.9939,17.9376,58.6545
958.287,12.972,-164.823,175.9935,17.9383,58.6559
958.282,12.931,-164.823,175.9943,17.9381,58.6549
958.293,12.884,-164.815,175.9931,17.9379,58.6539
958.288,12.855,-164.815,175.9934,17.9378,58.6556
958.28,12.811,-164.827,175.9946,17.9386,58.6555
958.292,12.767,-164.818,175.9932,17.9379,58.6558
958.288,12.506,-164.825,175.9941,17.9383,58.655
958.293,12.453,-164.817,175.9937,17.9379,58.6551
958.294,12.418,-164.817,175.9931,17.938,58.655
958.288,12.366,-164.828,175.9941,17.9383,58.6555
958.291,12.321,-164.82,175.9939,17.9384,58.655
958.293,12.29,-164.82,175.9937,17.9379,58.6542
958.295,12.233,-164.823,175.9937,17.9385,58.6552
958.297,12.202,-164.823,175.9935,17.938,58.6544
958.291,12.169,-164.823,175.994,17.9384,58.6548
958.298,11.899,-164.821,175.994,17.938,58.6544
958.299,11.864,-164.821,175.9935,17.9381,58.6543
958.304,11.823,-164.813,175.9931,17.9377,58.6551
958.303,11.788,-164.824,175.9933,17.9383,58.6552
958.298,11.747,-164.824,175.9941,17.938,58.6543
958.301,11.714,-164.817,175.9939,17.9381,58.6545
958.301,11.659,-164.827,175.9939,17.9381,58.6545
958.295,11.627,-164.828,175.9943,17.9385,58.6549
958.3,11.574,-164.82,175.994,17.9381,58.655
958.297,11.301,-164.826,175.9943,17.9386,58.6554
958.309,11.258,-164.818,175.9934,17.9378,58.6537
