I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,15647.0,167.3,0.0,0.0,0.0
6.0,6.0,0.0,15681.0,200.5,0.0,0.0,0.0
7.0,6.0,0.0,15710.0,229.7,0.0,0.0,0.0
8.0,7.0,0.0,15743.0,262.6,0.0,0.0,0.0
8.0,8.0,0.0,15769.0,288.7,0.0,0.0,0.0
9.0,8.0,0.0,15799.0,318.9,0.0,0.0,0.0
10.0,9.0,0.0,15829.0,349.3,0.0,0.0,0.0
10.0,10.0,0.0,15859.0,379.3,0.0,0.0,0.0
11.0,10.0,1.0,15893.0,412.7,412.7,144.0,1.0
14.0,11.0,0.0,0.0,568.4,0.0,0.0,0.0
15.0,14.0,0.0,32.0,601.0,0.0,0.0,0.0
16.0,15.0,0.0,66.0,635.0,0.0,0.0,0.0
16.0,16.0,0.0,92.0,661.2,0.0,0.0,0.0
17.0,16.0,0.0,122.0,690.4,0.0,0.0,0.0
18.0,17.0,0.0,153.0,721.4,0.0,0.0,0.0
18.0,18.0,0.0,182.0,751.2,0.0,0.0,0.0
19.0,18.0,0.0,217.0,785.5,0.0,0.0,0.0
2.0,19.0,1.0,242.0,810.9,810.9,142.0,2.0
5.0,2.0,0.0,0.0,966.6,0.0,0.0,0.0
5.0,5.0,0.0,28.0,995.5,0.0,0.0,0.0
6.0,5.0,0.0,58.0,1025.6,0.0,0.0,0.0
7.0,6.0,0.0,92.0,1059.0,0.0,0.0,0.0
7.0,7.0,0.0,121.0,1088.3,0.0,0.0,0.0
8.0,7.0,0.0,152.0,1119.0,0.0,0.0,0.0
9.0,8.0,0.0,184.0,1150.7,0.0,0.0,0.0
9.0,9.0,0.0,215.0,1181.8,0.0,0.0,0.0
10.0,9.0,0.0,254.0,1221.2,0.0,0.0,0.0
11.0,10.0,1.0,284.0,1251.4,1251.4,135.0,1.0
14.0,11.0,0.0,0.0,1397.2,0.0,0.0,0.0
15.0,14.0,0.0,33.0,1430.4,0.0,0.0,0.0
15.0,15.0,0.0,59.0,1456.3,0.0,0.0,0.0
16.0,15.0,0.0,91.0,1488.6,0.0,0.0,0.0
17.0,16.0,0.0,126.0,1523.5,0.0,0.0,0.0
17.0,17.0,0.0,156.0,1553.3,0.0,0.0,0.0
18.0,17.0,0.0,186.0,1583.4,0.0,0.0,0.0
19.0,18.0,0.0,221.0,1618.6,0.0,0.0,0.0
19.0,19.0,0.0,246.0,1644.0,0.0,0.0,0.0
2.0,19.0,1.0,276.0,1673.6,1673.6,134.0,2.0
5.0,2.0,0.0,0.0,1817.6,0.0,0.0,0.0
6.0,5.0,0.0,33.0,1851.6,0.0,0.0,0.0
6.0,6.0,0.0,60.0,1877.7,0.0,0.0,0.0
