S,L,U,R,B,T
-0.04038216050921114,0.2613057707623599,-0.5795873972164616,-0.3233860246143827,0.579432313762695,1.34040808759217
-0.040453997441871004,0.2613108712389282,-0.5795814453537859,-0.32340127428983967,-0.5794480520058318,1.3404902986890577
-0.040525485686769266,0.26131703802379824,-0.5795739181872493,-0.32341653612345367,-0.5794652189986662,1.3405722083844946
-0.04059727282699285,0.2613224339402138,-0.5795673854689856,-0.3234318392075118,-0.5794815123728116,1.340654432987847
-0.0406690603993309,0.2613278339035792,-0.5795608476022636,-0.3234471387287468,-0.5794978051419819,1.3407366545241834
-0.04074084739457046,0.2613332405154119,-0.5795543012262523,-0.32346243453284407,-0.5795141002530309,1.3408188719156962
-0.04081263380857121,0.26133865378434257,-0.5795477463296769,-0.32347772661919705,-0.579530397715659,1.3409010851579484
-0.040884419640588754,0.26134407371029633,-0.5795411829125245,-0.3234930149877276,-0.5795466975296519,1.3409832942501378
-0.04095620488989031,0.2613495002931689,-0.5795346109748206,-0.3235082996383599,-0.5795629996947618,1.3410654991914757
-0.04102798955574318,0.26135493353285455,-0.5795280305165919,-0.3235235805710185,-0.5795793042107409,1.3411476999811727
-0.04109977363741458,0.2613603734292505,-0.5795214415378623,-0.3235388577856278,-0.579595611077341,1.3412298966184404
-0.04117155713417195,0.26136581998225067,-0.5795148440386587,-0.3235541312821125,-0.5796119202943149,1.3413120891024901
-0.041243340045282594,0.261371273191751,-0.579508238019006,-0.3235694010603975,-0.5796282318614145,1.3413942774325336
-0.04131512237001397,0.2613767330576455,-0.57950162347893,-0.3235846671204076,-0.5796445457783931,1.3414764616077823
-0.041386904107633495,0.2613821995798295,-0.5794950004184574,-0.32359992946206845,-0.579660862045002,1.3415586416274488
-0.04145868525740866,0.26138767275819846,-0.5794883688376117,-0.3236151880853049,-0.5796771806609952,1.3416408174907446
-0.041530465818607,0.2613931525926455,-0.5794817287364211,-0.32363044299004284,-0.5796935016261244,1.3417229891968827
-0.041602245790496054,0.2613986390830661,-0.5794750801149103,-0.3236456941762079,-0.5797098249401427,1.341805156745075
-0.04167402517234342,0.26140413222935405,-0.5794684229731054,-0.32366094164372594,-0.5797261506028031,1.341887320134535
-0.04174580396341676,0.2614096320314046,-0.5794617573110314,-0.32367618539252313,-0.5797424786138586,1.341969479364475
-0.0418175821629837,0.26141513848911035,-0.5794550831287159,-0.32369142542252544,-0.5797588089730622,1.3420516344341082
