X,Y,Z,Rx,Ry,Rz,Time
957.394,21.342,-164.944,175.9975,17.9436,58.6457,0.0
957.395,21.278,-164.944,175.9975,17.9436,58.6457,0.04
957.396,21.214,-164.944,175.9975,17.9436,58.6457,0.08
957.397,21.15,-164.945,175.9975,17.9436,58.6457,0.12
957.398,21.086,-164.945,175.9975,17.9436,58.6457,0.16
957.399,21.022,-164.945,175.9975,17.9436,58.6457,0.2
957.4,20.958,-164.945,175.9975,17.9436,58.6457,0.24
957.401,20.894,-164.945,175.9975,17.9436,58.6457,0.28
957.402,20.83,-164.946,175.9975,17.9436,58.6457,0.32
957.403,20.767,-164.946,175.9975,17.9436,58.6457,0.36
957.404,20.703,-164.946,175.9975,17.9436,58.6457,0.4
957.405,20.639,-164.946,175.9975,17.9436,58.6457,0.44
957.406,20.575,-164.946,175.9975,17.9436,58.6457,0.48
957.407,20.511,-164.947,175.9975,17.9436,58.6457,0.52
957.408,20.447,-164.947,175.9975,17.9436,58.6457,0.56
957.409,20.383,-164.947,175.9975,17.9436,58.6457,0.6
957.41,20.319,-164.947,175.9975,17.9436,58.6457,0.64
957.411,20.255,-164.947,175.9975,17.9436,58.6457,0.68
957.412,20.191,-164.948,175.9975,17.9436,58.6457,0.72
957.413,20.127,-164.948,175.9975,17.9436,58.6457,0.76
957.414,20.063,-164.948,175.9975,17.9436,58.6457,0.8
957.415,19.999,-164.948,175.9975,17.9436,58.6457,0.84
957.416,19.935,-164.948,175.9975,17.9436,58.6457,0.88
957.417,19.871,-164.949,175.9975,17.9436,58.6457,0.92
957.418,19.807,-164.949,175.9975,17.9436,58.6457,0.96
957.419,19.743,-164.949,175.9975,17.9436,58.6457,1.0
957.42,19.679,-164.949,175.9975,17.9436,58.6457,1.04
957.421,19.616,-164.949,175.9975,17.9436,58.6457,1.08
957.422,19.552,-164.95,175.9975,17.9436,58.6457,1.12
957.423,19.488,-164.95,175.9975,17.9436,58.6457,1.16
957.424,19.424,-164.95,175.9975,17.9436,58.6457,1.2
957.425,19.36,-164.95,175.9975,17.9436,58.6457,1.24
957.426,19.296,-164.95,175.9975,17.9436,58.6457,1.28
957.427,19.232,-164.951,175.9975,17.9436,58.6457,1.32
957.428,19.168,-164.951,175.9975,17.9436,58.6457,1.36
957.429,19.104,-164.951,175.9975,17.9436,58.6457,1.4000000000000001
957.43,19.04,-164.951,175.9975,17.9436,58.6457,1.44
957.431,18.976,-164.951,175.9975,17.9436,58.6457,1.48
957.432,18.912,-164.952,175.9975,17.9436,58.6457,1.52
957.433,18.848,-164.952,175.9975,17.9436,58.6457,1.56
957.434,18.784,-164.952,175.9975,17.9436,58.6457,1.6
957.435,18.72,-164.952,175.9975,17.9436,58.6457,1.6400000000000001
957.436,18.656,-164.952,175.9975,17.9436,58.6457,1.68
957.437,18.592,-164.953,175.9975,17.9436,58.6457,1.72
957.438,18.528,-164.953,175.9975,17.9436,58.6457,1.76
957.439,18.465,-164.953,175.9975,17.9436,58.6457,1.8
957.44,18.401,-164.953,175.9975,17.9436,58.6457,1.84
957.441,18.337,-164.953,175.9975,17.9436,58.6457,1.8800000000000001
957.442,18.273,-164.954,175.9975,17.9436,58.6457,1.92
957.443,18.209,-164.954,175.9975,17.9436,58.6457,1.96
957.444,18.145,-164.954,175.9975,17.9436,58.6457,2.0
957.445,18.081,-164.954,175.9975,17.9436,58.6457,2.04
957.446,18.017,-164.954,175.9975,17.9436,58.6457,2.08
957.447,17.953,-164.955,175.9975,17.9436,58.6457,2.12
957.448,17.889,-164.955,175.9975,17.9436,58.6457,2.16
957.449,17.825,-164.955,175.9975,17.9436,58.6457,2.2
957.45,17.761,-164.955,175.9975,17.9436,58.6457,2.24
957.451,17.697,-164.955,175.9975,17.9436,58.6457,2.2800000000000002
957.452,17.633,-164.956,175.9975,17.9436,58.6457,2.32
957.453,17.569,-164.956,175.9975,17.9436,58.6457,2.36
957.454,17.505,-164.956,175.9975,17.9436,58.6457,2.4
957.455,17.441,-164.956,175.9975,17.9436,58.6457,2.44
957.456,17.378,-164.956,175.9975,17.9436,58.6457,2.48
957.457,17.314,-164.957,175.9975,17.9436,58.6457,2.52
957.458,17.25,-164.957,175.9975,17.9436,58.6457,2.56
957.459,17.186,-164.957,175.9975,17.9436,58.6457,2.6
957.46,17.122,-164.957,175.9975,17.9436,58.6457,2.64
957.461,17.058,-164.957,175.9975,17.9436,58.6457,2.68
957.462,16.994,-164.958,175.9975,17.9436,58.6457,2.72
957.463,16.93,-164.958,175.9975,17.9436,58.6457,2.7600000000000002
957.464,16.866,-164.958,175.9975,17.9436,58.6457,2.8000000000000003
957.465,16.802,-164.958,175.9975,17.9436,58.6457,2.84
957.466,16.738,-164.959,175.9975,17.9436,58.6457,2.88
957.467,16.674,-164.959,175.9975,17.9436,58.6457,2.92
957.468,16.61,-164.959,175.9975,17.9436,58.6457,2.96
957.469,16.546,-164.959,175.9975,17.9436,58.6457,3.0
957.47,16.482,-164.959,175.9975,17.9436,58.6457,3.04
957.471,16.418,-164.96,175.9975,17.9436,58.6457,3.08
957.472,16.354,-164.96,175.9975,17.9436,58.6457,3.12
957.473,16.29,-164.96,175.9975,17.9436,58.6457,3.16
957.474,16.227,-164.96,175.9975,17.9436,58.6457,3.2
957.475,16.163,-164.96,175.9975,17.9436,58.6457,3.24
957.476,16.099,-164.961,175.9975,17.9436,58.6457,3.2800000000000002
957.477,16.035,-164.961,175.9975,17.9436,58.6457,3.3200000000000003
957.478,15.971,-164.961,175.9975,17.9436,58.6457,3.36
957.479,15.907,-164.961,175.9975,17.9436,58.6457,3.4
957.48,15.843,-164.961,175.9975,17.9436,58.6457,3.44
957.481,15.779,-164.962,175.9975,17.9436,58.6457,3.48
957.482,15.715,-164.962,175.9975,17.9436,58.6457,3.52
957.483,15.651,-164.962,175.9975,17.9436,58.6457,3.56
957.484,15.587,-164.962,175.9975,17.9436,58.6457,3.6
957.485,15.523,-164.962,175.9975,17.9436,58.6457,3.64
957.486,15.459,-164.963,175.9975,17.9436,58.6457,3.68
957.487,15.395,-164.963,175.9975,17.9436,58.6457,3.72
957.488,15.331,-164.963,175.9975,17.9436,58.6457,3.7600000000000002
957.489,15.267,-164.963,175.9975,17.9436,58.6457,3.8000000000000003
957.49,15.203,-164.963,175.9975,17.9436,58.6457,3.84
957.491,15.139,-164.964,175.9975,17.9436,58.6457,3.88
957.492,15.076,-164.964,175.9975,17.9436,58.6457,3.92
957.493,15.012,-164.964,175.9975,17.9436,58.6457,3.96
957.494,14.948,-164.964,175.9975,17.9436,58.6457,4.0
957.495,14.884,-164.964,175.9975,17.9436,58.6457,4.04
957.496,14.82,-164.965,175.9975,17.9436,58.6457,4.08
957.497,14.756,-164.965,175.9975,17.9436,58.6457,4.12
957.498,14.692,-164.965,175.9975,17.9436,58.6457,4.16
957.499,14.628,-164.965,175.9975,17.9436,58.6457,4.2
957.5,14.564,-164.965,175.9975,17.9436,58.6457,4.24
957.501,14.5,-164.966,175.9975,17.9436,58.6457,4.28
957.502,14.436,-164.966,175.9975,17.9436,58.6457,4.32
957.503,14.372,-164.966,175.9975,17.9436,58.6457,4.36
957.504,14.308,-164.966,175.9975,17.9436,58.6457,4.4
957.505,14.244,-164.966,175.9975,17.9436,58.6457,4.44
957.506,14.18,-164.967,175.9975,17.9436,58.6457,4.48
957.507,14.116,-164.967,175.9975,17.9436,58.6457,4.5200000000000005
957.508,14.052,-164.967,175.9975,17.9436,58.6457,4.5600000000000005
957.509,13.988,-164.967,175.9975,17.9436,58.6457,4.6000000000000005
957.51,13.925,-164.967,175.9975,17.9436,58.6457,4.64
957.511,13.861,-164.968,175.9975,17.9436,58.6457,4.68
957.512,13.797,-164.968,175.9975,17.9436,58.6457,4.72
957.513,13.733,-164.968,175.9975,17.9436,58.6457,4.76
957.514,13.669,-164.968,175.9975,17.9436,58.6457,4.8
957.515,13.605,-164.968,175.9975,17.9436,58.6457,4.84
957.516,13.541,-164.969,175.9975,17.9436,58.6457,4.88
957.517,13.477,-164.969,175.9975,17.9436,58.6457,4.92
957.518,13.413,-164.969,175.9975,17.9436,58.6457,4.96
957.519,13.349,-164.969,175.9975,17.9436,58.6457,5.0
957.52,13.285,-164.969,175.9975,17.9436,58.6457,5.04
957.521,13.221,-164.97,175.9975,17.9436,58.6457,5.08
957.522,13.157,-164.97,175.9975,17.9436,58.6457,5.12
957.523,13.093,-164.97,175.9975,17.9436,58.6457,5.16
957.524,13.029,-164.97,175.9975,17.9436,58.6457,5.2
957.525,12.965,-164.97,175.9975,17.9436,58.6457,5.24
957.526,12.901,-164.971,175.9975,17.9436,58.6457,5.28
957.527,12.838,-164.971,175.9975,17.9436,58.6457,5.32
957.528,12.774,-164.971,175.9975,17.9436,58.6457,5.36
957.529,12.71,-164.971,175.9975,17.9436,58.6457,5.4
957.53,12.646,-164.971,175.9975,17.9436,58.6457,5.44
