X,Y,Z,Rx,Ry,Rz
957.395,21.278,-164.944,1759.975,179.436,586.457
957.396,21.214,-164.944,1759.975,179.436,586.457
957.397,21.15,-164.945,1759.975,179.436,586.457
957.398,21.086,-164.945,1759.975,179.436,586.457
957.399,21.022,-164.945,1759.975,179.436,586.457
957.4,20.958,-164.945,1759.975,179.436,586.457
957.401,20.894,-164.945,1759.975,179.436,586.457
957.402,20.83,-164.946,1759.975,179.436,586.457
957.403,20.767,-164.946,1759.975,179.436,586.457
957.404,20.703,-164.946,1759.975,179.436,586.457
957.405,20.639,-164.946,1759.975,179.436,586.457
957.406,20.575,-164.946,1759.975,179.436,586.457
957.407,20.511,-164.947,1759.975,179.436,586.457
957.408,20.447,-164.947,1759.975,179.436,586.457
957.409,20.383,-164.947,1759.975,179.436,586.457
957.41,20.319,-164.947,1759.975,179.436,586.457
957.411,20.255,-164.947,1759.975,179.436,586.457
957.412,20.191,-164.948,1759.975,179.436,586.457
957.413,20.127,-164.948,1759.975,179.436,586.457
957.414,20.063,-164.948,1759.975,179.436,586.457
957.415,19.999,-164.948,1759.975,179.436,586.457
957.416,19.935,-164.948,1759.975,179.436,586.457
957.417,19.871,-164.949,1759.975,179.436,586.457
957.418,19.807,-164.949,1759.975,179.436,586.457
957.419,19.743,-164.949,1759.975,179.436,586.457
957.42,19.679,-164.949,1759.975,179.436,586.457
957.421,19.616,-164.949,1759.975,179.436,586.457
957.422,19.552,-164.95,1759.975,179.436,586.457
957.423,19.488,-164.95,1759.975,179.436,586.457
957.424,19.424,-164.95,1759.975,179.436,586.457
957.425,19.36,-164.95,1759.975,179.436,586.457
957.426,19.296,-164.95,1759.975,179.436,586.457
957.427,19.232,-164.951,1759.975,179.436,586.457
957.428,19.168,-164.951,1759.975,179.436,586.457
957.429,19.104,-164.951,1759.975,179.436,586.457
957.43,19.04,-164.951,1759.975,179.436,586.457
957.431,18.976,-164.951,1759.975,179.436,586.457
957.432,18.912,-164.952,1759.975,179.436,586.457
957.433,18.848,-164.952,1759.975,179.436,586.457
957.434,18.784,-164.952,1759.975,179.436,586.457
957.435,18.72,-164.952,1759.975,179.436,586.457
957.436,18.656,-164.952,1759.975,179.436,586.457
957.437,18.592,-164.953,1759.975,179.436,586.457
957.438,18.528,-164.953,1759.975,179.436,586.457
957.439,18.465,-164.953,1759.975,179.436,586.457
957.44,18.401,-164.953,1759.975,179.436,586.457
957.441,18.337,-164.953,1759.975,179.436,586.457
957.442,18.273,-164.954,1759.975,179.436,586.457
