X,Y,Z,Rx,Ry,Rz
957.393,21.093,-164.95,175.9984,17.944,58.6456
957.396,21.038,-164.95,175.9976,17.9437,58.6453
957.399,21.005,-164.943,175.9974,17.9438,58.6455
957.403,20.962,-164.942,175.9967,17.9434,58.646
957.405,20.921,-164.945,175.9976,17.9433,58.6451
957.399,20.888,-164.946,175.9981,17.9437,58.6455
957.402,20.834,-164.945,175.9973,17.9434,58.6453
957.406,20.8,-164.938,175.9971,17.9434,58.6455
957.406,20.758,-164.948,175.9977,17.9433,58.6442
957.408,20.496,-164.943,175.9973,17.9435,58.6451
957.401,20.456,-164.954,175.9983,17.9439,58.6464
957.412,20.408,-164.946,175.9971,17.9437,58.6453
957.408,20.368,-164.946,175.9973,17.9436,58.6464
957.412,20.323,-164.939,175.9972,17.9437,58.6459
957.412,20.28,-164.949,175.9977,17.9436,58.6446
957.407,20.247,-164.95,175.9976,17.9441,58.647
957.418,20.204,-164.941,175.9968,17.9433,58.6453
957.417,19.966,-164.948,175.9976,17.9437,58.6459
957.42,19.923,-164.947,175.9969,17.9434,58.6463
957.414,19.878,-164.948,175.9974,17.9438,58.646
957.423,19.835,-164.95,175.9972,17.9434,58.6446
957.418,19.791,-164.951,175.9972,17.9439,58.6462
957.414,19.75,-164.951,175.998,17.9437,58.6453
957.419,19.697,-164.943,175.9976,17.9433,58.6454
957.418,19.662,-164.954,175.9978,17.9439,58.6455
957.423,19.621,-164.946,175.9974,17.9435,58.6463
957.429,19.358,-164.952,175.9973,17.9436,58.645
957.424,19.329,-164.952,175.9981,17.9434,58.6447
957.419,19.284,-164.953,175.998,17.944,58.6464
957.43,19.241,-164.944,175.9972,17.9432,58.6447
957.423,19.185,-164.956,175.9978,17.9441,58.6459
957.435,19.153,-164.947,175.997,17.9433,58.6449
957.431,19.112,-164.947,175.9972,17.9432,58.6459
957.423,19.068,-164.958,175.9984,17.944,58.6458
957.435,19.025,-164.95,175.9976,17.9432,58.6442
957.435,18.787,-164.946,175.9977,17.9433,58.6445
957.434,18.74,-164.956,175.9974,17.9439,58.6459
957.429,18.711,-164.956,175.9982,17.9437,58.6456
957.434,18.654,-164.949,175.9975,17.9439,58.6464
957.436,18.623,-164.949,175.9973,17.9434,58.6456
957.438,18.582,-164.952,175.9981,17.9433,58.6447
957.44,18.535,-164.951,175.9971,17.9436,58.6458
957.436,18.495,-164.952,175.9979,17.9434,58.6448
957.444,18.459,-164.954,175.9974,17.9435,58.6447
957.444,18.21,-164.95,175.997,17.9437,58.6464
957.438,18.169,-164.961,175.9985,17.9439,58.6456
957.45,18.114,-164.952,175.9971,17.9432,58.6452
957.444,18.07,-164.953,175.9976,17.9436,58.6449
957.44,18.029,-164.953,175.9979,17.9436,58.6459
957.449,17.982,-164.956,175.9974,17.9437,58.6451
957.444,17.953,-164.956,175.9982,17.9435,58.6449
957.455,17.906,-164.948,175.9965,17.9435,58.6458
957.453,17.672,-164.954,175.9977,17.9433,58.6457
957.455,17.637,-164.954,175.9972,17.9434,58.6456
957.45,17.584,-164.954,175.9974,17.9434,58.6459
957.452,17.551,-164.958,175.998,17.9438,58.6463
957.454,17.508,-164.957,175.9978,17.9434,58.6448
957.449,17.464,-164.958,175.9977,17.9439,58.6465
957.458,17.421,-164.96,175.9976,17.9435,58.645
957.453,17.376,-164.961,175.9975,17.944,58.6467
957.457,17.335,-164.953,175.9977,17.9435,58.6456
957.459,17.3,-164.953,175.9971,17.9436,58.6454
957.458,17.043,-164.959,175.9978,17.9436,58.6459
957.468,17.007,-164.951,175.9966,17.9434,58.6456
957.461,16.967,-164.961,175.9981,17.9435,58.6449
957.456,16.922,-164.962,175.9981,17.9441,58.6465
957.468,16.879,-164.954,175.9972,17.9433,58.6448
957.462,16.846,-164.954,175.9971,17.9438,58.6472
957.463,16.803,-164.964,175.9977,17.9437,58.6459
957.467,16.762,-164.956,175.9978,17.9432,58.6448
