S,L,U,R,B,T
-0.040285777022903646,0.2649950245585602,-0.5748754701451239,-0.3227052034950795,0.5804117646034533,1.3396042492790237
-0.0403574593965552,0.26499987535804026,-0.5748702735438612,-0.32271937308493415,-0.5804283239622438,1.33968527656668
-0.04042881678666667,0.2650050935837025,-0.5748634732898981,-0.32273449851624336,-0.5804456634619987,1.339766900137814
-0.04050047290563628,0.26500953212599265,-0.5748576797876123,-0.32274966512363545,-0.5804621226271908,1.3398488391409227
-0.04057212953834485,0.2650139746789094,-0.5748518811727562,-0.3227648281984991,-0.5804785811903486,1.3399307751810599
-0.04064378567640717,0.26501842387347846,-0.5748460740432758,-0.32277998758689647,-0.5804950421209483,1.3400127071790229
-0.04071544131568762,0.26502287971844984,-0.5748402583877518,-0.3227951432882239,-0.5805115054287573,1.3400946351303755
-0.040787096455444184,0.26502734221376634,-0.5748344342061708,-0.32281029530240685,-0.5805279711135496,1.3401765590343244
-0.04085875109494619,0.26503181135934323,-0.5748286014985536,-0.3228254436293718,-0.5805444391750676,1.340258478890087
-0.0409304052334631,0.26503628715509403,-0.5748227602649242,-0.32284058826904594,-0.5805609096130525,1.3403403946968822
-0.04100205887026437,0.26504076960093315,-0.5748169105053045,-0.3228557292213562,-0.5805773824272464,1.3404223064539276
-0.0410737120046195,0.2650452586967752,-0.5748110522197165,-0.3228708664862299,-0.5805938576173909,1.3405042141604424
-0.04114536463579803,0.26504975444253254,-0.574805185408185,-0.32288600006359464,-0.5806103351832272,1.3405861178156453
-0.04121701676306954,0.26505425683811973,-0.5747993100707312,-0.32290112995337783,-0.5806268151244982,1.3406680174187549
-0.04128866838570358,0.26505876588345073,-0.5747934262073777,-0.32291625615550745,-0.5806432974409454,1.3407499129689906
-0.04136031950296983,0.26506328157843817,-0.5747875338181481,-0.32293137866991145,-0.5806597821323112,1.3408318044655716
-0.04143197011413792,0.2650678039229959,-0.5747816329030652,-0.3229464974965179,-0.5806762691983373,1.3409136919077178
-0.04150362021847753,0.26507233291703725,-0.574775723462151,-0.3229616126352552,-0.5806927586387665,1.3409955752946485
-0.04157526981525842,0.26507686856047424,-0.5747698054954307,-0.32297672408605194,-0.5807092504533401,1.3410774546255841
-0.04164691890375031,0.26508141085322107,-0.5747638790029248,-0.32299183184883645,-0.5807257446418018,1.3411593298997437
-0.04171856748322298,0.26508595979518984,-0.5747579439846574,-0.3230069359235377,-0.5807422412038935,1.3412412011163484
-0.04179021555294623,0.26509051538629386,-0.5747520004406508,-0.32302203631008464,-0.5807587401393582,1.3413230682746178
-0.041861863112189944,0.26509507762644485,-0.5747460483709292,-0.3230371330084066,-0.580775241447938,1.341404931373773
-0.04193351016022399,0.2650996465155562,-0.5747400877755147,-0.32305222601843286,-0.580791745129376,1.3414867904130348
-0.042005156696318234,0.2651042220535394,-0.5747341186544311,-0.3230673153400927,-0.580808251183415,1.341568645391624
-0.042076802719742665,0.26510880424030686,-0.5747281410077014,-0.32308240097331586,-0.5808247596097981,1.3416504963087612
-0.04214844822976722,0.26511339307577086,-0.5747221548353485,-0.32309748291803225,-0.5808412704082679,1.3417323431636685
-0.04222009322566194,0.2651179885598433,-0.5747161601373959,-0.3231125611741719,-0.580857783578568,1.341814185955567
-0.04229173770669682,0.2651225906924359,-0.5747101569138667,-0.32312763574166486,-0.5808742991204413,1.3418960246836782
-0.042363381672141945,0.26512719947346064,-0.574704145164784,-0.3231427066204414,-0.5808908170336312,1.341977859347224
-0.04243502512126738,0.2651318149028292,-0.5746981248901708,-0.3231577738104323,-0.580907337317881,1.3420596899454267
-0.04250666805334329,0.26513643698045253,-0.5746920960900512,-0.32317283731156804,-0.5809238599729342,1.342141516477508
-0.042578310467639845,0.26514106570624235,-0.5746860587644482,-0.3231878971237794,-0.5809403849985342,1.3422233389426907
-0.04264995236342721,0.26514570108010893,-0.574680012913386,-0.32320295324699755,-0.5809569123944248,1.3423051573401967
-0.04272159373997559,0.26515034310196467,-0.5746739585368867,-0.32321800568115344,-0.5809734421603495,1.3423869716692494
-0.04279323459655532,0.2651549917717194,-0.5746678956349749,-0.3232330544261786,-0.5809899742960525,1.3424687819290713
-0.042864874932436584,0.2651596470892853,-0.574661824207673,-0.3232480994820046,-0.5810065088012771,1.3425505881188855
-0.042936514746889795,0.2651643090545718,-0.5746557442550053,-0.32326314084856295,-0.5810230456757677,1.3426323902379154
-0.043008154039185224,0.2651689776674896,-0.5746496557769956,-0.32327817852578544,-0.581039584919268,1.342714188285384
