X,Y,Z,Rx,Ry,Rz
960.129,-6.739,-164.932,175.9978,17.9493,58.6473
960.13,-6.849,-164.932,175.9978,17.9493,58.6473
960.131,-6.959,-164.932,175.9978,17.9493,58.6473
960.132,-7.069,-164.932,175.9978,17.9493,58.6473
960.132,-7.179,-164.932,175.9978,17.9493,58.6473
960.133,-7.289,-164.931,175.9978,17.9493,58.6473
960.134,-7.399,-164.931,175.9978,17.9493,58.6473
960.135,-7.509,-164.931,175.9978,17.9493,58.6473
960.136,-7.618,-164.931,175.9978,17.9493,58.6473
960.137,-7.728,-164.931,175.9978,17.9493,58.6473
960.138,-7.838,-164.931,175.9978,17.9493,58.6473
960.139,-7.948,-164.931,175.9978,17.9493,58.6473
960.139,-8.058,-164.93,175.9978,17.9493,58.6473
960.14,-8.168,-164.93,175.9978,17.9493,58.6473
960.141,-8.278,-164.93,175.9978,17.9493,58.6473
960.142,-8.388,-164.93,175.9978,17.9493,58.6473
960.143,-8.498,-164.93,175.9978,17.9493,58.6473
960.144,-8.608,-164.93,175.9978,17.9493,58.6473
960.145,-8.718,-164.93,175.9978,17.9493,58.6473
960.146,-8.828,-164.93,175.9978,17.9493,58.6473
960.146,-8.938,-164.93,175.9978,17.9493,58.6473
960.147,-9.048,-164.929,175.9978,17.9493,58.6473
960.148,-9.158,-164.929,175.9978,17.9493,58.6473
960.149,-9.268,-164.929,175.9978,17.9493,58.6473
960.15,-9.377,-164.929,175.9978,17.9493,58.6473
960.151,-9.487,-164.929,175.9978,17.9493,58.6473
960.152,-9.597,-164.929,175.9978,17.9493,58.6473
960.153,-9.707,-164.929,175.9978,17.9493,58.6473
960.153,-9.817,-164.928,175.9978,17.9493,58.6473
960.154,-9.927,-164.928,175.9978,17.9493,58.6473
960.155,-10.037,-164.928,175.9978,17.9493,58.6473
960.156,-10.147,-164.928,175.9978,17.9493,58.6473
960.157,-10.257,-164.928,175.9978,17.9493,58.6473
960.158,-10.367,-164.928,175.9978,17.9493,58.6473
960.159,-10.477,-164.928,175.9978,17.9493,58.6473
960.159,-10.587,-164.928,175.9978,17.9493,58.6473
960.16,-10.697,-164.927,175.9978,17.9493,58.6473
960.161,-10.807,-164.927,175.9978,17.9493,58.6473
960.162,-10.917,-164.927,175.9978,17.9493,58.6473
960.163,-11.026,-164.927,175.9978,17.9493,58.6473
960.164,-11.136,-164.927,175.9978,17.9493,58.6473
960.165,-11.246,-164.927,175.9978,17.9493,58.6473
960.166,-11.356,-164.927,175.9978,17.9493,58.6473
960.166,-11.466,-164.927,175.9978,17.9493,58.6473
960.167,-11.576,-164.926,175.9978,17.9493,58.6473
960.168,-11.686,-164.926,175.9978,17.9493,58.6473
960.169,-11.796,-164.926,175.9978,17.9493,58.6473
960.17,-11.906,-164.926,175.9978,17.9493,58.6473
960.171,-12.016,-164.926,175.9978,17.9493,58.6473
960.172,-12.126,-164.926,175.9978,17.9493,58.6473
960.173,-12.236,-164.926,175.9978,17.9493,58.6473
960.173,-12.346,-164.926,175.9978,17.9493,58.6473
960.174,-12.456,-164.926,175.9978,17.9493,58.6473
960.175,-12.566,-164.925,175.9978,17.9493,58.6473
960.176,-12.675,-164.925,175.9978,17.9493,58.6473
960.177,-12.785,-164.925,175.9978,17.9493,58.6473
960.178,-12.895,-164.925,175.9978,17.9493,58.6473
960.179,-13.005,-164.925,175.9978,17.9493,58.6473
960.18,-13.115,-164.925,175.9978,17.9493,58.6473
960.18,-13.225,-164.925,175.9978,17.9493,58.6473
960.181,-13.335,-164.924,175.9978,17.9493,58.6473
960.182,-13.445,-164.924,175.9978,17.9493,58.6473
960.183,-13.555,-164.924,175.9978,17.9493,58.6473
960.184,-13.665,-164.924,175.9978,17.9493,58.6473
960.185,-13.775,-164.924,175.9978,17.9493,58.6473
960.186,-13.885,-164.924,175.9978,17.9493,58.6473
960.187,-13.995,-164.924,175.9978,17.9493,58.6473
960.187,-14.105,-164.924,175.9978,17.9493,58.6473
960.188,-14.215,-164.924,175.9978,17.9493,58.6473
960.189,-14.325,-164.923,175.9978,17.9493,58.6473
960.19,-14.434,-164.923,175.9978,17.9493,58.6473
960.191,-14.544,-164.923,175.9978,17.9493,58.6473
960.192,-14.654,-164.923,175.9978,17.9493,58.6473
960.193,-14.764,-164.923,175.9978,17.9493,58.6473
960.193,-14.874,-164.923,175.9978,17.9493,58.6473
960.194,-14.984,-164.923,175.9978,17.9493,58.6473
960.195,-15.094,-164.922,175.9978,17.9493,58.6473
960.196,-15.204,-164.922,175.9978,17.9493,58.6473
960.197,-15.314,-164.922,175.9978,17.9493,58.6473
960.198,-15.424,-164.922,175.9978,17.9493,58.6473
960.199,-15.534,-164.922,175.9978,17.9493,58.6473
960.2,-15.644,-164.922,175.9978,17.9493,58.6473
960.2,-15.754,-164.922,175.9978,17.9493,58.6473
960.201,-15.864,-164.922,175.9978,17.9493,58.6473
960.202,-15.974,-164.921,175.9978,17.9493,58.6473
960.203,-16.083,-164.921,175.9978,17.9493,58.6473
960.204,-16.193,-164.921,175.9978,17.9493,58.6473
960.205,-16.303,-164.921,175.9978,17.9493,58.6473
960.206,-16.413,-164.921,175.9978,17.9493,58.6473
960.207,-16.523,-164.921,175.9978,17.9493,58.6473
960.207,-16.633,-164.921,175.9978,17.9493,58.6473
960.208,-16.743,-164.921,175.9978,17.9493,58.6473
960.209,-16.853,-164.92,175.9978,17.9493,58.6473
960.21,-16.963,-164.92,175.9978,17.9493,58.6473
960.211,-17.073,-164.92,175.9978,17.9493,58.6473
960.212,-17.183,-164.92,175.9978,17.9493,58.6473
960.213,-17.293,-164.92,175.9978,17.9493,58.6473
960.214,-17.403,-164.92,175.9978,17.9493,58.6473
960.214,-17.513,-164.92,175.9978,17.9493,58.6473
960.215,-17.623,-164.92,175.9978,17.9493,58.6473
960.216,-17.733,-164.92,175.9978,17.9493,58.6473
960.217,-17.842,-164.919,175.9978,17.9493,58.6473
960.218,-17.952,-164.919,175.9978,17.9493,58.6473
960.219,-18.062,-164.919,175.9978,17.9493,58.6473
960.22,-18.172,-164.919,175.9978,17.9493,58.6473
960.22,-18.282,-164.919,175.9978,17.9493,58.6473
960.221,-18.392,-164.919,175.9978,17.9493,58.6473
960.222,-18.502,-164.919,175.9978,17.9493,58.6473
960.223,-18.612,-164.918,175.9978,17.9493,58.6473
960.224,-18.722,-164.918,175.9978,17.9493,58.6473
960.225,-18.832,-164.918,175.9978,17.9493,58.6473
960.226,-18.942,-164.918,175.9978,17.9493,58.6473
960.227,-19.052,-164.918,175.9978,17.9493,58.6473
960.227,-19.162,-164.918,175.9978,17.9493,58.6473
960.228,-19.272,-164.918,175.9978,17.9493,58.6473
960.229,-19.382,-164.918,175.9978,17.9493,58.6473
960.23,-19.491,-164.918,175.9978,17.9493,58.6473
960.231,-19.601,-164.917,175.9978,17.9493,58.6473
960.232,-19.711,-164.917,175.9978,17.9493,58.6473
960.233,-19.821,-164.917,175.9978,17.9493,58.6473
960.234,-19.931,-164.917,175.9978,17.9493,58.6473
960.234,-20.041,-164.917,175.9978,17.9493,58.6473
960.235,-20.151,-164.917,175.9978,17.9493,58.6473
960.236,-20.261,-164.917,175.9978,17.9493,58.6473
960.237,-20.371,-164.916,175.9978,17.9493,58.6473
960.238,-20.481,-164.916,175.9978,17.9493,58.6473
960.239,-20.591,-164.916,175.9978,17.9493,58.6473
960.24,-20.701,-164.916,175.9978,17.9493,58.6473
960.241,-20.811,-164.916,175.9978,17.9493,58.6473
960.241,-20.921,-164.916,175.9978,17.9493,58.6473
960.242,-21.031,-164.916,175.9978,17.9493,58.6473
960.243,-21.14,-164.916,175.9978,17.9493,58.6473
960.244,-21.25,-164.915,175.9978,17.9493,58.6473
960.245,-21.36,-164.915,175.9978,17.9493,58.6473
960.246,-21.47,-164.915,175.9978,17.9493,58.6473
960.247,-21.58,-164.915,175.9978,17.9493,58.6473
960.248,-21.69,-164.915,175.9978,17.9493,58.6473
960.248,-21.8,-164.915,175.9978,17.9493,58.6473
960.249,-21.91,-164.915,175.9978,17.9493,58.6473
960.25,-22.02,-164.915,175.9978,17.9493,58.6473
960.251,-22.13,-164.914,175.9978,17.9493,58.6473
960.252,-22.24,-164.914,175.9978,17.9493,58.6473
960.253,-22.35,-164.914,175.9978,17.9493,58.6473
960.254,-22.46,-164.914,175.9978,17.9493,58.6473
960.254,-22.57,-164.914,175.9978,17.9493,58.6473
960.255,-22.68,-164.914,175.9978,17.9493,58.6473
960.256,-22.79,-164.914,175.9978,17.9493,58.6473
960.257,-22.899,-164.914,175.9978,17.9493,58.6473
960.258,-23.009,-164.914,175.9978,17.9493,58.6473
960.259,-23.119,-164.913,175.9978,17.9493,58.6473
960.26,-23.229,-164.913,175.9978,17.9493,58.6473
960.261,-23.339,-164.913,175.9978,17.9493,58.6473
960.261,-23.449,-164.913,175.9978,17.9493,58.6473
960.262,-23.559,-164.913,175.9978,17.9493,58.6473
960.263,-23.669,-164.913,175.9978,17.9493,58.6473
960.264,-23.779,-164.913,175.9978,17.9493,58.6473
960.265,-23.889,-164.912,175.9978,17.9493,58.6473
960.266,-23.999,-164.912,175.9978,17.9493,58.6473
960.267,-24.109,-164.912,175.9978,17.9493,58.6473
960.268,-24.219,-164.912,175.9978,17.9493,58.6473
960.268,-24.329,-164.912,175.9978,17.9493,58.6473
960.269,-24.439,-164.912,175.9978,17.9493,58.6473
960.27,-24.548,-164.912,175.9978,17.9493,58.6473
960.271,-24.658,-164.912,175.9978,17.9493,58.6473
960.272,-24.768,-164.912,175.9978,17.9493,58.6473
960.273,-24.878,-164.911,175.9978,17.9493,58.6473
960.274,-24.988,-164.911,175.9978,17.9493,58.6473
960.275,-25.098,-164.911,175.9978,17.9493,58.6473
960.275,-25.208,-164.911,175.9978,17.9493,58.6473
960.276,-25.318,-164.911,175.9978,17.9493,58.6473
960.277,-25.428,-164.911,175.9978,17.9493,58.6473
960.278,-25.538,-164.911,175.9978,17.9493,58.6473
960.279,-25.648,-164.91,175.9978,17.9493,58.6473
960.28,-25.758,-164.91,175.9978,17.9493,58.6473
960.281,-25.868,-164.91,175.9978,17.9493,58.6473
960.281,-25.978,-164.91,175.9978,17.9493,58.6473
960.282,-26.088,-164.91,175.9978,17.9493,58.6473
960.283,-26.198,-164.91,175.9978,17.9493,58.6473
960.284,-26.307,-164.91,175.9978,17.9493,58.6473
960.285,-26.417,-164.91,175.9978,17.9493,58.6473
960.286,-26.527,-164.91,175.9978,17.9493,58.6473
960.287,-26.637,-164.909,175.9978,17.9493,58.6473
960.288,-26.747,-164.909,175.9978,17.9493,58.6473
960.288,-26.857,-164.909,175.9978,17.9493,58.6473
960.289,-26.967,-164.909,175.9978,17.9493,58.6473
960.29,-27.077,-164.909,175.9978,17.9493,58.6473
960.291,-27.187,-164.909,175.9978,17.9493,58.6473
960.292,-27.297,-164.909,175.9978,17.9493,58.6473
960.293,-27.407,-164.908,175.9978,17.9493,58.6473
960.294,-27.517,-164.908,175.9978,17.9493,58.6473
960.295,-27.627,-164.908,175.9978,17.9493,58.6473
960.295,-27.737,-164.908,175.9978,17.9493,58.6473
960.296,-27.847,-164.908,175.9978,17.9493,58.6473
960.297,-27.956,-164.908,175.9978,17.9493,58.6473
960.298,-28.066,-164.908,175.9978,17.9493,58.6473
960.299,-28.176,-164.908,175.9978,17.9493,58.6473
960.3,-28.286,-164.908,175.9978,17.9493,58.6473
960.301,-28.396,-164.907,175.9978,17.9493,58.6473
960.302,-28.506,-164.907,175.9978,17.9493,58.6473
960.302,-28.616,-164.907,175.9978,17.9493,58.6473
960.303,-28.726,-164.907,175.9978,17.9493,58.6473
960.304,-28.836,-164.907,175.9978,17.9493,58.6473
960.305,-28.946,-164.907,175.9978,17.9493,58.6473
960.306,-29.056,-164.907,175.9978,17.9493,58.6473
960.307,-29.166,-164.906,175.9978,17.9493,58.6473
