X,Y,Z,Rx,Ry,Rz
959.919,21.053,-164.949,175.9966,17.9491,58.6474
959.915,21.0,-164.949,175.9969,17.949,58.6477
959.907,20.956,-164.96,175.9981,17.9498,58.6476
959.92,20.912,-164.951,175.9967,17.9491,58.6479
959.915,20.883,-164.952,175.9975,17.9489,58.6476
959.909,20.85,-164.952,175.998,17.9493,58.648
959.919,20.795,-164.954,175.9973,17.949,58.6478
959.914,20.762,-164.955,175.9978,17.9494,58.6482
959.91,20.709,-164.955,175.998,17.9494,58.6486
959.917,20.469,-164.95,175.9972,17.9492,58.6484
959.912,20.424,-164.951,175.9977,17.9496,58.6481
959.921,20.381,-164.953,175.9975,17.9492,58.6466
959.917,20.34,-164.953,175.9978,17.9491,58.6476
959.918,20.305,-164.953,175.9973,17.9492,58.6475
959.924,20.264,-164.945,175.9969,17.9488,58.6483
959.916,20.219,-164.957,175.9981,17.9496,58.6482
959.918,20.188,-164.956,175.9979,17.9492,58.6475
959.922,20.131,-164.949,175.9972,17.9494,58.6482
959.921,19.89,-164.952,175.997,17.9495,58.6482
959.925,19.849,-164.944,175.9971,17.949,58.6471
959.924,19.814,-164.955,175.9973,17.9495,58.6472
959.92,19.762,-164.955,175.9976,17.9494,58.6475
959.925,19.732,-164.947,175.9977,17.9489,58.647
959.927,19.685,-164.947,175.9967,17.9492,58.6482
959.92,19.645,-164.958,175.9982,17.9493,58.6475
959.921,19.621,-164.958,175.9976,17.9495,58.648
959.925,19.58,-164.95,175.9978,17.9489,58.6469
959.926,19.33,-164.946,175.9974,17.9491,58.6485
959.925,19.295,-164.957,175.9976,17.9496,58.6486
959.921,19.242,-164.957,175.9979,17.9496,58.6489
959.932,19.206,-164.949,175.9967,17.9494,58.6486
959.927,19.154,-164.949,175.9975,17.9492,58.6469
959.923,19.113,-164.949,175.9978,17.9491,58.6479
959.932,19.066,-164.952,175.9973,17.9493,58.6471
959.927,19.049,-164.952,175.9981,17.9491,58.6476
959.929,18.99,-164.952,175.997,17.9494,58.648
