X,Y,Z,Rx,Ry,Rz,Time
-4,22,38,0,-1,12,0
-4,22,38,0,-1,12,0
-4,22,38,0,-1,12,48089
-4,22,38,0,-1,12,97061
-4,22,38,0,-1,12,157072
-4,22,38,0,-1,12,206246
12,29,17,37,-30,-30,254743
12,29,17,37,-30,-30,302309
12,29,17,37,-30,-30,348442
12,29,17,37,-30,-30,396665
12,29,17,37,-30,-30,443780
12,29,17,37,-30,-30,490679
10,29,13,38,-26,-23,538385
10,29,13,38,-26,-23,586003
10,29,13,38,-26,-23,648976
10,29,13,38,-26,-23,693244
10,29,13,38,-26,-23,741053
10,29,13,38,-26,-23,788229
10,29,13,38,-26,-23,836223
10,26,14,39,-27,-25,881754
10,26,14,39,-27,-25,929696
10,26,14,39,-27,-25,976210
10,26,14,39,-27,-25,1021841
10,26,14,39,-27,-25,1070274
10,26,14,39,-27,-25,1117980
10,26,14,39,-27,-25,1165427
12,24,13,35,-28,-22,1212141
12,24,13,35,-28,-22,1257304
12,24,13,35,-28,-22,1304214
12,24,13,35,-28,-22,1352802
12,24,13,35,-28,-22,1400647
12,24,13,35,-28,-22,1445757
12,24,13,35,-28,-22,1494743
12,24,13,35,-28,-22,1542555
12,27,16,34,-26,-23,1591141
12,27,16,34,-26,-23,1638699
12,27,16,34,-26,-23,1698837
12,27,16,34,-26,-23,1747088
12,27,16,34,-26,-23,1794214
12,27,16,34,-26,-23,1840245
12,25,16,39,-29,-16,1887364
12,25,16,39,-29,-16,1935932
12,25,16,39,-29,-16,1983442
12,25,16,39,-29,-16,2030168
12,25,16,39,-29,-16,2076841
12,25,16,39,-29,-16,2125972
12,25,16,39,-29,-16,2173646
12,25,16,39,-29,-16,2220554
10,20,18,40,-28,-29,2266857
10,20,18,40,-28,-29,2317382
10,20,18,40,-28,-29,2362437
10,20,18,40,-28,-29,2409766
10,20,18,40,-28,-29,2456768
10,20,18,40,-28,-29,2505992
10,20,18,40,-28,-29,2553339
10,23,17,42,-29,-17,2597757
10,23,17,42,-29,-17,2645785
10,23,17,42,-29,-17,2694978
10,23,17,42,-29,-17,2741602
10,23,17,42,-29,-17,2787684
10,23,17,42,-29,-17,2834862
10,23,17,42,-29,-17,2882907
10,20,15,38,-30,-27,2929838
10,20,15,38,-30,-27,2976707
10,20,15,38,-30,-27,3023820
10,20,15,38,-30,-27,3067863
10,20,15,38,-30,-27,3118563
10,20,15,38,-30,-27,3163635
10,20,15,38,-30,-27,3213415
10,21,15,35,-28,-17,3258631
10,21,15,35,-28,-17,3307051
10,21,15,35,-28,-17,3354254
10,21,15,35,-28,-17,3402373
10,21,15,35,-28,-17,3464511
10,21,15,35,-28,-17,3512535
10,21,15,35,-28,-17,3560128
11,16,17,43,-28,-20,3605932
11,16,17,43,-28,-20,3653857
11,16,17,43,-28,-20,3701153
11,16,17,43,-28,-20,3745289
11,16,17,43,-28,-20,3795113
11,16,17,43,-28,-20,3840902
11,16,17,43,-28,-20,3888956
11,16,18,46,-29,-24,3937528
11,16,18,46,-29,-24,3985124
11,16,18,46,-29,-24,4031990
11,16,18,46,-29,-24,4077985
11,16,18,46,-29,-24,4127976
11,16,18,46,-29,-24,4174497
11,16,18,46,-29,-24,4220743
10,16,18,43,-30,-21,4269215
10,16,18,43,-30,-21,4316305
10,16,18,43,-30,-21,4362429
10,16,18,43,-30,-21,4408549
10,16,18,43,-30,-21,4455629
10,16,18,43,-30,-21,4502803
10,16,18,43,-30,-21,4551832
12,16,19,38,-27,-17,4598688
12,16,19,38,-27,-17,4644462
12,16,19,38,-27,-17,4690296
12,16,19,38,-27,-17,4739292
12,16,19,38,-27,-17,4798784
12,16,19,38,-27,-17,4846782
12,16,19,38,-27,-17,4894974
11,15,18,43,-29,-27,4940822
11,15,18,43,-29,-27,4987779
11,15,18,43,-29,-27,5034739
11,15,18,43,-29,-27,5080867
11,15,18,43,-29,-27,5129971
11,15,18,43,-29,-27,5178073
11,15,18,43,-29,-27,5225785
13,12,19,45,-30,-27,5273236
13,12,19,45,-30,-27,5320141
13,12,19,45,-30,-27,5366358
13,12,19,45,-30,-27,5414169
13,12,19,45,-30,-27,5460548
13,12,19,45,-30,-27,5507627
13,12,19,45,-30,-27,5555064
14,11,19,43,-31,-24,5601909
14,11,19,43,-31,-24,5649331
14,11,19,43,-31,-24,5699468
14,11,19,43,-31,-24,5746104
14,11,19,43,-31,-24,5793242
14,11,19,43,-31,-24,5843503
14,11,19,43,-31,-24,5889843
12,11,17,42,-29,-18,5936219
12,11,17,42,-29,-18,5984154
12,11,17,42,-29,-18,6030770
12,11,17,42,-29,-18,6077774
12,11,17,42,-29,-18,6124972
12,11,17,42,-29,-18,6172767
12,11,17,42,-29,-18,6218603
13,8,17,47,-25,-16,6264299
13,8,17,47,-25,-16,6310666
13,8,17,47,-25,-16,6358054
13,8,17,47,-25,-16,6405707
13,8,17,47,-25,-16,6452758
13,8,17,47,-25,-16,6500970
13,8,17,47,-25,-16,6549191
13,3,17,41,-25,-20,6595389
13,3,17,41,-25,-20,6643681
13,3,17,41,-25,-20,6690403
13,3,17,41,-25,-20,6737242
13,3,17,41,-25,-20,6784892
13,3,17,41,-25,-20,6831574
13,3,17,41,-25,-20,6881190
15,0,17,51,-24,-23,6927183
15,0,17,51,-24,-23,6972407
15,0,17,51,-24,-23,7019456
15,0,17,51,-24,-23,7065574
15,0,17,51,-24,-23,7114869
15,0,17,51,-24,-23,7161047
15,0,17,51,-24,-23,7209121
15,0,17,51,-24,-23,7256534
15,1,16,43,-23,-16,7302771
15,1,16,43,-23,-16,7348347
15,1,16,43,-23,-16,7397639
15,1,16,43,-23,-16,7445673
15,1,16,43,-23,-16,7492078
15,1,16,43,-23,-16,7538625
15,1,16,43,-23,-16,7586012
14,1,39,50,-25,-19,7632134
14,1,39,50,-25,-19,7679997
14,1,39,50,-25,-19,7726285
14,1,39,50,-25,-19,7773808
14,1,39,50,-25,-19,7820130
14,1,39,50,-25,-19,7867035
14,1,39,50,-25,-19,7913164
15,-2,50,50,-24,-24,7963447
15,-2,50,50,-24,-24,8008672
15,-2,50,50,-24,-24,8055848
15,-2,50,50,-24,-24,8101957
15,-2,50,50,-24,-24,8150755
15,-2,50,50,-24,-24,8197608
15,-2,50,50,-24,-24,8243783
14,0,48,49,-22,-21,8291833
14,0,48,49,-22,-21,8339949
14,0,48,49,-22,-21,8385650
14,0,48,49,-22,-21,8438270
14,0,48,49,-22,-21,8496109
14,0,48,49,-22,-21,8543230
14,0,48,49,-22,-21,8591908
14,-5,50,49,-14,-17,8638328
14,-5,50,49,-14,-17,8685290
14,-5,50,49,-14,-17,8732063
14,-5,50,49,-14,-17,8778209
14,-5,50,49,-14,-17,8825865
14,-5,50,49,-14,-17,8872357
14,-5,50,49,-14,-17,8919777
15,-6,47,47,-18,-20,8967945
15,-6,47,47,-18,-20,9014266
15,-6,47,47,-18,-20,9061707
15,-6,47,47,-18,-20,9108390
15,-6,47,47,-18,-20,9155508
15,-6,47,47,-18,-20,9203254
15,-6,47,47,-18,-20,9250304
13,-5,49,46,-14,-20,9297664
13,-5,49,46,-14,-20,9344623
13,-5,49,46,-14,-20,9391562
13,-5,49,46,-14,-20,9437453
13,-5,49,46,-14,-20,9483562
13,-5,49,46,-14,-20,9528386
13,-5,49,46,-14,-20,9577830
15,-10,48,53,-13,-23,9624872
15,-10,48,53,-13,-23,9672625
15,-10,48,53,-13,-23,9733915
15,-10,48,53,-13,-23,9782475
15,-10,48,53,-13,-23,9829133
15,-10,48,53,-13,-23,9876221
15,-10,48,53,-13,-23,9923387
13,-8,45,45,-9,-22,9984730
13,-8,45,45,-9,-22,10031304
13,-8,45,45,-9,-22,10078265
13,-8,45,45,-9,-22,10126617
13,-8,45,45,-9,-22,10174703
