X,Y,Z,Rx,Ry,Rz,Time
1028.892,-100.126,-133.43,153.7838,-12.9644,-137.0478,0.0
1028.892,-100.042,-133.43,153.7838,-12.9644,-137.0478,0.04
1028.892,-99.958,-133.43,153.7838,-12.9644,-137.0478,0.08
1028.892,-99.874,-133.43,153.7838,-12.9644,-137.0478,0.12
1028.892,-99.79,-133.43,153.7838,-12.9644,-137.0478,0.16
1028.892,-99.706,-133.43,153.7838,-12.9644,-137.0478,0.2
1028.892,-99.623,-133.43,153.7838,-12.9644,-137.0478,0.24
1028.892,-99.539,-133.43,153.7838,-12.9644,-137.0478,0.28
1028.892,-99.455,-133.43,153.7838,-12.9644,-137.0478,0.32
1028.892,-99.371,-133.43,153.7838,-12.9644,-137.0478,0.36
1028.892,-99.287,-133.43,153.7838,-12.9644,-137.0478,0.4
1028.892,-99.203,-133.43,153.7838,-12.9644,-137.0478,0.44
1028.892,-99.119,-133.43,153.7838,-12.9644,-137.0478,0.48
1028.892,-99.035,-133.43,153.7838,-12.9644,-137.0478,0.52
1028.892,-98.951,-133.43,153.7838,-12.9644,-137.0478,0.56
1028.892,-98.867,-133.43,153.7838,-12.9644,-137.0478,0.6
1028.892,-98.783,-133.43,153.7838,-12.9644,-137.0478,0.64
1028.892,-98.699,-133.431,153.7838,-12.9644,-137.0478,0.68
1028.892,-98.616,-133.431,153.7838,-12.9644,-137.0478,0.72
1028.892,-98.532,-133.431,153.7838,-12.9644,-137.0478,0.76
1028.892,-98.448,-133.431,153.7838,-12.9644,-137.0478,0.8
1028.892,-98.364,-133.431,153.7838,-12.9644,-137.0478,0.84
1028.892,-98.28,-133.431,153.7838,-12.9644,-137.0478,0.88
1028.892,-98.196,-133.431,153.7838,-12.9644,-137.0478,0.92
1028.892,-98.112,-133.431,153.7838,-12.9644,-137.0478,0.96
1028.892,-98.028,-133.431,153.7838,-12.9644,-137.0478,1.0
1028.892,-97.944,-133.431,153.7838,-12.9644,-137.0478,1.04
1028.892,-97.86,-133.431,153.7838,-12.9644,-137.0478,1.08
1028.892,-97.776,-133.431,153.7838,-12.9644,-137.0478,1.12
1028.892,-97.692,-133.431,153.7838,-12.9644,-137.0478,1.16
1028.892,-97.609,-133.431,153.7838,-12.9644,-137.0478,1.2
1028.892,-97.525,-133.431,153.7838,-12.9644,-137.0478,1.24
1028.892,-97.441,-133.431,153.7838,-12.9644,-137.0478,1.28
1028.892,-97.357,-133.431,153.7838,-12.9644,-137.0478,1.32
1028.892,-97.273,-133.431,153.7838,-12.9644,-137.0478,1.36
1028.892,-97.189,-133.431,153.7838,-12.9644,-137.0478,1.4000000000000001
1028.892,-97.105,-133.431,153.7838,-12.9644,-137.0478,1.44
1028.892,-97.021,-133.431,153.7838,-12.9644,-137.0478,1.48
1028.892,-96.937,-133.431,153.7838,-12.9644,-137.0478,1.52
1028.892,-96.853,-133.431,153.7838,-12.9644,-137.0478,1.56
1028.892,-96.769,-133.431,153.7838,-12.9644,-137.0478,1.6
1028.892,-96.685,-133.431,153.7838,-12.9644,-137.0478,1.6400000000000001
1028.892,-96.602,-133.431,153.7838,-12.9644,-137.0478,1.68
1028.892,-96.518,-133.431,153.7838,-12.9644,-137.0478,1.72
