X,Y,Z,Rx,Ry,Rz
1028.892,-100.126,-133.43,153.7838,-12.9644,-137.0478
1028.892,-100.042,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.958,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.874,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.79,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.706,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.623,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.539,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.455,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.371,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.287,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.203,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.119,-133.43,153.7838,-12.9644,-137.0478
1028.892,-99.035,-133.43,153.7838,-12.9644,-137.0478
1028.892,-98.951,-133.43,153.7838,-12.9644,-137.0478
1028.892,-98.867,-133.43,153.7838,-12.9644,-137.0478
1028.892,-98.783,-133.43,153.7838,-12.9644,-137.0478
1028.892,-98.699,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.616,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.532,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.448,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.364,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.28,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.196,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.112,-133.431,153.7838,-12.9644,-137.0478
1028.892,-98.028,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.944,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.86,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.776,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.692,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.609,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.525,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.441,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.357,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.273,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.189,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.105,-133.431,153.7838,-12.9644,-137.0478
1028.892,-97.021,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.937,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.853,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.769,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.685,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.602,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.518,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.434,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.35,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.266,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.182,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.098,-133.431,153.7838,-12.9644,-137.0478
1028.892,-96.014,-133.431,153.7838,-12.9644,-137.0478
1028.892,-95.93,-133.431,153.7838,-12.9644,-137.0478
1028.892,-95.846,-133.432,153.7838,-12.9644,-137.0478
1028.892,-95.762,-133.432,153.7838,-12.9644,-137.0478
1028.892,-95.679,-133.432,153.7838,-12.9644,-137.0478
