I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,50309.0,169.2,0.0,0.0,0.0
7.0,6.0,0.0,50353.0,212.4,0.0,0.0,0.0
8.0,7.0,0.0,50390.0,250.6,0.0,0.0,0.0
9.0,8.0,0.0,50430.0,290.3,0.0,0.0,0.0
10.0,9.0,0.0,50470.0,330.4,0.0,0.0,0.0
12.0,10.0,0.0,50511.0,371.6,0.0,0.0,0.0
13.0,12.0,0.0,50554.0,414.7,0.0,0.0,0.0
14.0,13.0,0.0,50594.0,454.7,0.0,0.0,0.0
15.0,14.0,0.0,50635.0,494.8,0.0,0.0,0.0
16.0,15.0,0.0,50675.0,535.1,0.0,0.0,0.0
17.0,16.0,0.0,50715.0,574.8,0.0,0.0,0.0
18.0,17.0,0.0,50755.0,615.0,0.0,0.0,0.0
19.0,18.0,0.0,50795.0,655.3,0.0,0.0,0.0
2.0,19.0,1.0,50835.0,695.4,695.4,153.0,2.0
2.0,2.0,0.0,0.0,858.4,0.0,0.0,0.0
2.0,2.0,0.0,37.0,896.1,0.0,0.0,0.0
2.0,2.0,0.0,77.0,936.0,0.0,0.0,0.0
2.0,2.0,0.0,116.0,975.2,0.0,0.0,0.0
2.0,2.0,0.0,157.0,1015.6,0.0,0.0,0.0
2.0,2.0,0.0,197.0,1056.0,0.0,0.0,0.0
2.0,2.0,0.0,237.0,1096.0,0.0,0.0,0.0
2.0,2.0,0.0,277.0,1136.2,0.0,0.0,0.0
2.0,2.0,0.0,317.0,1175.9,0.0,0.0,0.0
2.0,2.0,0.0,357.0,1216.3,0.0,0.0,0.0
2.0,2.0,0.0,397.0,1256.2,0.0,0.0,0.0
3.0,2.0,0.0,439.0,1297.8,0.0,0.0,0.0
4.0,3.0,0.0,481.0,1339.4,0.0,0.0,0.0
5.0,4.0,0.0,520.0,1379.0,0.0,0.0,0.0
6.0,5.0,0.0,561.0,1419.6,0.0,0.0,0.0
7.0,6.0,0.0,601.0,1459.8,0.0,0.0,0.0
8.0,7.0,0.0,641.0,1499.4,0.0,0.0,0.0
9.0,8.0,0.0,681.0,1540.0,0.0,0.0,0.0
10.0,9.0,0.0,721.0,1580.1,0.0,0.0,0.0
11.0,10.0,1.0,761.0,1620.2,1620.2,131.0,1.0
11.0,11.0,0.0,0.0,1762.8,0.0,0.0,0.0
11.0,11.0,0.0,37.0,1800.6,0.0,0.0,0.0
11.0,11.0,0.0,79.0,1842.4,0.0,0.0,0.0
11.0,11.0,0.0,119.0,1882.5,0.0,0.0,0.0
11.0,11.0,0.0,159.0,1922.6,0.0,0.0,0.0
13.0,11.0,0.0,200.0,1962.8,0.0,0.0,0.0
14.0,13.0,0.0,241.0,2004.8,0.0,0.0,0.0
15.0,14.0,0.0,285.0,2048.7,0.0,0.0,0.0
16.0,15.0,0.0,326.0,2089.0,0.0,0.0,0.0
17.0,16.0,0.0,366.0,2129.0,0.0,0.0,0.0
18.0,17.0,0.0,406.0,2169.0,0.0,0.0,0.0
19.0,18.0,0.0,446.0,2209.2,0.0,0.0,0.0
2.0,19.0,1.0,485.0,2248.8,2248.8,131.0,2.0
5.0,2.0,0.0,0.0,2391.3,0.0,0.0,0.0
6.0,5.0,0.0,39.0,2431.0,0.0,0.0,0.0
7.0,6.0,0.0,79.0,2470.7,0.0,0.0,0.0
8.0,7.0,0.0,120.0,2511.5,0.0,0.0,0.0
9.0,8.0,0.0,160.0,2551.4,0.0,0.0,0.0
10.0,9.0,0.0,208.0,2600.1,0.0,0.0,0.0
11.0,10.0,1.0,248.0,2640.1,2640.1,131.0,1.0
15.0,11.0,0.0,0.0,2782.8,0.0,0.0,0.0
16.0,15.0,0.0,39.0,2822.4,0.0,0.0,0.0
17.0,16.0,0.0,79.0,2862.6,0.0,0.0,0.0
18.0,17.0,0.0,119.0,2902.6,0.0,0.0,0.0
19.0,18.0,0.0,159.0,2942.1,0.0,0.0,0.0
2.0,19.0,1.0,199.0,2982.7,2982.7,140.0,2.0
6.0,2.0,0.0,0.0,3132.7,0.0,0.0,0.0
7.0,6.0,0.0,39.0,3172.7,0.0,0.0,0.0
8.0,7.0,0.0,85.0,3218.5,0.0,0.0,0.0
9.0,8.0,0.0,125.0,3258.5,0.0,0.0,0.0
10.0,9.0,0.0,165.0,3298.6,0.0,0.0,0.0
11.0,10.0,1.0,205.0,3338.0,3338.0,147.0,1.0
15.0,11.0,0.0,0.0,3490.9,0.0,0.0,0.0
16.0,15.0,0.0,33.0,3524.1,0.0,0.0,0.0
17.0,16.0,0.0,73.0,3564.2,0.0,0.0,0.0
18.0,17.0,0.0,113.0,3604.4,0.0,0.0,0.0
19.0,18.0,0.0,153.0,3644.4,0.0,0.0,0.0
2.0,19.0,1.0,193.0,3684.2,3684.2,128.0,2.0
5.0,2.0,0.0,0.0,3828.0,0.0,0.0,0.0
6.0,5.0,0.0,42.0,3870.9,0.0,0.0,0.0
7.0,6.0,0.0,82.0,3910.4,0.0,0.0,0.0
8.0,7.0,0.0,123.0,3951.6,0.0,0.0,0.0
9.0,8.0,0.0,163.0,3991.0,0.0,0.0,0.0
10.0,9.0,0.0,203.0,4031.6,0.0,0.0,0.0
11.0,10.0,1.0,243.0,4071.6,4071.6,144.0,1.0
15.0,11.0,0.0,0.0,4225.9,0.0,0.0,0.0
16.0,15.0,0.0,40.0,4266.2,0.0,0.0,0.0
17.0,16.0,0.0,80.0,4306.4,0.0,0.0,0.0
18.0,17.0,0.0,120.0,4346.9,0.0,0.0,0.0
19.0,18.0,0.0,160.0,4386.1,0.0,0.0,0.0
2.0,19.0,1.0,200.0,4426.7,4426.7,141.0,2.0
6.0,2.0,0.0,0.0,4577.2,0.0,0.0,0.0
7.0,6.0,0.0,38.0,4615.7,0.0,0.0,0.0
8.0,7.0,0.0,79.0,4656.5,0.0,0.0,0.0
9.0,8.0,0.0,121.0,4698.6,0.0,0.0,0.0
10.0,9.0,0.0,162.0,4739.4,0.0,0.0,0.0
11.0,10.0,1.0,202.0,4779.5,4779.5,143.0,1.0
15.0,11.0,0.0,0.0,4930.9,0.0,0.0,0.0
16.0,15.0,0.0,39.0,4970.6,0.0,0.0,0.0
17.0,16.0,0.0,80.0,5011.5,0.0,0.0,0.0
18.0,17.0,0.0,121.0,5052.3,0.0,0.0,0.0
19.0,18.0,0.0,162.0,5093.3,0.0,0.0,0.0
2.0,19.0,1.0,203.0,5134.6,5134.6,141.0,2.0
6.0,2.0,0.0,0.0,5285.0,0.0,0.0,0.0
7.0,6.0,0.0,38.0,5323.9,0.0,0.0,0.0
8.0,7.0,0.0,79.0,5364.0,0.0,0.0,0.0
9.0,8.0,0.0,120.0,5405.1,0.0,0.0,0.0
10.0,9.0,0.0,160.0,5445.1,0.0,0.0,0.0
11.0,10.0,1.0,200.0,5485.3,5485.3,136.0,1.0
14.0,11.0,0.0,0.0,5631.7,0.0,0.0,0.0
15.0,14.0,0.0,34.0,5666.0,0.0,0.0,0.0
16.0,15.0,0.0,74.0,5706.6,0.0,0.0,0.0
17.0,16.0,0.0,114.0,5746.7,0.0,0.0,0.0
18.0,17.0,0.0,154.0,5786.2,0.0,0.0,0.0
19.0,18.0,0.0,194.0,5826.6,0.0,0.0,0.0
2.0,19.0,1.0,235.0,5867.0,5867.0,146.0,2.0
6.0,2.0,0.0,0.0,6023.1,0.0,0.0,0.0
7.0,6.0,0.0,39.0,6062.7,0.0,0.0,0.0
8.0,7.0,0.0,79.0,6102.6,0.0,0.0,0.0
9.0,8.0,0.0,120.0,6143.6,0.0,0.0,0.0
10.0,9.0,0.0,159.0,6182.6,0.0,0.0,0.0
11.0,10.0,1.0,199.0,6222.6,6222.6,141.0,1.0
15.0,11.0,0.0,0.0,6373.0,0.0,0.0,0.0
16.0,15.0,0.0,39.0,6412.9,0.0,0.0,0.0
17.0,16.0,0.0,79.0,6452.9,0.0,0.0,0.0
18.0,17.0,0.0,120.0,6493.5,0.0,0.0,0.0
19.0,18.0,0.0,161.0,6534.3,0.0,0.0,0.0
2.0,19.0,1.0,202.0,6575.3,6575.3,151.0,2.0
6.0,2.0,0.0,0.0,6734.8,0.0,0.0,0.0
7.0,6.0,0.0,41.0,6775.9,0.0,0.0,0.0
8.0,7.0,0.0,81.0,6816.6,0.0,0.0,0.0
9.0,8.0,0.0,121.0,6856.1,0.0,0.0,0.0
10.0,9.0,0.0,161.0,6896.0,0.0,0.0,0.0
11.0,10.0,1.0,201.0,6936.4,6936.4,135.0,1.0
15.0,11.0,0.0,0.0,7082.2,0.0,0.0,0.0
16.0,15.0,0.0,40.0,7122.9,0.0,0.0,0.0
17.0,16.0,0.0,80.0,7162.6,0.0,0.0,0.0
18.0,17.0,0.0,120.0,7202.6,0.0,0.0,0.0
19.0,18.0,0.0,160.0,7242.7,0.0,0.0,0.0
2.0,19.0,1.0,200.0,7282.4,7282.4,140.0,2.0
5.0,2.0,0.0,0.0,7432.8,0.0,0.0,0.0
6.0,5.0,0.0,41.0,7474.5,0.0,0.0,0.0
7.0,6.0,0.0,81.0,7514.3,0.0,0.0,0.0
8.0,7.0,0.0,121.0,7554.3,0.0,0.0,0.0
9.0,8.0,0.0,161.0,7594.8,0.0,0.0,0.0
10.0,9.0,0.0,202.0,7635.0,0.0,0.0,0.0
11.0,10.0,1.0,242.0,7675.1,7675.1,141.0,1.0
15.0,11.0,0.0,0.0,7825.3,0.0,0.0,0.0
16.0,15.0,0.0,40.0,7865.4,0.0,0.0,0.0
17.0,16.0,0.0,80.0,7905.4,0.0,0.0,0.0
18.0,17.0,0.0,120.0,7945.9,0.0,0.0,0.0
19.0,18.0,0.0,161.0,7986.7,0.0,0.0,0.0
2.0,19.0,1.0,202.0,8027.5,8027.5,140.0,2.0
6.0,2.0,0.0,0.0,8176.7,0.0,0.0,0.0
7.0,6.0,0.0,38.0,8215.6,0.0,0.0,0.0
8.0,7.0,0.0,79.0,8256.4,0.0,0.0,0.0
9.0,8.0,0.0,119.0,8296.1,0.0,0.0,0.0
10.0,9.0,0.0,159.0,8336.3,0.0,0.0,0.0
11.0,10.0,1.0,199.0,8376.3,8376.3,140.0,1.0
15.0,11.0,0.0,0.0,8527.9,0.0,0.0,0.0
16.0,15.0,0.0,39.0,8566.9,0.0,0.0,0.0
17.0,16.0,0.0,79.0,8607.1,0.0,0.0,0.0
18.0,17.0,0.0,118.0,8646.7,0.0,0.0,0.0
19.0,18.0,0.0,159.0,8687.1,0.0,0.0,0.0
2.0,19.0,1.0,199.0,8727.0,8727.0,141.0,2.0
5.0,2.0,0.0,0.0,8878.4,0.0,0.0,0.0
6.0,5.0,0.0,39.0,8918.3,0.0,0.0,0.0
7.0,6.0,0.0,81.0,8959.9,0.0,0.0,0.0
8.0,7.0,0.0,120.0,8999.1,0.0,0.0,0.0
9.0,8.0,0.0,160.0,9038.8,0.0,0.0,0.0
10.0,9.0,0.0,200.0,9078.9,0.0,0.0,0.0
11.0,10.0,1.0,240.0,9119.2,9119.2,149.0,1.0
15.0,11.0,0.0,0.0,9277.4,0.0,0.0,0.0
16.0,15.0,0.0,42.0,9319.6,0.0,0.0,0.0
17.0,16.0,0.0,82.0,9359.7,0.0,0.0,0.0
19.0,17.0,0.0,122.0,9399.5,0.0,0.0,0.0
2.0,19.0,1.0,162.0,9439.9,9439.9,140.0,2.0
5.0,2.0,0.0,0.0,9595.9,0.0,0.0,0.0
6.0,5.0,0.0,35.0,9631.0,0.0,0.0,0.0
7.0,6.0,0.0,75.0,9671.1,0.0,0.0,0.0
8.0,7.0,0.0,114.0,9710.7,0.0,0.0,0.0
9.0,8.0,0.0,155.0,9751.6,0.0,0.0,0.0
10.0,9.0,0.0,195.0,9790.9,0.0,0.0,0.0
11.0,10.0,1.0,235.0,9831.1,9831.1,150.0,1.0
15.0,11.0,0.0,0.0,9992.6,0.0,0.0,0.0
16.0,15.0,0.0,39.0,10031.8,0.0,0.0,0.0
17.0,16.0,0.0,79.0,10071.6,0.0,0.0,0.0
18.0,17.0,0.0,119.0,10111.6,0.0,0.0,0.0
19.0,18.0,0.0,160.0,10153.0,0.0,0.0,0.0
2.0,19.0,1.0,200.0,10193.1,10193.1,143.0,2.0
6.0,2.0,0.0,0.0,10346.1,0.0,0.0,0.0
7.0,6.0,0.0,37.0,10383.8,0.0,0.0,0.0
8.0,7.0,0.0,77.0,10423.8,0.0,0.0,0.0
9.0,8.0,0.0,117.0,10463.8,0.0,0.0,0.0
10.0,9.0,0.0,157.0,10503.7,0.0,0.0,0.0
11.0,10.0,1.0,197.0,10544.0,10544.0,157.0,1.0
15.0,11.0,0.0,0.0,10712.8,0.0,0.0,0.0
16.0,15.0,0.0,42.0,10755.6,0.0,0.0,0.0
17.0,16.0,0.0,82.0,10795.1,0.0,0.0,0.0
