X,Y,Z,Rx,Ry,Rz,Time
1016.314,-97.041,-137.006,151.0803,-25.1383,-138.0119,0.0
1016.313,-96.981,-137.006,151.0803,-25.1383,-138.0119,0.04
1016.313,-96.92,-137.006,151.0803,-25.1383,-138.0119,0.08
1016.312,-96.86,-137.006,151.0803,-25.1383,-138.0119,0.12
1016.311,-96.799,-137.006,151.0803,-25.1383,-138.0119,0.16
1016.31,-96.739,-137.006,151.0803,-25.1383,-138.0119,0.2
1016.31,-96.679,-137.006,151.0803,-25.1383,-138.0119,0.24
1016.309,-96.618,-137.006,151.0803,-25.1383,-138.0119,0.28
1016.308,-96.558,-137.006,151.0803,-25.1383,-138.0119,0.32
1016.307,-96.498,-137.006,151.0803,-25.1383,-138.0119,0.36
1016.307,-96.437,-137.006,151.0803,-25.1383,-138.0119,0.4
1016.306,-96.377,-137.006,151.0803,-25.1383,-138.0119,0.44
1016.305,-96.316,-137.006,151.0803,-25.1383,-138.0119,0.48
1016.304,-96.256,-137.006,151.0803,-25.1383,-138.0119,0.52
1016.304,-96.196,-137.006,151.0803,-25.1383,-138.0119,0.56
1016.303,-96.135,-137.006,151.0803,-25.1383,-138.0119,0.6
1016.302,-96.075,-137.006,151.0803,-25.1383,-138.0119,0.64
1016.301,-96.014,-137.006,151.0803,-25.1383,-138.0119,0.68
1016.301,-95.954,-137.006,151.0803,-25.1383,-138.0119,0.72
1016.3,-95.894,-137.006,151.0803,-25.1383,-138.0119,0.76
1016.299,-95.833,-137.006,151.0803,-25.1383,-138.0119,0.8
1016.298,-95.773,-137.006,151.0803,-25.1383,-138.0119,0.84
1016.298,-95.713,-137.006,151.0803,-25.1383,-138.0119,0.88
1016.297,-95.652,-137.006,151.0803,-25.1383,-138.0119,0.92
1016.296,-95.592,-137.006,151.0803,-25.1383,-138.0119,0.96
1016.295,-95.531,-137.006,151.0803,-25.1383,-138.0119,1.0
1016.295,-95.471,-137.006,151.0803,-25.1383,-138.0119,1.04
1016.294,-95.411,-137.006,151.0803,-25.1383,-138.0119,1.08
1016.293,-95.35,-137.006,151.0803,-25.1383,-138.0119,1.12
1016.292,-95.29,-137.006,151.0803,-25.1383,-138.0119,1.16
1016.292,-95.229,-137.006,151.0803,-25.1383,-138.0119,1.2
1016.291,-95.169,-137.006,151.0803,-25.1383,-138.0119,1.24
1016.29,-95.109,-137.006,151.0803,-25.1383,-138.0119,1.28
1016.289,-95.048,-137.006,151.0803,-25.1383,-138.0119,1.32
