X,Y,Z,Rx,Ry,Rz
1016.314,-97.041,-137.006,151.0803,-25.1383,-138.0119
1016.313,-96.981,-137.006,151.0803,-25.1383,-138.0119
1016.313,-96.92,-137.006,151.0803,-25.1383,-138.0119
1016.312,-96.86,-137.006,151.0803,-25.1383,-138.0119
1016.311,-96.799,-137.006,151.0803,-25.1383,-138.0119
1016.31,-96.739,-137.006,151.0803,-25.1383,-138.0119
1016.31,-96.679,-137.006,151.0803,-25.1383,-138.0119
1016.309,-96.618,-137.006,151.0803,-25.1383,-138.0119
1016.308,-96.558,-137.006,151.0803,-25.1383,-138.0119
1016.307,-96.498,-137.006,151.0803,-25.1383,-138.0119
1016.307,-96.437,-137.006,151.0803,-25.1383,-138.0119
1016.306,-96.377,-137.006,151.0803,-25.1383,-138.0119
1016.305,-96.316,-137.006,151.0803,-25.1383,-138.0119
1016.304,-96.256,-137.006,151.0803,-25.1383,-138.0119
1016.304,-96.196,-137.006,151.0803,-25.1383,-138.0119
1016.303,-96.135,-137.006,151.0803,-25.1383,-138.0119
1016.302,-96.075,-137.006,151.0803,-25.1383,-138.0119
1016.301,-96.014,-137.006,151.0803,-25.1383,-138.0119
1016.301,-95.954,-137.006,151.0803,-25.1383,-138.0119
1016.3,-95.894,-137.006,151.0803,-25.1383,-138.0119
1016.299,-95.833,-137.006,151.0803,-25.1383,-138.0119
1016.298,-95.773,-137.006,151.0803,-25.1383,-138.0119
1016.298,-95.713,-137.006,151.0803,-25.1383,-138.0119
1016.297,-95.652,-137.006,151.0803,-25.1383,-138.0119
1016.296,-95.592,-137.006,151.0803,-25.1383,-138.0119
1016.295,-95.531,-137.006,151.0803,-25.1383,-138.0119
1016.295,-95.471,-137.006,151.0803,-25.1383,-138.0119
1016.294,-95.411,-137.006,151.0803,-25.1383,-138.0119
1016.293,-95.35,-137.006,151.0803,-25.1383,-138.0119
1016.292,-95.29,-137.006,151.0803,-25.1383,-138.0119
1016.292,-95.229,-137.006,151.0803,-25.1383,-138.0119
1016.291,-95.169,-137.006,151.0803,-25.1383,-138.0119
1016.29,-95.109,-137.006,151.0803,-25.1383,-138.0119
1016.289,-95.048,-137.006,151.0803,-25.1383,-138.0119
1016.289,-94.988,-137.006,151.0803,-25.1383,-138.0119
1016.288,-94.928,-137.006,151.0803,-25.1383,-138.0119
1016.287,-94.867,-137.006,151.0803,-25.1383,-138.0119
1016.286,-94.807,-137.006,151.0803,-25.1383,-138.0119
1016.286,-94.746,-137.006,151.0803,-25.1383,-138.0119
1016.285,-94.686,-137.006,151.0803,-25.1383,-138.0119
1016.284,-94.626,-137.006,151.0803,-25.1383,-138.0119
1016.283,-94.565,-137.006,151.0803,-25.1383,-138.0119
1016.283,-94.505,-137.006,151.0803,-25.1383,-138.0119
1016.282,-94.444,-137.006,151.0803,-25.1383,-138.0119
1016.281,-94.384,-137.006,151.0803,-25.1383,-138.0119
1016.28,-94.324,-137.006,151.0803,-25.1383,-138.0119
1016.28,-94.263,-137.006,151.0803,-25.1383,-138.0119
1016.279,-94.203,-137.006,151.0803,-25.1383,-138.0119
1016.278,-94.143,-137.006,151.0803,-25.1383,-138.0119
1016.277,-94.082,-137.006,151.0803,-25.1383,-138.0119
1016.277,-94.022,-137.006,151.0803,-25.1383,-138.0119
1016.276,-93.961,-137.006,151.0803,-25.1383,-138.0119
1016.275,-93.901,-137.006,151.0803,-25.1383,-138.0119
1016.274,-93.841,-137.006,151.0803,-25.1383,-138.0119
1016.274,-93.78,-137.006,151.0803,-25.1383,-138.0119
1016.273,-93.72,-137.006,151.0803,-25.1383,-138.0119
1016.272,-93.659,-137.006,151.0803,-25.1383,-138.0119
1016.271,-93.599,-137.005,151.0803,-25.1383,-138.0119
1016.271,-93.539,-137.005,151.0803,-25.1383,-138.0119
1016.27,-93.478,-137.005,151.0803,-25.1383,-138.0119
1016.269,-93.418,-137.005,151.0803,-25.1383,-138.0119
1016.268,-93.358,-137.005,151.0803,-25.1383,-138.0119
1016.268,-93.297,-137.005,151.0803,-25.1383,-138.0119
1016.267,-93.237,-137.005,151.0803,-25.1383,-138.0119
1016.266,-93.176,-137.005,151.0803,-25.1383,-138.0119
1016.265,-93.116,-137.005,151.0803,-25.1383,-138.0119
1016.265,-93.056,-137.005,151.0803,-25.1383,-138.0119
1016.264,-92.995,-137.005,151.0803,-25.1383,-138.0119
1016.263,-92.935,-137.005,151.0803,-25.1383,-138.0119
1016.262,-92.874,-137.005,151.0803,-25.1383,-138.0119
