X,Y,Z,Rx,Ry,Rz
866.085,44.91,-136.704,1603.132,-252.596,301.61
866.086,44.849,-136.704,1603.116,-252.595,301.623
866.086,44.789,-136.704,1603.1,-252.595,301.63599999999997
866.086,44.729,-136.704,1603.084,-252.594,301.648
866.086,44.668,-136.704,1603.0680000000002,-252.594,301.661
866.087,44.608,-136.704,1603.0520000000001,-252.593,301.674
866.087,44.547,-136.704,1603.0359999999998,-252.593,301.687
866.087,44.487,-136.704,1603.02,-252.59199999999998,301.70000000000005
866.087,44.427,-136.704,1603.004,-252.59199999999998,301.71299999999997
866.088,44.366,-136.704,1602.988,-252.591,301.725
866.088,44.306,-136.704,1602.972,-252.591,301.738
866.088,44.246,-136.704,1602.9560000000001,-252.59,301.751
866.088,44.185,-136.704,1602.94,-252.59,301.764
866.089,44.125,-136.704,1602.924,-252.589,301.77700000000004
866.089,44.064,-136.704,1602.908,-252.589,301.78999999999996
866.089,44.004,-136.704,1602.8919999999998,-252.58800000000002,301.802
866.089,43.944,-136.704,1602.877,-252.58800000000002,301.815
866.09,43.883,-136.704,1602.861,-252.58700000000002,301.828
866.09,43.823,-136.704,1602.845,-252.58700000000002,301.841
866.09,43.763,-136.704,1602.8290000000002,-252.586,301.85400000000004
866.091,43.702,-136.704,1602.8129999999999,-252.586,301.86699999999996
866.091,43.642,-136.704,1602.797,-252.585,301.879
866.091,43.581,-136.704,1602.781,-252.585,301.892
866.091,43.521,-136.704,1602.7649999999999,-252.584,301.905
866.092,43.461,-136.704,1602.749,-252.584,301.918
866.092,43.4,-136.704,1602.7330000000002,-252.58299999999997,301.93100000000004
866.092,43.34,-136.704,1602.717,-252.58299999999997,301.944
866.092,43.28,-136.704,1602.701,-252.582,301.956
866.093,43.219,-136.704,1602.685,-252.582,301.969
866.093,43.159,-136.704,1602.6689999999999,-252.581,301.98199999999997
866.093,43.098,-136.704,1602.653,-252.581,301.995
866.093,43.038,-136.704,1602.637,-252.57999999999998,302.00800000000004
866.094,42.978,-136.704,1602.621,-252.57999999999998,302.021
866.094,42.917,-136.704,1602.605,-252.579,302.033
866.094,42.857,-136.704,1602.5890000000002,-252.579,302.046
866.094,42.797,-136.704,1602.5729999999999,-252.578,302.05899999999997
866.095,42.736,-136.704,1602.5569999999998,-252.578,302.072
866.095,42.676,-136.704,1602.541,-252.577,302.08500000000004
866.095,42.615,-136.704,1602.525,-252.577,302.098
866.095,42.555,-136.704,1602.509,-252.577,302.11
866.096,42.495,-136.705,1602.493,-252.576,302.123
866.096,42.434,-136.705,1602.477,-252.576,302.13599999999997
866.096,42.374,-136.705,1602.4610000000002,-252.575,302.149
866.097,42.314,-136.705,1602.445,-252.575,302.16200000000003
866.097,42.253,-136.705,1602.4289999999999,-252.574,302.175
866.097,42.193,-136.705,1602.413,-252.574,302.187
866.097,42.132,-136.705,1602.397,-252.573,302.2
866.098,42.072,-136.705,1602.382,-252.573,302.21299999999997
866.098,42.012,-136.705,1602.366,-252.572,302.226
866.098,41.951,-136.705,1602.3500000000001,-252.572,302.23900000000003
866.098,41.891,-136.705,1602.3339999999998,-252.57100000000003,302.252
866.099,41.831,-136.705,1602.318,-252.57100000000003,302.264
866.099,41.77,-136.705,1602.302,-252.57000000000002,302.277
866.099,41.71,-136.705,1602.286,-252.57000000000002,302.28999999999996
866.099,41.649,-136.705,1602.27,-252.56900000000002,302.303
866.1,41.589,-136.705,1602.2540000000001,-252.56900000000002,302.31600000000003
866.1,41.529,-136.705,1602.238,-252.56799999999998,302.329
866.1,41.468,-136.705,1602.2219999999998,-252.56799999999998,302.342
866.1,41.408,-136.705,1602.206,-252.56699999999998,302.354
866.101,41.348,-136.705,1602.19,-252.56699999999998,302.36699999999996
866.101,41.287,-136.705,1602.174,-252.56599999999997,302.38
866.101,41.227,-136.705,1602.158,-252.56599999999997,302.39300000000003
866.102,41.166,-136.705,1602.142,-252.565,302.406
866.102,41.106,-136.705,1602.1260000000002,-252.565,302.419
866.102,41.046,-136.705,1602.1100000000001,-252.564,302.431
866.102,40.985,-136.705,1602.0939999999998,-252.564,302.44399999999996
866.103,40.925,-136.705,1602.078,-252.563,302.457
866.103,40.865,-136.705,1602.062,-252.563,302.47
866.103,40.804,-136.705,1602.046,-252.562,302.483
866.103,40.744,-136.705,1602.03,-252.562,302.496
866.104,40.683,-136.705,1602.0140000000001,-252.561,302.50800000000004
866.104,40.623,-136.705,1601.998,-252.561,302.52099999999996
866.104,40.563,-136.705,1601.9820000000002,-252.56,302.534
866.104,40.502,-136.705,1601.966,-252.56,302.547
866.105,40.442,-136.705,1601.9499999999998,-252.559,302.56
866.105,40.382,-136.705,1601.934,-252.559,302.573
866.105,40.321,-136.705,1601.9180000000001,-252.558,302.58500000000004
866.105,40.261,-136.705,1601.902,-252.558,302.59799999999996
866.106,40.2,-136.705,1601.8870000000002,-252.55700000000002,302.611
866.106,40.14,-136.705,1601.8709999999999,-252.556,302.624
866.106,40.08,-136.705,1601.855,-252.556,302.637
866.107,40.019,-136.705,1601.839,-252.555,302.65
866.107,39.959,-136.705,1601.8229999999999,-252.555,302.66200000000003
866.107,39.899,-136.705,1601.807,-252.55400000000003,302.67499999999995
866.107,39.838,-136.705,1601.7910000000002,-252.55400000000003,302.688
866.108,39.778,-136.705,1601.775,-252.553,302.701
866.108,39.717,-136.705,1601.759,-252.553,302.714
866.108,39.657,-136.705,1601.743,-252.552,302.727
866.108,39.597,-136.705,1601.7269999999999,-252.552,302.73900000000003
866.109,39.536,-136.705,1601.711,-252.551,302.752
866.109,39.476,-136.705,1601.695,-252.551,302.765
866.109,39.416,-136.705,1601.679,-252.54999999999998,302.778
866.109,39.355,-136.705,1601.663,-252.54999999999998,302.791
866.11,39.295,-136.705,1601.6470000000002,-252.54899999999998,302.804
866.11,39.234,-136.705,1601.6309999999999,-252.54899999999998,302.81600000000003
866.11,39.174,-136.705,1601.6149999999998,-252.548,302.829
866.11,39.114,-136.705,1601.599,-252.548,302.842
866.111,39.053,-136.705,1601.583,-252.547,302.855
866.111,38.993,-136.705,1601.567,-252.547,302.868
866.111,38.933,-136.705,1601.551,-252.546,302.881
866.111,38.872,-136.705,1601.535,-252.546,302.89300000000003
866.112,38.812,-136.705,1601.5190000000002,-252.54500000000002,302.906
866.112,38.751,-136.705,1601.503,-252.54500000000002,302.919
866.112,38.691,-136.705,1601.4869999999999,-252.544,302.932
866.113,38.631,-136.705,1601.471,-252.544,302.945
866.113,38.57,-136.705,1601.455,-252.543,302.95799999999997
866.113,38.51,-136.705,1601.439,-252.543,302.97
866.113,38.45,-136.705,1601.423,-252.542,302.983
866.114,38.389,-136.705,1601.4070000000002,-252.542,302.99600000000004
866.114,38.329,-136.705,1601.3919999999998,-252.541,303.009
866.114,38.268,-136.705,1601.376,-252.541,303.022
866.114,38.208,-136.705,1601.36,-252.54000000000002,303.03499999999997
866.115,38.148,-136.705,1601.344,-252.54000000000002,303.047
866.115,38.087,-136.705,1601.328,-252.53900000000002,303.06
866.115,38.027,-136.705,1601.3120000000001,-252.53900000000002,303.07300000000004
866.115,37.967,-136.705,1601.296,-252.53799999999998,303.086
866.116,37.906,-136.705,1601.2799999999997,-252.53799999999998,303.099
866.116,37.846,-136.705,1601.264,-252.53699999999998,303.11199999999997
866.116,37.785,-136.705,1601.248,-252.536,303.124
866.116,37.725,-136.705,1601.232,-252.536,303.137
866.117,37.665,-136.705,1601.216,-252.535,303.15000000000003
866.117,37.604,-136.706,1601.2,-252.535,303.163
866.117,37.544,-136.706,1601.1840000000002,-252.534,303.176
866.118,37.484,-136.706,1601.1680000000001,-252.534,303.18899999999996
866.118,37.423,-136.706,1601.1519999999998,-252.533,303.201
866.118,37.363,-136.706,1601.136,-252.533,303.214
866.118,37.302,-136.706,1601.12,-252.53199999999998,303.22700000000003
866.119,37.242,-136.706,1601.104,-252.53199999999998,303.24
866.119,37.182,-136.706,1601.088,-252.531,303.253
866.119,37.121,-136.706,1601.0720000000001,-252.531,303.26599999999996
866.119,37.061,-136.706,1601.056,-252.53,303.278
866.12,37.001,-136.706,1601.0400000000002,-252.53,303.291
866.12,36.94,-136.706,1601.024,-252.529,303.30400000000003
866.12,36.88,-136.706,1601.0079999999998,-252.529,303.317
866.12,36.819,-136.706,1600.992,-252.52800000000002,303.33
866.121,36.759,-136.706,1600.976,-252.52800000000002,303.34299999999996
866.121,36.699,-136.706,1600.96,-252.52700000000002,303.355
866.121,36.638,-136.706,1600.944,-252.52700000000002,303.368
866.121,36.578,-136.706,1600.928,-252.526,303.38100000000003
866.122,36.518,-136.706,1600.913,-252.526,303.394
866.122,36.457,-136.706,1600.897,-252.525,303.407
