X,Y,Z,Rx,Ry,Rz
866.085,44.91,-136.704,160.3132,-25.2596,30.161
866.086,44.849,-136.704,160.3116,-25.2595,30.1623
866.086,44.789,-136.704,160.31,-25.2595,30.1636
866.086,44.729,-136.704,160.3084,-25.2594,30.1648
866.086,44.668,-136.704,160.3068,-25.2594,30.1661
866.087,44.608,-136.704,160.3052,-25.2593,30.1674
866.087,44.547,-136.704,160.3036,-25.2593,30.1687
866.087,44.487,-136.704,160.302,-25.2592,30.17
866.087,44.427,-136.704,160.3004,-25.2592,30.1713
866.088,44.366,-136.704,160.2988,-25.2591,30.1725
866.088,44.306,-136.704,160.2972,-25.2591,30.1738
866.088,44.246,-136.704,160.2956,-25.259,30.1751
866.088,44.185,-136.704,160.294,-25.259,30.1764
866.089,44.125,-136.704,160.2924,-25.2589,30.1777
866.089,44.064,-136.704,160.2908,-25.2589,30.179
866.089,44.004,-136.704,160.2892,-25.2588,30.1802
866.089,43.944,-136.704,160.2877,-25.2588,30.1815
866.09,43.883,-136.704,160.2861,-25.2587,30.1828
866.09,43.823,-136.704,160.2845,-25.2587,30.1841
866.09,43.763,-136.704,160.2829,-25.2586,30.1854
866.091,43.702,-136.704,160.2813,-25.2586,30.1867
866.091,43.642,-136.704,160.2797,-25.2585,30.1879
866.091,43.581,-136.704,160.2781,-25.2585,30.1892
866.091,43.521,-136.704,160.2765,-25.2584,30.1905
866.092,43.461,-136.704,160.2749,-25.2584,30.1918
866.092,43.4,-136.704,160.2733,-25.2583,30.1931
866.092,43.34,-136.704,160.2717,-25.2583,30.1944
866.092,43.28,-136.704,160.2701,-25.2582,30.1956
866.093,43.219,-136.704,160.2685,-25.2582,30.1969
866.093,43.159,-136.704,160.2669,-25.2581,30.1982
866.093,43.098,-136.704,160.2653,-25.2581,30.1995
866.093,43.038,-136.704,160.2637,-25.258,30.2008
866.094,42.978,-136.704,160.2621,-25.258,30.2021
866.094,42.917,-136.704,160.2605,-25.2579,30.2033
866.094,42.857,-136.704,160.2589,-25.2579,30.2046
866.094,42.797,-136.704,160.2573,-25.2578,30.2059
866.095,42.736,-136.704,160.2557,-25.2578,30.2072
866.095,42.676,-136.704,160.2541,-25.2577,30.2085
866.095,42.615,-136.704,160.2525,-25.2577,30.2098
866.095,42.555,-136.704,160.2509,-25.2577,30.211
866.096,42.495,-136.705,160.2493,-25.2576,30.2123
866.096,42.434,-136.705,160.2477,-25.2576,30.2136
866.096,42.374,-136.705,160.2461,-25.2575,30.2149
866.097,42.314,-136.705,160.2445,-25.2575,30.2162
866.097,42.253,-136.705,160.2429,-25.2574,30.2175
866.097,42.193,-136.705,160.2413,-25.2574,30.2187
866.097,42.132,-136.705,160.2397,-25.2573,30.22
866.098,42.072,-136.705,160.2382,-25.2573,30.2213
866.098,42.012,-136.705,160.2366,-25.2572,30.2226
866.098,41.951,-136.705,160.235,-25.2572,30.2239
866.098,41.891,-136.705,160.2334,-25.2571,30.2252
866.099,41.831,-136.705,160.2318,-25.2571,30.2264
866.099,41.77,-136.705,160.2302,-25.257,30.2277
866.099,41.71,-136.705,160.2286,-25.257,30.229
866.099,41.649,-136.705,160.227,-25.2569,30.2303
866.1,41.589,-136.705,160.2254,-25.2569,30.2316
866.1,41.529,-136.705,160.2238,-25.2568,30.2329
866.1,41.468,-136.705,160.2222,-25.2568,30.2342
866.1,41.408,-136.705,160.2206,-25.2567,30.2354
866.101,41.348,-136.705,160.219,-25.2567,30.2367
866.101,41.287,-136.705,160.2174,-25.2566,30.238
866.101,41.227,-136.705,160.2158,-25.2566,30.2393
866.102,41.166,-136.705,160.2142,-25.2565,30.2406
866.102,41.106,-136.705,160.2126,-25.2565,30.2419
866.102,41.046,-136.705,160.211,-25.2564,30.2431
866.102,40.985,-136.705,160.2094,-25.2564,30.2444
866.103,40.925,-136.705,160.2078,-25.2563,30.2457
866.103,40.865,-136.705,160.2062,-25.2563,30.247
866.103,40.804,-136.705,160.2046,-25.2562,30.2483
866.103,40.744,-136.705,160.203,-25.2562,30.2496
866.104,40.683,-136.705,160.2014,-25.2561,30.2508
866.104,40.623,-136.705,160.1998,-25.2561,30.2521
866.104,40.563,-136.705,160.1982,-25.256,30.2534
866.104,40.502,-136.705,160.1966,-25.256,30.2547
866.105,40.442,-136.705,160.195,-25.2559,30.256
866.105,40.382,-136.705,160.1934,-25.2559,30.2573
866.105,40.321,-136.705,160.1918,-25.2558,30.2585
866.105,40.261,-136.705,160.1902,-25.2558,30.2598
866.106,40.2,-136.705,160.1887,-25.2557,30.2611
866.106,40.14,-136.705,160.1871,-25.2556,30.2624
866.106,40.08,-136.705,160.1855,-25.2556,30.2637
866.107,40.019,-136.705,160.1839,-25.2555,30.265
866.107,39.959,-136.705,160.1823,-25.2555,30.2662
866.107,39.899,-136.705,160.1807,-25.2554,30.2675
866.107,39.838,-136.705,160.1791,-25.2554,30.2688
866.108,39.778,-136.705,160.1775,-25.2553,30.2701
866.108,39.717,-136.705,160.1759,-25.2553,30.2714
866.108,39.657,-136.705,160.1743,-25.2552,30.2727
866.108,39.597,-136.705,160.1727,-25.2552,30.2739
866.109,39.536,-136.705,160.1711,-25.2551,30.2752
866.109,39.476,-136.705,160.1695,-25.2551,30.2765
866.109,39.416,-136.705,160.1679,-25.255,30.2778
866.109,39.355,-136.705,160.1663,-25.255,30.2791
866.11,39.295,-136.705,160.1647,-25.2549,30.2804
866.11,39.234,-136.705,160.1631,-25.2549,30.2816
866.11,39.174,-136.705,160.1615,-25.2548,30.2829
866.11,39.114,-136.705,160.1599,-25.2548,30.2842
866.111,39.053,-136.705,160.1583,-25.2547,30.2855
866.111,38.993,-136.705,160.1567,-25.2547,30.2868
866.111,38.933,-136.705,160.1551,-25.2546,30.2881
866.111,38.872,-136.705,160.1535,-25.2546,30.2893
866.112,38.812,-136.705,160.1519,-25.2545,30.2906
866.112,38.751,-136.705,160.1503,-25.2545,30.2919
866.112,38.691,-136.705,160.1487,-25.2544,30.2932
866.113,38.631,-136.705,160.1471,-25.2544,30.2945
866.113,38.57,-136.705,160.1455,-25.2543,30.2958
866.113,38.51,-136.705,160.1439,-25.2543,30.297
866.113,38.45,-136.705,160.1423,-25.2542,30.2983
866.114,38.389,-136.705,160.1407,-25.2542,30.2996
866.114,38.329,-136.705,160.1392,-25.2541,30.3009
866.114,38.268,-136.705,160.1376,-25.2541,30.3022
866.114,38.208,-136.705,160.136,-25.254,30.3035
866.115,38.148,-136.705,160.1344,-25.254,30.3047
866.115,38.087,-136.705,160.1328,-25.2539,30.306
866.115,38.027,-136.705,160.1312,-25.2539,30.3073
866.115,37.967,-136.705,160.1296,-25.2538,30.3086
866.116,37.906,-136.705,160.128,-25.2538,30.3099
866.116,37.846,-136.705,160.1264,-25.2537,30.3112
866.116,37.785,-136.705,160.1248,-25.2536,30.3124
866.116,37.725,-136.705,160.1232,-25.2536,30.3137
866.117,37.665,-136.705,160.1216,-25.2535,30.315
866.117,37.604,-136.706,160.12,-25.2535,30.3163
866.117,37.544,-136.706,160.1184,-25.2534,30.3176
866.118,37.484,-136.706,160.1168,-25.2534,30.3189
866.118,37.423,-136.706,160.1152,-25.2533,30.3201
866.118,37.363,-136.706,160.1136,-25.2533,30.3214
866.118,37.302,-136.706,160.112,-25.2532,30.3227
866.119,37.242,-136.706,160.1104,-25.2532,30.324
866.119,37.182,-136.706,160.1088,-25.2531,30.3253
866.119,37.121,-136.706,160.1072,-25.2531,30.3266
866.119,37.061,-136.706,160.1056,-25.253,30.3278
866.12,37.001,-136.706,160.104,-25.253,30.3291
866.12,36.94,-136.706,160.1024,-25.2529,30.3304
866.12,36.88,-136.706,160.1008,-25.2529,30.3317
866.12,36.819,-136.706,160.0992,-25.2528,30.333
866.121,36.759,-136.706,160.0976,-25.2528,30.3343
866.121,36.699,-136.706,160.096,-25.2527,30.3355
866.121,36.638,-136.706,160.0944,-25.2527,30.3368
866.121,36.578,-136.706,160.0928,-25.2526,30.3381
866.122,36.518,-136.706,160.0913,-25.2526,30.3394
866.122,36.457,-136.706,160.0897,-25.2525,30.3407
866.122,36.397,-136.706,160.0881,-25.2524,30.342
866.122,36.336,-136.706,160.0865,-25.2524,30.3432
866.123,36.276,-136.706,160.0849,-25.2523,30.3445
866.123,36.216,-136.706,160.0833,-25.2523,30.3458
866.123,36.155,-136.706,160.0817,-25.2522,30.3471
866.124,36.095,-136.706,160.0801,-25.2522,30.3484
866.124,36.035,-136.706,160.0785,-25.2521,30.3497
866.124,35.974,-136.706,160.0769,-25.2521,30.3509
866.124,35.914,-136.706,160.0753,-25.252,30.3522
866.125,35.853,-136.706,160.0737,-25.252,30.3535
