intervalNO.,status,SystemTime
2.0,0.0,0.0
11.0,0.0,0.0
11.0,0.0,322.2
2.0,0.0,954.4
11.0,0.0,1294.5
2.0,0.0,1650.0
11.0,0.0,2002.5
2.0,0.0,2382.8
11.0,0.0,2754.6
2.0,0.0,3115.4
11.0,0.0,3471.3
2.0,0.0,3822.3
11.0,0.0,4174.5
2.0,0.0,4533.6
11.0,0.0,4884.3
2.0,0.0,5234.6
11.0,0.0,5631.1
2.0,0.0,5982.8
11.0,0.0,6325.9
2.0,0.0,6682.3
11.0,0.0,7073.6
2.0,0.0,7435.3
11.0,0.0,7775.3
2.0,0.0,8122.4
11.0,0.0,8514.4
2.0,0.0,8866.4
11.0,0.0,9226.1
2.0,0.0,9577.8
11.0,0.0,9927.2
2.0,0.0,10279.0
11.0,0.0,10677.8
2.0,0.0,11029.6
11.0,0.0,11382.3
2.0,0.0,11726.3
11.0,0.0,12117.9
2.0,0.0,12470.4
11.0,0.0,12825.4
2.0,0.0,13180.5
11.0,0.0,13562.4
2.0,0.0,13913.6
11.0,0.0,14270.9
2.0,0.0,14622.6
11.0,0.0,14993.0
2.0,0.0,15345.6
11.0,0.0,15703.4
2.0,0.0,16054.8
11.0,0.0,16446.4
2.0,0.0,16807.7
11.0,0.0,17164.3
2.0,0.0,17519.3
11.0,0.0,17866.8
2.0,0.0,18213.7
11.0,0.0,18564.6
2.0,0.0,18926.4
11.0,0.0,19317.3
2.0,0.0,19670.0
11.0,0.0,20014.7
2.0,0.0,20396.8
11.0,0.0,20754.3
2.0,0.0,21095.2
11.0,0.0,21435.6
2.0,0.0,21834.4
11.0,0.0,22174.8
2.0,0.0,22520.3
11.0,0.0,22914.2
2.0,0.0,23266.2
11.0,0.0,23615.3
2.0,0.0,23960.7
11.0,0.0,24342.4
2.0,0.0,24683.0
11.0,0.0,25054.8
2.0,0.0,25410.2
11.0,0.0,25794.2
2.0,0.0,26146.2
11.0,0.0,26498.9
2.0,0.0,26858.8
11.0,0.0,27208.6
2.0,0.0,27558.8
11.0,0.0,27955.0
2.0,0.0,28317.8
11.0,0.0,28667.5
2.0,0.0,29026.4
11.0,0.0,29378.2
2.0,0.0,29719.3
11.0,0.0,30114.8
2.0,0.0,30466.8
11.0,0.0,30826.8
2.0,0.0,31179.0
11.0,0.0,31535.3
2.0,0.0,31878.4
11.0,0.0,32273.0
2.0,0.0,32634.4
11.0,0.0,32985.0
2.0,0.0,33330.3
11.0,0.0,33715.3
2.0,0.0,34058.7
11.0,0.0,34402.3
2.0,0.0,34794.3
11.0,0.0,35146.2
2.0,0.0,35498.0
11.0,0.0,35857.8
2.0,0.0,36212.6
11.0,0.0,36574.6
2.0,0.0,36915.3
11.0,0.0,37306.9
2.0,0.0,37652.8
11.0,0.0,38033.8
2.0,0.0,38382.3
11.0,0.0,38734.2
2.0,0.0,39094.5
11.0,0.0,39435.5
2.0,0.0,39831.6
11.0,0.0,40175.3
2.0,0.0,40531.3
11.0,0.0,40891.8
2.0,0.0,41243.5
11.0,0.0,41595.3
2.0,0.0,41994.5
11.0,0.0,42346.0
2.0,0.0,42705.9
11.0,0.0,43051.5
2.0,0.0,43434.5
11.0,0.0,43795.4
2.0,0.0,44147.3
11.0,0.0,44492.9
2.0,0.0,44843.6
11.0,0.0,45202.3
2.0,0.0,45594.1
11.0,0.0,45944.3
2.0,0.0,46295.8
11.0,0.0,46643.4
2.0,0.0,47034.5
11.0,0.0,47386.1
2.0,0.0,47743.2
11.0,0.0,48083.7
2.0,0.0,48450.8
11.0,0.0,48811.5
