X,Y,Z,Rx,Ry,Rz
485.7,-1.241,234.052,-179.996,20.2021,1.7074
487.707,-1.316,232.733,-179.8944,20.106,1.7961
489.374,-1.389,231.635,-179.811,20.0267,1.8701
492.382,-1.51,229.662,-179.6609,19.8811,2.0047
494.387,-1.586,228.341,-179.5602,19.7851,2.093
496.054,-1.649,227.244,-179.4767,19.7046,2.1661
498.222,-1.736,225.809,-179.3692,19.6004,2.2606
500.225,-1.811,224.488,-179.2702,19.5031,2.3494
502.397,-1.903,223.061,-179.1639,19.3974,2.444
504.069,-1.967,221.964,-179.0815,19.316,2.5165
506.077,-2.047,220.647,-178.9843,19.2174,2.605
508.241,-2.132,219.215,-178.8783,19.112,2.698
510.415,-2.216,217.788,-178.7728,19.0047,2.792
512.92,-2.319,216.144,-178.6523,18.8806,2.9007
514.586,-2.384,215.045,-178.5717,18.7986,2.9722
516.59,-2.459,213.717,-178.4754,18.7004,3.0572
518.761,-2.552,212.296,-178.3725,18.5918,3.1512
520.43,-2.615,211.191,-178.2928,18.5097,3.2212
522.436,-2.696,209.871,-178.1979,18.4094,3.3073
524.602,-2.781,208.439,-178.0954,18.3019,3.3995
526.271,-2.844,207.348,-178.0162,18.2174,3.4692
528.281,-2.929,206.031,-177.9233,18.1159,3.5547
530.45,-3.016,204.602,-177.8219,18.0069,3.6462
532.623,-3.101,203.173,-177.7204,17.8979,3.7366
534.287,-3.16,202.069,-177.6429,17.8143,3.808
536.292,-3.24,200.749,-177.5501,17.7126,3.8904
538.466,-3.327,199.327,-177.4505,17.6013,3.9819
540.136,-3.392,198.226,-177.3741,17.5169,4.0508
542.137,-3.471,196.908,-177.2828,17.4149,4.1347
544.306,-3.558,195.473,-177.1836,17.3048,4.2234
545.979,-3.623,194.38,-177.1079,17.2187,4.2918
547.981,-3.707,193.055,-177.0176,17.1161,4.3745
550.149,-3.788,191.631,-176.9203,17.0049,4.4649
552.323,-3.876,190.203,-176.8231,16.8926,4.5533
554.491,-3.963,188.777,-176.7258,16.7805,4.6406
556.993,-4.063,187.118,-176.6146,16.6518,4.7434
558.662,-4.125,186.025,-176.5406,16.5645,4.8108
560.669,-4.206,184.707,-176.4521,16.4602,4.8914
562.844,-4.29,183.282,-176.3571,16.3466,4.9785
564.509,-4.353,182.179,-176.2842,16.26,5.0473
566.513,-4.432,180.862,-176.1968,16.1555,5.1271
568.68,-4.518,179.428,-176.1027,16.042,5.2144
570.685,-4.601,178.109,-176.0159,15.9367,5.2933
572.358,-4.669,177.012,-175.9447,15.8488,5.3605
574.525,-4.75,175.587,-175.8512,15.7341,5.4466
576.696,-4.839,174.16,-175.7594,15.6195,5.5332
578.697,-4.914,172.836,-175.6734,15.5138,5.612
580.375,-4.987,171.734,-175.603,15.4251,5.6767
582.543,-5.064,170.308,-175.5107,15.3099,5.762
584.545,-5.147,168.992,-175.4268,15.2032,5.841
586.216,-5.214,167.887,-175.3563,15.1145,5.905
588.387,-5.303,166.461,-175.2665,14.9979,5.9898
590.388,-5.379,165.139,-175.1829,14.8917,6.0677
592.559,-5.461,163.713,-175.0928,14.7751,6.152
594.23,-5.528,162.617,-175.0247,14.6849,6.2178
596.402,-5.622,161.187,-174.9365,14.5678,6.3008
598.572,-5.703,159.755,-174.8478,14.4515,6.3851
600.242,-5.766,158.658,-174.779,14.3613,6.4479
602.243,-5.848,157.341,-174.6982,14.2524,6.5255
604.409,-5.933,155.907,-174.6105,14.1357,6.6073
606.085,-6,154.81,-174.5437,14.0446,6.6707
608.258,-6.086,153.383,-174.4566,13.9261,6.753
610.261,-6.164,152.062,-174.3773,13.8169,6.8297
611.928,-6.233,150.969,-174.3106,13.726,6.8913
614.1,-6.319,149.534,-174.2251,13.6078,6.9736
616.265,-6.398,148.106,-174.1396,13.4887,7.0564
617.604,-6.454,147.229,-174.087,13.4156,7.1059
619.613,-6.533,145.914,-174.009,13.3046,7.1812
621.778,-6.617,144.478,-173.9243,13.1861,7.2615
623.785,-6.702,143.166,-173.8473,13.0747,7.3355
625.452,-6.764,142.063,-173.7822,12.9837,7.3973
627.954,-6.869,140.413,-173.6871,12.8447,7.4909
630.13,-6.955,138.991,-173.604,12.7237,7.5698
632.3,-7.036,137.555,-173.5212,12.6039,7.6509
634.301,-7.115,136.237,-173.4449,12.4931,7.7231
636.136,-7.179,135.033,-173.3754,12.3903,7.7909
638.139,-7.268,133.711,-173.3017,12.2785,7.8653
640.315,-7.349,132.285,-173.2199,12.1565,7.9431
641.976,-7.417,131.178,-173.1573,12.0645,8.0033
643.984,-7.492,129.864,-173.0838,11.9512,8.0772
