X,Y,Z,Rx,Ry,Rz
485.346,-1.201,234.34,179.9839,20.2124,1.6985
485.357,-1.201,234.336,179.9839,20.2121,1.6985
485.393,-1.201,234.306,179.9839,20.2125,1.6985
485.451,-1.206,234.269,179.9839,20.2124,1.6978
485.501,-1.206,234.244,179.9839,20.2119,1.6978
485.555,-1.213,234.198,179.9835,20.2125,1.6991
485.605,-1.213,234.173,179.9835,20.2119,1.6991
485.642,-1.213,234.143,179.9835,20.2123,1.6991
485.699,-1.219,234.106,179.9835,20.2122,1.6984
485.746,-1.219,234.072,179.9835,20.2124,1.6984
485.796,-1.219,234.047,179.9835,20.2118,1.6984
485.857,-1.217,234.006,179.9846,20.2125,1.6981
485.904,-1.217,233.972,179.9846,20.2126,1.6981
485.951,-1.223,233.938,179.9846,20.2128,1.6974
486.016,-1.224,233.903,179.9841,20.2116,1.6994
486.073,-1.23,233.866,179.9841,20.2115,1.6987
486.113,-1.23,233.831,179.9841,20.2127,1.6987
486.167,-1.23,233.798,179.9841,20.2118,1.6987
486.217,-1.236,233.76,179.9841,20.2128,1.698
486.267,-1.236,233.735,179.9841,20.2122,1.698
486.314,-1.242,233.701,179.9841,20.2124,1.6973
486.372,-1.242,233.664,179.9837,20.2123,1.6993
486.419,-1.242,233.631,179.9837,20.2124,1.6993
486.468,-1.248,233.606,179.9836,20.2119,1.6986
486.523,-1.248,233.56,179.9837,20.2125,1.6986
486.573,-1.254,233.535,179.9836,20.2119,1.6979
486.63,-1.254,233.498,179.9836,20.2118,1.6979
486.677,-1.254,233.464,179.9836,20.212,1.6979
486.72,-1.26,233.438,179.9837,20.2124,1.6972
486.774,-1.26,233.392,179.9837,20.213,1.6972
486.835,-1.259,233.364,179.9843,20.2122,1.6988
486.871,-1.259,233.333,179.9843,20.2126,1.6988
486.928,-1.259,233.296,179.9843,20.2125,1.6988
486.978,-1.265,233.271,179.9843,20.212,1.6981
487.036,-1.265,233.234,179.9843,20.2119,1.6981
487.083,-1.265,233.2,179.9843,20.212,1.6981
487.13,-1.271,233.166,179.9843,20.2122,1.6974
487.18,-1.271,233.128,179.9843,20.2131,1.6975
487.226,-1.277,233.108,179.9838,20.2118,1.6987
487.276,-1.277,233.069,179.9838,20.2127,1.6988
487.334,-1.277,233.032,179.9838,20.2126,1.6988
487.377,-1.283,233.003,179.9838,20.212,1.6981
487.427,-1.283,232.964,179.9839,20.2129,1.6981
487.485,-1.289,232.927,179.9839,20.2128,1.6974
487.532,-1.289,232.907,179.9838,20.2115,1.6973
487.589,-1.289,232.87,179.9838,20.2114,1.6973
487.639,-1.296,232.831,179.9834,20.2123,1.6987
487.686,-1.296,232.797,179.9834,20.2125,1.6987
487.733,-1.302,232.764,179.9834,20.2126,1.698
487.79,-1.302,232.727,179.9834,20.2125,1.698
487.84,-1.294,232.701,179.9845,20.2119,1.6983
487.89,-1.3,232.663,179.9845,20.2129,1.6976
487.934,-1.3,232.634,179.9845,20.2122,1.6976
487.991,-1.3,232.597,179.9845,20.2121,1.6976
488.044,-1.307,232.567,179.984,20.2124,1.6989
488.101,-1.307,232.53,179.984,20.2123,1.6989
488.137,-1.313,232.499,179.984,20.2127,1.6982
488.195,-1.313,232.462,179.984,20.2126,1.6982
488.245,-1.313,232.437,179.984,20.212,1.6982
488.291,-1.319,232.403,179.984,20.2122,1.6975
488.349,-1.319,232.366,179.984,20.2121,1.6975
488.396,-1.325,232.332,179.984,20.2122,1.6968
488.442,-1.325,232.298,179.9836,20.2124,1.6988
488.5,-1.325,232.261,179.9836,20.2123,1.6988
488.55,-1.331,232.236,179.9835,20.2117,1.6981
488.596,-1.331,232.202,179.9835,20.2119,1.6981
488.654,-1.337,232.165,179.9835,20.2118,1.6974
488.693,-1.337,232.129,179.9836,20.2129,1.6974
488.75,-1.337,232.092,179.9836,20.2128,1.6974
488.8,-1.336,232.067,179.9847,20.2123,1.697
488.847,-1.337,232.033,179.9842,20.2124,1.699
488.904,-1.337,231.996,179.9842,20.2123,1.699
488.954,-1.343,231.971,179.9842,20.2118,1.6983
489.001,-1.343,231.937,179.9842,20.2119,1.6983
489.047,-1.348,231.903,179.9842,20.2121,1.6976
489.097,-1.349,231.864,179.9842,20.213,1.6977
489.151,-1.349,231.832,179.9842,20.2121,1.6976
489.201,-1.354,231.806,179.9842,20.2116,1.6969
489.251,-1.355,231.768,179.9842,20.2125,1.697
489.298,-1.355,231.734,179.9837,20.2127,1.699
489.355,-1.361,231.697,179.9837,20.2126,1.6983
489.415,-1.361,231.668,179.9837,20.2118,1.6982
489.451,-1.367,231.638,179.9837,20.2122,1.6976
489.501,-1.367,231.599,179.9838,20.2131,1.6976
489.558,-1.367,231.562,179.9838,20.213,1.6976
489.605,-1.373,231.541,179.9837,20.2117,1.6968
489.655,-1.373,231.503,179.9837,20.2126,1.6969
489.712,-1.38,231.465,179.9833,20.2125,1.6982
489.759,-1.38,231.431,179.9833,20.2126,1.6982
489.816,-1.372,231.394,179.9844,20.2125,1.6985
489.855,-1.378,231.372,179.9844,20.2122,1.6978
489.912,-1.378,231.335,179.9844,20.2121,1.6978
489.962,-1.384,231.296,179.9844,20.213,1.6971
490.009,-1.384,231.275,179.9844,20.2117,1.6971
490.059,-1.384,231.237,179.9844,20.2126,1.6971
490.116,-1.391,231.2,179.9839,20.2125,1.6984
490.159,-1.391,231.17,179.9839,20.2119,1.6984
490.212,-1.391,231.14,179.9839,20.2121,1.6984
490.259,-1.397,231.106,179.9839,20.2123,1.6977
490.316,-1.397,231.069,179.9839,20.2122,1.6977
490.355,-1.403,231.047,179.9839,20.2119,1.697
490.412,-1.403,231.009,179.9839,20.2118,1.697
490.462,-1.403,230.971,179.9839,20.2127,1.697
490.506,-1.41,230.941,179.9834,20.2121,1.6983
490.563,-1.41,230.904,179.9834,20.212,1.6983
490.615,-1.416,230.874,179.9835,20.2122,1.6976
490.662,-1.416,230.84,179.9835,20.2124,1.6976
490.719,-1.416,230.803,179.9835,20.2123,1.6976
490.758,-1.422,230.781,179.9834,20.212,1.6969
490.816,-1.414,230.743,179.9845,20.2118,1.6972
490.862,-1.414,230.709,179.9845,20.212,1.6972
490.912,-1.42,230.671,179.9846,20.2129,1.6965
490.961,-1.421,230.645,179.9841,20.2124,1.6985
490.998,-1.421,230.615,179.9841,20.2128,1.6985
491.055,-1.427,230.577,179.9841,20.2127,1.6978
491.112,-1.427,230.54,179.9841,20.2126,1.6978
491.151,-1.433,230.518,179.9841,20.2123,1.6971
491.219,-1.433,230.477,179.9841,20.2119,1.6971
