X,Y,Z,Rx,Ry,Rz,time
485.327,-1.206,234.331,179.9848,20.2162,1.6903,0.0
485.337,-1.206,234.328,179.9848,20.2159,1.6902,64.0
485.395,-1.206,234.291,179.9848,20.2158,1.6902,106.3
485.471,-1.212,234.239,179.9848,20.2159,1.6896,158.1
485.528,-1.217,234.202,179.9848,20.2158,1.6889,203.0
485.593,-1.218,234.153,179.9843,20.2162,1.6909,249.5
485.643,-1.218,234.115,179.9844,20.2171,1.6909,296.6
485.719,-1.224,234.076,179.9843,20.2157,1.6902,342.4
485.78,-1.23,234.035,179.9843,20.2164,1.6895,389.4
485.834,-1.222,234.002,179.9854,20.2155,1.6898,436.7
485.902,-1.222,233.949,179.9854,20.2166,1.6898,482.7
485.957,-1.229,233.916,179.985,20.2158,1.6911,529.1
486.018,-1.229,233.875,179.985,20.2164,1.6911,575.8
486.09,-1.235,233.827,179.985,20.2158,1.6904,621.2
486.143,-1.235,233.798,179.985,20.216,1.6904,667.1
486.208,-1.241,233.749,179.985,20.2163,1.6897,712.4
486.263,-1.241,233.716,179.985,20.2155,1.6897,759.6
486.334,-1.247,233.672,179.9845,20.2159,1.691,805.8
486.399,-1.247,233.622,179.9845,20.2162,1.691,852.6
486.457,-1.253,233.585,179.9845,20.2161,1.6903,898.5
486.517,-1.253,233.544,179.9845,20.2168,1.6903,944.7
486.572,-1.259,233.511,179.9845,20.2159,1.6896,990.9
486.64,-1.259,233.471,179.9845,20.2156,1.6896,1036.7
486.705,-1.265,233.422,179.9845,20.2159,1.6889,1082.8
486.758,-1.266,233.393,179.9841,20.2162,1.6909,1127.9
486.83,-1.264,233.345,179.9851,20.2155,1.6906,1173.6
486.88,-1.264,233.307,179.9852,20.2164,1.6906,1218.6
486.948,-1.27,233.266,179.9852,20.216,1.6899,1264.2
487.006,-1.27,233.229,179.9851,20.2159,1.6899,1309.6
487.071,-1.27,233.18,179.9852,20.2163,1.6899,1355.8
487.121,-1.277,233.155,179.9847,20.2157,1.6912,1402.2
487.189,-1.277,233.101,179.9847,20.2169,1.6912,1448.9
487.254,-1.283,233.066,179.9847,20.2157,1.6905,1496.2
487.311,-1.283,233.029,179.9847,20.2156,1.6905,1542.5
487.376,-1.288,232.979,179.9847,20.216,1.6898,1589.7
487.437,-1.289,232.951,179.9847,20.2152,1.6898,1635.7
487.487,-1.294,232.913,179.9847,20.2161,1.6891,1682.5
487.552,-1.295,232.864,179.9842,20.2165,1.6911,1729.2
487.627,-1.301,232.824,179.9842,20.2151,1.6904,1775.3
487.677,-1.301,232.786,179.9842,20.216,1.6904,1821.3
487.745,-1.299,232.746,179.9853,20.2156,1.69,1867.2
487.792,-1.299,232.712,179.9853,20.2158,1.69,1913.2
487.867,-1.305,232.659,179.9853,20.2159,1.6893,1959.3
487.928,-1.306,232.618,179.9849,20.2166,1.6913,2005.3
487.982,-1.312,232.585,179.9849,20.2157,1.6906,2051.1
488.061,-1.312,232.528,179.9849,20.2166,1.6906,2097.2
488.107,-1.312,232.508,179.9848,20.2153,1.6906,2143.0
488.175,-1.318,232.454,179.9849,20.2164,1.6899,2189.1
488.23,-1.318,232.421,179.9849,20.2155,1.6899,2235.0
488.29,-1.324,232.38,179.9849,20.2162,1.6892,2280.3
488.358,-1.325,232.339,179.9844,20.2158,1.6912,2327.5
488.415,-1.331,232.302,179.9844,20.2157,1.6905,2374.1
488.48,-1.331,232.253,179.9844,20.2161,1.6905,2420.6
488.548,-1.337,232.212,179.9844,20.2157,1.6898,2466.7
488.606,-1.337,232.175,179.9844,20.2156,1.6898,2512.8
488.666,-1.342,232.133,179.9844,20.2163,1.6891,2558.0
488.72,-1.335,232.101,179.9855,20.2154,1.6895,2604.5
488.791,-1.342,232.056,179.985,20.2158,1.6908,2651.8
488.856,-1.342,232.006,179.9851,20.2162,1.6908,2698.2
488.913,-1.348,231.969,179.9851,20.2161,1.6901,2744.9
488.981,-1.348,231.929,179.985,20.2157,1.6901,2792.4
489.049,-1.354,231.888,179.985,20.2154,1.6894,2838.6
489.099,-1.354,231.85,179.9851,20.2163,1.6894,2884.8
489.161,-1.36,231.805,179.9846,20.2159,1.6907,2930.7
489.221,-1.36,231.776,179.9846,20.2151,1.6907,2976.7
489.286,-1.366,231.727,179.9846,20.2154,1.69,3022.0
489.346,-1.366,231.685,179.9846,20.2161,1.69,3068.2
489.403,-1.366,231.648,179.9846,20.216,1.69,3114.5
489.471,-1.372,231.607,179.9846,20.2157,1.6893,3160.9
489.546,-1.373,231.555,179.9841,20.2158,1.6913,3208.1
489.593,-1.379,231.521,179.9841,20.2159,1.6906,3254.5
489.664,-1.379,231.476,179.9841,20.2163,1.6906,3300.5
489.747,-1.377,231.424,179.9852,20.2154,1.6902,3362.6
489.807,-1.383,231.382,179.9852,20.2161,1.6895,3408.6
489.864,-1.383,231.345,179.9852,20.216,1.6895,3449.9
489.932,-1.383,231.305,179.9852,20.2156,1.6895,3501.8
489.989,-1.39,231.267,179.9848,20.2155,1.6908,3547.6
490.05,-1.39,231.225,179.9848,20.2162,1.6908,3594.2
490.122,-1.396,231.177,179.9848,20.2155,1.6901,3641.1
490.172,-1.396,231.139,179.9848,20.2164,1.6901,3686.5
490.239,-1.402,231.098,179.9848,20.2161,1.6894,3732.4
490.297,-1.402,231.061,179.9848,20.216,1.6894,3778.6
490.364,-1.409,231.02,179.9843,20.2156,1.6907,3825.4
490.429,-1.409,230.971,179.9843,20.216,1.6907,3872.6
490.489,-1.415,230.942,179.9843,20.2152,1.69,3918.8
490.543,-1.415,230.896,179.9843,20.2158,1.69,3964.8
490.614,-1.421,230.851,179.9843,20.2162,1.6893,4012.1
490.671,-1.413,230.813,179.9854,20.2161,1.6896,4058.7
490.736,-1.419,230.777,179.9854,20.215,1.6889,4105.2
490.786,-1.42,230.739,179.9849,20.2159,1.6909,4150.8
490.861,-1.426,230.686,179.985,20.216,1.6903,4196.8
490.928,-1.426,230.645,179.9849,20.2156,1.6902,4243.2
490.978,-1.426,230.606,179.985,20.2166,1.6903,4288.9
491.035,-1.432,230.569,179.985,20.2165,1.6896,4334.6
491.095,-1.432,230.54,179.9849,20.2157,1.6895,4380.6
491.157,-1.438,230.495,179.9849,20.2152,1.6888,4426.2
491.228,-1.439,230.45,179.9845,20.2157,1.6908,4471.9
491.295,-1.445,230.409,179.9845,20.2153,1.6901,4517.3
491.342,-1.445,230.375,179.9845,20.2155,1.6901,4563.1
491.399,-1.451,230.338,179.9845,20.2154,1.6895,4609.7
491.477,-1.451,230.28,179.9845,20.2162,1.6895,4655.6
491.531,-1.457,230.247,179.9845,20.2154,1.6888,4701.5
491.591,-1.457,230.205,179.984,20.2161,1.6908,4748.2
491.648,-1.456,230.168,179.9851,20.2159,1.6904,4793.6
491.705,-1.456,230.131,179.9851,20.2158,1.6904,4839.0
491.773,-1.456,230.09,179.9851,20.2155,1.6904,4886.6
491.83,-1.462,230.052,179.9851,20.2154,1.6897,4931.6
491.901,-1.462,230.007,179.9851,20.2158,1.6897,4978.3
491.965,-1.468,229.971,179.9851,20.2147,1.689,5024.5
492.015,-1.469,229.932,179.9847,20.2156,1.691,5070.1
492.083,-1.475,229.878,179.9847,20.2167,1.6903,5116.5
492.14,-1.475,229.854,179.9846,20.2151,1.6903,5162.9
492.207,-1.481,229.799,179.9847,20.2163,1.6896,5208.4
492.275,-1.481,229.759,179.9847,20.2159,1.6896,5255.5
492.329,-1.487,229.726,179.9846,20.215,1.6889,5302.1
492.399,-1.487,229.68,179.9842,20.2155,1.6909,5348.9
492.446,-1.493,229.646,179.9842,20.2156,1.6902,5394.1
492.513,-1.494,229.605,179.9842,20.2153,1.6902,5440.7
492.584,-1.5,229.56,179.9842,20.2157,1.6895,5486.6
492.638,-1.492,229.527,179.9853,20.2148,1.6898,5531.7
492.698,-1.492,229.485,179.9853,20.2155,1.6898,5578.3
492.755,-1.498,229.447,179.9853,20.2154,1.6891,5625.0
492.819,-1.499,229.397,179.9848,20.2157,1.6911,5671.3
492.89,-1.505,229.352,179.9849,20.2161,1.6904,5718.8
492.947,-1.505,229.314,179.9849,20.216,1.6904,5765.5
493.011,-1.511,229.278,179.9848,20.2149,1.6897,5811.5
493.082,-1.511,229.232,179.9848,20.2153,1.6897,5857.8
493.139,-1.517,229.195,179.9848,20.2152,1.689,5903.0
493.196,-1.517,229.157,179.9848,20.2151,1.689,5949.9
493.253,-1.524,229.12,179.9844,20.2151,1.6903,5996.6
493.323,-1.524,229.074,179.9844,20.2155,1.6903,6042.1
493.385,-1.53,229.029,179.9844,20.2151,1.6896,6089.3
493.437,-1.53,228.999,179.9844,20.2153,1.6896,6134.6
493.505,-1.53,228.945,179.9844,20.2164,1.6896,6180.4
493.561,-1.536,228.92,179.9844,20.2148,1.6889,6226.7
493.629,-1.529,228.866,179.985,20.2159,1.6912,6272.4
493.686,-1.535,228.828,179.985,20.2158,1.6905,6318.7
493.743,-1.535,228.791,179.985,20.2157,1.6905,6365.5
493.821,-1.541,228.746,179.985,20.2151,1.6898,6410.9
493.87,-1.541,228.707,179.985,20.216,1.6899,6456.1
493.934,-1.547,228.671,179.985,20.2149,1.6891,6501.9
493.991,-1.548,228.633,179.985,20.2148,1.6891,6547.1
494.062,-1.554,228.588,179.9845,20.2152,1.6904,6593.2
494.108,-1.554,228.553,179.9846,20.2154,1.6904,6638.5
494.186,-1.554,228.509,179.9845,20.2148,1.6904,6683.5
494.235,-1.56,228.47,179.9846,20.2157,1.6898,6728.9
494.3,-1.56,228.434,179.9845,20.2146,1.6897,6775.5
494.367,-1.566,228.379,179.9846,20.2157,1.6891,6821.8
494.427,-1.567,228.35,179.9845,20.2149,1.689,6867.5
494.491,-1.573,228.3,179.9841,20.2153,1.6903,6913.2
494.544,-1.573,228.27,179.9841,20.2155,1.6903,6958.8
494.608,-1.579,228.22,179.9841,20.2158,1.6897,7005.0
494.668,-1.572,228.192,179.9852,20.215,1.69,7051.5
494.732,-1.578,228.142,179.9852,20.2154,1.6893,7097.7
494.792,-1.578,228.099,179.9852,20.216,1.6893,7143.6
494.856,-1.579,228.063,179.9847,20.2149,1.6913,7188.8
494.916,-1.585,228.02,179.9847,20.2156,1.6906,7234.8
494.973,-1.585,227.983,179.9847,20.2155,1.6906,7281.4
495.04,-1.591,227.942,179.9847,20.2151,1.6899,7327.7
495.108,-1.591,227.9,179.9847,20.2148,1.6899,7373.7
495.157,-1.597,227.861,179.9847,20.2157,1.6892,7419.7
495.224,-1.597,227.82,179.9847,20.2154,1.6892,7465.7
495.281,-1.604,227.783,179.9843,20.2153,1.6905,7511.4
495.348,-1.604,227.741,179.9843,20.2149,1.6905,7557.4
495.398,-1.61,227.702,179.9843,20.2158,1.6898,7603.3
495.472,-1.61,227.662,179.9842,20.2145,1.6898,7649.4
495.543,-1.616,227.617,179.9843,20.2149,1.6891,7695.6
495.589,-1.616,227.582,179.9843,20.215,1.6891,7741.9
495.656,-1.609,227.541,179.9853,20.2146,1.6894,7787.7
495.713,-1.615,227.503,179.9849,20.2146,1.6907,7833.7
495.783,-1.615,227.457,179.9849,20.215,1.6907,7880.0
495.84,-1.622,227.406,179.9849,20.2163,1.69,7926.8
495.897,-1.622,227.382,179.9849,20.2148,1.69,7972.1
495.964,-1.628,227.327,179.9849,20.2159,1.6893,8017.8
496.024,-1.628,227.298,179.9849,20.2151,1.6893,8063.4
496.088,-1.634,227.248,179.9849,20.2154,1.6886,8109.7
496.148,-1.635,227.219,179.9844,20.2147,1.6906,8155.6
496.207,-1.641,227.177,179.9844,20.2153,1.6899,8201.9
496.271,-1.641,227.127,179.9845,20.2157,1.6899,8247.9
496.328,-1.641,227.089,179.9845,20.2156,1.6899,8293.5
496.395,-1.647,227.047,179.9844,20.2152,1.6892,8338.9
496.448,-1.647,227.017,179.9845,20.2154,1.6892,8385.5
496.512,-1.654,226.967,179.984,20.2158,1.6905,8430.9
496.572,-1.654,226.938,179.984,20.215,1.6905,8477.2
496.636,-1.652,226.888,179.9851,20.2153,1.6901,8523.3
496.703,-1.652,226.847,179.9851,20.215,1.6901,8569.2
496.752,-1.658,226.807,179.9851,20.2159,1.6894,8616.7
496.83,-1.659,226.763,179.9851,20.2153,1.6894,8664.2
496.886,-1.665,226.725,179.9851,20.2152,1.6887,8710.2
496.943,-1.665,226.687,179.9846,20.2151,1.6907,8756.6
497.013,-1.665,226.641,179.9846,20.2155,1.6907,8802.4
497.07,-1.672,226.603,179.9846,20.2154,1.69,8848.2
497.137,-1.672,226.562,179.9846,20.2151,1.69,8894.8
497.204,-1.678,226.52,179.9846,20.2147,1.6893,8941.7
497.253,-1.678,226.481,179.9846,20.2156,1.6893,8986.5
497.32,-1.684,226.44,179.9846,20.2153,1.6886,9033.0
497.377,-1.685,226.402,179.9842,20.2152,1.6906,9079.3
497.444,-1.691,226.361,179.9841,20.2148,1.6899,9124.6
497.5,-1.691,226.323,179.9841,20.2147,1.6899,9170.6
497.571,-1.697,226.277,179.9842,20.2152,1.6892,9217.7
497.638,-1.69,226.235,179.9852,20.2148,1.6895,9263.6
497.687,-1.69,226.196,179.9853,20.2157,1.6895,9309.0
497.754,-1.696,226.155,179.9848,20.2154,1.6908,9354.7
497.81,-1.696,226.117,179.9848,20.2153,1.6908,9400.7
497.877,-1.702,226.075,179.9848,20.2149,1.6901,9448.6
497.944,-1.703,226.034,179.9848,20.2145,1.6901,9493.5
497.994,-1.709,225.994,179.9848,20.2155,1.6894,9539.3
498.071,-1.709,225.95,179.9848,20.2149,1.6894,9585.4
498.117,-1.715,225.915,179.9848,20.215,1.6887,9631.6
498.187,-1.716,225.869,179.9843,20.2154,1.6907,9678.1
498.244,-1.722,225.831,179.9843,20.2153,1.69,9724.6
498.311,-1.722,225.789,179.9843,20.215,1.69,9770.2
498.357,-1.722,225.755,179.9843,20.2151,1.69,9815.5
498.427,-1.728,225.709,179.9844,20.2156,1.6893,9862.1
498.487,-1.728,225.679,179.9843,20.2148,1.6893,9908.8
498.533,-1.734,225.645,179.9843,20.2149,1.6886,9954.6
498.617,-1.735,225.588,179.9839,20.2148,1.6906,10000.0
498.666,-1.734,225.548,179.985,20.2157,1.6902,10047.5
498.726,-1.734,225.519,179.985,20.2149,1.6902,10093.5
498.8,-1.74,225.465,179.985,20.215,1.6895,10140.4
498.86,-1.74,225.423,179.985,20.2156,1.6895,10186.6
498.919,-1.74,225.393,179.985,20.2148,1.6895,10232.5
498.979,-1.746,225.351,179.985,20.2155,1.6888,10278.7
499.032,-1.747,225.317,179.9845,20.2146,1.6908,10326.1
499.102,-1.753,225.271,179.9845,20.2151,1.6901,10372.5
499.169,-1.753,225.23,179.9845,20.2147,1.6901,10419.0
499.218,-1.759,225.19,179.9845,20.2156,1.6894,10466.7
499.3,-1.759,225.138,179.9845,20.2147,1.6894,10512.3
499.352,-1.765,225.107,179.9845,20.2149,1.6887,10558.0
499.409,-1.765,225.069,179.9845,20.2148,1.6887,10603.4
499.475,-1.772,225.027,179.984,20.2145,1.69,10649.4
499.532,-1.772,224.989,179.984,20.2144,1.69,10695.5
499.602,-1.772,224.943,179.984,20.2148,1.69,10741.6
499.651,-1.771,224.904,179.9852,20.2157,1.6896,10787.0
499.718,-1.771,224.862,179.9852,20.2153,1.6896,10834.5
499.785,-1.777,224.82,179.9851,20.215,1.6889,10880.9
