X,Y,Z,Rx,Ry,Rz,time
485.327,-1.198,234.331,179.9859,20.2161,1.6906,0.0
485.345,-1.198,234.316,179.9859,20.2163,1.6906,65.0
485.424,-1.204,234.26,179.9859,20.2172,1.6899,122.0
485.499,-1.204,234.221,179.9859,20.2158,1.6899,168.3
485.578,-1.211,234.164,179.9855,20.2167,1.6912,214.7
485.672,-1.216,234.11,179.9854,20.2155,1.6905,259.9
485.73,-1.216,234.06,179.9855,20.2169,1.6905,305.8
485.813,-1.222,234.009,179.9854,20.216,1.6898,352.1
485.881,-1.215,233.969,179.9865,20.2156,1.6901,398.8
485.968,-1.221,233.913,179.9861,20.2155,1.6914,444.5
486.036,-1.221,233.86,179.9861,20.2166,1.6914,490.1
486.115,-1.227,233.816,179.9861,20.216,1.6907,535.9
486.198,-1.233,233.752,179.9861,20.2165,1.6901,582.1
486.266,-1.233,233.712,179.9861,20.2162,1.69,628.7
486.352,-1.24,233.656,179.9856,20.2161,1.6913,675.5
486.438,-1.246,233.601,179.9856,20.2159,1.6906,722.1
486.507,-1.246,233.56,179.9856,20.2156,1.6906,767.2
486.593,-1.252,233.505,179.9856,20.2154,1.6899,812.6
486.658,-1.252,233.456,179.9856,20.2158,1.69,859.5
486.734,-1.258,233.404,179.9851,20.2159,1.6913,905.1
486.805,-1.251,233.359,179.9863,20.2163,1.6916,951.1
486.891,-1.257,233.303,179.9863,20.2161,1.6909,997.2
486.967,-1.263,233.251,179.9863,20.2162,1.6902,1042.9
487.042,-1.263,233.199,179.9863,20.2163,1.6902,1088.3
487.121,-1.269,233.155,179.9858,20.2157,1.6915,1135.1
487.207,-1.275,233.086,179.9858,20.217,1.6908,1182.1
487.275,-1.275,233.046,179.9858,20.2167,1.6908,1227.2
487.358,-1.281,232.995,179.9858,20.2158,1.6901,1273.2
487.426,-1.281,232.954,179.9858,20.2154,1.6901,1318.5
487.512,-1.287,232.899,179.9858,20.2153,1.6894,1365.1
487.577,-1.288,232.85,179.9853,20.2156,1.6914,1411.2
487.659,-1.294,232.801,179.9853,20.2158,1.6907,1456.9
487.742,-1.299,232.737,179.9853,20.2163,1.69,1503.5
487.81,-1.292,232.697,179.9864,20.216,1.6903,1549.1
487.896,-1.298,232.641,179.9864,20.2158,1.6896,1596.1
487.975,-1.305,232.584,179.986,20.2167,1.691,1642.6
488.043,-1.305,232.544,179.986,20.2163,1.691,1688.4
488.136,-1.311,232.489,179.9859,20.2152,1.6902,1733.9
488.194,-1.311,232.439,179.986,20.2165,1.6903,1779.2
488.283,-1.316,232.392,179.986,20.2157,1.6896,1826.0
488.348,-1.317,232.342,179.9855,20.2161,1.6916,1869.4
488.434,-1.323,232.287,179.9855,20.2159,1.6909,1920.0
488.509,-1.329,232.234,179.9855,20.216,1.6902,1966.1
488.587,-1.329,232.19,179.9855,20.2154,1.6902,2012.1
488.673,-1.335,232.135,179.9855,20.2153,1.6895,2056.9
488.752,-1.336,232.078,179.9851,20.2161,1.6915,2104.3
488.82,-1.334,232.037,179.9861,20.2158,1.6911,2150.4
488.903,-1.34,231.972,179.9862,20.2163,1.6904,2197.2
488.971,-1.34,231.932,179.9861,20.216,1.6904,2244.0
489.057,-1.346,231.876,179.9861,20.2158,1.6897,2290.6
489.143,-1.347,231.82,179.9857,20.2157,1.6917,2337.1
489.21,-1.353,231.78,179.9857,20.2153,1.691,2383.3
489.296,-1.359,231.724,179.9857,20.2152,1.6903,2427.8
489.364,-1.359,231.683,179.9857,20.2148,1.6903,2473.8
489.453,-1.365,231.623,179.9857,20.2154,1.6896,2519.8
489.518,-1.365,231.573,179.9857,20.2158,1.6896,2565.8
489.586,-1.371,231.533,179.9852,20.2154,1.6909,2612.8
489.672,-1.371,231.477,179.9852,20.2153,1.6909,2658.4
489.739,-1.377,231.436,179.9852,20.2149,1.6902,2703.8
489.818,-1.376,231.379,179.9863,20.2158,1.6898,2749.8
489.904,-1.376,231.323,179.9863,20.2156,1.6898,2798.0
489.968,-1.382,231.274,179.9859,20.216,1.6911,2843.9
490.047,-1.383,231.23,179.9858,20.2154,1.6911,2890.2
490.114,-1.389,231.176,179.9859,20.2165,1.6904,2937.1
490.218,-1.395,231.118,179.9858,20.2151,1.6897,2984.2
490.286,-1.395,231.077,179.9858,20.2147,1.6897,3030.5
490.354,-1.401,231.023,179.9854,20.2159,1.691,3076.6
490.439,-1.401,230.967,179.9854,20.2157,1.691,3123.4
490.525,-1.407,230.911,179.9854,20.2156,1.6903,3169.4
490.593,-1.407,230.871,179.9854,20.2152,1.6903,3214.8
490.671,-1.413,230.813,179.9854,20.2161,1.6896,3261.9
490.739,-1.419,230.773,179.9854,20.2157,1.6889,3308.0
490.825,-1.412,230.716,179.986,20.2156,1.6913,3353.1
490.9,-1.418,230.664,179.986,20.2157,1.6906,3400.4
490.971,-1.418,230.618,179.9861,20.2161,1.6906,3447.5
491.056,-1.424,230.562,179.986,20.2159,1.6899,3493.8
491.121,-1.43,230.513,179.9861,20.2163,1.6892,3539.4
491.207,-1.431,230.457,179.9856,20.2161,1.6912,3586.3
491.295,-1.437,230.409,179.9856,20.2153,1.6905,3632.4
491.36,-1.437,230.36,179.9856,20.2156,1.6905,3678.2
491.446,-1.443,230.304,179.9856,20.2155,1.6898,3723.8
491.513,-1.443,230.263,179.9856,20.2151,1.6898,3769.8
491.602,-1.45,230.202,179.9851,20.2158,1.6911,3815.6
491.677,-1.456,230.149,179.9851,20.2159,1.6904,3861.2
491.745,-1.456,230.108,179.9851,20.2155,1.6904,3907.2
491.83,-1.455,230.052,179.9862,20.2153,1.69,3953.9
491.901,-1.455,230.007,179.9862,20.2158,1.69,4000.2
491.976,-1.461,229.954,179.9858,20.2159,1.6913,4047.1
492.061,-1.467,229.898,179.9858,20.2157,1.6906,4093.3
492.132,-1.467,229.852,179.9858,20.2161,1.6906,4139.3
492.218,-1.473,229.796,179.9858,20.216,1.6899,4185.1
492.285,-1.473,229.755,179.9858,20.2156,1.6899,4231.1
492.371,-1.479,229.699,179.9858,20.2155,1.6892,4277.1
492.456,-1.486,229.643,179.9853,20.2153,1.6905,4323.6
492.524,-1.486,229.602,179.9853,20.215,1.6905,4369.7
492.602,-1.492,229.544,179.9853,20.2159,1.6898,4416.0
492.669,-1.492,229.503,179.9853,20.2155,1.6898,4462.5
492.755,-1.491,229.447,179.9864,20.2153,1.6894,4508.8
492.84,-1.491,229.391,179.9859,20.2152,1.6914,4555.6
492.908,-1.497,229.35,179.9859,20.2148,1.6907,4602.1
492.986,-1.504,229.292,179.9859,20.2157,1.69,4647.1
493.053,-1.504,229.251,179.9859,20.2154,1.69,4693.4
493.139,-1.51,229.195,179.9859,20.2152,1.6893,4739.4
493.224,-1.51,229.138,179.9855,20.2151,1.6913,4785.0
493.292,-1.516,229.098,179.9854,20.2147,1.6906,4830.7
493.377,-1.516,229.041,179.9854,20.2146,1.6906,4876.3
493.448,-1.522,228.996,179.9855,20.215,1.6899,4922.2
493.522,-1.529,228.942,179.9855,20.2151,1.6892,4968.1
493.59,-1.529,228.901,179.9854,20.2147,1.6892,5014.0
493.678,-1.535,228.84,179.985,20.2154,1.6905,5059.4
493.743,-1.535,228.791,179.985,20.2157,1.6905,5105.6
493.828,-1.534,228.734,179.9861,20.2155,1.6902,5151.5
493.909,-1.534,228.685,179.9861,20.2157,1.6902,5197.6
493.976,-1.54,228.644,179.9861,20.2153,1.6895,5243.9
494.062,-1.547,228.588,179.9856,20.2152,1.6908,5289.6
494.126,-1.547,228.538,179.9857,20.2156,1.6908,5335.1
494.214,-1.553,228.49,179.9856,20.2147,1.6901,5380.1
494.279,-1.553,228.44,179.9856,20.2151,1.6901,5426.2
494.367,-1.559,228.393,179.9856,20.2142,1.6894,5472.2
494.456,-1.56,228.331,179.9852,20.2148,1.6914,5518.2
494.52,-1.566,228.282,179.9852,20.2152,1.6907,5563.3
494.601,-1.572,228.233,179.9852,20.2154,1.69,5609.4
494.668,-1.572,228.192,179.9852,20.215,1.69,5654.1
494.753,-1.578,228.135,179.9852,20.2149,1.6893,5700.6
494.817,-1.571,228.085,179.9863,20.2152,1.6896,5747.0
494.909,-1.577,228.033,179.9858,20.2151,1.6909,5792.9
494.984,-1.577,227.979,179.9858,20.2152,1.6909,5839.3
495.051,-1.583,227.938,179.9858,20.2149,1.6902,5885.3
495.139,-1.59,227.877,179.9858,20.2155,1.6895,5931.6
495.206,-1.59,227.836,179.9858,20.2151,1.6895,5977.9
495.292,-1.596,227.779,179.9854,20.215,1.6908,6023.4
495.356,-1.596,227.729,179.9854,20.2153,1.6908,6069.5
495.437,-1.602,227.68,179.9854,20.2155,1.6901,6116.9
495.522,-1.603,227.623,179.9854,20.2153,1.6901,6162.6
495.592,-1.609,227.578,179.9854,20.2158,1.6894,6209.1
495.674,-1.615,227.526,179.9849,20.2149,1.6907,6254.6
495.741,-1.615,227.484,179.9849,20.2145,1.6907,6299.2
495.829,-1.614,227.423,179.986,20.2151,1.6903,6345.3
495.904,-1.614,227.37,179.986,20.2152,1.6903,6391.9
495.974,-1.62,227.324,179.986,20.2156,1.6896,6439.4
496.059,-1.62,227.267,179.986,20.2155,1.6896,6486.1
496.144,-1.627,227.21,179.9855,20.2153,1.6909,6532.3
496.215,-1.633,227.164,179.9856,20.2157,1.6902,6579.7
496.292,-1.633,227.12,179.9855,20.2151,1.6902,6626.1
496.38,-1.639,227.058,179.9856,20.2158,1.6895,6672.2
496.448,-1.639,227.017,179.9855,20.2154,1.6895,6718.2
496.53,-1.646,226.965,179.9851,20.2145,1.6908,6764.0
496.6,-1.646,226.919,179.9851,20.2149,1.6908,6810.2
496.685,-1.652,226.862,179.9851,20.2148,1.6901,6856.6
496.762,-1.658,226.804,179.9851,20.2156,1.6894,6904.2
496.84,-1.651,226.759,179.9862,20.215,1.6897,6949.8
496.914,-1.657,226.706,179.9862,20.2151,1.689,6996.2
496.982,-1.658,226.665,179.9857,20.2148,1.691,7041.3
497.07,-1.664,226.603,179.9857,20.2154,1.6903,7087.2
497.137,-1.664,226.562,179.9857,20.215,1.6903,7133.6
497.214,-1.67,226.504,179.9857,20.2159,1.6896,7180.2
497.302,-1.676,226.455,179.9857,20.215,1.6889,7226.2
497.366,-1.677,226.405,179.9853,20.2154,1.6909,7272.9
497.454,-1.683,226.357,179.9852,20.2146,1.6902,7319.4
497.539,-1.683,226.3,179.9852,20.2144,1.6902,7366.1
497.602,-1.689,226.253,179.9853,20.2158,1.6895,7411.2
497.684,-1.69,226.201,179.9852,20.2149,1.6895,7456.1
497.754,-1.696,226.155,179.9848,20.2154,1.6908,7502.2
497.839,-1.695,226.098,179.9859,20.2152,1.6904,7547.3
497.906,-1.695,226.056,179.9859,20.2148,1.6904,7592.7
497.991,-1.701,225.999,179.9859,20.2147,1.6897,7639.2
498.061,-1.701,225.953,179.9859,20.2151,1.6897,7685.1
498.138,-1.707,225.908,179.9859,20.2145,1.689,7730.1
498.226,-1.708,225.847,179.9854,20.2151,1.691,7777.0
498.293,-1.714,225.805,179.9854,20.2148,1.6903,7822.3
498.37,-1.714,225.747,179.9855,20.2156,1.6903,7868.5
498.437,-1.721,225.705,179.9854,20.2153,1.6896,7915.1
498.522,-1.727,225.648,179.9854,20.2151,1.6889,7961.4
498.61,-1.727,225.586,179.985,20.2158,1.6909,8007.0
498.677,-1.734,225.545,179.985,20.2154,1.6902,8053.1
498.765,-1.734,225.497,179.985,20.2146,1.6902,8098.6
498.829,-1.74,225.446,179.985,20.2149,1.6895,8143.7
498.916,-1.733,225.398,179.986,20.214,1.6898,8190.1
498.979,-1.739,225.351,179.9861,20.2155,1.6891,8236.4
499.061,-1.739,225.298,179.9856,20.2146,1.6911,8282.8
