X,Y,Z,Rx,Ry,Rz
485.327,-1.198,234.331,179.9859,20.2161,1.6906
485.345,-1.198,234.316,179.9859,20.2163,1.6906
485.424,-1.204,234.26,179.9859,20.2172,1.6899
485.499,-1.204,234.221,179.9859,20.2158,1.6899
485.578,-1.211,234.164,179.9855,20.2167,1.6912
485.672,-1.216,234.11,179.9854,20.2155,1.6905
485.73,-1.216,234.06,179.9855,20.2169,1.6905
485.813,-1.222,234.009,179.9854,20.216,1.6898
485.881,-1.215,233.969,179.9865,20.2156,1.6901
485.968,-1.221,233.913,179.9861,20.2155,1.6914
486.036,-1.221,233.86,179.9861,20.2166,1.6914
486.115,-1.227,233.816,179.9861,20.216,1.6907
486.198,-1.233,233.752,179.9861,20.2165,1.6901
486.266,-1.233,233.712,179.9861,20.2162,1.69
486.352,-1.24,233.656,179.9856,20.2161,1.6913
486.438,-1.246,233.601,179.9856,20.2159,1.6906
486.507,-1.246,233.56,179.9856,20.2156,1.6906
486.593,-1.252,233.505,179.9856,20.2154,1.6899
486.658,-1.252,233.456,179.9856,20.2158,1.69
486.734,-1.258,233.404,179.9851,20.2159,1.6913
486.805,-1.251,233.359,179.9863,20.2163,1.6916
486.891,-1.257,233.303,179.9863,20.2161,1.6909
486.967,-1.263,233.251,179.9863,20.2162,1.6902
487.042,-1.263,233.199,179.9863,20.2163,1.6902
487.121,-1.269,233.155,179.9858,20.2157,1.6915
487.207,-1.275,233.086,179.9858,20.217,1.6908
487.275,-1.275,233.046,179.9858,20.2167,1.6908
487.358,-1.281,232.995,179.9858,20.2158,1.6901
487.426,-1.281,232.954,179.9858,20.2154,1.6901
487.512,-1.287,232.899,179.9858,20.2153,1.6894
487.577,-1.288,232.85,179.9853,20.2156,1.6914
487.659,-1.294,232.801,179.9853,20.2158,1.6907
487.742,-1.299,232.737,179.9853,20.2163,1.69
487.81,-1.292,232.697,179.9864,20.216,1.6903
487.896,-1.298,232.641,179.9864,20.2158,1.6896
487.975,-1.305,232.584,179.986,20.2167,1.691
488.043,-1.305,232.544,179.986,20.2163,1.691
488.136,-1.311,232.489,179.9859,20.2152,1.6902
488.194,-1.311,232.439,179.986,20.2165,1.6903
488.283,-1.316,232.392,179.986,20.2157,1.6896
488.348,-1.317,232.342,179.9855,20.2161,1.6916
488.434,-1.323,232.287,179.9855,20.2159,1.6909
488.509,-1.329,232.234,179.9855,20.216,1.6902
488.587,-1.329,232.19,179.9855,20.2154,1.6902
488.673,-1.335,232.135,179.9855,20.2153,1.6895
488.752,-1.336,232.078,179.9851,20.2161,1.6915
488.82,-1.334,232.037,179.9861,20.2158,1.6911
488.903,-1.34,231.972,179.9862,20.2163,1.6904
488.971,-1.34,231.932,179.9861,20.216,1.6904
489.057,-1.346,231.876,179.9861,20.2158,1.6897
489.143,-1.347,231.82,179.9857,20.2157,1.6917
489.21,-1.353,231.78,179.9857,20.2153,1.691
489.296,-1.359,231.724,179.9857,20.2152,1.6903
489.364,-1.359,231.683,179.9857,20.2148,1.6903
489.453,-1.365,231.623,179.9857,20.2154,1.6896
489.518,-1.365,231.573,179.9857,20.2158,1.6896
489.586,-1.371,231.533,179.9852,20.2154,1.6909
489.672,-1.371,231.477,179.9852,20.2153,1.6909
489.739,-1.377,231.436,179.9852,20.2149,1.6902
489.818,-1.376,231.379,179.9863,20.2158,1.6898
489.904,-1.376,231.323,179.9863,20.2156,1.6898
489.968,-1.382,231.274,179.9859,20.216,1.6911
490.047,-1.383,231.23,179.9858,20.2154,1.6911
490.114,-1.389,231.176,179.9859,20.2165,1.6904
490.218,-1.395,231.118,179.9858,20.2151,1.6897
490.286,-1.395,231.077,179.9858,20.2147,1.6897
490.354,-1.401,231.023,179.9854,20.2159,1.691
490.439,-1.401,230.967,179.9854,20.2157,1.691
490.525,-1.407,230.911,179.9854,20.2156,1.6903
490.593,-1.407,230.871,179.9854,20.2152,1.6903
490.671,-1.413,230.813,179.9854,20.2161,1.6896
490.739,-1.419,230.773,179.9854,20.2157,1.6889
490.825,-1.412,230.716,179.986,20.2156,1.6913
490.9,-1.418,230.664,179.986,20.2157,1.6906
490.971,-1.418,230.618,179.9861,20.2161,1.6906
491.056,-1.424,230.562,179.986,20.2159,1.6899
491.121,-1.43,230.513,179.9861,20.2163,1.6892
491.207,-1.431,230.457,179.9856,20.2161,1.6912
491.295,-1.437,230.409,179.9856,20.2153,1.6905
491.36,-1.437,230.36,179.9856,20.2156,1.6905
491.446,-1.443,230.304,179.9856,20.2155,1.6898
491.513,-1.443,230.263,179.9856,20.2151,1.6898
491.602,-1.45,230.202,179.9851,20.2158,1.6911
491.677,-1.456,230.149,179.9851,20.2159,1.6904
491.745,-1.456,230.108,179.9851,20.2155,1.6904
491.83,-1.455,230.052,179.9862,20.2153,1.69
491.901,-1.455,230.007,179.9862,20.2158,1.69
491.976,-1.461,229.954,179.9858,20.2159,1.6913
492.061,-1.467,229.898,179.9858,20.2157,1.6906
