X,Y,Z,Rx,Ry,Rz,time
485.267,-1.227,234.322,179.9824,20.2244,1.691,0.0
485.267,-1.227,234.322,179.9824,20.2244,1.691,63.1
485.274,-1.227,234.323,179.9824,20.2234,1.691,125.1
485.282,-1.227,234.324,179.9823,20.2224,1.6909,186.2
485.282,-1.227,234.324,179.9823,20.2224,1.6909,248.1
485.289,-1.227,234.325,179.9823,20.2213,1.6909,310.3
485.297,-1.227,234.327,179.9827,20.2203,1.6889,371.8
485.304,-1.227,234.328,179.9827,20.2193,1.6889,432.9
485.312,-1.227,234.329,179.9827,20.2183,1.6889,494.1
485.319,-1.219,234.33,179.9837,20.2172,1.6892,555.7
485.319,-1.219,234.33,179.9837,20.2172,1.6892,615.8
485.327,-1.213,234.331,179.9837,20.2162,1.6899,678.7
485.334,-1.213,234.333,179.9837,20.2152,1.6899,740.2
485.342,-1.213,234.334,179.9836,20.2142,1.6899,801.3
485.349,-1.213,234.335,179.9841,20.2131,1.6879,862.8
485.349,-1.213,234.335,179.9841,20.2131,1.6879,924.0
485.356,-1.213,234.336,179.984,20.2121,1.6879,985.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1046.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,1107.5
485.364,-1.213,234.338,179.984,20.2111,1.6879,1169.3
485.371,-1.218,234.339,179.984,20.2101,1.6872,1230.4
485.371,-1.211,234.325,179.9851,20.2115,1.6875,1291.4
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1351.5
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1412.6
485.386,-1.217,234.328,179.9846,20.2095,1.6888,1474.3
485.391,-1.21,234.32,179.9857,20.2091,1.6891,1536.0
485.391,-1.21,234.32,179.9857,20.2091,1.6891,1597.8
485.391,-1.21,234.32,179.9857,20.2091,1.6891,1658.9
485.401,-1.21,234.317,179.9857,20.2089,1.6891,1720.7
485.398,-1.216,234.308,179.9857,20.2096,1.6884,1782.4
485.406,-1.216,234.31,179.9852,20.2086,1.6904,1842.6
485.409,-1.216,234.305,179.9852,20.2093,1.6904,1903.7
485.409,-1.216,234.305,179.9852,20.2093,1.6904,1965.0
485.416,-1.222,234.306,179.9852,20.2083,1.6897,2025.1
485.424,-1.215,234.294,179.9863,20.2087,1.6901,2086.7
485.432,-1.221,234.295,179.9858,20.2077,1.6913,2147.5
485.429,-1.214,234.287,179.9869,20.2084,1.6917,2208.4
485.436,-1.214,234.288,179.9869,20.2074,1.6917,2269.4
485.443,-1.22,234.289,179.9869,20.2064,1.691,2329.5
485.443,-1.22,234.289,179.9869,20.2064,1.691,2390.7
485.451,-1.218,234.277,179.988,20.2068,1.6906,2452.0
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2513.1
485.474,-1.217,234.267,179.9886,20.2052,1.6922,2574.4
485.478,-1.224,234.26,179.9881,20.2049,1.6935,2635.6
485.489,-1.222,234.257,179.9892,20.2046,1.6932,2696.4
485.504,-1.215,234.246,179.9903,20.204,1.6935,2757.6
485.504,-1.221,234.246,179.9898,20.204,1.6948,2818.7
485.504,-1.221,234.246,179.9898,20.204,1.6948,2879.2
485.526,-1.22,234.236,179.9904,20.2024,1.6964,2940.4
485.541,-1.219,234.225,179.9915,20.2018,1.6961,3001.9
485.553,-1.218,234.219,179.9921,20.2005,1.6977,3062.9
485.568,-1.224,234.208,179.992,20.1999,1.697,3124.0
485.583,-1.223,234.197,179.9927,20.1993,1.6986,3185.0
485.598,-1.221,234.187,179.9937,20.1987,1.6983,3246.6
485.613,-1.22,234.176,179.9944,20.1981,1.6999,3306.7
485.613,-1.22,234.176,179.9944,20.1981,1.6999,3367.0
485.621,-1.22,234.177,179.9943,20.1971,1.6999,3428.5
485.644,-1.218,234.154,179.9961,20.1969,1.7012,3489.7
485.671,-1.222,234.137,179.9966,20.195,1.7021,3551.1
485.69,-1.227,234.119,179.9973,20.1941,1.703,3612.3
485.728,-1.225,234.098,179.9989,20.1919,1.7043,3674.4
485.75,-1.222,234.089,-179.9994,20.1903,1.7055,3736.4
485.773,-1.227,234.066,-179.9988,20.1901,1.7065,3797.7
485.8,-1.232,234.049,-179.9982,20.1882,1.7074,3859.8
485.807,-1.225,234.05,-179.9971,20.1872,1.7077,3921.2
485.815,-1.223,234.038,-179.996,20.1876,1.7073,3983.0
485.852,-1.229,234.017,-179.9959,20.1854,1.7103,4044.8
485.879,-1.232,234.0,-179.9942,20.1835,1.7108,4105.9
485.917,-1.23,233.98,-179.9926,20.1813,1.7121,4167.1
485.944,-1.235,233.963,-179.992,20.1793,1.713,4228.2
485.974,-1.238,233.941,-179.9903,20.1781,1.7136,4289.6
486.004,-1.236,233.919,-179.9891,20.177,1.7168,4349.9
486.031,-1.241,233.902,-179.9885,20.175,1.7177,4411.2
486.046,-1.239,233.891,-179.9874,20.1744,1.7174,4472.3
486.051,-1.245,233.884,-179.9874,20.1741,1.7167,4534.0
486.099,-1.242,233.86,-179.9851,20.1716,1.7195,4595.7
486.141,-1.246,233.832,-179.9839,20.1691,1.7221,4657.6
486.183,-1.242,233.804,-179.9812,20.1666,1.723,4719.0
486.221,-1.246,233.771,-179.9799,20.1659,1.7255,4780.1
486.265,-1.249,233.751,-179.9783,20.1626,1.7261,4841.7
486.293,-1.247,233.721,-179.977,20.1622,1.7293,4903.0
486.338,-1.251,233.702,-179.9754,20.1589,1.7299,4964.3
486.357,-1.248,233.683,-179.9737,20.158,1.7311,5025.8
486.357,-1.248,233.683,-179.9737,20.158,1.7311,5087.3
486.41,-1.251,233.652,-179.9714,20.1552,1.7333,5149.0
486.459,-1.253,233.612,-179.9691,20.1531,1.7355,5210.5
486.512,-1.257,233.581,-179.968,20.1503,1.738,5271.6
486.561,-1.26,233.554,-179.9657,20.1468,1.7402,5332.0
486.611,-1.256,233.514,-179.9634,20.1447,1.7431,5393.0
486.664,-1.266,233.483,-179.9622,20.1419,1.7449,5453.2
486.716,-1.269,233.452,-179.96,20.1391,1.7471,5514.7
486.758,-1.265,233.424,-179.9572,20.1365,1.748,5575.8
486.758,-1.265,233.424,-179.9572,20.1365,1.748,5637.6
486.796,-1.268,233.403,-179.9556,20.1343,1.7485,5699.6
486.868,-1.27,233.354,-179.9527,20.1306,1.7523,5760.6
486.925,-1.273,233.315,-179.9509,20.1275,1.7564,5822.3
486.985,-1.274,233.272,-179.9475,20.1251,1.7583,5883.6
487.049,-1.277,233.234,-179.9453,20.121,1.7604,5945.1
487.106,-1.28,233.195,-179.9435,20.1179,1.7646,6006.4
487.163,-1.288,233.157,-179.9412,20.1148,1.766,6068.4
487.224,-1.283,233.113,-179.9378,20.1124,1.7685,6129.6
487.235,-1.29,233.107,-179.9383,20.1111,1.7698,6189.8
487.258,-1.289,233.097,-179.9378,20.1095,1.7714,6250.8
487.338,-1.289,233.036,-179.9338,20.1062,1.7748,6311.0
487.398,-1.298,233.006,-179.9315,20.1023,1.7763,6371.2
487.474,-1.298,232.949,-179.9276,20.0983,1.7797,6432.3
487.546,-1.3,232.899,-179.9247,20.0946,1.7834,6493.9
487.621,-1.301,232.858,-179.9219,20.0901,1.7872,6555.5
487.686,-1.302,232.807,-179.9185,20.0874,1.789,6617.4
487.758,-1.312,232.758,-179.9167,20.0838,1.7924,6678.8
487.833,-1.313,232.717,-179.9139,20.0793,1.7962,6740.8
487.897,-1.315,232.666,-179.9105,20.0766,1.798,6802.7
487.954,-1.316,232.627,-179.9077,20.0735,1.8017,6862.9
487.954,-1.316,232.627,-179.9077,20.0735,1.8017,6924.5
488.026,-1.318,232.578,-179.9048,20.0698,1.8055,6986.2
488.116,-1.318,232.526,-179.9009,20.0647,1.8088,7047.7
488.2,-1.325,232.47,-179.897,20.0596,1.8115,7109.1
488.279,-1.333,232.408,-179.8946,20.0564,1.8166,7169.9
488.369,-1.333,232.357,-179.8907,20.0513,1.8199,7231.8
488.456,-1.334,232.296,-179.8867,20.047,1.8233,7292.2
488.543,-1.334,232.249,-179.8829,20.0412,1.8266,7352.2
488.623,-1.342,232.188,-179.88,20.0379,1.8297,7413.4
