X,Y,Z,Rx,Ry,Rz
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.275,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.274,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.274,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.274,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.274,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.274,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.274,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.273,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.273,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.273,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.273,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.272,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.272,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.271,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.271,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.271,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.27,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.27,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.269,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.268,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.268,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.267,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.266,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.266,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.265,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.264,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.263,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.262,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.261,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.26,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.259,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.258,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.257,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.256,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.255,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.253,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.252,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.25,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.249,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.247,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.246,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.244,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.242,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.241,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.239,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.237,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.235,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.233,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.231,-159.859,-165.2936,-7.1766,17.5381
956.316,-109.229,-159.859,-165.2936,-7.1766,17.5381
