X,Y,Z,Rx,Ry,Rz,time
956.324,-111.547,-163.852,-165.2943,-7.1804,17.5411,0.0
956.324,-111.547,-163.852,-165.2943,-7.1804,17.5411,0.0
956.324,-111.547,-163.852,-165.2943,-7.1804,17.5411,54.5
956.322,-111.547,-163.844,-165.2938,-7.1802,17.5403,96.8
956.323,-111.536,-163.844,-165.2938,-7.1802,17.541,139.5
956.322,-111.536,-163.836,-165.2947,-7.1805,17.542,182.2
956.322,-111.536,-163.836,-165.2947,-7.1805,17.542,223.9
956.322,-111.536,-163.835,-165.2934,-7.18,17.5402,265.9
956.32,-111.536,-163.827,-165.2943,-7.1803,17.5411,308.6
956.321,-111.524,-163.827,-165.2943,-7.1803,17.5418,350.4
956.323,-111.525,-163.816,-165.2934,-7.1804,17.5401,392.3
956.32,-111.524,-163.819,-165.2938,-7.1801,17.541,434.0
956.32,-111.524,-163.819,-165.2938,-7.1801,17.541,476.2
956.318,-111.525,-163.81,-165.2947,-7.1804,17.542,517.5
956.319,-111.513,-163.81,-165.2933,-7.1799,17.5408,560.1
956.321,-111.513,-163.8,-165.2938,-7.1805,17.5409,601.7
956.327,-111.516,-163.794,-165.2947,-7.1807,17.5419,643.7
956.327,-111.516,-163.794,-165.2947,-7.1807,17.5419,685.6
956.329,-111.517,-163.783,-165.2938,-7.1809,17.5401,727.6
956.326,-111.505,-163.785,-165.2942,-7.1805,17.5417,769.5
956.328,-111.505,-163.775,-165.2947,-7.1811,17.5418,811.4
956.325,-111.505,-163.777,-165.2938,-7.1803,17.5409,852.4
956.325,-111.505,-163.777,-165.2938,-7.1803,17.5409,894.6
956.327,-111.505,-163.766,-165.2942,-7.1809,17.541,935.6
956.324,-111.493,-163.769,-165.2947,-7.1806,17.5426,976.7
956.326,-111.494,-163.758,-165.2938,-7.1807,17.5408,1019.2
956.326,-111.494,-163.758,-165.2938,-7.1807,17.5408,1060.6
956.323,-111.493,-163.76,-165.2942,-7.1804,17.5417,1102.9
956.325,-111.501,-163.752,-165.2941,-7.1802,17.5395,1145.0
956.323,-111.489,-163.755,-165.2945,-7.1798,17.5412,1187.6
956.325,-111.489,-163.744,-165.295,-7.1804,17.5412,1228.9
956.325,-111.489,-163.744,-165.295,-7.1804,17.5412,1271.2
956.321,-111.489,-163.746,-165.2941,-7.1796,17.5403,1312.3
956.325,-111.478,-163.736,-165.2945,-7.1803,17.5411,1353.3
956.321,-111.477,-163.738,-165.295,-7.1799,17.542,1395.2
956.323,-111.478,-163.727,-165.2941,-7.1801,17.5402,1436.5
956.323,-111.478,-163.727,-165.2941,-7.1801,17.5402,1478.3
956.32,-111.477,-163.729,-165.2945,-7.1797,17.5411,1519.5
956.322,-111.478,-163.719,-165.295,-7.1803,17.5412,1560.6
956.323,-111.466,-163.719,-165.2936,-7.1799,17.5401,1603.0
956.321,-111.467,-163.71,-165.2945,-7.1801,17.5411,1645.1
956.321,-111.467,-163.71,-165.2945,-7.1801,17.5411,1686.3
956.318,-111.466,-163.712,-165.2936,-7.1793,17.5402,1728.2
956.321,-111.455,-163.702,-165.294,-7.1799,17.5409,1769.7
956.321,-111.455,-163.702,-165.294,-7.1799,17.5409,1810.7
956.319,-111.455,-163.694,-165.295,-7.1802,17.5419,1853.7
956.328,-111.458,-163.686,-165.294,-7.1803,17.5401,1895.8
956.325,-111.458,-163.688,-165.2945,-7.18,17.541,1938.0
956.328,-111.447,-163.677,-165.2949,-7.1806,17.5418,1980.7
956.328,-111.447,-163.677,-165.2949,-7.1806,17.5418,2021.9
956.326,-111.447,-163.669,-165.2945,-7.1804,17.541,2063.1
956.326,-111.447,-163.669,-165.2945,-7.1804,17.541,2105.8
956.325,-111.447,-163.66,-165.2954,-7.1807,17.5419,2148.5
956.326,-111.435,-163.66,-165.294,-7.1802,17.5408,2189.7
956.326,-111.435,-163.66,-165.294,-7.1802,17.5408,2231.9
956.324,-111.436,-163.652,-165.2949,-7.1805,17.5418,2274.0
956.324,-111.436,-163.652,-165.2949,-7.1805,17.5418,2315.2
956.326,-111.436,-163.641,-165.294,-7.1806,17.54,2356.6
956.324,-111.424,-163.644,-165.2944,-7.1803,17.5416,2397.6
