S,L,U,R,B,T
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.4881030105991844e-05,-0.6775172100246043,-0.7170810170902626,5.192050188016459e-05,-1.3341178157846445,0.018656829290261197
-1.5879827757232968e-05,-0.6775163911646209,-0.7170819297169926,5.079931528791226e-05,-1.3341150666392094,0.018658477617845646
-1.727022615972846e-05,-0.6775152513540866,-0.7170832002361515,4.923853877772564e-05,-1.3341112396548291,0.01866077221306443
-1.9115734924973917e-05,-0.677513738430458,-0.7170848866231343,4.7166864125412944e-05,-1.3341061599839361,0.01866381790498053
-2.1479360613852336e-05,-0.6775118007226303,-0.717087046452707,4.451354572995686e-05,-1.334099654183385,0.01866771869474158
-2.442360387638292e-05,-0.6775093869656102,-0.7170897368383626,4.120839712990527e-05,-1.3340915501924488,0.018672577758405588
-2.801045848238482e-05,-0.6775064462991304,-0.7170930144316998,3.718178985720953e-05,-1.3340816773329305,0.018678497447844958
-3.230141025383223e-05,-0.6775029282660989,-0.71709693542173,3.236465217387245e-05,-1.334069866309275,0.01868557929174322
-3.735743590112958e-05,-0.6774987828109164,-0.7171015555341228,2.66884676960612e-05,-1.334055949208692,0.018693923996680902
-4.323900176726656e-05,-0.6774939602776566,-0.7171069300303935,2.008527390825796e-05,-1.33403975950129,0.018703631448308455
-5.0006062482910564e-05,-0.6774884114081218,-0.7171131137070306,1.2487660571125009e-05,-1.33402113204022,0.018714800712603213
-5.771805953508677e-05,-0.6774820873397635,-0.717120160894566,3.828768027085627e-06,-1.3339999030618237,0.01872753003720757
-6.643391975287356e-05,-0.6774749396034946,-0.7171281254565949,-5.957714593334359e-06,-1.3339759101857998,0.018741916852846534
-7.621205371301554e-05,-0.677466920121374,-0.7171370607887391,-1.6937551260757796e-05,-1.3339489924153696,0.018758057774820803
-8.711035406846435e-05,-0.6774579812041861,-0.7171470198175628,-2.9175961028416817e-05,-1.333918990137456,0.018776048604573548
-9.918619380355995e-05,-0.6774480755489088,-0.7171580549994372,-4.273762010335764e-05,-1.3338857451228716,0.018795984331330045
-0.00011249642441708385,-0.677437156236077,-0.71717021831936,-5.768666400188484e-05,-1.33384910052651,0.01881795913380376
